Date,Open,High,Low,Close,Adj Close,Volume
1996-08-05,10.080000,10.800000,9.540000,9.540000,8.689125,1100
1996-08-12,9.540000,9.540000,9.360000,9.360000,8.525179,300
1996-08-19,9.360000,9.900000,9.180000,9.900000,9.017017,500
1996-08-26,9.900000,10.800000,9.000000,10.440000,9.508854,1700
1996-09-02,11.520000,11.520000,9.900000,9.900000,9.017017,500
1996-09-09,9.900000,11.700000,9.900000,11.700000,10.656474,300
1996-09-16,10.260000,12.600000,10.080000,10.080000,9.180964,1100
1996-09-23,11.700000,15.300000,9.720000,12.600000,11.476204,3100
1996-09-30,12.780000,15.120000,12.780000,15.120000,13.771443,800
1996-10-07,14.040000,14.040000,13.500000,13.500000,12.295932,700
1996-10-14,12.600000,12.600000,12.600000,12.600000,11.476204,200
1996-10-21,10.620000,10.800000,10.080000,10.080000,9.180964,1200
1996-10-28,10.080000,14.940000,10.080000,12.600000,11.476204,1600
1996-11-04,12.600000,12.600000,8.280000,8.280000,7.541505,1500
1996-11-11,8.280000,8.280000,8.100000,8.100000,7.377560,500
1996-11-18,8.100000,10.800000,8.100000,8.640000,7.869398,1800
1996-11-25,8.640000,9.900000,8.640000,9.900000,9.017017,700
1996-12-02,9.000000,9.900000,9.000000,9.900000,9.017017,400
1996-12-09,8.820000,9.900000,8.820000,9.900000,9.017017,1000
1996-12-16,9.360000,9.360000,8.100000,8.100000,7.377560,500
1996-12-23,7.200000,7.200000,6.300000,6.300000,5.738102,300
1996-12-30,6.300000,6.300000,6.300000,6.300000,5.738102,0
1997-01-06,6.300000,9.000000,6.300000,6.840000,6.229939,0
1997-01-13,6.840000,9.000000,6.840000,9.000000,8.197289,1700
1997-01-20,9.000000,9.000000,8.100000,9.000000,8.197289,400
1997-01-27,9.000000,9.000000,9.000000,9.000000,8.197289,0
1997-02-03,9.000000,9.000000,7.020000,7.020000,6.393885,600
1997-02-10,9.360000,9.360000,8.100000,8.100000,7.377560,1000
1997-02-17,8.100000,8.100000,8.100000,8.100000,7.377560,0
1997-02-24,8.640000,8.640000,7.920000,7.920000,7.213614,1000
1997-03-03,7.920000,9.000000,7.920000,9.000000,8.197289,6100
1997-03-10,9.000000,9.720000,8.100000,8.100000,7.377560,4400
1997-03-17,9.000000,9.000000,8.100000,8.100000,7.377560,300
1997-03-24,8.640000,9.540000,8.640000,8.640000,7.869398,400
1997-03-31,8.100000,9.000000,7.200000,7.200000,6.557831,1700
1997-04-07,7.200000,7.200000,7.020000,7.020000,6.393885,1300
1997-04-14,6.840000,6.840000,6.660000,6.660000,6.065993,500
1997-04-21,6.300000,6.300000,5.760000,5.760000,5.246264,1500
1997-04-28,5.760000,6.300000,5.580000,6.300000,5.738102,1700
1997-05-05,5.400000,5.580000,5.220000,5.580000,5.082318,1400
1997-05-12,5.580000,8.280000,5.580000,8.100000,7.377560,4000
1997-05-19,8.100000,9.900000,8.100000,8.820000,8.033342,3000
1997-05-26,7.200000,7.200000,6.300000,6.300000,5.738102,2800
