Date,Open,High,Low,Close,Adj Close,Volume
2012-09-27,null,null,null,null,null,null
2012-10-04,null,null,null,null,null,null
2012-10-11,null,null,null,null,null,null
2012-10-18,null,null,null,null,null,null
2012-10-25,null,null,null,null,null,null
2012-11-01,null,null,null,null,null,null
2012-11-08,null,null,null,null,null,null
2012-11-15,null,null,null,null,null,null
2012-11-22,null,null,null,null,null,null
2012-11-29,null,null,null,null,null,null
2012-12-06,null,null,null,null,null,null
2012-12-13,null,null,null,null,null,null
2012-12-20,null,null,null,null,null,null
2012-12-27,null,null,null,null,null,null
2013-01-03,null,null,null,null,null,null
2013-01-10,null,null,null,null,null,null
2013-01-17,null,null,null,null,null,null
2013-01-24,null,null,null,null,null,null
2013-01-31,null,null,null,null,null,null
2013-02-07,null,null,null,null,null,null
2013-02-14,null,null,null,null,null,null
2013-02-21,null,null,null,null,null,null
2013-02-28,null,null,null,null,null,null
2013-03-07,null,null,null,null,null,null
2013-03-14,null,null,null,null,null,null
2013-03-21,null,null,null,null,null,null
2013-03-28,null,null,null,null,null,null
2013-04-04,null,null,null,null,null,null
2013-04-11,null,null,null,null,null,null
2013-04-18,null,null,null,null,null,null
2013-04-25,null,null,null,null,null,null
2013-05-02,null,null,null,null,null,null
2013-05-09,null,null,null,null,null,null
2013-05-16,null,null,null,null,null,null
2013-05-23,null,null,null,null,null,null
2013-05-30,null,null,null,null,null,null
2013-06-06,null,null,null,null,null,null
2013-06-13,null,null,null,null,null,null
2013-06-20,null,null,null,null,null,null
2013-06-27,null,null,null,null,null,null
2013-07-04,null,null,null,null,null,null
2013-07-11,null,null,null,null,null,null
2013-07-18,null,null,null,null,null,null
2013-07-25,null,null,null,null,null,null
2013-08-01,null,null,null,null,null,null
2013-08-08,null,null,null,null,null,null
2013-08-15,null,null,null,null,null,null
2013-08-22,null,null,null,null,null,null
2013-08-29,null,null,null,null,null,null
2013-09-05,null,null,null,null,null,null
2013-09-12,null,null,null,null,null,null
2013-09-19,null,null,null,null,null,null
2013-09-26,null,null,null,null,null,null
2013-10-03,null,null,null,null,null,null
2013-10-10,null,null,null,null,null,null
2013-10-17,null,null,null,null,null,null
2013-10-24,null,null,null,null,null,null
2013-10-31,null,null,null,null,null,null
2013-11-07,null,null,null,null,null,null
2013-11-14,null,null,null,null,null,null
2013-11-21,null,null,null,null,null,null
2013-11-28,null,null,null,null,null,null
2013-12-05,null,null,null,null,null,null
2013-12-12,null,null,null,null,null,null
2013-12-19,null,null,null,null,null,null
2013-12-26,null,null,null,null,null,null
2014-01-02,null,null,null,null,null,null
2014-01-09,null,null,null,null,null,null
2014-01-16,null,null,null,null,null,null
2014-01-23,null,null,null,null,null,null
2014-01-30,null,null,null,null,null,null
2014-02-06,null,null,null,null,null,null
2014-02-13,null,null,null,null,null,null
2014-02-20,null,null,null,null,null,null
2014-02-27,null,null,null,null,null,null
2014-03-06,null,null,null,null,null,null
2014-03-13,null,null,null,null,null,null
2014-03-20,null,null,null,null,null,null
2014-03-27,null,null,null,null,null,null
2014-04-03,null,null,null,null,null,null
2014-04-10,null,null,null,null,null,null
2014-04-17,null,null,null,null,null,null
2014-04-24,null,null,null,null,null,null
2014-05-01,null,null,null,null,null,null
2014-05-08,null,null,null,null,null,null
2014-05-15,null,null,null,null,null,null
2014-05-22,null,null,null,null,null,null
2014-05-29,null,null,null,null,null,null
2014-06-05,null,null,null,null,null,null
2014-06-12,null,null,null,null,null,null
2014-06-19,null,null,null,null,null,null
2014-06-26,null,null,null,null,null,null
2014-07-03,null,null,null,null,null,null
2014-07-10,null,null,null,null,null,null
2014-07-17,null,null,null,null,null,null
2014-07-24,null,null,null,null,null,null
2014-07-31,null,null,null,null,null,null
2014-08-07,null,null,null,null,null,null
2014-08-14,null,null,null,null,null,null
2014-08-21,null,null,null,null,null,null
2014-08-28,null,null,null,null,null,null
2014-09-04,null,null,null,null,null,null
2014-09-11,null,null,null,null,null,null
2014-09-18,null,null,null,null,null,null
2014-09-25,null,null,null,null,null,null
2014-10-02,null,null,null,null,null,null
2014-10-09,null,null,null,null,null,null
2014-10-16,null,null,null,null,null,null
2014-10-23,null,null,null,null,null,null
2014-10-30,null,null,null,null,null,null
2014-11-06,null,null,null,null,null,null
2014-11-13,null,null,null,null,null,null
2014-11-20,null,null,null,null,null,null
2014-11-27,null,null,null,null,null,null
2014-12-04,null,null,null,null,null,null
2014-12-11,null,null,null,null,null,null
2014-12-18,null,null,null,null,null,null
2014-12-25,null,null,null,null,null,null
2015-01-01,null,null,null,null,null,null
2015-01-08,null,null,null,null,null,null
2015-01-15,null,null,null,null,null,null
2015-01-22,null,null,null,null,null,null
2015-01-29,null,null,null,null,null,null
2015-02-05,null,null,null,null,null,null
2015-02-12,null,null,null,null,null,null
2015-02-19,null,null,null,null,null,null
2015-02-26,null,null,null,null,null,null
2015-03-05,null,null,null,null,null,null
2015-03-12,null,null,null,null,null,null
2015-03-19,null,null,null,null,null,null
2015-03-26,null,null,null,null,null,null
2015-04-02,null,null,null,null,null,null
2015-04-09,null,null,null,null,null,null
2015-04-16,null,null,null,null,null,null
2015-04-23,null,null,null,null,null,null
2015-04-30,null,null,null,null,null,null
2015-05-07,null,null,null,null,null,null
2015-05-14,null,null,null,null,null,null
2015-05-21,null,null,null,null,null,null
2015-05-28,null,null,null,null,null,null
2015-06-04,null,null,null,null,null,null
2015-06-11,null,null,null,null,null,null
2015-06-18,null,null,null,null,null,null
2015-06-25,null,null,null,null,null,null
2015-07-02,null,null,null,null,null,null
2015-07-09,null,null,null,null,null,null
2015-07-16,null,null,null,null,null,null
2015-07-23,null,null,null,null,null,null
2015-07-30,null,null,null,null,null,null
2015-08-06,null,null,null,null,null,null
2015-08-13,null,null,null,null,null,null
2015-08-20,null,null,null,null,null,null
2015-08-27,null,null,null,null,null,null
2015-09-03,null,null,null,null,null,null
2015-09-10,null,null,null,null,null,null
2015-09-17,null,null,null,null,null,null
2015-09-24,null,null,null,null,null,null
2015-10-01,null,null,null,null,null,null
2015-10-08,null,null,null,null,null,null
2015-10-15,null,null,null,null,null,null
2015-10-22,null,null,null,null,null,null
2015-10-29,null,null,null,null,null,null
2015-11-05,null,null,null,null,null,null
2015-11-12,null,null,null,null,null,null
2015-11-19,null,null,null,null,null,null
2015-11-26,null,null,null,null,null,null
2015-12-03,null,null,null,null,null,null
2015-12-10,null,null,null,null,null,null
2015-12-17,null,null,null,null,null,null
2015-12-24,null,null,null,null,null,null
2015-12-31,null,null,null,null,null,null
2016-01-07,null,null,null,null,null,null
2016-01-14,null,null,null,null,null,null
2016-01-21,null,null,null,null,null,null
2016-01-28,null,null,null,null,null,null
2016-02-04,null,null,null,null,null,null
2016-02-11,null,null,null,null,null,null
2016-02-18,null,null,null,null,null,null
2016-02-25,null,null,null,null,null,null
2016-03-03,null,null,null,null,null,null
2016-03-10,null,null,null,null,null,null
2016-03-17,null,null,null,null,null,null
2016-03-24,null,null,null,null,null,null
2016-03-31,null,null,null,null,null,null
2016-04-07,null,null,null,null,null,null
2016-04-14,null,null,null,null,null,null
2016-04-21,null,null,null,null,null,null
2016-04-28,null,null,null,null,null,null
2016-05-05,null,null,null,null,null,null
