Date,Open,High,Low,Close,Adj Close,Volume
2015-11-16,24.920000,25.049999,24.900000,25.000000,23.610191,188600
2015-11-23,24.969999,25.100000,24.950001,24.980000,23.591303,359700
2015-11-30,25.020000,25.200001,24.830000,24.950001,23.562969,753100
2015-12-07,24.959999,25.049999,24.809999,24.930000,23.544081,340900
2015-12-14,24.889999,25.080000,24.350000,25.020000,23.629080,367100
2015-12-21,25.110001,25.190001,25.010000,25.190001,23.789629,212500
2015-12-28,25.190001,25.809999,24.980000,25.670000,24.242945,180600
2016-01-04,25.580000,25.580000,25.100000,25.320000,23.912399,308300
2016-01-11,25.480000,25.480000,24.820000,24.910000,23.525194,359000
2016-01-18,25.059999,25.299999,24.930000,25.110001,23.714077,169900
2016-01-25,25.250000,25.260000,24.809999,25.139999,23.742405,259500
2016-02-01,25.100000,25.290001,24.910000,25.260000,23.855736,275800
2016-02-08,25.240000,25.350000,23.471001,24.850000,23.468531,263100
2016-02-15,24.850000,25.260000,24.510000,25.139999,23.742405,235900
2016-02-22,25.170000,25.250000,24.780001,25.190001,23.789629,279500
2016-02-29,25.100000,25.219999,24.924999,25.070000,23.676298,286100
2016-03-07,25.100000,25.209999,24.950001,25.129999,23.732965,203700
2016-03-14,25.180000,25.370001,25.059999,25.370001,23.959621,132000
2016-03-21,25.370001,25.379999,25.200001,25.299999,23.893513,95700
2016-03-28,25.250000,25.410000,25.160000,25.360001,23.950176,406600
2016-04-04,25.360001,25.580000,25.240000,25.500000,24.082394,198000
2016-04-11,25.570000,26.100000,25.459999,25.660000,24.233500,134100
2016-04-18,25.809999,26.320000,25.610001,26.000000,24.554598,168200
2016-04-25,26.000000,26.080000,25.520000,25.750000,24.318495,167300
2016-05-02,25.750000,26.180000,25.688000,25.770000,24.337385,179800
2016-05-09,25.820000,25.860001,25.610001,25.780001,24.346830,211100
2016-05-16,25.790001,26.000000,25.660000,25.990000,24.545156,233600
2016-05-23,25.990000,26.330000,25.910000,26.160000,24.705704,178100
2016-05-30,26.209999,26.209999,25.780001,26.100000,24.649040,158200
2016-06-06,26.129999,26.230000,25.910000,25.959999,24.516821,172300
2016-06-13,26.010000,26.290001,25.969999,26.290001,24.828478,108500
2016-06-20,26.270000,26.500000,25.910000,26.360001,24.894583,107600
2016-06-27,26.309999,27.340000,26.110001,26.740000,25.253460,110700
2016-07-04,26.870001,27.920000,26.700001,27.540001,26.008986,130100
2016-07-11,27.600000,28.020000,26.610001,27.320000,25.801218,144100
2016-07-18,27.459999,27.850000,26.940001,27.850000,26.301752,93200
2016-07-25,27.850000,27.850000,26.910000,27.129999,25.621777,145300
2016-08-01,27.170000,27.270000,26.990000,27.000000,25.499008,109100
2016-08-08,27.040001,27.389999,27.040001,27.360001,25.838991,80800
2016-08-15,27.450001,27.490000,27.180000,27.350000,25.829548,105900
2016-08-22,27.350000,27.889999,27.290001,27.840000,26.292307,122300
