Date,Open,High,Low,Close,Adj Close,Volume
2015-09-21,25.030001,25.070000,24.959999,25.020000,23.691261,256400
2015-09-28,25.000000,25.110001,24.920000,25.080000,23.748074,464000
2015-10-05,25.080000,25.150000,24.920000,25.110001,23.776482,255500
2015-10-12,25.150000,25.729000,25.120001,25.610001,24.249928,268700
2015-10-19,25.639999,25.878000,25.540001,25.680000,24.316210,163700
2015-10-26,25.830000,25.889999,25.469999,25.770000,24.401430,205400
2015-11-02,25.820000,26.400000,25.760000,26.290001,24.893816,229000
2015-11-09,26.090000,26.340000,25.660000,26.000000,24.619215,189800
2015-11-16,26.000000,26.230000,25.780001,25.910000,24.533995,132800
2015-11-23,25.930000,26.600000,25.830000,26.000000,24.619215,87000
2015-11-30,26.000000,26.250000,25.190001,25.219999,23.880638,173800
2015-12-07,25.270000,25.790001,25.059999,25.330000,23.984798,123600
2015-12-14,25.330000,25.639999,24.683001,25.590000,24.230989,168400
2015-12-21,25.639999,25.750000,25.500000,25.549999,24.193113,62000
2015-12-28,25.900000,26.440001,25.559999,25.870001,24.496120,90800
2016-01-04,25.670000,26.287001,25.670000,26.190001,24.799128,106400
2016-01-11,26.000000,26.572001,25.670000,25.690001,24.325678,94800
2016-01-18,26.049999,26.400000,25.058001,25.280001,23.937452,117200
2016-01-25,25.309999,25.774000,25.120001,25.450001,24.098427,141100
2016-02-01,25.400000,25.809999,25.320000,25.590000,24.230989,81700
2016-02-08,25.530001,25.709000,24.014000,24.580000,23.274628,128800
2016-02-15,24.680000,25.500000,24.600000,25.170000,23.833296,76600
2016-02-22,25.299999,25.750000,25.030001,25.240000,23.899576,120000
2016-02-29,25.160000,25.350000,24.780001,25.059999,23.729136,129800
2016-03-07,24.959999,25.160000,24.430000,24.920000,23.596573,261800
2016-03-14,24.990000,25.090000,24.830000,25.049999,23.719667,93900
2016-03-21,25.090000,25.129999,24.959999,25.040001,23.710199,87400
2016-03-28,25.070000,25.260000,25.020000,25.080000,23.748074,114100
2016-04-04,25.120001,25.180000,24.639999,24.840000,23.520821,141000
2016-04-11,24.959999,25.250000,24.840000,25.250000,23.909046,103500
2016-04-18,25.290001,25.440001,25.190001,25.389999,24.041611,87400
2016-04-25,25.219999,25.309999,24.510000,25.010000,23.681793,230400
2016-05-02,25.010000,25.350000,24.990000,25.340000,23.994267,123300
2016-05-09,25.389999,25.690001,25.309999,25.690001,24.325678,75200
2016-05-16,25.719999,26.230000,25.590000,26.020000,24.638151,97800
2016-05-23,26.080000,26.379999,25.600000,26.030001,24.647623,143100
