Date,Open,High,Low,Close,Adj Close,Volume
2007-10-22,8.000000,9.200000,7.600000,9.000000,9.000000,208600
2007-10-29,9.500000,11.400000,9.500000,10.300000,10.300000,248500
2007-11-05,10.200000,10.300000,8.200000,8.500000,8.500000,84700
2007-11-12,8.300000,8.300000,7.200000,8.000000,8.000000,60700
2007-11-19,7.900000,8.000000,7.200000,7.900000,7.900000,35600
2007-11-26,8.000000,9.300000,7.500000,8.700000,8.700000,50000
2007-12-03,8.500000,8.500000,7.500000,7.900000,7.900000,56300
2007-12-10,7.800000,8.000000,7.300000,7.500000,7.500000,53900
2007-12-17,7.500000,7.700000,7.100000,7.400000,7.400000,33900
2007-12-24,7.700000,8.700000,7.400000,8.500000,8.500000,24000
2007-12-31,8.500000,8.800000,7.700000,8.300000,8.300000,30400
2008-01-07,8.300000,8.900000,7.400000,8.700000,8.700000,99300
2008-01-14,9.000000,10.800000,8.700000,9.599999,9.599999,70300
2008-01-21,8.900000,10.300000,8.500000,10.300000,10.300000,67000
2008-01-28,10.000000,10.700001,8.500000,9.900000,9.900000,36700
2008-02-04,9.900000,10.599999,9.599999,9.599999,9.599999,37800
2008-02-11,10.300000,10.499999,9.599999,9.599999,9.599999,88700
2008-02-18,9.500000,11.500000,9.500000,10.800000,10.800000,101700
2008-02-25,11.400000,14.600000,11.100000,14.299999,14.299999,174300
2008-03-03,14.600000,14.800000,13.200001,13.700000,13.700000,79000
2008-03-10,13.500000,14.500001,12.400000,14.400001,14.400001,63100
2008-03-17,14.500001,14.700000,11.700000,12.100000,12.100000,56500
2008-03-24,12.999999,13.200001,11.200000,11.799999,11.799999,42900
2008-03-31,11.500000,12.400000,9.500000,12.100000,12.100000,94600
2008-04-07,12.400000,13.200001,12.000001,12.400000,12.400000,65600
2008-04-14,12.400000,13.099999,11.400000,11.500000,11.500000,85500
2008-04-21,11.900001,11.900001,10.100000,11.400000,11.400000,92000
2008-04-28,11.400000,12.500000,11.000000,12.200000,12.200000,71800
2008-05-05,12.300000,12.700000,11.300000,11.900001,11.900001,58200
2008-05-12,11.400000,11.900001,10.000000,11.599999,11.599999,44600
2008-05-19,11.400000,11.599999,10.200000,11.000000,11.000000,74400
2008-05-26,10.900001,11.200000,9.700001,10.900001,10.900001,62600
