Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,18.281250,18.281250,17.812500,18.000000,7.068281,38700
1980-03-24,17.906250,17.906250,15.656250,16.312500,6.405627,20700
1980-03-31,16.406250,17.250000,16.406250,17.250000,6.773767,8400
1980-04-07,17.250000,18.093750,16.781250,17.531250,6.884209,15000
1980-04-14,17.250000,17.343750,16.218750,16.312500,6.405627,7600
1980-04-21,16.312500,16.875000,16.312500,16.781250,6.589699,6800
1980-04-28,16.968750,17.625000,16.968750,17.625000,6.921023,3600
1980-05-05,17.437500,17.437500,16.875000,16.875000,6.626510,4300
1980-05-12,16.875000,17.250000,16.687500,16.968750,6.663326,7300
1980-05-19,16.968750,18.656250,16.968750,18.656250,7.325977,7400
1980-05-26,18.656250,19.125000,18.375000,18.375000,7.215539,7400
1980-06-02,18.375000,18.656250,18.281250,18.281250,7.178717,4600
1980-06-09,18.281250,18.468750,16.968750,16.968750,6.663326,6600
1980-06-16,16.968750,17.250000,16.500000,16.500000,6.479257,6000
1980-06-23,16.593750,16.875000,16.031250,16.875000,6.626510,7200
1980-06-30,16.875000,16.875000,16.218750,16.218750,6.368816,2400
1980-07-07,16.218750,16.687500,16.125000,16.312500,6.405627,31000
1980-07-14,16.406250,17.250000,16.406250,16.875000,6.626510,5000
1980-07-21,16.968750,19.031250,16.875000,18.656250,7.325977,22700
1980-07-28,18.562500,19.031250,18.375000,18.750000,7.362792,11700
1980-08-04,18.562500,18.562500,18.187500,18.468750,7.252350,12400
1980-08-11,18.468750,19.406250,18.468750,19.406250,7.620488,17700
1980-08-18,19.218750,19.218750,18.187500,19.031250,7.473232,8800
1980-08-25,19.125000,19.406250,18.937500,19.218750,7.546859,8200
1980-09-01,19.218750,21.937500,19.218750,21.843750,8.577653,18300
1980-09-08,21.750000,21.750000,21.093750,21.750000,8.540837,12200
1980-09-15,21.750000,22.125000,21.468750,21.656250,8.504024,12300
1980-09-22,21.750000,22.875000,21.750000,22.781250,8.945792,31200
1980-09-29,22.406250,22.406250,21.093750,21.281250,8.356769,19900
1980-10-06,21.468750,22.125000,21.468750,21.843750,8.577653,6000
1980-10-13,21.843750,22.031250,21.562500,21.750000,8.540837,5000
1980-10-20,21.656250,22.125000,21.000000,22.031250,8.651280,15500
1980-10-27,22.031250,22.125000,21.843750,22.031250,8.651280,7100
1980-11-03,22.125000,22.500000,22.125000,22.312500,8.761724,11400
1980-11-10,22.500000,24.750000,22.406250,24.656250,9.682077,23900
1980-11-17,24.656250,26.625000,24.656250,25.968750,10.197464,27600
1980-11-24,25.781250,26.343750,25.500000,26.343750,10.344728,22300
1980-12-01,26.343750,26.343750,26.062500,26.062500,10.234285,16300
1980-12-08,25.875000,25.875000,23.343750,23.625000,9.277115,17000
1980-12-15,23.625000,24.187500,23.062500,24.000000,9.424377,9600
1980-12-22,24.000000,24.375000,23.718750,23.718750,9.313933,3800
1980-12-29,23.718750,24.093750,23.625000,24.000000,9.424377,2500
1981-01-05,24.187500,25.031250,23.625000,23.625000,9.277115,17300
1981-01-12,23.625000,23.718750,22.875000,23.156250,9.093050,5800
1981-01-19,23.156250,23.343750,23.156250,23.156250,9.093050,600
1981-01-26,23.062500,23.156250,22.781250,23.156250,9.093050,3400
1981-02-02,23.000000,23.000000,22.125000,22.500000,8.835351,6000
1981-02-09,22.625000,22.875000,22.500000,22.500000,8.835351,4100
1981-02-16,22.250000,22.250000,21.750000,21.750000,8.540837,2900
1981-02-23,21.500000,22.000000,21.125000,22.000000,8.639013,5100
1981-03-02,21.875000,22.375000,21.625000,22.375000,8.786262,3600
1981-03-09,22.250000,22.375000,21.875000,22.125000,8.688091,11500
1981-03-16,22.000000,22.250000,21.625000,21.750000,8.540837,15100
1981-03-23,21.750000,21.750000,20.000000,20.375000,8.000902,13300
