Date,Open,High,Low,Close,Adj Close,Volume
2002-02-18,0.750000,0.780000,0.600000,0.780000,0.780000,16900
2002-02-25,0.750000,0.750000,0.600000,0.600000,0.600000,33700
2002-03-04,0.660000,0.690000,0.600000,0.630000,0.630000,40400
2002-03-11,0.720000,0.810000,0.660000,0.660000,0.660000,30200
2002-03-18,0.810000,0.810000,0.660000,0.660000,0.660000,20600
2002-03-25,0.660000,0.750000,0.600000,0.750000,0.750000,29300
2002-04-01,0.750000,0.750000,0.630000,0.630000,0.630000,19700
2002-04-08,0.750000,0.750000,0.600000,0.690000,0.690000,42100
2002-04-15,0.690000,0.720000,0.600000,0.720000,0.720000,10300
2002-04-22,0.720000,0.840000,0.600000,0.750000,0.750000,29600
2002-04-29,0.750000,0.750000,0.630000,0.750000,0.750000,73100
2002-05-06,0.750000,0.750000,0.720000,0.720000,0.720000,2000
2002-05-13,0.660000,0.750000,0.630000,0.660000,0.660000,203900
2002-05-20,0.690000,1.200000,0.660000,0.780000,0.780000,27100
2002-05-27,0.870000,0.870000,0.690000,0.750000,0.750000,121900
2002-06-03,0.750000,0.870000,0.690000,0.840000,0.840000,238600
2002-06-10,0.840000,0.870000,0.720000,0.720000,0.720000,13600
2002-06-17,0.720000,0.750000,0.690000,0.690000,0.690000,12500
2002-06-24,0.690000,0.810000,0.690000,0.750000,0.750000,9800
2002-07-01,0.720000,0.720000,0.690000,0.720000,0.720000,9800
2002-07-08,0.720000,0.750000,0.600000,0.690000,0.690000,11800
2002-07-15,0.750000,0.750000,0.630000,0.630000,0.630000,16700
2002-07-22,0.630000,0.660000,0.600000,0.630000,0.630000,122100
2002-07-29,0.630000,0.690000,0.630000,0.630000,0.630000,5200
2002-08-05,0.630000,0.810000,0.600000,0.810000,0.810000,54200
2002-08-12,0.600000,0.720000,0.600000,0.600000,0.600000,48000
2002-08-19,0.600000,0.600000,0.450000,0.510000,0.510000,40700
2002-08-26,0.510000,0.600000,0.420000,0.450000,0.450000,30300
2002-09-02,0.480000,0.600000,0.450000,0.480000,0.480000,28500
2002-09-09,0.480000,0.480000,0.390000,0.480000,0.480000,37100
2002-09-16,0.480000,0.480000,0.360000,0.360000,0.360000,35600
2002-09-23,0.360000,0.420000,0.360000,0.420000,0.420000,14300
2002-09-30,0.390000,0.420000,0.390000,0.390000,0.390000,9800
2002-10-07,0.390000,0.390000,0.270000,0.270000,0.270000,103300
2002-10-14,0.270000,0.300000,0.270000,0.300000,0.300000,11700
2002-10-21,0.300000,0.300000,0.240000,0.240000,0.240000,1700
2002-10-28,0.270000,0.270000,0.270000,0.270000,0.270000,37300
2002-11-04,0.390000,0.450000,0.300000,0.360000,0.360000,127800
2002-11-11,0.390000,0.390000,0.300000,0.300000,0.300000,27900
2002-11-18,0.330000,0.330000,0.240000,0.330000,0.330000,55100
2002-11-25,0.300000,0.330000,0.240000,0.330000,0.330000,66200
2002-12-02,0.330000,0.330000,0.270000,0.270000,0.270000,13700
2002-12-09,0.330000,0.390000,0.300000,0.360000,0.360000,91700
2002-12-16,0.360000,0.450000,0.330000,0.390000,0.390000,77000
2002-12-23,0.420000,0.420000,0.330000,0.360000,0.360000,22800
2002-12-30,0.360000,0.450000,0.300000,0.390000,0.390000,108400
2003-01-06,0.420000,0.510000,0.300000,0.510000,0.510000,217800
