Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,1.480000,1.700000,1.450000,1.660000,1.660000,108800
2015-01-08,1.700000,1.930000,1.610000,1.740000,1.740000,129200
2015-01-15,1.740000,2.400000,1.720000,2.200000,2.200000,263300
2015-01-22,2.200000,2.200000,1.900000,1.950000,1.950000,143400
2015-01-29,1.940000,2.160000,1.840000,2.140000,2.140000,270500
2015-02-05,2.130000,2.170000,1.920000,1.930000,1.930000,158900
2015-02-12,1.980000,2.090000,1.900000,1.970000,1.970000,100000
2015-02-19,1.960000,1.960000,1.770000,1.850000,1.850000,92900
2015-02-26,1.980000,1.980000,1.760000,1.800000,1.800000,109900
2015-03-05,1.800000,1.830000,1.600000,1.630000,1.630000,102600
2015-03-12,1.750000,1.750000,1.550000,1.670000,1.670000,90600
2015-03-19,1.720000,1.880000,1.650000,1.850000,1.850000,75400
2015-03-26,1.910000,1.910000,1.700000,1.800000,1.800000,37800
2015-04-02,1.700000,1.820000,1.630000,1.710000,1.710000,31000
2015-04-09,1.710000,1.760000,1.650000,1.700000,1.700000,37800
2015-04-16,1.670000,1.710000,1.610000,1.630000,1.630000,18100
2015-04-23,1.660000,1.750000,1.640000,1.660000,1.660000,34000
2015-04-30,1.610000,1.670000,1.490000,1.520000,1.520000,67700
2015-05-07,1.520000,1.600000,1.370000,1.470000,1.470000,214800
2015-05-14,1.510000,1.520000,1.460000,1.460000,1.460000,37300
2015-05-21,1.460000,1.520000,1.370000,1.450000,1.450000,139000
2015-05-28,1.390000,1.480000,1.300000,1.370000,1.370000,49700
2015-06-04,1.400000,1.460000,1.360000,1.360000,1.360000,35000
2015-06-11,1.390000,1.390000,1.310000,1.360000,1.360000,28400
2015-06-18,1.360000,1.460000,1.330000,1.430000,1.430000,18900
2015-06-25,1.400000,1.430000,1.260000,1.320000,1.320000,21600
2015-07-02,1.340000,1.380000,1.270000,1.290000,1.290000,44300
2015-07-09,1.270000,1.450000,1.270000,1.430000,1.430000,19100
2015-07-16,1.400000,1.450000,1.300000,1.330000,1.330000,43900
2015-07-23,1.370000,1.450000,1.170000,1.250000,1.250000,48100
2015-07-30,1.170000,1.350000,1.170000,1.230000,1.230000,21000
2015-08-06,1.250000,1.470000,1.210000,1.470000,1.470000,43200
2015-08-13,1.550000,1.550000,1.370000,1.430000,1.430000,37600
2015-08-20,1.480000,1.510000,1.200000,1.200000,1.200000,77800
2015-08-27,1.230000,1.340000,1.150000,1.290000,1.290000,33300
2015-09-03,1.210000,1.270000,1.190000,1.260000,1.260000,20600
2015-09-10,1.200000,1.230000,1.200000,1.210000,1.210000,9700
2015-09-17,1.210000,1.350000,1.210000,1.260000,1.260000,44200
2015-09-24,1.340000,1.360000,1.210000,1.220000,1.220000,12600
2015-10-01,1.260000,1.500000,1.220000,1.500000,1.500000,62300
2015-10-08,1.400000,1.510000,1.350000,1.500000,1.500000,69600
2015-10-15,1.500000,1.500000,1.360000,1.370000,1.370000,25900
2015-10-22,1.360000,1.450000,1.330000,1.400000,1.400000,16100
2015-10-29,1.350000,1.360000,1.270000,1.300000,1.300000,26500
2015-11-05,1.300000,1.300000,1.210000,1.240000,1.240000,23500
2015-11-12,1.240000,1.240000,1.200000,1.210000,1.210000,8700
2015-11-19,1.250000,1.260000,1.200000,1.200000,1.200000,27200
