Date,Open,High,Low,Close,Adj Close,Volume
2014-06-09,11.000000,11.120000,10.530000,10.750000,10.750000,3337300
2014-06-16,10.700000,10.940000,10.250000,10.650000,10.650000,724200
2014-06-23,10.740000,11.740000,10.430000,11.240000,11.240000,504800
2014-06-30,11.050000,11.400000,10.850000,11.120000,11.120000,79800
2014-07-07,11.230000,11.560000,10.540000,10.850000,10.850000,300400
2014-07-14,10.785000,10.970000,9.880000,10.040000,10.040000,167500
2014-07-21,10.080000,10.308000,9.000000,9.270000,9.270000,205200
2014-07-28,9.360000,9.750000,8.795000,9.100000,9.100000,229200
2014-08-04,9.240000,9.550000,8.040000,8.320000,8.320000,250500
2014-08-11,8.500000,11.000000,8.500000,9.390000,9.390000,378500
2014-08-18,9.500000,11.135000,9.310000,10.790000,10.790000,227600
2014-08-25,10.850000,11.000000,10.165000,10.630000,10.630000,372500
2014-09-01,10.500000,11.100000,10.450000,10.675000,10.675000,452400
2014-09-08,10.490000,11.000000,10.290000,10.810000,10.810000,376000
2014-09-15,10.750000,10.830000,9.861000,10.000000,10.000000,420700
2014-09-22,10.040000,10.530000,9.586000,10.470000,10.470000,171000
2014-09-29,10.250000,10.400000,9.210000,10.180000,10.180000,719600
2014-10-06,10.190000,10.500000,9.090000,9.500000,9.500000,200800
2014-10-13,9.560000,10.110000,9.080000,9.630000,9.630000,128600
2014-10-20,9.540000,9.950000,9.490000,9.850000,9.850000,79100
2014-10-27,9.780000,10.020000,9.645000,9.930000,9.930000,111700
2014-11-03,9.880000,9.950000,8.710000,8.900000,8.900000,118400
2014-11-10,8.890000,9.020000,7.500000,7.870000,7.870000,211000
2014-11-17,7.910000,8.280000,7.250000,7.540000,7.540000,201500
2014-11-24,7.460000,8.400000,7.400000,8.100000,8.100000,49600
2014-12-01,8.120000,8.180000,6.940000,7.100000,7.100000,317000
2014-12-08,7.040000,7.110000,6.540000,6.580000,6.580000,136800
2014-12-15,6.460000,8.640000,6.460000,8.490000,8.490000,345000
2014-12-22,8.550000,8.550000,7.710000,7.870000,7.870000,86500
2014-12-29,7.790000,8.450000,7.640000,8.300000,8.300000,407400
2015-01-05,8.240000,8.450000,6.550000,6.660000,6.660000,163600
2015-01-12,6.630000,7.530000,6.500000,7.320000,7.320000,157500
2015-01-19,7.490000,7.880000,7.080000,7.690000,7.690000,194200
2015-01-26,7.730000,8.000000,7.340000,7.660000,7.660000,119800
2015-02-02,7.630000,8.150000,7.500000,8.090000,8.090000,314300
2015-02-09,8.140000,8.380000,7.560000,7.960000,7.960000,57800
2015-02-16,8.300000,8.498000,7.810000,7.850000,7.850000,85400
2015-02-23,7.910000,8.580000,7.500000,7.930000,7.930000,121000
2015-03-02,8.000000,8.100000,7.610000,7.650000,7.650000,266700
2015-03-09,7.980000,7.980000,7.260000,7.260000,7.260000,175500
2015-03-16,7.330000,7.330000,6.600000,6.620000,6.620000,359800
2015-03-23,6.690000,7.400000,6.690000,7.340000,7.340000,105700
2015-03-30,7.290000,7.490000,7.000000,7.480000,7.480000,60400
2015-04-06,7.500000,7.942000,7.000000,7.110000,7.110000,180800
2015-04-13,7.110000,7.470000,6.700000,6.960000,6.960000,106300
2015-04-20,7.040000,7.230000,6.750000,6.780000,6.780000,68200
2015-04-27,6.800000,7.110000,6.460000,6.680000,6.680000,252900
2015-05-04,6.750000,7.010000,6.450000,6.570000,6.570000,355500
2015-05-11,6.600000,7.150000,6.470000,7.100000,7.100000,369100
2015-05-18,7.060000,7.240000,6.615000,6.810000,6.810000,165200
2015-05-25,6.860000,7.000000,6.500000,6.900000,6.900000,77500
2015-06-01,6.960000,7.160000,6.660000,6.920000,6.920000,208200
2015-06-08,6.910000,6.970000,6.210000,6.480000,6.480000,241500
2015-06-15,6.430000,6.780000,6.220000,6.400000,6.400000,238200
2015-06-22,6.290000,6.730000,6.270000,6.600000,6.600000,683400
2015-06-29,6.500000,6.820000,6.260000,6.590000,6.590000,264500
2015-07-06,6.470000,6.620000,6.270000,6.460000,6.460000,106500
2015-07-13,6.460000,6.890000,6.400000,6.620000,6.620000,144600
2015-07-20,6.600000,6.650000,6.308000,6.360000,6.360000,204000
2015-07-27,6.330000,6.650000,6.285000,6.590000,6.590000,202700
2015-08-03,6.720000,7.140000,6.380000,7.000000,7.000000,201100
2015-08-10,7.190000,7.360000,6.650000,7.200000,7.200000,1309200
2015-08-17,7.140000,7.820000,7.090000,7.250000,7.250000,630600
2015-08-24,6.970000,7.680000,6.910000,7.380000,7.380000,435400
2015-08-31,7.380000,8.460000,7.300000,8.100000,8.100000,667900
2015-09-07,8.200000,8.450000,8.150000,8.410000,8.410000,439800
2015-09-14,8.500000,9.030000,8.331000,8.570000,8.570000,1198900
2015-09-21,8.720000,8.800000,8.010000,8.220000,8.220000,387400
2015-09-28,8.200000,8.200000,7.380000,7.500000,7.500000,441400
2015-10-05,7.650000,8.440000,7.630000,8.300000,8.300000,345400
2015-10-12,8.250000,8.640000,8.030000,8.610000,8.610000,328600
2015-10-19,8.560000,8.870000,8.310000,8.490000,8.490000,375100
2015-10-26,8.420000,8.490000,8.080000,8.370000,8.370000,203900
2015-11-02,8.440000,8.580000,5.810000,6.090000,6.090000,1116500
2015-11-09,6.190000,6.490000,5.435000,5.600000,5.600000,319600
2015-11-16,5.500000,6.150000,5.500000,6.120000,6.120000,793700
2015-11-23,6.140000,6.550000,6.030000,6.450000,6.450000,347100
2015-11-30,6.410000,6.850000,6.330000,6.410000,6.410000,448200
2015-12-07,6.360000,6.590000,6.040000,6.170000,6.170000,511800
2015-12-14,6.120000,6.205000,5.260000,5.840000,5.840000,653500
2015-12-21,5.910000,5.910000,5.240000,5.850000,5.850000,86100
2015-12-28,5.850000,6.210000,5.750000,6.070000,6.070000,141100
2016-01-04,6.030000,6.360000,5.710000,5.800000,5.800000,185000
2016-01-11,5.830000,6.000000,5.500000,5.530000,5.530000,109000
2016-01-18,5.550000,5.620000,4.930000,5.170000,5.170000,193300
2016-01-25,5.180000,5.180000,4.240000,4.360000,4.360000,581100
2016-02-01,4.340000,5.010000,4.230000,4.740000,4.740000,960600
2016-02-08,4.760000,4.760000,3.460000,3.580000,3.580000,404300
2016-02-15,3.740000,4.150000,3.540000,3.780000,3.780000,155000
2016-02-22,3.800000,6.580000,3.550000,3.900000,3.900000,485000
2016-02-29,3.920000,4.198000,3.377000,3.970000,3.970000,340800
2016-03-07,3.930000,4.104000,3.870000,4.010000,4.010000,434400
2016-03-14,4.010000,4.610000,3.935000,4.570000,4.570000,329900
2016-03-21,4.720000,5.055000,4.170000,4.440000,4.440000,239800
2016-03-28,4.460000,4.540000,4.270000,4.400000,4.400000,138000
2016-04-04,4.400000,4.510000,4.170000,4.230000,4.230000,192400
2016-04-11,4.030000,4.320000,4.030000,4.190000,4.190000,347300
2016-04-18,4.190000,4.540000,4.090000,4.490000,4.490000,325900
2016-04-25,4.450000,4.790000,4.450000,4.760000,4.760000,216100
2016-05-02,4.720000,4.810000,4.210000,4.500000,4.500000,231200
2016-05-09,4.500000,4.520000,4.080000,4.460000,4.460000,121800
2016-05-16,4.470000,4.580000,4.120000,4.160000,4.160000,275300
2016-05-23,4.180000,4.790000,4.100000,4.250000,4.250000,51100
2016-05-30,4.220000,4.460000,4.000000,4.120000,4.120000,121000
2016-06-06,4.120000,4.570000,4.120000,4.480000,4.480000,151300
2016-06-13,4.430000,4.430000,3.920000,3.940000,3.940000,199800
2016-06-20,3.970000,5.390000,3.910000,4.750000,4.750000,1106400
2016-06-27,4.740000,5.120000,4.430000,4.920000,4.920000,293700
2016-07-04,4.920000,5.030000,4.720000,4.950000,4.950000,83200
2016-07-11,4.990000,5.760000,4.940000,5.440000,5.440000,343400
