Date,Open,High,Low,Close,Adj Close,Volume
1993-04-19,4.750000,4.937500,4.750000,4.875000,2.887931,64400
1993-04-26,4.812500,4.875000,4.500000,4.500000,2.665781,100400
1993-05-03,4.468750,4.468750,4.156250,4.281250,2.536195,86800
1993-05-10,4.312500,4.687500,4.000000,4.625000,2.739830,233200
1993-05-17,4.593750,4.593750,4.343750,4.531250,2.684294,136000
1993-05-24,4.468750,4.500000,4.218750,4.312500,2.554708,275600
1993-05-31,4.343750,4.500000,4.343750,4.468750,2.647270,68000
1993-06-07,4.437500,4.531250,4.406250,4.437500,2.628757,164000
1993-06-14,4.437500,4.562500,4.437500,4.500000,2.665781,259200
1993-06-21,4.562500,4.625000,4.531250,4.531250,2.684294,690800
1993-06-28,4.531250,4.687500,4.531250,4.687500,2.776855,130400
1993-07-05,4.656250,4.750000,4.656250,4.656250,2.758343,155600
1993-07-12,4.687500,4.687500,4.468750,4.562500,2.702807,716800
1993-07-19,4.593750,4.625000,4.500000,4.625000,2.739830,377200
1993-07-26,4.656250,4.718750,4.562500,4.656250,2.758343,60400
1993-08-02,4.687500,4.687500,4.593750,4.625000,2.739830,67200
1993-08-09,4.656250,4.750000,4.593750,4.750000,2.844218,54400
1993-08-16,4.781250,4.781250,4.656250,4.718750,2.825508,84800
1993-08-23,4.750000,4.781250,4.625000,4.750000,2.844218,82800
1993-08-30,4.750000,4.781250,4.625000,4.750000,2.844218,162400
1993-09-06,4.750000,4.843750,4.750000,4.781250,2.862931,148000
1993-09-13,4.718750,4.812500,4.687500,4.687500,2.806795,344400
1993-09-20,4.687500,4.906250,4.562500,4.875000,2.919067,344800
1993-09-27,4.875000,5.312500,4.875000,5.250000,3.143613,583200
1993-10-04,5.218750,5.406250,5.218750,5.375000,3.218458,346400
1993-10-11,5.343750,5.500000,5.312500,5.406250,3.237169,138800
1993-10-18,5.437500,5.437500,5.312500,5.343750,3.199747,171200
1993-10-25,5.281250,5.500000,5.250000,5.281250,3.162323,202000
1993-11-01,5.281250,5.375000,4.937500,5.000000,2.993914,162000
1993-11-08,5.000000,5.343750,5.000000,5.312500,3.211621,339200
1993-11-15,5.343750,5.437500,5.281250,5.375000,3.249406,183200
1993-11-22,5.312500,5.312500,5.156250,5.312500,3.211621,117200
1993-11-29,5.375000,5.406250,5.250000,5.250000,3.173839,45600
1993-12-06,5.281250,5.281250,5.218750,5.281250,3.192728,182800
1993-12-13,5.281250,5.281250,5.031250,5.031250,3.041594,559600
1993-12-20,5.031250,5.218750,5.031250,5.187500,3.136054,211600
1993-12-27,5.156250,5.187500,5.093750,5.187500,3.136054,23600
1994-01-03,5.125000,5.187500,5.093750,5.093750,3.079378,53200
1994-01-10,5.093750,5.125000,5.031250,5.093750,3.079378,82000
1994-01-17,5.093750,5.250000,5.031250,5.062500,3.060485,180000
1994-01-24,5.125000,5.187500,5.062500,5.062500,3.060485,92400
1994-01-31,5.093750,5.281250,5.062500,5.250000,3.173839,104800
1994-02-07,5.250000,5.437500,5.250000,5.406250,3.299721,53200
1994-02-14,5.406250,5.500000,5.343750,5.406250,3.299721,159600
1994-02-21,5.437500,5.437500,5.312500,5.343750,3.261575,14800
1994-02-28,5.312500,5.593750,5.312500,5.562500,3.395090,169600
1994-03-07,5.562500,5.687500,5.562500,5.593750,3.414163,86000
1994-03-14,5.593750,5.687500,5.562500,5.687500,3.471386,538000
1994-03-21,5.625000,5.656250,5.625000,5.625000,3.433240,324800
1994-03-28,5.625000,5.656250,5.312500,5.343750,3.261575,290400
1994-04-04,5.312500,5.656250,5.312500,5.625000,3.433240,614800
1994-04-11,5.593750,5.625000,5.437500,5.468750,3.337871,86000
1994-04-18,5.468750,5.500000,5.406250,5.406250,3.299721,98800
1994-04-25,5.468750,5.687500,5.468750,5.593750,3.414163,72000
1994-05-02,5.531250,5.718750,5.500000,5.687500,3.471386,428400
1994-05-09,5.625000,6.125000,5.593750,5.687500,3.509238,144000
1994-05-16,5.718750,5.906250,5.718750,5.843750,3.605645,52400
1994-05-23,5.875000,6.125000,5.812500,6.093750,3.759898,428800
1994-05-30,6.093750,6.406250,6.031250,6.406250,3.952712,306000
1994-06-06,6.406250,6.406250,6.093750,6.156250,3.798461,126400
1994-06-13,6.125000,6.218750,6.031250,6.156250,3.798461,118800
1994-06-20,6.156250,6.156250,5.812500,5.812500,3.586363,110800
1994-06-27,5.812500,5.812500,5.656250,5.718750,3.528519,127200
