Date,Open,High,Low,Close,Adj Close,Volume
1986-09-08,5.040323,5.102041,4.855168,4.896313,0.088691,373000
1986-09-15,4.937459,5.009463,4.772877,4.814023,0.087200,52400
1986-09-22,4.772877,4.772877,4.484859,4.484859,0.081238,154800
1986-09-29,4.484859,4.505431,4.443713,4.464286,0.080865,74100
1986-10-06,4.464286,4.484859,4.423140,4.423140,0.080120,170700
1986-10-13,4.443713,4.484859,4.423140,4.443713,0.080492,357800
1986-10-20,4.423140,4.526004,4.361422,4.361422,0.079002,435100
1986-10-27,4.381995,4.484859,4.381995,4.484859,0.081238,6400
1986-11-03,4.567150,4.608295,4.567150,4.608295,0.083474,18200
1986-11-10,4.608295,4.608295,4.608295,4.608295,0.083474,400
1986-11-17,4.443713,4.464286,4.423140,4.423140,0.080120,29800
1986-11-24,4.546576,4.567150,4.526004,4.567150,0.082728,3300
1986-12-01,4.567150,4.587722,4.526004,4.567150,0.082728,295300
1986-12-08,4.567150,4.711159,4.567150,4.670013,0.084592,208100
1986-12-15,4.670013,4.690586,4.649440,4.690586,0.084964,68000
1986-12-22,4.834595,4.875741,4.834595,4.875741,0.088318,47700
1986-12-29,4.875741,5.102041,4.875741,5.102041,0.092417,53700
1987-01-05,5.009463,5.009463,4.875741,5.009463,0.090740,12400
1987-01-12,5.009463,5.431205,5.009463,5.390059,0.097634,2900
1987-01-19,5.554641,5.626646,5.390059,5.390059,0.097634,53700
1987-01-26,5.390059,5.554641,5.390059,5.513496,0.099870,3400
1987-02-02,5.492923,5.513496,5.472350,5.472350,0.099125,16800
1987-02-09,5.472350,5.595787,5.472350,5.595787,0.101361,3800
1987-02-16,5.678078,5.842659,5.678078,5.760369,0.104342,24500
1987-02-23,5.678078,5.678078,5.287196,5.287196,0.095771,10600
1987-03-02,5.307768,5.513496,5.307768,5.431205,0.098380,16200
1987-03-09,5.431205,5.554641,5.390059,5.472350,0.117570,14500
1987-03-16,5.472350,5.513496,5.472350,5.472350,0.117570,3000
1987-03-23,5.554641,5.554641,5.431205,5.472350,0.117570,8500
1987-03-30,5.431205,5.431205,5.431205,5.431205,0.116686,800
1987-04-06,5.348914,5.431205,5.266623,5.431205,0.116686,3400
1987-04-13,5.369486,5.390059,5.328341,5.390059,0.115802,17200
1987-04-20,5.390059,5.554641,5.348914,5.472350,0.117570,33700
