Date,Open,High,Low,Close,Adj Close,Volume
1993-09-27,9.256226,9.747706,8.682831,9.338139,4.159209,22625800
1993-10-04,9.297182,9.461009,8.969528,9.338139,4.159209,3211700
1993-10-11,9.297182,11.140236,9.297182,10.730668,4.779442,4133400
1993-10-18,10.730668,11.017365,9.829620,10.484928,4.669992,2953200
1993-10-25,10.484928,10.689712,9.256226,9.501966,4.232177,2422400
1993-11-01,9.501966,9.829620,8.273263,8.682831,3.867336,3478500
1993-11-08,8.682831,9.624836,8.682831,9.461009,4.213937,1721700
1993-11-15,9.501966,9.501966,8.314220,8.519004,3.794367,1226600
1993-11-22,8.519004,9.338139,7.699869,9.010485,4.013273,4680700
1993-11-29,9.010485,9.542923,8.764745,9.010485,4.013273,1814800
1993-12-06,9.010485,9.215269,8.600918,9.133355,4.068000,1786100
1993-12-13,9.133355,9.133355,8.723787,8.928572,3.976789,887600
1993-12-20,8.928572,9.092399,7.822739,7.863696,3.502493,1930200
1993-12-27,7.863696,8.191350,7.413172,8.150393,3.630188,2801400
1994-01-03,8.150393,8.437091,7.331258,7.495085,3.338313,4518200
1994-01-10,7.495085,7.536042,6.880734,7.290301,3.247102,2323800
1994-01-17,7.290301,7.290301,7.044561,7.085518,3.155892,1607300
1994-01-24,7.126474,7.331258,6.839777,6.880734,3.064681,1624600
1994-01-31,6.798820,7.454128,6.716907,7.085518,3.155892,1675000
1994-02-07,7.126474,8.191350,7.085518,8.109436,3.611946,2375200
1994-02-14,8.150393,8.355177,7.617955,7.986566,3.557219,1786000
1994-02-21,8.232306,8.232306,7.331258,7.658912,3.411282,899200
1994-02-28,7.699869,7.863696,7.290301,7.863696,3.502493,1419400
1994-03-07,7.863696,8.846658,7.863696,8.846658,3.940305,3290800
1994-03-14,8.846658,8.969528,8.273263,8.600918,3.830852,1511700
1994-03-21,8.641874,9.338139,8.478047,8.723787,3.885577,1567800
1994-03-28,8.682831,8.682831,7.617955,7.863696,3.502493,1017600
1994-04-04,7.781783,8.068480,7.331258,7.372215,3.283587,1254100
1994-04-11,7.454128,8.191350,7.454128,8.027523,3.575460,972500
1994-04-18,8.068480,8.068480,7.495085,7.536042,3.356555,401400
1994-04-25,7.576999,7.576999,6.880734,7.085518,3.155892,645900
1994-05-02,7.085518,7.536042,6.880734,7.208388,3.210618,1081100
1994-05-09,7.167431,7.167431,6.553080,6.839777,3.046439,961200
1994-05-16,6.798820,7.372215,6.675950,7.126474,3.174134,808800
1994-05-23,7.085518,7.536042,6.962647,7.249345,3.228861,4744200
1994-05-30,7.331258,7.740826,7.331258,7.699869,3.429524,1515300
1994-06-06,7.740826,7.863696,7.699869,7.699869,3.429524,826900
1994-06-13,7.740826,7.986566,7.699869,7.822739,3.484250,854600
1994-06-20,7.781783,7.822739,7.576999,7.617955,3.393040,1128400
1994-06-27,7.617955,7.863696,7.536042,7.781783,3.466008,1249000
1994-07-04,7.781783,7.986566,7.740826,7.945610,3.538977,634900
1994-07-11,8.109436,8.232306,7.945610,8.150393,3.630188,1256800
1994-07-18,8.191350,8.273263,8.068480,8.191350,3.648430,559500
1994-07-25,8.150393,8.519004,7.822739,8.191350,3.648430,1066200
1994-08-01,8.109436,8.682831,8.068480,8.600918,3.830852,994000
1994-08-08,8.559960,8.600918,8.437091,8.478047,3.776125,682200
1994-08-15,8.559960,8.887614,8.437091,8.764745,3.903819,998400
1994-08-22,8.764745,9.501966,8.764745,9.297182,4.140967,1655500
1994-08-29,9.379096,9.420053,9.092399,9.215269,4.104484,1155300
1994-09-05,9.256226,9.256226,9.051442,9.215269,4.104484,668800
1994-09-12,9.174312,9.501966,9.092399,9.174312,4.086241,408700
1994-09-19,9.297182,9.461009,9.133355,9.133355,4.068000,972400
1994-09-26,9.133355,9.174312,8.437091,8.764745,3.903819,2094400
1994-10-03,8.764745,8.764745,8.437091,8.519004,3.794367,514400
1994-10-10,8.519004,9.338139,8.519004,9.338139,4.159209,1286100
1994-10-17,9.338139,9.583879,9.092399,9.215269,4.104484,8026500
1994-10-24,9.215269,9.420053,8.805701,9.297182,4.140967,2282400
1994-10-31,9.297182,9.338139,9.051442,9.092399,4.049757,1680700
1994-11-07,9.092399,9.174312,8.600918,8.887614,3.958544,1034700
1994-11-14,8.805701,9.420053,8.641874,9.338139,4.159209,846300
1994-11-21,9.338139,9.788663,9.092399,9.174312,4.086241,1243200
1994-11-28,9.174312,9.215269,8.928572,9.051442,4.031516,1174500
1994-12-05,9.010485,9.051442,8.396133,8.600918,3.830852,1304800
