Date,Open,High,Low,Close,Adj Close,Volume
1998-06-01,3.850000,3.900000,3.820000,3.900000,2.992889,31000
1998-06-08,3.820000,3.950000,3.730000,3.950000,3.031260,27000
1998-06-15,3.820000,3.850000,3.710000,3.790000,2.908474,9500
1998-06-22,3.800000,3.900000,3.720000,3.800000,2.916148,14200
1998-06-29,3.800000,3.900000,3.700000,3.860000,2.962193,25800
1998-07-06,3.760000,3.980000,3.760000,3.950000,3.031260,24300
1998-07-13,3.940000,3.940000,3.750000,3.850000,2.954519,49500
1998-07-20,3.850000,3.900000,3.750000,3.850000,2.954519,12700
1998-07-27,3.780000,3.880000,3.750000,3.750000,2.877778,21100
1998-08-03,3.750000,3.750000,3.500000,3.500000,2.685926,45000
1998-08-10,3.450000,3.840000,3.400000,3.450000,2.647556,26900
1998-08-17,3.600000,3.640000,3.300000,3.590000,2.754993,16600
1998-08-24,3.500000,3.550000,3.250000,3.440000,2.639882,26200
1998-08-31,3.440000,3.450000,2.550000,3.250000,2.494074,61900
1998-09-07,3.500000,3.700000,3.150000,3.150000,2.417334,31900
1998-09-14,3.290000,3.400000,3.200000,3.340000,2.563141,219500
1998-09-21,3.200000,3.300000,3.100000,3.100000,2.378963,58500
1998-09-28,3.000000,3.250000,3.000000,3.000000,2.302222,25000
1998-10-05,3.000000,3.150000,2.850000,2.850000,2.187111,28200
1998-10-12,2.850000,3.100000,2.800000,3.100000,2.378963,147300
1998-10-19,3.100000,3.100000,3.050000,3.090000,2.371289,12700
1998-10-26,3.000000,3.050000,2.870000,2.900000,2.225482,28600
1998-11-02,2.850000,3.250000,2.850000,3.070000,2.355941,36300
1998-11-09,3.050000,3.150000,3.000000,3.100000,2.378963,24400
1998-11-16,3.010000,3.150000,3.000000,3.000000,2.302222,13200
1998-11-23,2.950000,3.000000,2.800000,2.850000,2.187111,34700
1998-11-30,2.880000,3.000000,2.800000,2.960000,2.271526,29900
1998-12-07,2.900000,2.900000,2.750000,2.750000,2.170239,279300
1998-12-14,2.750000,2.830000,2.650000,2.650000,2.091321,156300
1998-12-21,2.650000,2.750000,2.650000,2.750000,2.170239,21600
1998-12-28,2.800000,2.800000,2.650000,2.700000,2.130780,28100
1999-01-04,2.700000,2.700000,2.350000,2.550000,2.012404,228000
1999-01-11,2.510000,2.600000,2.350000,2.430000,1.917703,402700
1999-01-18,2.410000,2.590000,2.410000,2.550000,2.012404,27800
1999-01-25,2.550000,2.600000,2.450000,2.450000,1.933486,9100
1999-02-01,2.450000,2.600000,2.450000,2.600000,2.051862,15000
1999-02-08,2.600000,2.650000,2.600000,2.600000,2.051862,24600
1999-02-15,2.640000,2.650000,2.560000,2.600000,2.051862,16800
1999-02-22,2.600000,2.650000,2.550000,2.550000,2.012404,35900
1999-03-01,2.650000,2.700000,2.650000,2.700000,2.130780,12000
1999-03-08,2.750000,3.000000,2.650000,2.650000,2.091321,14300
1999-03-15,2.650000,2.780000,2.600000,2.650000,2.091321,21200
1999-03-22,2.650000,2.750000,2.650000,2.700000,2.130780,13300
1999-03-29,2.790000,2.800000,2.700000,2.730000,2.154456,6400
1999-04-05,2.790000,2.790000,2.700000,2.750000,2.170239,13400
1999-04-12,2.750000,2.750000,2.650000,2.670000,2.107105,22500
1999-04-19,2.600000,2.700000,2.500000,2.600000,2.051862,41700
1999-04-26,2.510000,2.680000,2.500000,2.550000,2.012404,50200
1999-05-03,2.500000,2.600000,2.500000,2.580000,2.036079,20200
1999-05-10,2.550000,2.550000,2.460000,2.470000,1.949270,42600
1999-05-17,2.480000,2.600000,2.450000,2.600000,2.051862,24300
1999-05-24,2.600000,2.600000,2.450000,2.550000,2.012404,20400
1999-05-31,2.550000,2.700000,2.550000,2.650000,2.091321,32400
1999-06-07,2.750000,2.800000,2.700000,2.750000,2.170239,26100
1999-06-14,2.700000,2.780000,2.700000,2.780000,2.193914,24400
1999-06-21,2.800000,2.800000,2.780000,2.800000,2.209698,25700
1999-06-28,2.800000,2.800000,2.780000,2.780000,2.193914,11800
1999-07-05,2.800000,2.850000,2.780000,2.780000,2.193914,10000
1999-07-12,2.800000,2.800000,2.780000,2.780000,2.193914,18400
1999-07-19,2.840000,2.840000,2.750000,2.750000,2.170239,36100
1999-07-26,2.750000,2.800000,2.730000,2.800000,2.209698,6600
1999-08-02,2.830000,2.830000,2.760000,2.760000,2.178131,6300
1999-08-09,2.790000,2.800000,2.760000,2.760000,2.178131,24800
1999-08-16,2.760000,2.760000,2.750000,2.750000,2.170239,23300
1999-08-23,2.740000,2.800000,2.720000,2.800000,2.209698,12100
1999-08-30,2.800000,2.850000,2.780000,2.840000,2.241265,31500
1999-09-06,2.850000,2.860000,2.840000,2.860000,2.257049,10700
1999-09-13,2.860000,3.030000,2.860000,3.030000,2.391209,22400
1999-09-20,3.030000,3.060000,3.020000,3.020000,2.383318,17100
1999-09-27,3.020000,3.080000,3.020000,3.070000,2.422776,26700
1999-10-04,3.060000,3.060000,3.020000,3.020000,2.383318,7500
1999-10-11,3.020000,3.060000,2.980000,2.980000,2.351750,14900
1999-10-18,2.980000,3.000000,2.970000,3.000000,2.367534,23600
1999-10-25,3.040000,3.040000,2.960000,3.000000,2.367534,4500
1999-11-01,2.960000,2.960000,2.960000,2.960000,2.335967,12100
1999-11-08,2.950000,3.000000,2.950000,2.990000,2.359642,12700
1999-11-15,2.950000,2.980000,2.950000,2.950000,2.328075,11400
1999-11-22,2.950000,3.080000,2.910000,2.910000,2.296508,30200
1999-11-29,2.950000,2.950000,2.910000,2.910000,2.296508,5700
1999-12-06,2.910000,2.980000,2.900000,2.920000,2.320129,14500
1999-12-13,2.930000,3.100000,2.930000,3.080000,2.447260,40900
1999-12-20,3.140000,3.250000,3.140000,3.250000,2.662477,17700
1999-12-27,3.250000,3.250000,3.100000,3.110000,2.547786,10900
2000-01-03,3.100000,3.110000,3.080000,3.100000,2.539593,15900
2000-01-10,3.080000,3.150000,3.000000,3.150000,2.580555,25000
2000-01-17,3.100000,3.100000,2.950000,2.980000,2.441287,26800
2000-01-24,3.000000,3.000000,2.840000,2.840000,2.326595,17800
2000-01-31,2.810000,2.850000,2.780000,2.800000,2.293827,12800
2000-02-07,2.800000,2.840000,2.730000,2.740000,2.244673,20100
2000-02-14,2.740000,2.840000,2.740000,2.800000,2.293827,19800
2000-02-21,2.800000,2.900000,2.670000,2.750000,2.252865,41500
2000-02-28,2.800000,2.900000,2.750000,2.850000,2.334788,10300
2000-03-06,2.760000,2.800000,2.710000,2.710000,2.220096,24100
2000-03-13,2.710000,2.790000,2.670000,2.670000,2.187328,27400
2000-03-20,2.650000,2.950000,2.650000,2.900000,2.375749,32400
2000-03-27,2.850000,2.850000,2.690000,2.700000,2.211904,25900
2000-04-03,2.750000,3.000000,2.740000,2.850000,2.334788,39500
2000-04-10,2.850000,2.950000,2.800000,2.800000,2.293827,42900
2000-04-17,2.890000,2.890000,2.710000,2.710000,2.220096,36000
