Date,Open,High,Low,Close,Adj Close,Volume
1986-11-24,5.333333,5.500000,5.000000,5.166667,1.698834,15463800
1986-12-01,5.125000,5.125000,4.833333,4.916667,1.616632,54705600
1986-12-08,4.875000,4.916667,4.625000,4.875000,1.602931,7519200
1986-12-15,4.833333,4.916667,4.750000,4.833333,1.589231,5997300
1986-12-22,4.791667,4.833333,4.708333,4.791667,1.575531,4269900
1986-12-29,4.750000,4.875000,4.708333,4.833333,1.589231,3292200
1987-01-05,4.875000,5.041667,4.875000,5.041667,1.657732,7637100
1987-01-12,4.958333,5.333333,4.958333,5.250000,1.726234,9823500
1987-01-19,5.166667,5.250000,5.000000,5.125000,1.685132,8136900
1987-01-26,5.041667,5.125000,4.916667,4.958333,1.630332,4872600
1987-02-02,4.958333,5.166667,4.833333,5.166667,1.698834,12057600
1987-02-09,5.250000,5.416667,5.083333,5.375000,1.767334,9765600
1987-02-16,5.375000,5.791667,5.291667,5.625000,1.849536,9659100
1987-02-23,5.583333,5.708333,5.458333,5.708333,1.876937,4632000
1987-03-02,5.708333,6.083333,5.625000,6.083333,2.000239,17979000
1987-03-09,6.000000,6.083333,5.750000,5.916667,1.945438,10641300
1987-03-16,5.875000,5.958333,5.625000,5.791667,1.904337,6439800
1987-03-23,5.833333,6.000000,5.708333,5.750000,1.894672,5434500
1987-03-30,5.583333,5.750000,5.416667,5.666667,1.867213,5252400
1987-04-06,5.625000,5.916667,5.458333,5.583333,1.839754,4213500
1987-04-13,5.500000,5.583333,5.125000,5.291667,1.743647,2689200
1987-04-20,5.291667,5.375000,5.125000,5.250000,1.729917,3179100
1987-04-27,5.333333,5.583333,5.208333,5.541667,1.826023,4635000
1987-05-04,5.708333,6.000000,5.625000,5.958333,1.963319,6766200
1987-05-11,6.000000,6.083333,5.666667,5.708333,1.880942,4242000
1987-05-18,5.625000,5.750000,5.458333,5.583333,1.839754,4236900
1987-05-25,5.791667,5.916667,5.666667,5.791667,1.908401,2043300
1987-06-01,5.708333,5.875000,5.625000,5.875000,1.935860,5834100
1987-06-08,5.875000,6.500000,5.750000,6.500000,2.141804,11709900
1987-06-15,6.583333,6.625000,6.416667,6.458333,2.128073,6280500
1987-06-22,6.375000,6.583333,6.125000,6.500000,2.145963,3736500
1987-06-29,6.500000,6.583333,6.375000,6.458333,2.132205,2514300
1987-07-06,6.458333,6.541667,6.250000,6.333333,2.090936,4654500
1987-07-13,6.333333,6.458333,6.166667,6.333333,2.090936,4220700
1987-07-20,6.333333,6.541667,6.208333,6.375000,2.104693,8490900
1987-07-27,6.375000,6.916667,6.375000,6.625000,2.187232,5512800
1987-08-03,6.583333,6.791667,6.291667,6.666667,2.200987,3742500
1987-08-10,6.666667,7.083333,6.666667,6.750000,2.228498,6120300
1987-08-17,6.750000,6.833333,6.541667,6.791667,2.242256,3391200
1987-08-24,6.833333,6.875000,6.250000,6.375000,2.104693,5249400
1987-08-31,6.375000,6.625000,6.291667,6.333333,2.090936,3085500
1987-09-07,6.250000,6.625000,6.000000,6.625000,2.187232,1997700
1987-09-14,6.583333,6.750000,6.083333,6.083333,2.008402,1927200
1987-09-21,6.166667,6.291667,5.958333,6.125000,2.026110,7215300
1987-09-28,6.166667,6.375000,6.041667,6.250000,2.067460,3225900
1987-10-05,6.208333,6.250000,6.000000,6.166667,2.039893,4258200
1987-10-12,6.166667,6.250000,5.250000,5.458333,1.805580,4567800
1987-10-19,5.000000,6.250000,3.500000,4.875000,1.612618,12925200
1987-10-26,4.333333,5.208333,4.083333,5.125000,1.695317,8148600
1987-11-02,5.000000,5.166667,4.583333,4.750000,1.571269,4664400
1987-11-09,4.625000,4.875000,4.416667,4.541667,1.502353,4048200
1987-11-16,4.583333,4.666667,4.291667,4.583333,1.516137,4308300
1987-11-23,4.625000,5.000000,4.583333,4.791667,1.585052,2516100
1987-11-30,4.666667,4.916667,4.458333,4.541667,1.502353,6527700
1987-12-07,4.583333,4.875000,4.541667,4.833333,1.598835,3169200
1987-12-14,4.833333,4.958333,4.708333,4.875000,1.612618,1812300
1987-12-21,4.916667,5.041667,4.791667,4.875000,1.616907,1837500
1987-12-28,4.791667,4.875000,4.750000,4.750000,1.575449,1972800
1988-01-04,4.750000,5.333333,4.750000,5.125000,1.699826,3164100
1988-01-11,5.041667,5.166667,4.791667,5.125000,1.699826,2257800
1988-01-18,5.166667,5.208333,4.833333,4.916667,1.630727,2827800
1988-01-25,4.958333,5.125000,4.916667,5.125000,1.699826,1138500
1988-02-01,5.250000,5.250000,4.875000,5.041667,1.672186,2360100
1988-02-08,5.000000,5.041667,4.916667,4.958333,1.644547,3057900
1988-02-15,5.000000,5.041667,4.833333,5.000000,1.658366,3041700
1988-02-22,5.000000,5.208333,4.916667,5.083333,1.686006,6071700
1988-02-29,5.125000,5.583333,5.125000,5.416667,1.796563,4927500
1988-03-07,5.416667,5.500000,5.208333,5.291667,1.755104,4762200
1988-03-14,5.333333,5.333333,5.083333,5.291667,1.755104,2293500
1988-03-21,5.250000,5.291667,5.000000,5.000000,1.662388,2349000
1988-03-28,4.875000,5.041667,4.875000,4.916667,1.634681,1962900
1988-04-04,4.875000,5.208333,4.875000,5.125000,1.703947,2262900
1988-04-11,5.125000,5.166667,4.916667,4.958333,1.648535,2124300
1988-04-18,4.916667,5.166667,4.916667,4.958333,1.648535,1590000
1988-04-25,5.000000,5.125000,4.958333,5.041667,1.676241,1561800
1988-05-02,5.000000,5.208333,4.958333,5.125000,1.703947,2560800
1988-05-09,5.166667,5.166667,4.916667,4.958333,1.648535,2667000
1988-05-16,4.958333,5.250000,4.916667,4.916667,1.634681,3115800
1988-05-23,4.916667,4.958333,4.791667,4.791667,1.593122,1238100
1988-05-30,4.875000,5.166667,4.833333,5.041667,1.676241,1151700
1988-06-06,5.083333,5.208333,5.041667,5.083333,1.690095,1241700
1988-06-13,5.083333,5.250000,5.041667,5.041667,1.676241,1581300
1988-06-20,4.958333,5.375000,4.916667,5.250000,1.749740,1804800
1988-06-27,5.250000,5.375000,5.000000,5.083333,1.694193,1978200
1988-07-04,5.083333,5.125000,4.875000,4.916667,1.638645,3052200
1988-07-11,4.875000,5.000000,4.833333,5.000000,1.666420,4002900
1988-07-18,5.000000,5.250000,4.583333,4.583333,1.527551,11411100
1988-07-25,4.583333,4.750000,4.541667,4.666667,1.555325,2938500
1988-08-01,4.666667,4.708333,4.583333,4.625000,1.541437,6513300
1988-08-08,4.583333,4.625000,4.333333,4.333333,1.444230,4447800
1988-08-15,4.333333,4.416667,4.208333,4.333333,1.444230,2658000
1988-08-22,4.333333,4.375000,4.250000,4.333333,1.444230,1808100
1988-08-29,4.291667,4.375000,4.208333,4.333333,1.444230,4461900
1988-09-05,4.333333,4.583333,4.291667,4.583333,1.527551,2394600
1988-09-12,4.541667,4.666667,4.416667,4.583333,1.527551,1107300
1988-09-19,4.625000,4.625000,4.500000,4.541667,1.517875,1458900
1988-09-26,4.541667,4.625000,4.500000,4.541667,1.517875,1454400
1988-10-03,4.583333,4.875000,4.541667,4.791667,1.601428,3178200
1988-10-10,4.791667,4.833333,4.666667,4.708333,1.573577,6686100
1988-10-17,4.666667,4.750000,4.500000,4.666667,1.559651,3861000
1988-10-24,4.666667,4.833333,4.583333,4.625000,1.545726,6488700
1988-10-31,4.583333,4.958333,4.541667,4.791667,1.601428,5453700
1988-11-07,4.833333,4.916667,4.666667,4.791667,1.601428,2642400
1988-11-14,4.791667,4.875000,4.541667,4.666667,1.559651,3359100
1988-11-21,4.583333,4.708333,4.583333,4.666667,1.559651,966000
1988-11-28,4.666667,4.916667,4.625000,4.791667,1.601428,1920900
1988-12-05,4.750000,4.958333,4.750000,4.916667,1.643205,2054100
1988-12-12,4.916667,4.958333,4.791667,4.833333,1.615353,1230300
1988-12-19,4.791667,4.958333,4.708333,4.958333,1.661387,2637600
1988-12-26,4.916667,5.000000,4.833333,5.000000,1.675349,1702800
1989-01-02,4.958333,5.125000,4.916667,4.958333,1.661387,1203300
1989-01-09,5.000000,5.250000,4.958333,5.250000,1.759117,2701200
1989-01-16,5.250000,5.375000,5.208333,5.250000,1.759117,2897700
1989-01-23,5.250000,5.458333,5.083333,5.375000,1.801001,4456500
1989-01-30,5.416667,5.625000,5.333333,5.458333,1.828922,8876400
1989-02-06,5.375000,5.541667,5.375000,5.416667,1.814960,4155600
1989-02-13,5.416667,5.666667,5.333333,5.625000,1.884767,2738400
1989-02-20,5.541667,5.583333,5.125000,5.208333,1.745155,3701100
1989-02-27,5.166667,5.375000,5.125000,5.375000,1.801001,3032400
1989-03-06,5.416667,5.416667,5.250000,5.291667,1.773076,4722300
1989-03-13,5.291667,5.583333,5.291667,5.375000,1.801001,5225400
1989-03-20,5.333333,5.375000,5.208333,5.333333,1.791239,1664700
1989-03-27,5.375000,5.583333,5.375000,5.541667,1.861208,2848500
1989-04-03,5.583333,5.708333,5.500000,5.666667,1.903189,2988000
1989-04-10,5.666667,5.791667,5.291667,5.333333,1.791239,3424200
1989-04-17,5.333333,5.458333,5.291667,5.416667,1.819226,3599700
1989-04-24,5.458333,5.750000,5.458333,5.708333,1.917184,2131800
1989-05-01,5.666667,5.791667,5.541667,5.708333,1.917184,1840800
1989-05-08,5.750000,6.083333,5.708333,6.041667,2.029135,2822400
1989-05-15,6.041667,6.166667,6.000000,6.041667,2.029135,2046900
1989-05-22,6.125000,6.250000,6.125000,6.125000,2.057124,1807500
1989-05-29,6.166667,6.250000,6.000000,6.000000,2.015142,3486300
1989-06-05,6.041667,6.208333,6.000000,6.041667,2.029135,2771400
1989-06-12,6.041667,6.125000,5.708333,5.916667,1.987154,3255300
1989-06-19,5.916667,6.000000,5.750000,5.916667,1.991395,2625600
1989-06-26,5.875000,6.000000,5.583333,5.708333,1.921276,1800600
1989-07-03,5.666667,6.000000,5.666667,5.791667,1.949324,1617000
1989-07-10,5.791667,5.916667,5.708333,5.750000,1.935300,2683500
1989-07-17,5.708333,5.750000,5.416667,5.708333,1.921276,3178200
1989-07-24,5.666667,5.791667,5.625000,5.750000,1.935300,3940800
1989-07-31,5.791667,6.166667,5.791667,5.958333,2.005420,2313000
1989-08-07,6.000000,6.000000,5.750000,5.791667,1.949324,3788400
1989-08-14,5.833333,5.916667,5.708333,5.916667,1.991395,2463600
1989-08-21,5.916667,5.916667,5.833333,5.833333,1.963347,1852500
1989-08-28,5.833333,5.916667,5.250000,5.458333,1.837133,7013100
1989-09-04,5.500000,5.625000,5.416667,5.541667,1.865180,5662200
1989-09-11,5.541667,5.791667,5.541667,5.666667,1.907252,2975700
1989-09-18,5.666667,5.833333,5.583333,5.583333,1.883362,2164200
1989-09-25,5.583333,5.833333,5.458333,5.750000,1.939582,4688100
1989-10-02,5.750000,6.000000,5.666667,5.958333,2.009856,3051000
1989-10-09,5.916667,6.083333,5.541667,5.541667,1.869306,2533500
1989-10-16,5.375000,5.708333,5.250000,5.416667,1.827141,3035400
1989-10-23,5.416667,5.500000,5.250000,5.333333,1.799031,3231000
1989-10-30,5.291667,5.333333,5.208333,5.208333,1.756867,2363700
1989-11-06,5.166667,5.375000,5.083333,5.333333,1.799031,1272600
1989-11-13,5.333333,5.333333,5.208333,5.291667,1.784976,1972800
1989-11-20,5.250000,5.291667,5.125000,5.166667,1.742811,1451100
1989-11-27,5.208333,5.375000,5.166667,5.333333,1.799031,2332800
1989-12-04,5.333333,5.458333,5.291667,5.416667,1.827141,1683900
1989-12-11,5.375000,5.458333,5.250000,5.291667,1.784976,1616400
1989-12-18,5.333333,5.458333,5.250000,5.458333,1.845489,2143800
1989-12-25,5.458333,5.458333,5.166667,5.333333,1.803226,1146000
1990-01-01,5.333333,5.375000,5.208333,5.333333,1.803226,1025100
1990-01-08,5.333333,5.500000,5.083333,5.083333,1.718699,1711800
1990-01-15,5.083333,5.250000,5.083333,5.208333,1.760962,1777200
1990-01-22,5.208333,5.250000,4.833333,4.916667,1.662350,1209300
1990-01-29,4.875000,5.083333,4.625000,5.083333,1.718699,1741500
1990-02-05,5.041667,5.166667,4.875000,4.916667,1.662350,1398900
1990-02-12,4.875000,4.958333,4.750000,4.916667,1.662350,934500
1990-02-19,4.833333,4.875000,4.625000,4.666667,1.577822,1117200
1990-02-26,4.666667,4.791667,4.583333,4.666667,1.577822,1557900
1990-03-05,4.708333,4.958333,4.708333,4.958333,1.676437,1294200
1990-03-12,4.916667,5.375000,4.916667,5.166667,1.746875,1236000
1990-03-19,5.166667,5.416667,5.125000,5.250000,1.779498,3056700
1990-03-26,5.208333,5.291667,5.041667,5.166667,1.751251,885300
1990-04-02,5.041667,5.291667,5.000000,5.041667,1.708884,2449200
1990-04-09,5.041667,5.166667,4.916667,4.958333,1.680637,826800
1990-04-16,5.000000,5.291667,4.958333,5.000000,1.694760,2127600
1990-04-23,4.958333,4.958333,4.791667,4.791667,1.624145,1493700
1990-04-30,4.833333,4.958333,4.708333,4.708333,1.595899,1226100
1990-05-07,4.750000,5.083333,4.666667,5.000000,1.694760,1074000
1990-05-14,5.000000,5.083333,4.791667,4.916667,1.666514,1171800
1990-05-21,4.916667,5.125000,4.833333,4.875000,1.652391,1396800
1990-05-28,4.916667,5.458333,4.916667,5.333333,1.807744,2975100
1990-06-04,5.291667,5.375000,5.208333,5.291667,1.793621,1687500
1990-06-11,5.250000,5.458333,5.250000,5.291667,1.793621,1730400
1990-06-18,5.291667,5.291667,5.000000,5.083333,1.727085,2180400
1990-06-25,5.041667,5.333333,4.833333,5.333333,1.812024,2174100
1990-07-02,5.333333,5.500000,5.166667,5.166667,1.755398,2895300
1990-07-09,5.166667,5.375000,5.000000,5.291667,1.797868,2772600
1990-07-16,5.333333,5.625000,5.250000,5.458333,1.854494,4266900
1990-07-23,5.458333,5.458333,5.291667,5.333333,1.812024,2320800
1990-07-30,5.333333,5.458333,5.000000,5.166667,1.755398,2216100
1990-08-06,5.041667,5.166667,4.791667,5.041667,1.712930,1902000
1990-08-13,5.000000,5.041667,4.625000,4.708333,1.599678,1574100
1990-08-20,4.708333,4.750000,4.083333,4.416667,1.500583,1583100
1990-08-27,4.500000,4.833333,4.500000,4.833333,1.642148,1716900
1990-09-03,4.875000,4.875000,4.625000,4.791667,1.627991,2046600
1990-09-10,4.791667,4.875000,4.541667,4.666667,1.585521,1727100
1990-09-17,4.625000,4.791667,4.583333,4.625000,1.575544,2166600
1990-09-24,4.625000,4.666667,4.250000,4.333333,1.476185,3715800
1990-10-01,4.416667,4.750000,4.291667,4.583333,1.561350,1819200
1990-10-08,4.583333,4.750000,4.333333,4.458333,1.518768,3753600
1990-10-15,4.500000,4.541667,4.208333,4.333333,1.476185,2382900
1990-10-22,4.375000,4.541667,4.333333,4.500000,1.532962,3327900
1990-10-29,4.500000,4.625000,4.458333,4.583333,1.561350,2140200
1990-11-05,4.583333,4.875000,4.583333,4.833333,1.646516,1397400
1990-11-12,4.791667,4.958333,4.666667,4.833333,1.646516,1189500
1990-11-19,4.875000,4.916667,4.833333,4.875000,1.660710,1069800
1990-11-26,4.875000,5.166667,4.833333,5.083333,1.731679,1702200
1990-12-03,5.166667,5.375000,5.083333,5.083333,1.731679,1620600
1990-12-10,5.083333,5.250000,5.000000,5.000000,1.703291,1260300
1990-12-17,5.000000,5.208333,4.916667,5.041667,1.721685,1145700
1990-12-24,5.083333,5.166667,5.041667,5.083333,1.735913,653400
1990-12-31,5.083333,5.291667,5.083333,5.125000,1.750142,519600
1991-01-07,5.041667,5.041667,4.791667,4.958333,1.693226,2281500
1991-01-14,4.833333,5.166667,4.750000,4.958333,1.693226,1453800
1991-01-21,4.958333,5.083333,4.916667,5.083333,1.735913,750600
1991-01-28,5.125000,5.500000,5.000000,5.458333,1.863973,1833600
1991-02-04,5.458333,5.541667,5.250000,5.458333,1.863973,3115200
1991-02-11,5.458333,6.000000,5.458333,6.000000,2.048946,4033800
1991-02-18,5.916667,5.916667,5.583333,5.666667,1.935116,2010600
1991-02-25,5.750000,5.833333,5.541667,5.791667,1.977802,1793700
1991-03-04,5.791667,5.958333,5.666667,5.791667,1.977802,2011800
1991-03-11,5.833333,6.458333,5.583333,6.250000,2.134320,3147600
1991-03-18,6.166667,6.583333,6.000000,6.083333,2.081933,3727200
1991-03-25,6.125000,6.375000,6.041667,6.166667,2.110452,1724700
1991-04-01,6.125000,6.791667,6.083333,6.458333,2.210272,2272800
1991-04-08,6.500000,6.500000,5.916667,6.208333,2.124713,2501100
1991-04-15,6.250000,6.458333,6.083333,6.416667,2.196012,2161800
1991-04-22,6.375000,6.541667,6.083333,6.166667,2.110452,1427700
1991-04-29,6.125000,6.375000,5.916667,6.291667,2.153232,1980300
1991-05-06,6.250000,6.541667,6.208333,6.375000,2.181752,1404300
1991-05-13,6.291667,6.375000,6.166667,6.291667,2.153232,1398300
1991-05-20,6.333333,6.458333,6.125000,6.458333,2.210272,1300800
1991-05-27,6.375000,6.416667,6.083333,6.250000,2.138973,1485900
1991-06-03,6.166667,6.500000,6.083333,6.375000,2.181752,1790400
1991-06-10,6.416667,6.458333,6.083333,6.250000,2.138973,1712400
1991-06-17,6.208333,6.416667,6.166667,6.291667,2.157641,1796100
1991-06-24,6.208333,6.208333,5.791667,5.875000,2.014750,3610500
1991-07-01,5.875000,6.041667,5.833333,5.833333,2.000462,1907400
1991-07-08,5.750000,6.000000,5.750000,5.791667,1.986172,2239800
1991-07-15,5.791667,5.833333,4.875000,4.958333,1.700393,5734200
1991-07-22,4.916667,5.083333,4.791667,5.041667,1.728971,1713900
1991-07-29,5.125000,5.333333,5.041667,5.125000,1.757549,1119900
1991-08-05,5.125000,5.125000,4.916667,4.958333,1.700393,1948200
1991-08-12,5.041667,5.083333,4.875000,4.958333,1.700393,1255500
1991-08-19,4.833333,5.000000,4.708333,4.916667,1.686105,1474500
1991-08-26,4.916667,5.125000,4.458333,5.041667,1.728971,6389700
1991-09-02,5.125000,5.250000,4.625000,4.625000,1.586081,5520900
1991-09-09,4.666667,4.666667,4.500000,4.625000,1.586081,1828800
1991-09-16,4.583333,4.625000,4.416667,4.500000,1.547506,2418600
1991-09-23,4.500000,4.541667,4.416667,4.458333,1.533178,1168800
1991-09-30,4.416667,4.416667,4.250000,4.291667,1.475863,2365200
1991-10-07,4.291667,4.291667,4.083333,4.125000,1.418548,3778800
1991-10-14,4.083333,4.416667,3.916667,4.333333,1.490191,3951300
1991-10-21,4.291667,4.333333,4.125000,4.208333,1.447205,1520700
1991-10-28,4.208333,4.250000,4.125000,4.250000,1.461534,2652600
1991-11-04,4.250000,4.333333,4.166667,4.291667,1.475863,2355900
1991-11-11,4.291667,4.458333,4.250000,4.333333,1.490191,2333700
1991-11-18,4.291667,4.416667,4.250000,4.375000,1.504520,1954800
1991-11-25,4.333333,4.416667,4.291667,4.333333,1.490191,1899300
1991-12-02,4.333333,4.666667,4.291667,4.583333,1.576164,1596000
1991-12-09,4.625000,4.625000,4.333333,4.333333,1.490191,1552800
1991-12-16,4.333333,4.458333,4.333333,4.375000,1.508668,2945700
1991-12-23,4.375000,4.791667,4.333333,4.791667,1.652351,2320800
1991-12-30,4.833333,5.125000,4.791667,5.041667,1.738560,2325600
1992-01-06,5.041667,5.333333,4.833333,5.166667,1.781665,2764800
1992-01-13,5.125000,5.416667,5.041667,5.250000,1.810402,2853300
1992-01-20,5.250000,5.250000,4.666667,4.708333,1.623614,3649200
1992-01-27,4.750000,4.750000,4.541667,4.666667,1.609246,1932600
1992-02-03,4.625000,5.083333,4.625000,4.958333,1.709825,1694400
1992-02-10,4.958333,4.958333,4.625000,4.666667,1.609246,1684800
1992-02-17,4.666667,4.666667,4.541667,4.583333,1.580510,1765200
1992-02-24,4.583333,4.875000,4.500000,4.875000,1.681087,3300900
1992-03-02,4.916667,4.916667,4.541667,4.583333,1.580510,1684200
1992-03-09,4.583333,4.666667,4.375000,4.458333,1.537404,2334600
1992-03-16,4.416667,4.583333,4.333333,4.333333,1.494300,1521600
1992-03-23,4.333333,4.375000,4.208333,4.208333,1.455308,1635000
1992-03-30,4.208333,4.291667,4.208333,4.250000,1.469717,3282000
1992-04-06,4.291667,4.375000,4.250000,4.291667,1.484126,2706000
1992-04-13,4.291667,4.416667,4.250000,4.375000,1.512944,2094300
1992-04-20,4.416667,4.458333,4.333333,4.416667,1.527352,1815600
1992-04-27,4.375000,4.458333,4.333333,4.333333,1.498535,1937400
1992-05-04,4.333333,4.458333,4.208333,4.250000,1.469717,2731800
1992-05-11,4.208333,4.333333,4.208333,4.333333,1.498535,1262100
1992-05-18,4.375000,4.458333,4.291667,4.291667,1.484126,1689000
1992-05-25,4.291667,4.375000,4.250000,4.375000,1.512944,840300
1992-06-01,4.375000,4.541667,4.333333,4.375000,1.512944,1139700
1992-06-08,4.416667,4.583333,4.333333,4.541667,1.570580,1926300
1992-06-15,4.458333,4.541667,4.291667,4.333333,1.498535,3166200
1992-06-22,4.333333,4.333333,4.250000,4.291667,1.488255,1620600
1992-06-29,4.291667,4.416667,4.208333,4.416667,1.531602,2766900
1992-07-06,4.416667,4.583333,4.333333,4.375000,1.517153,1342800
1992-07-13,4.333333,4.416667,4.291667,4.333333,1.502703,1212600
1992-07-20,4.333333,4.375000,4.208333,4.250000,1.473805,4299900
1992-07-27,4.208333,4.250000,4.125000,4.208333,1.459356,1759500
1992-08-03,4.208333,4.250000,4.041667,4.041667,1.401560,2012100
1992-08-10,4.041667,4.041667,3.875000,3.916667,1.358213,1103700
1992-08-17,3.958333,3.958333,3.791667,3.833333,1.329315,3002700
1992-08-24,3.833333,3.916667,3.750000,3.875000,1.343764,881700
1992-08-31,3.875000,4.083333,3.875000,4.000000,1.387111,860700
1992-09-07,4.000000,4.125000,3.958333,4.041667,1.401560,708600
1992-09-14,4.125000,4.291667,4.083333,4.291667,1.488255,1666500
1992-09-21,4.291667,4.458333,4.208333,4.291667,1.492814,1406100
1992-09-28,4.250000,4.250000,3.916667,4.000000,1.391362,2459100
1992-10-05,3.958333,4.000000,3.916667,4.000000,1.391362,575400
1992-10-12,4.000000,4.000000,3.916667,3.958333,1.376868,985500
1992-10-19,4.000000,4.000000,3.875000,3.958333,1.376868,978600
1992-10-26,3.958333,4.083333,3.916667,4.041667,1.405854,900600
1992-11-02,4.000000,4.083333,3.958333,4.041667,1.405854,1289100
1992-11-09,4.000000,4.125000,4.000000,4.041667,1.405854,1437300
1992-11-16,4.041667,4.125000,4.000000,4.125000,1.434841,3175200
1992-11-23,4.083333,4.083333,4.000000,4.041667,1.405854,1290600
