Date,Open,High,Low,Close,Adj Close,Volume
1997-03-31,0.312500,0.312500,0.281250,0.287500,0.027611,78400
1997-04-07,0.281250,0.312500,0.262500,0.312500,0.030012,108000
1997-04-14,0.312500,0.312500,0.268750,0.268750,0.025810,6400
1997-04-21,0.268750,0.312500,0.268750,0.312500,0.030012,67200
1997-04-28,0.312500,0.312500,0.281250,0.312500,0.030012,64800
1997-05-05,0.312500,0.312500,0.312500,0.312500,0.030012,0
1997-05-12,0.312500,0.318750,0.312500,0.318750,0.030612,4800
1997-05-19,0.318750,0.318750,0.318750,0.318750,0.030612,0
1997-05-26,0.318750,0.318750,0.318750,0.318750,0.030612,0
1997-06-02,0.312500,0.312500,0.262500,0.262500,0.025210,32000
1997-06-09,0.287500,0.312500,0.262500,0.287500,0.027611,309600
1997-06-16,0.287500,0.287500,0.218750,0.231250,0.022209,126400
1997-06-23,0.231250,0.262500,0.231250,0.262500,0.025210,416000
1997-06-30,0.268750,0.268750,0.231250,0.231250,0.022209,96000
1997-07-07,0.225000,0.225000,0.218750,0.218750,0.021008,88000
1997-07-14,0.218750,0.218750,0.212500,0.218750,0.021008,184000
1997-07-21,0.218750,0.250000,0.218750,0.250000,0.024009,100000
1997-07-28,0.250000,0.250000,0.187500,0.187500,0.018007,105600
1997-08-04,0.212500,0.250000,0.212500,0.250000,0.024009,112000
1997-08-11,0.250000,0.250000,0.187500,0.218750,0.021008,176000
1997-08-18,0.218750,0.225000,0.212500,0.225000,0.021608,44000
1997-08-25,0.237500,0.250000,0.237500,0.237500,0.022809,86400
1997-09-01,0.237500,0.237500,0.237500,0.237500,0.022809,800
1997-09-08,0.237500,0.237500,0.237500,0.237500,0.022809,0
1997-09-15,0.212500,0.225000,0.200000,0.206250,0.019808,1032000
1997-09-22,0.225000,0.250000,0.218750,0.250000,0.024009,838400
1997-09-29,0.250000,0.250000,0.218750,0.250000,0.024009,69600
1997-10-06,0.250000,0.250000,0.218750,0.225000,0.021608,62400
1997-10-13,0.225000,0.250000,0.225000,0.225000,0.021608,120000
1997-10-20,0.225000,0.225000,0.225000,0.225000,0.021608,0
1997-10-27,0.225000,0.225000,0.190000,0.212500,0.020408,96000
1997-11-03,0.187500,0.218750,0.175000,0.181250,0.017407,597600
1997-11-10,0.187500,0.187500,0.175000,0.175000,0.016807,427200
1997-11-17,0.187500,0.225000,0.181250,0.200000,0.019207,95200
1997-11-24,0.200000,0.200000,0.175000,0.175000,0.016807,44800
1997-12-01,0.187500,0.187500,0.162500,0.162500,0.015606,325600
1997-12-08,0.187500,0.187500,0.162500,0.162500,0.015606,254400
1997-12-15,0.156250,0.181250,0.156250,0.162500,0.015606,223200
1997-12-22,0.162500,0.162500,0.131250,0.143750,0.013805,1105600
1997-12-29,0.143750,0.156250,0.143750,0.156250,0.015006,54400
1998-01-05,0.150000,0.181250,0.150000,0.181250,0.017407,71200
1998-01-12,0.181250,0.181250,0.156250,0.175000,0.016807,228000
1998-01-19,0.175000,0.175000,0.168750,0.168750,0.016206,20800
1998-01-26,0.168750,0.168750,0.156250,0.156250,0.015006,63200
1998-02-02,0.156250,0.156250,0.137500,0.137500,0.013205,8000
1998-02-09,0.137500,0.137500,0.112500,0.125000,0.012005,2232000
1998-02-16,0.125000,0.150000,0.125000,0.143750,0.013805,77600
1998-02-23,0.125000,0.137500,0.100000,0.125000,0.012005,355200
1998-03-02,0.125000,0.156250,0.125000,0.156250,0.015006,144000
1998-03-09,0.156250,0.156250,0.110000,0.125000,0.012005,316800
1998-03-16,0.125000,0.137500,0.112500,0.112500,0.010804,216000
1998-03-23,0.125000,0.125000,0.112500,0.112500,0.010804,229600
1998-03-30,0.112500,0.112500,0.106250,0.112500,0.010804,186400
1998-04-06,0.112500,0.112500,0.106250,0.106250,0.010204,64000
1998-04-13,0.106250,0.123750,0.100000,0.106250,0.010204,581600
1998-04-20,0.100000,0.112500,0.093750,0.112500,0.010804,745600
1998-04-27,0.100000,0.106250,0.093750,0.106250,0.010204,98400
1998-05-04,0.106250,0.106250,0.081250,0.081250,0.007803,1260800
1998-05-11,0.081250,0.093750,0.075000,0.080000,0.007683,964000
1998-05-18,0.075000,0.075000,0.037500,0.075000,0.007203,692000
1998-05-25,0.062500,0.087500,0.062500,0.075000,0.007203,2364000
1998-06-01,0.106250,0.106250,0.062500,0.062500,0.006002,689600
1998-06-08,0.075000,0.075000,0.062500,0.062500,0.006002,377600
1998-06-15,0.075000,0.081250,0.065000,0.075000,0.007203,92000
1998-06-22,0.087500,0.087500,0.087500,0.087500,0.008403,80800
1998-06-29,0.087500,0.087500,0.075000,0.075000,0.007203,80000
1998-07-06,0.087500,0.087500,0.087500,0.087500,0.008403,32000
1998-07-13,0.087500,0.087500,0.081250,0.085000,0.008163,96000
1998-07-20,0.082500,0.087500,0.081250,0.081250,0.007803,156000
1998-07-27,0.081250,0.081250,0.063750,0.068750,0.006603,160000
1998-08-03,0.068750,0.068750,0.068750,0.068750,0.006603,0
1998-08-10,0.068750,0.068750,0.062500,0.068750,0.006603,112000
1998-08-17,0.066250,0.066250,0.062500,0.062500,0.006002,92000
1998-08-24,0.077500,0.081250,0.077500,0.081250,0.007803,360000
1998-08-31,0.065000,0.087500,0.062500,0.087500,0.008403,224000
1998-09-07,0.087500,0.087500,0.063750,0.063750,0.006122,16000
1998-09-14,0.063750,0.063750,0.050000,0.050000,0.004802,40000
1998-09-21,0.050000,0.050000,0.050000,0.050000,0.004802,36000
1998-09-28,0.050000,0.075000,0.050000,0.056250,0.005402,78400
1998-10-05,0.056250,0.056250,0.056250,0.056250,0.005402,0
1998-10-12,0.056250,0.056250,0.056250,0.056250,0.005402,0
1998-10-19,0.056250,0.056250,0.056250,0.056250,0.005402,0
1998-10-26,0.056250,0.056250,0.050000,0.050000,0.004802,64000
1998-11-02,0.043750,0.062500,0.043750,0.048750,0.004682,290400
1998-11-09,0.048750,0.048750,0.048750,0.048750,0.004682,0
1998-11-16,0.048750,0.056250,0.046250,0.056250,0.005402,80000
1998-11-23,0.056250,0.056250,0.040000,0.040000,0.003841,148000
1998-11-30,0.041250,0.041250,0.027500,0.035000,0.003361,256000
1998-12-07,0.040000,0.043750,0.036250,0.037500,0.003601,408800
1998-12-14,0.036250,0.037500,0.035000,0.037500,0.003601,835200
1998-12-21,0.037500,0.037500,0.031250,0.035000,0.003361,420000
1998-12-28,0.031250,0.031250,0.031250,0.031250,0.003001,32000
1999-01-04,0.031250,0.032500,0.031250,0.032500,0.003121,33600
1999-01-11,0.031250,0.037500,0.027500,0.037500,0.003601,188000
1999-01-18,0.033750,0.033750,0.027500,0.028750,0.002761,161600
1999-01-25,0.030000,0.032500,0.028750,0.032500,0.003121,349600
1999-02-01,0.032500,0.037500,0.032500,0.033750,0.003241,324000
1999-02-08,0.033750,0.037500,0.033750,0.037500,0.003601,336000
1999-02-15,0.037500,0.040000,0.035000,0.037500,0.003601,345600
1999-02-22,0.037500,0.043750,0.037500,0.043750,0.004202,64800
1999-03-01,0.037500,0.040000,0.037500,0.040000,0.003841,32000
1999-03-08,0.040000,0.040000,0.037500,0.037500,0.003601,4000
1999-03-15,0.037500,0.043750,0.037500,0.043750,0.004202,80000
1999-03-22,0.043750,0.043750,0.037500,0.037500,0.003601,386400
