Date,Open,High,Low,Close,Adj Close,Volume
1997-01-06,4.300000,5.000000,4.300000,5.000000,0.292584,1500
1997-01-13,5.000000,6.800000,5.000000,5.700000,0.333546,3700
1997-01-20,6.000000,6.500000,6.000000,6.500000,0.455761,700
1997-01-27,6.500000,7.200000,6.500000,7.000000,0.490819,1900
1997-02-03,7.000000,7.000000,6.500000,6.500000,0.455761,800
1997-02-10,6.500000,6.500000,6.200000,6.200000,0.434726,100
1997-02-17,6.200000,6.200000,6.000000,6.000000,0.420702,300
1997-02-24,5.300000,7.000000,5.300000,7.000000,0.490819,900
1997-03-03,7.000000,7.000000,6.500000,6.500000,0.455761,700
1997-03-10,6.500000,6.500000,6.000000,6.000000,0.420702,300
1997-03-17,5.500000,6.500000,5.500000,6.500000,0.455761,800
1997-03-24,5.500000,6.500000,5.500000,6.500000,0.455761,600
1997-03-31,6.500000,6.500000,6.500000,6.500000,0.455761,0
1997-04-07,6.500000,6.500000,4.500000,4.500000,0.315527,400
1997-04-14,4.500000,4.500000,4.500000,4.500000,0.315527,0
1997-04-21,4.200000,4.200000,3.800000,3.800000,0.355260,500
1997-04-28,4.400000,4.400000,4.400000,4.400000,0.411353,500
1997-05-05,4.300000,4.300000,4.100000,4.100000,0.383307,900
1997-05-12,4.100000,4.100000,3.600000,3.600000,0.336562,600
1997-05-19,3.600000,4.500000,3.600000,4.500000,0.420702,500
1997-05-26,4.500000,4.500000,4.500000,4.500000,0.420702,0
1997-06-02,4.500000,4.500000,3.600000,4.000000,0.373958,400
1997-06-09,3.700000,3.800000,3.700000,3.800000,0.355260,900
1997-06-16,3.800000,3.800000,3.600000,3.600000,0.336562,300
1997-06-23,3.600000,3.600000,3.500000,3.500000,0.327213,800
1997-06-30,3.500000,3.600000,3.500000,3.600000,0.336562,700
1997-07-07,3.600000,3.600000,3.400000,3.400000,0.317864,1200
1997-07-14,3.400000,3.400000,3.400000,3.400000,0.317864,0
1997-07-21,3.400000,3.600000,3.300000,3.300000,0.461077,1200
1997-07-28,3.300000,3.300000,3.300000,3.300000,0.461077,0
1997-08-04,3.300000,3.700000,3.300000,3.700000,0.516966,700
1997-08-11,3.700000,4.500000,3.700000,4.500000,0.628742,3200
1997-08-18,4.500000,4.500000,4.100000,4.100000,0.572854,900
1997-08-25,4.100000,4.500000,4.100000,4.500000,0.628742,400
1997-09-01,4.400000,4.400000,4.400000,4.400000,0.614770,200
1997-09-08,4.500000,5.600000,4.500000,5.500000,0.768462,2300
1997-09-15,5.300000,6.000000,5.100000,6.000000,0.838323,2700
1997-09-22,5.700000,5.700000,5.600000,5.600000,0.782434,900
1997-09-29,5.600000,6.000000,5.600000,6.000000,0.838323,400
1997-10-06,5.600000,5.600000,5.600000,5.600000,0.782434,200
1997-10-13,5.600000,6.000000,5.500000,6.000000,0.838323,5400
1997-10-20,6.000000,6.100000,5.200000,6.100000,1.066559,700
1997-10-27,5.600000,5.600000,5.000000,5.000000,0.874228,1000
1997-11-03,5.500000,5.500000,5.000000,5.000000,0.874228,300
1997-11-10,5.000000,5.400000,5.000000,5.400000,0.944167,1700
1997-11-17,5.400000,5.400000,5.000000,5.000000,0.874228,1000
1997-11-24,5.000000,5.000000,4.000000,4.300000,0.751836,3400
1997-12-01,4.300000,4.300000,3.900000,3.900000,0.681898,200
1997-12-08,3.900000,3.900000,3.900000,3.900000,0.681898,0
1997-12-15,3.900000,3.900000,3.900000,3.900000,0.681898,0
1997-12-22,3.900000,3.900000,3.900000,3.900000,0.681898,0
1997-12-29,3.900000,4.200000,3.900000,3.900000,0.681898,800
1998-01-05,3.900000,3.900000,3.900000,3.900000,0.681898,200
1998-01-12,3.900000,4.000000,3.900000,4.000000,0.699383,200
1998-01-19,4.000000,4.500000,4.000000,4.500000,0.786806,800
1998-01-26,4.000000,4.000000,4.000000,4.000000,0.699383,500
1998-02-02,4.000000,4.000000,4.000000,4.000000,0.699383,0
1998-02-09,4.000000,4.000000,4.000000,4.000000,0.699383,0
1998-02-16,4.000000,4.000000,4.000000,4.000000,0.699383,0
1998-02-23,4.000000,4.000000,4.000000,4.000000,0.699383,0
1998-03-02,4.000000,4.000000,4.000000,4.000000,0.699383,0
1998-03-09,4.000000,4.100000,4.000000,4.100000,0.716867,1800
1998-03-16,4.100000,4.100000,4.100000,4.100000,0.716867,0
1998-03-23,4.100000,4.200000,4.100000,4.200000,0.734352,500
1998-03-30,4.200000,4.200000,4.200000,4.200000,0.734352,0
1998-04-06,4.200000,4.200000,4.000000,4.000000,0.699383,800
1998-04-13,4.000000,4.400000,3.900000,4.400000,0.769321,800
1998-04-20,4.000000,4.000000,4.000000,4.000000,0.973054,200
1998-04-27,4.000000,4.000000,4.000000,4.000000,0.973054,300
1998-05-04,4.000000,4.000000,4.000000,4.000000,0.973054,0
1998-05-11,4.000000,4.000000,3.900000,3.900000,0.948728,500
1998-05-18,3.900000,4.500000,3.900000,4.500000,1.094686,1000
1998-05-25,4.500000,4.500000,4.500000,4.500000,1.094686,0
1998-06-01,4.000000,4.000000,3.800000,3.800000,0.924401,600
1998-06-08,3.800000,4.000000,3.800000,3.900000,0.948728,1100
1998-06-15,3.900000,3.900000,3.900000,3.900000,0.948728,300
1998-06-22,3.900000,3.900000,3.900000,3.900000,0.948728,300
1998-06-29,3.900000,3.900000,3.900000,3.900000,0.948728,800
1998-07-06,3.800000,3.800000,2.500000,3.100000,0.754117,5000
1998-07-13,3.100000,3.100000,3.100000,3.100000,0.754117,0
1998-07-20,3.100000,3.100000,3.100000,3.100000,1.183677,0
1998-07-27,3.100000,3.500000,3.100000,3.500000,1.336410,500
1998-08-03,3.500000,3.500000,3.500000,3.500000,1.336410,200
