Date,Open,High,Low,Close,Adj Close,Volume
1987-03-16,10.000000,10.000000,10.000000,10.000000,1.009243,3872600
1987-03-23,10.000000,10.000000,9.875000,9.875000,0.996626,779400
1987-03-30,9.875000,10.000000,9.500000,9.625000,0.971397,617700
1987-04-06,9.625000,9.625000,9.500000,9.625000,0.971397,176700
1987-04-13,9.500000,9.625000,8.875000,9.250000,0.933550,195300
1987-04-20,9.375000,9.500000,9.125000,9.125000,0.920934,151800
1987-04-27,9.250000,9.500000,9.125000,9.375000,0.950728,88700
1987-05-04,9.375000,9.500000,9.250000,9.250000,0.938052,59900
1987-05-11,9.250000,9.375000,9.125000,9.250000,0.938052,115100
1987-05-18,9.125000,9.375000,9.000000,9.250000,0.938052,122600
1987-05-25,9.250000,9.375000,9.000000,9.375000,0.956494,65400
1987-06-01,9.250000,9.375000,9.000000,9.250000,0.943740,41600
1987-06-08,9.250000,9.375000,9.125000,9.250000,0.943740,74800
1987-06-15,9.250000,9.375000,8.875000,9.375000,0.956494,255800
1987-06-22,9.375000,9.375000,9.125000,9.250000,0.943740,67700
1987-06-29,9.125000,9.375000,9.125000,9.250000,0.949385,88200
1987-07-06,9.375000,9.500000,9.250000,9.250000,0.949385,131300
1987-07-13,9.250000,9.375000,9.125000,9.375000,0.962215,194900
1987-07-20,9.250000,9.375000,9.000000,9.000000,0.923726,130000
1987-07-27,9.125000,9.250000,9.000000,9.250000,0.949385,86900
1987-08-03,9.125000,9.250000,9.000000,9.000000,0.929614,84400
1987-08-10,9.125000,9.375000,9.000000,9.000000,0.929614,192500
1987-08-17,9.000000,9.250000,8.875000,9.250000,0.955436,156000
1987-08-24,9.125000,9.250000,8.875000,8.875000,0.916703,91200
1987-08-31,9.000000,9.125000,8.625000,8.750000,0.909396,85000
1987-09-07,8.750000,8.750000,8.125000,8.500000,0.883412,152900
1987-09-14,8.500000,8.500000,8.250000,8.375000,0.870421,241800
1987-09-21,8.375000,8.500000,8.250000,8.250000,0.857431,234100
1987-09-28,8.375000,8.375000,8.000000,8.250000,0.863322,177700
1987-10-05,8.375000,8.375000,8.000000,8.000000,0.837159,272000
1987-10-12,8.125000,8.375000,8.000000,8.000000,0.837159,286100
1987-10-19,7.750000,8.375000,7.125000,8.375000,0.876401,478700
1987-10-26,8.250000,8.375000,7.750000,7.875000,0.824079,252500
1987-11-02,8.000000,8.625000,7.750000,8.375000,0.882619,241500
1987-11-09,8.500000,8.500000,8.375000,8.375000,0.882619,203500
1987-11-16,8.375000,8.750000,8.375000,8.625000,0.908967,374200
1987-11-23,8.625000,8.750000,8.375000,8.625000,0.908967,184900
1987-11-30,8.500000,8.875000,8.375000,8.500000,0.902068,293700
1987-12-07,8.500000,8.625000,8.125000,8.125000,0.862271,279200
1987-12-14,8.250000,8.500000,8.125000,8.375000,0.888802,379400
1987-12-21,8.250000,8.500000,8.250000,8.250000,0.875537,458700
1987-12-28,8.375000,8.375000,8.125000,8.250000,0.881961,466500
1988-01-04,8.375000,9.125000,8.250000,8.875000,0.948777,305100
1988-01-11,8.875000,9.125000,8.875000,9.125000,0.975502,171300
1988-01-18,9.125000,9.375000,9.000000,9.375000,1.002228,243100
1988-01-25,9.125000,9.375000,9.000000,9.125000,0.975502,193000
1988-02-01,9.250000,9.375000,9.125000,9.375000,1.008900,154400
1988-02-08,9.250000,9.375000,9.250000,9.375000,1.008900,172100
1988-02-15,9.375000,9.375000,9.125000,9.375000,1.008900,91700
1988-02-22,9.375000,9.375000,9.250000,9.375000,1.008900,105700
1988-02-29,9.375000,9.625000,9.250000,9.375000,1.015617,165200
1988-03-07,9.500000,9.500000,9.000000,9.250000,1.002075,136300
1988-03-14,9.125000,9.375000,8.875000,9.125000,0.988534,168900
1988-03-21,9.125000,9.250000,8.875000,9.250000,1.002075,177300
1988-03-28,9.250000,9.250000,9.125000,9.250000,1.009167,138800
1988-04-04,9.250000,9.375000,9.125000,9.375000,1.022804,138900
1988-04-11,9.375000,9.500000,9.250000,9.375000,1.022804,139400
1988-04-18,9.375000,9.375000,9.125000,9.375000,1.022804,112600
1988-04-25,9.250000,9.375000,9.125000,9.250000,1.009167,164200
1988-05-02,9.250000,9.500000,9.250000,9.375000,1.030056,150300
1988-05-09,9.250000,9.375000,9.125000,9.250000,1.016321,190400
1988-05-16,9.375000,9.375000,9.125000,9.375000,1.030056,157400
1988-05-23,9.375000,9.375000,9.125000,9.375000,1.030056,187900
1988-05-30,9.250000,9.500000,9.250000,9.375000,1.037359,106300
1988-06-06,9.500000,9.500000,9.375000,9.500000,1.051190,148700
1988-06-13,9.500000,9.625000,9.375000,9.375000,1.037359,151300
1988-06-20,9.375000,9.625000,9.375000,9.375000,1.037359,119100
1988-06-27,9.375000,9.750000,9.375000,9.625000,1.072375,116400
1988-07-04,9.750000,9.750000,9.500000,9.500000,1.058448,84000
1988-07-11,9.625000,9.625000,9.375000,9.500000,1.058448,138700
1988-07-18,9.500000,9.625000,9.375000,9.375000,1.044521,139900
1988-07-25,9.250000,9.500000,9.250000,9.500000,1.058448,98400
1988-08-01,9.500000,9.625000,9.375000,9.500000,1.081167,138800
1988-08-08,9.500000,9.625000,9.375000,9.500000,1.081167,157200
1988-08-15,9.500000,9.625000,9.375000,9.625000,1.095393,114000
1988-08-22,9.500000,9.625000,9.375000,9.500000,1.081167,119900
1988-08-29,9.500000,9.625000,9.375000,9.500000,1.104062,102400
1988-09-05,9.625000,9.750000,9.500000,9.625000,1.118588,102500
1988-09-12,9.750000,9.750000,9.500000,9.625000,1.118588,172800
1988-09-19,9.625000,9.625000,9.500000,9.500000,1.104062,177800
1988-09-26,9.500000,9.750000,9.500000,9.625000,1.118588,131100
1988-10-03,9.625000,9.750000,9.500000,9.750000,1.157111,179100
