Date,Open,High,Low,Close,Adj Close,Volume
2010-04-19,1.890000,2.970000,1.890000,2.500000,2.500000,2641000
2010-04-26,2.600000,2.600000,2.250000,2.450000,2.450000,667800
2010-05-03,2.490000,2.490000,2.250000,2.320000,2.320000,620900
2010-05-10,2.400000,3.170000,2.350000,3.130000,3.130000,3588800
2010-05-17,3.100000,3.100000,2.570000,2.860000,2.860000,407500
2010-05-24,2.780000,3.090000,2.710000,2.740000,2.740000,223400
2010-05-31,2.770000,2.980000,2.660000,2.750000,2.750000,666000
2010-06-07,2.870000,2.870000,2.650000,2.800000,2.800000,391100
2010-06-14,2.630000,3.500000,2.630000,3.400000,3.400000,2463200
2010-06-21,3.500000,3.500000,3.210000,3.400000,3.400000,515200
2010-06-28,3.400000,3.400000,3.140000,3.260000,3.260000,1008900
2010-07-05,3.380000,3.380000,3.060000,3.150000,3.150000,270900
2010-07-12,3.150000,3.350000,3.150000,3.250000,3.250000,734400
2010-07-19,3.200000,3.400000,3.200000,3.300000,3.300000,496400
2010-07-26,3.220000,3.330000,3.100000,3.300000,3.300000,514500
2010-08-02,3.300000,3.650000,3.280000,3.600000,3.600000,569400
2010-08-09,3.700000,4.400000,3.700000,4.400000,4.400000,1955100
2010-08-16,4.420000,5.040000,4.350000,4.980000,4.980000,748500
2010-08-23,5.000000,5.450000,4.730000,5.200000,5.200000,1326000
2010-08-30,5.300000,6.400000,5.250000,6.290000,6.290000,7308200
2010-09-06,6.350000,6.400000,5.750000,5.800000,5.800000,941800
2010-09-13,5.700000,6.900000,5.680000,6.550000,6.550000,2825800
2010-09-20,6.750000,6.940000,5.910000,6.800000,6.800000,2633200
2010-09-27,6.950000,7.190000,6.200000,6.740000,6.740000,2442700
2010-10-04,6.650000,7.040000,6.500000,6.800000,6.800000,3632900
2010-10-11,6.760000,7.700000,6.750000,7.100000,7.100000,1378100
2010-10-18,7.230000,7.230000,6.100000,6.180000,6.180000,1300100
2010-10-25,6.200000,6.750000,5.950000,6.640000,6.640000,2433900
2010-11-01,6.670000,7.100000,6.430000,6.970000,6.970000,1537300
2010-11-08,7.000000,7.480000,6.750000,6.890000,6.890000,1489100
2010-11-15,6.880000,7.660000,6.500000,7.600000,7.600000,4533700
2010-11-22,7.600000,10.550000,7.590000,10.350000,10.350000,5305900
2010-11-29,10.340000,10.780000,10.060000,10.160000,10.160000,2668800
2010-12-06,10.120000,10.200000,9.060000,9.150000,9.150000,1919500
2010-12-13,9.250000,9.700000,8.910000,9.370000,9.370000,4146500
2010-12-20,9.370000,10.250000,9.350000,9.700000,9.700000,1198900
2010-12-27,9.860000,10.020000,9.790000,10.000000,10.000000,307300
2011-01-03,10.270000,10.270000,8.700000,8.790000,8.790000,1100400
2011-01-10,8.890000,8.890000,7.660000,7.700000,7.700000,1627900
2011-01-17,7.750000,8.580000,7.500000,7.880000,7.880000,1022100
2011-01-24,7.860000,8.500000,7.820000,8.500000,8.500000,760200
2011-01-31,8.400000,9.200000,8.110000,9.190000,9.190000,1790500
2011-02-07,9.190000,9.430000,8.990000,9.000000,9.000000,2383000
2011-02-14,9.050000,9.750000,8.700000,9.700000,9.700000,4677200
2011-02-21,9.750000,9.750000,9.200000,9.580000,9.580000,1182200
2011-02-28,9.520000,10.490000,9.510000,10.000000,10.000000,1705700
2011-03-07,10.090000,10.090000,8.300000,8.800000,8.800000,717600
2011-03-14,8.850000,9.200000,8.270000,9.160000,9.160000,1268400
2011-03-21,9.350000,9.900000,8.840000,8.900000,8.900000,3149800
2011-03-28,8.950000,9.200000,8.400000,8.400000,8.400000,418800
2011-04-04,8.530000,8.830000,8.040000,8.660000,8.660000,1341100
2011-04-11,8.550000,8.650000,8.100000,8.100000,8.100000,566700
2011-04-18,8.120000,8.600000,7.550000,8.600000,8.600000,2395200
2011-04-25,8.710000,8.710000,7.910000,8.450000,8.450000,1646600
2011-05-02,8.450000,8.600000,8.150000,8.170000,8.170000,1271200
2011-05-09,8.210000,8.260000,7.160000,7.200000,7.200000,403200
2011-05-16,7.200000,7.550000,6.870000,7.480000,7.480000,413200
2011-05-23,7.510000,7.780000,7.380000,7.650000,7.650000,138300
2011-05-30,7.650000,8.400000,7.610000,7.810000,7.810000,1093700
2011-06-06,7.670000,8.040000,7.570000,7.890000,7.890000,296200
2011-06-13,7.980000,8.020000,7.770000,7.990000,7.990000,2396000
2011-06-20,7.900000,7.900000,7.410000,7.550000,7.550000,752600
2011-06-27,7.580000,7.580000,6.910000,7.340000,7.340000,1246400
2011-07-04,7.400000,7.660000,7.010000,7.440000,7.440000,1152300
2011-07-11,7.400000,7.890000,7.250000,7.570000,7.570000,1169400
2011-07-18,7.560000,7.820000,7.450000,7.690000,7.690000,1074000
2011-07-25,7.600000,7.750000,6.890000,7.300000,7.300000,1121700
2011-08-01,7.490000,7.680000,6.700000,6.830000,6.830000,791400
2011-08-08,6.710000,7.030000,6.060000,6.390000,6.390000,4433300
2011-08-15,6.380000,6.470000,6.110000,6.360000,6.360000,2893400
2011-08-22,6.410000,6.850000,5.750000,5.840000,5.840000,1164300
2011-08-29,5.800000,6.850000,5.730000,6.450000,6.450000,1754300
2011-09-05,6.450000,7.420000,6.430000,7.350000,7.350000,1164500
2011-09-12,7.750000,8.100000,7.430000,7.740000,7.740000,11086800
2011-09-19,7.840000,8.950000,6.590000,7.210000,7.210000,2744200
2011-09-26,7.250000,7.500000,6.240000,6.640000,6.640000,1082200
2011-10-03,6.880000,7.400000,6.450000,6.940000,6.940000,687700
2011-10-10,6.950000,7.500000,6.950000,7.440000,7.440000,447400
2011-10-17,7.370000,7.480000,6.500000,6.740000,6.740000,1406000
2011-10-24,6.750000,7.980000,6.750000,7.950000,7.950000,2130700
2011-10-31,7.880000,8.680000,7.300000,8.340000,8.340000,2577100
2011-11-07,8.420000,8.850000,8.030000,8.800000,8.800000,2505500
2011-11-14,8.800000,9.530000,8.410000,8.640000,8.640000,2592300
2011-11-21,8.600000,9.380000,8.100000,9.000000,9.000000,3128300
2011-11-28,9.340000,9.620000,9.000000,9.200000,9.200000,2365700
2011-12-05,9.200000,9.200000,8.120000,8.370000,8.370000,1816000
2011-12-12,8.150000,8.190000,6.500000,6.590000,6.590000,1980200
2011-12-19,6.660000,8.060000,6.600000,7.290000,7.290000,1780100
2011-12-26,7.290000,7.620000,6.900000,7.520000,7.520000,424500
2012-01-02,7.750000,8.250000,7.600000,7.910000,7.910000,1208800
2012-01-09,8.000000,8.900000,7.970000,8.510000,8.510000,1971000
2012-01-16,8.550000,9.060000,8.520000,8.730000,8.730000,1027300
2012-01-23,8.730000,8.870000,8.090000,8.630000,8.630000,2375200
2012-01-30,8.630000,9.130000,8.450000,8.480000,8.480000,2774800
2012-02-06,8.450000,8.700000,7.560000,7.810000,7.810000,1277600
2012-02-13,7.770000,8.200000,7.760000,8.010000,8.010000,1657500
2012-02-20,8.390000,8.630000,8.100000,8.190000,8.190000,630400
2012-02-27,8.240000,8.440000,7.700000,8.020000,8.020000,1854000
2012-03-05,8.020000,8.060000,7.080000,8.000000,8.000000,1983200
2012-03-12,8.000000,8.040000,7.420000,7.980000,7.980000,1509100
2012-03-19,8.000000,8.020000,7.160000,7.450000,7.450000,1250500
2012-03-26,7.500000,7.960000,7.010000,7.420000,7.420000,1081200
2012-04-02,7.450000,7.790000,7.140000,7.200000,7.200000,1616500
2012-04-09,7.480000,7.840000,7.300000,7.470000,7.470000,2577700
2012-04-16,7.640000,7.690000,7.240000,7.250000,7.250000,1094900
2012-04-23,7.250000,7.250000,6.130000,7.180000,7.180000,4853800
2012-04-30,7.100000,7.570000,6.750000,7.030000,7.030000,997400
2012-05-07,6.930000,6.960000,6.050000,6.400000,6.400000,2153700
2012-05-14,6.400000,6.710000,5.350000,5.880000,5.880000,2251000
2012-05-21,5.880000,6.980000,5.540000,6.980000,6.980000,1621400
2012-05-28,7.140000,7.250000,6.200000,7.100000,7.100000,1715800
2012-06-04,7.200000,8.090000,7.170000,7.520000,7.520000,4614000
2012-06-11,7.790000,7.820000,7.250000,7.800000,7.800000,2289700
2012-06-18,7.630000,7.850000,6.680000,6.830000,6.830000,2131900
2012-06-25,7.040000,7.040000,5.960000,6.590000,6.590000,1892000
2012-07-02,6.620000,7.100000,6.350000,6.610000,6.610000,1191700
2012-07-09,6.580000,6.630000,6.140000,6.510000,6.510000,1444900
2012-07-16,6.520000,6.520000,6.200000,6.450000,6.450000,748500
2012-07-23,6.330000,7.010000,6.270000,6.980000,6.980000,1327600
2012-07-30,6.980000,7.270000,6.930000,7.080000,7.080000,1079700
2012-08-06,7.230000,7.650000,7.120000,7.560000,7.560000,1740500
2012-08-13,7.560000,7.690000,7.230000,7.560000,7.560000,1593700
2012-08-20,7.550000,7.850000,7.400000,7.710000,7.710000,3769700
2012-08-27,7.790000,7.790000,7.230000,7.520000,7.520000,2528600
2012-09-03,7.550000,7.860000,7.390000,7.850000,7.850000,5677800
2012-09-10,7.930000,8.530000,7.660000,8.370000,8.370000,4539600
2012-09-17,8.320000,9.260000,8.170000,9.260000,9.260000,4399700
2012-09-24,9.250000,9.250000,8.280000,8.810000,8.810000,2603400
2012-10-01,9.250000,10.020000,8.930000,9.000000,9.000000,11516200
2012-10-08,9.000000,9.050000,8.640000,8.890000,8.890000,1936500
2012-10-15,8.740000,9.050000,8.680000,8.990000,8.990000,3069200
2012-10-22,9.100000,9.340000,8.880000,9.120000,9.120000,1323600
2012-10-29,9.250000,9.640000,9.240000,9.420000,9.420000,2759000
2012-11-05,9.460000,10.010000,9.250000,9.800000,9.800000,2885600
2012-11-12,10.000000,10.030000,9.050000,9.360000,9.360000,4581100
2012-11-19,9.510000,9.680000,9.300000,9.640000,9.640000,1846000
2012-11-26,9.570000,9.670000,9.250000,9.330000,9.330000,866300
2012-12-03,9.400000,9.450000,8.590000,8.880000,8.880000,2970000
2012-12-10,9.010000,9.200000,8.760000,8.970000,8.970000,2218100
2012-12-17,9.090000,9.450000,8.100000,8.500000,8.500000,3168100
2012-12-24,8.410000,8.740000,8.330000,8.450000,8.450000,705600
2012-12-31,8.650000,9.100000,8.500000,8.750000,8.750000,771200
2013-01-07,8.750000,9.330000,8.750000,9.120000,9.120000,1600900
2013-01-14,9.250000,9.290000,8.950000,8.990000,8.990000,1414800
2013-01-21,8.930000,9.200000,8.180000,8.250000,8.250000,1021500
2013-01-28,8.300000,8.630000,8.170000,8.370000,8.370000,847000
2013-02-04,8.410000,8.490000,7.820000,7.890000,7.890000,957500
