Date,Open,High,Low,Close,Adj Close,Volume
2006-05-15,15.000000,15.000000,14.450000,14.600000,4.936499,585800
2006-05-22,14.750000,15.440000,14.660000,14.950000,5.054838,347700
2006-05-29,15.000000,15.000000,14.800000,14.960000,5.058218,193200
2006-06-05,14.940000,15.050000,14.900000,15.000000,5.071744,116100
2006-06-12,15.000000,15.050000,14.370000,14.800000,5.004121,305900
2006-06-19,14.850000,15.000000,14.680000,14.900000,5.037932,344000
2006-06-26,14.940000,15.010000,14.270000,14.270000,4.824919,1335900
2006-07-03,14.720000,14.900000,14.330000,14.500000,4.902685,132400
2006-07-10,14.380000,14.850000,13.910000,14.190000,4.841758,152000
2006-07-17,14.190000,14.670000,12.790000,13.500000,4.606323,2593000
2006-07-24,13.650000,14.560000,13.510000,14.540000,4.961180,314100
2006-07-31,14.800000,14.800000,14.200000,14.410000,4.916822,157200
2006-08-07,14.400000,14.600000,14.210000,14.450000,4.930471,584000
2006-08-14,14.550000,14.750000,14.410000,14.510000,4.950943,194000
2006-08-21,14.510000,14.800000,14.280000,14.510000,4.950943,175000
2006-08-28,14.540000,14.950000,14.380000,14.800000,5.049894,178000
2006-09-04,14.840000,14.950000,14.500000,14.780000,5.043072,141900
2006-09-11,14.760000,14.990000,14.670000,14.970000,5.107902,302300
2006-09-18,14.870000,15.270000,14.850000,15.020000,5.124959,418200
2006-09-25,15.000000,15.750000,15.000000,15.300000,5.220498,353900
2006-10-02,15.320000,16.549999,15.310000,16.500000,5.629950,346700
2006-10-09,16.500000,16.980000,16.010000,16.490000,5.626536,300400
2006-10-16,16.500000,16.500000,16.000000,16.000000,5.546794,241500
2006-10-23,16.160000,16.440001,16.000000,16.309999,5.654264,296000
2006-10-30,16.240000,17.190001,15.410000,16.309999,5.654264,275600
2006-11-06,16.389999,17.240000,16.280001,16.879999,5.851868,317000
2006-11-13,16.830000,17.490000,16.750000,17.330000,6.007871,239600
2006-11-20,17.260000,17.889999,17.170000,17.530001,6.077208,159900
2006-11-27,17.520000,17.900000,16.600000,16.700001,5.789467,299100
2006-12-04,16.719999,17.379999,16.350000,17.100000,5.928137,211200
2006-12-11,17.070000,17.420000,16.830000,16.920000,5.865735,148400
2006-12-18,16.990000,17.379999,16.700001,17.040001,5.907338,74000
2006-12-25,17.090000,17.510000,16.980000,17.150000,5.945469,127500
2007-01-01,17.160000,18.459999,17.150000,17.660000,6.122273,196200
2007-01-08,17.950001,18.309999,17.340000,18.200001,6.309479,326900
2007-01-15,18.100000,18.100000,17.500000,17.900000,6.205475,151300
2007-01-22,17.809999,17.889999,16.780001,17.139999,6.041590,335300
2007-01-29,17.170000,18.200001,16.860001,18.049999,6.362351,189000
2007-02-05,18.150000,18.420000,17.820000,18.320000,6.457522,225400
2007-02-12,18.379999,18.450001,17.500000,17.670000,6.228407,149200
2007-02-19,17.700001,18.150000,17.500000,17.780001,6.267182,147500
2007-02-26,17.770000,17.879999,16.910000,17.250000,6.080362,255300
2007-03-05,17.150000,17.820000,17.049999,17.719999,6.246030,178800
2007-03-12,17.340000,17.870001,17.150000,17.500000,6.168484,347500
2007-03-19,17.500000,17.750000,17.150000,17.340000,6.112088,224900
2007-03-26,17.340000,17.530001,16.650000,16.770000,5.911174,300800
2007-04-02,16.790001,17.590000,16.250000,16.750000,5.904121,178000
2007-04-09,16.799999,16.799999,16.209999,16.540001,5.830100,690400
2007-04-16,16.620001,17.309999,16.270000,16.410000,5.784276,203200
2007-04-23,16.400000,17.590000,15.520000,15.580000,5.589316,282800
2007-04-30,15.490000,16.780001,15.490000,16.459999,5.905016,4014600
2007-05-07,16.549999,16.650000,16.120001,16.340000,5.861967,919200
2007-05-14,16.440001,16.469999,16.000000,16.139999,5.790216,979000
2007-05-21,16.290001,16.700001,16.049999,16.620001,5.962416,960900
2007-05-28,16.719999,17.620001,16.520000,17.570000,6.303227,2086100
2007-06-04,17.570000,17.740000,16.520000,16.750000,6.009056,1208100
2007-06-11,16.680000,17.170000,16.370001,17.040001,6.113090,801700
2007-06-18,17.120001,18.170000,16.980000,18.170000,6.518476,1866200
2007-06-25,18.010000,18.100000,17.500000,17.830000,6.396502,1180600
2007-07-02,17.889999,18.190001,17.570000,18.190001,6.525652,427800
2007-07-09,18.160000,18.160000,17.040001,17.549999,6.296051,459900
2007-07-16,17.549999,18.340000,17.139999,17.430000,6.253004,800700
2007-07-23,17.280001,17.420000,15.350000,15.480000,5.553440,771600
2007-07-30,15.500000,15.940000,14.990000,15.020000,5.482783,1009400
2007-08-06,15.080000,16.350000,14.090000,14.790000,5.398825,1377200
2007-08-13,15.990000,15.990000,13.450000,15.180000,5.541189,1060900
2007-08-20,15.290000,15.840000,14.320000,14.380000,5.249165,576100
2007-08-27,14.420000,14.710000,13.560000,14.090000,5.143303,553700
2007-09-03,14.630000,15.030000,14.000000,14.240000,5.198060,648000
2007-09-10,14.330000,14.830000,13.770000,14.310000,5.223613,461700
2007-09-17,14.330000,15.370000,14.210000,15.270000,5.574042,694300
2007-09-24,15.960000,16.440001,15.330000,16.059999,5.862417,597600
2007-10-01,15.930000,16.990000,15.610000,16.879999,6.161745,566300
2007-10-08,16.809999,17.389999,16.500000,16.889999,6.165395,480900
2007-10-15,17.000000,17.020000,15.580000,15.610000,5.698152,440000
2007-10-22,15.500000,16.160000,15.280000,15.930000,5.931802,755300
2007-10-29,16.110001,16.360001,15.500000,15.580000,5.801474,741100
2007-11-05,15.580000,15.960000,14.450000,14.770000,5.499856,528300
2007-11-12,14.720000,15.600000,14.470000,15.200000,5.659974,782900
2007-11-19,15.010000,15.170000,14.000000,14.630000,5.447725,535800
2007-11-26,14.710000,15.750000,14.310000,14.890000,5.544540,813800
2007-12-03,14.940000,15.790000,14.860000,15.590000,5.805196,835100
2007-12-10,15.650000,15.650000,14.290000,14.480000,5.391870,601700
2007-12-17,14.420000,15.840000,14.370000,15.700000,5.846157,801000
2007-12-24,15.750000,15.750000,14.770000,15.000000,5.585501,460600
2007-12-31,14.890000,15.470000,14.500000,14.570000,5.425384,536800
2008-01-07,14.730000,15.580000,14.320000,14.690000,5.470067,1645200
2008-01-14,14.790000,15.060000,13.450000,13.760000,5.123766,612400
2008-01-21,13.350000,14.590000,11.610000,13.870000,5.164727,602700
2008-01-28,13.900000,14.990000,13.290000,14.690000,5.606766,799200
2008-02-04,14.640000,14.920000,14.330000,14.650000,5.591498,588300
2008-02-11,14.630000,14.750000,13.440000,13.700000,5.228910,669700
2008-02-18,13.890000,13.990000,13.140000,13.270000,5.064793,413200
2008-02-25,13.400000,14.590000,13.300000,13.600000,5.190742,608200
2008-03-03,13.640000,13.640000,12.080000,12.430000,4.744187,571400
2008-03-10,12.450000,12.790000,10.890000,11.930000,4.553350,777400
2008-03-17,11.710000,12.970000,11.480000,12.860000,4.908305,878000
2008-03-24,12.900000,12.930000,11.890000,12.580000,4.801436,1007000
2008-03-31,12.750000,13.570000,12.750000,13.020000,4.969374,642000
2008-04-07,13.050000,13.080000,12.360000,12.370000,4.721286,506700
2008-04-14,12.390000,13.070000,12.010000,12.510000,4.774719,804400
2008-04-21,12.430000,12.510000,12.000000,12.210000,4.784620,405100
2008-04-28,12.240000,13.070000,12.100000,12.560000,4.921770,536500
2008-05-05,12.490000,12.990000,12.380000,12.700000,4.976631,541400
2008-05-12,12.850000,12.900000,10.750000,12.410000,4.862991,1841200
2008-05-19,12.430000,13.070000,12.330000,13.040000,5.109863,1393600
2008-05-26,13.010000,13.750000,12.700000,13.700000,5.368491,781900
2008-06-02,13.690000,13.700000,12.900000,12.980000,5.086351,761100
2008-06-09,13.000000,13.300000,12.500000,12.710000,4.980550,1036800
2008-06-16,12.690000,12.810000,12.100000,12.190000,4.776782,838900
2008-06-23,12.240000,12.330000,11.380000,11.390000,4.463295,1577700
2008-06-30,11.440000,11.830000,10.850000,10.870000,4.259526,756900
2008-07-07,10.970000,10.970000,10.190000,10.480000,4.106699,992100
2008-07-14,10.540000,11.130000,9.510000,10.830000,4.243851,878600
2008-07-21,10.850000,11.690000,10.580000,11.410000,4.471130,722700
2008-07-28,11.360000,11.920000,10.910000,11.800000,4.764207,705300
2008-08-04,11.820000,12.280000,11.240000,12.230000,4.937818,709600
2008-08-11,13.060000,13.420000,12.420000,12.640000,5.103353,945600
2008-08-18,12.640000,12.770000,12.210000,12.450000,5.026641,1011100
2008-08-25,12.310000,13.250000,12.050000,12.840000,5.184101,579800
2008-09-01,12.890000,13.830000,12.850000,13.370000,5.398088,917500
2008-09-08,13.820000,14.600000,13.220000,14.560000,5.878548,1164200
2008-09-15,14.010000,14.640000,12.560000,14.240000,5.749348,1383800
2008-09-22,14.220000,14.640000,13.510000,14.080000,5.684749,922000
2008-09-29,14.010000,14.440000,12.700000,14.150000,5.713010,1101000
2008-10-06,13.850000,13.850000,9.340000,10.840000,4.376609,1130500
2008-10-13,11.400000,14.190000,10.070000,13.370000,5.398088,977500
2008-10-20,13.430000,13.940000,11.590000,11.770000,4.752096,817800
2008-10-27,11.630000,12.580000,11.250000,12.200000,5.056036,663000
2008-11-03,12.120000,12.470000,10.760000,10.930000,4.529710,523500
2008-11-10,11.000000,11.500000,9.850000,10.740000,4.450968,835300
2008-11-17,10.660000,10.770000,7.520000,8.780000,3.638688,733900
2008-11-24,8.880000,10.750000,8.680000,10.010000,4.148435,531200
2008-12-01,9.740000,10.070000,8.140000,9.350000,3.874913,691700
2008-12-08,9.600000,10.650000,9.090000,9.880000,4.094560,698700
2008-12-15,9.920000,11.920000,9.250000,11.790000,4.886118,692900
2008-12-22,11.860000,11.900000,9.800000,10.340000,4.285197,307500
2008-12-29,10.280000,12.190000,9.590000,11.980000,4.964860,416500
2009-01-05,12.030000,12.150000,11.230000,11.240000,4.658182,440100
2009-01-12,11.260000,11.680000,10.150000,10.450000,4.330784,821000
2009-01-19,10.280000,10.550000,9.070000,9.530000,3.949510,551400
2009-01-26,9.520000,12.200000,9.430000,10.810000,4.641677,750700
2009-02-02,10.470000,11.700000,9.800000,11.200000,4.809137,1012700
2009-02-09,11.190000,11.240000,9.800000,10.200000,4.379750,453400
2009-02-16,9.800000,10.030000,8.790000,9.230000,3.963245,327700
2009-02-23,9.360000,9.650000,8.390000,8.810000,3.782902,494400
2009-03-02,8.700000,8.920000,6.930000,7.350000,3.155996,620200
