Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,1.912570,1.912570,1.204920,1.348360,1.348360,350303
2016-03-14,1.338800,1.434430,1.338800,1.338800,1.338800,407278
2016-03-21,1.338800,1.434430,1.338800,1.367490,1.367490,188518
2016-03-28,1.415300,1.482240,1.357920,1.453550,1.453550,94595
2016-04-04,1.443990,1.482240,1.386610,1.434430,1.434430,100570
2016-04-11,1.415300,1.491800,1.357920,1.415300,1.415300,169382
2016-04-18,1.443990,1.587430,1.434430,1.510930,1.510930,697435
2016-04-25,1.510930,1.606560,1.424860,1.606560,1.606560,34832
2016-05-02,1.606560,1.606560,1.443990,1.510930,1.510930,63216
2016-05-09,1.520490,1.606560,1.520490,1.558740,1.558740,48835
2016-05-16,1.616120,1.616120,1.482240,1.530060,1.530060,172128
2016-05-23,1.530060,1.558740,1.482240,1.491800,1.491800,71858
2016-05-30,1.577870,1.587430,1.520490,1.568310,1.568310,113763
2016-06-06,1.568310,1.663930,1.558740,1.596990,1.596990,201889
2016-06-13,1.577870,1.587430,1.558740,1.568310,1.568310,79063
2016-06-20,1.568310,1.606560,1.530060,1.577870,1.577870,147102
2016-06-27,1.577870,1.596990,1.501370,1.530060,1.530060,260352
2016-07-04,1.539620,1.539620,1.491800,1.491800,1.491800,23108
2016-07-11,1.510930,1.558740,1.434430,1.463120,1.463120,169359
2016-07-18,1.405740,1.434430,1.367490,1.386610,1.386610,61945
2016-07-25,1.386610,1.405740,1.386610,1.386610,1.386610,64732
2016-08-01,1.386610,1.386610,1.281420,1.281420,1.281420,52601
2016-08-08,1.243170,1.424860,1.243170,1.386610,1.386610,92020
2016-08-15,1.348360,1.463120,1.338800,1.434430,1.434430,57408
2016-08-22,1.386610,1.443990,1.386610,1.415300,1.415300,23279
2016-08-29,1.415300,1.769130,1.405740,1.711750,1.711750,356199
2016-09-05,1.711750,1.903010,1.711750,1.769130,1.769130,154138
2016-09-12,1.769130,1.816940,1.702190,1.711750,1.711750,91030
2016-09-19,1.683060,1.683060,1.539620,1.539620,1.539620,60947
2016-09-26,1.596990,1.721310,1.539620,1.721310,1.721310,52200
2016-10-03,1.692620,1.769130,1.625680,1.625680,1.625680,74122
2016-10-10,1.625680,1.692620,1.558740,1.577870,1.577870,36410
2016-10-17,1.539620,1.577870,1.530060,1.539620,1.539620,79237
2016-10-24,1.577870,1.577870,1.434430,1.482240,1.482240,84642
2016-10-31,1.463120,1.472680,1.147540,1.329240,1.329240,122913
2016-11-07,1.338800,1.386610,1.281420,1.386610,1.386610,53920
2016-11-14,1.310110,1.386610,1.281420,1.319670,1.319670,28010
2016-11-21,1.319670,1.424860,1.310110,1.329240,1.329240,31540
2016-11-28,1.338800,1.338800,1.290980,1.290980,1.290980,24711
2016-12-05,1.290980,1.290980,1.195360,1.195360,1.195360,48447
2016-12-12,1.204920,1.233610,1.147540,1.185790,1.185790,54530
2016-12-19,1.176230,1.214480,1.090160,1.118850,1.118850,98732
2016-12-26,1.118850,1.147540,1.090160,1.128420,1.128420,34847
2017-01-02,1.128420,1.377050,1.118850,1.377050,1.377050,90267
2017-01-09,1.386610,1.472680,1.300550,1.300550,1.300550,60503
2017-01-16,1.367490,1.367490,1.137980,1.176230,1.176230,33686
2017-01-23,1.176230,1.185790,1.128420,1.157100,1.157100,34048
2017-01-30,1.157100,1.157100,1.080600,1.118850,1.118850,33147
2017-02-06,1.118850,1.166670,1.051910,1.157100,1.157100,28959
2017-02-13,1.147540,1.166670,1.051910,1.080600,1.080600,49745
2017-02-20,1.080600,1.128420,1.061480,1.061480,1.061480,36606
2017-02-27,1.071040,1.099730,1.013660,1.099730,1.099730,18645
2017-03-06,1.042350,1.176230,1.042350,1.080600,1.080600,46099
2017-03-13,1.090160,1.195360,1.080600,1.137980,1.137980,49234
2017-03-20,1.137980,1.204920,1.080600,1.147540,1.147540,50250
2017-03-27,1.147540,1.147540,0.927600,1.042350,1.042350,117044
2017-04-03,1.004100,1.042350,0.946720,0.975410,0.975410,97605
2017-04-10,0.946720,1.099730,0.927600,1.023220,1.023220,165504
2017-04-17,1.109290,1.109290,0.994540,0.994540,0.994540,55719
2017-04-24,0.994540,1.080600,0.994540,1.004100,1.004100,63316
2017-05-01,1.004100,1.157100,1.004100,1.157100,1.157100,59808
2017-05-08,1.128420,1.128420,0.927600,0.975410,0.975410,115214
2017-05-15,0.975410,0.975410,0.812840,0.831970,0.831970,116778
2017-05-22,0.831970,0.851090,0.822400,0.851090,0.851090,12203
2017-05-29,0.879780,0.889340,0.812840,0.812840,0.812840,26460
2017-06-05,0.822400,0.860660,0.793720,0.812840,0.812840,26696
2017-06-12,0.812840,0.812840,0.726780,0.765030,0.765030,92674
2017-06-19,0.717210,0.717210,0.602460,0.621580,0.621580,36660
2017-06-26,0.631150,0.717210,0.573770,0.717210,0.717210,47377
2017-07-03,0.717210,0.717210,0.545080,0.631150,0.631150,28193
2017-07-10,0.583330,0.583330,0.573770,0.573770,0.573770,3485
2017-07-17,0.573770,0.573770,0.516390,0.545080,0.545080,15855
2017-07-24,0.525960,0.564210,0.516390,0.554640,0.554640,33845
