Date,Open,High,Low,Close,Adj Close,Volume
2013-05-20,25.049999,25.100000,24.930000,24.969999,19.123058,1133900
2013-05-27,25.000000,25.150000,24.650000,25.150000,19.260912,4177500
2013-06-03,24.980000,24.980000,24.400000,24.500000,18.763115,1621800
2013-06-10,24.500000,24.500000,22.410000,23.700001,18.150442,1473100
2013-06-17,23.900000,24.330000,23.100000,23.170000,17.744549,1470000
2013-06-24,23.000000,24.200001,21.680000,24.100000,18.456779,1098700
2013-07-01,24.030001,24.469999,23.780001,23.920000,18.318930,539400
2013-07-08,23.900000,23.900000,22.570000,22.770000,17.438213,680500
2013-07-15,22.840000,23.990000,22.809999,23.980000,18.364878,533900
2013-07-22,23.990000,23.990000,23.000000,23.299999,17.844105,482600
2013-07-29,23.200001,23.200001,21.900000,22.450001,17.193140,643200
2013-08-05,22.500000,22.549999,21.549999,21.700001,16.618759,743900
2013-08-12,21.660000,21.910000,20.020000,21.139999,16.189890,971400
2013-08-19,21.110001,21.610001,20.430000,21.469999,16.442614,864000
2013-08-26,21.520000,21.670000,20.900000,21.070000,16.136280,514600
2013-09-02,21.180000,21.370001,20.770000,20.940001,16.357014,481500
2013-09-09,21.000000,21.129999,20.299999,20.600000,16.091423,606800
2013-09-16,20.750000,21.129999,20.309999,20.490000,16.005497,782400
2013-09-23,20.440001,20.980000,20.309999,20.900000,16.325766,812200
2013-09-30,20.840000,21.450001,20.780001,21.320000,16.653845,778000
2013-10-07,21.150000,21.170000,20.400000,20.540001,16.044558,496600
2013-10-14,20.500000,21.139999,20.200001,20.500000,16.013313,666800
2013-10-21,20.549999,21.469999,20.549999,21.100000,16.481997,729500
2013-10-28,21.049999,21.309999,20.770000,21.080000,16.466373,648700
2013-11-04,21.010000,21.100000,20.760000,20.969999,16.380447,553500
2013-11-11,20.820000,21.010000,20.600000,20.670000,16.146107,686200
2013-11-18,20.750000,20.750000,20.200001,20.459999,15.982065,1056700
2013-11-25,20.450001,20.459999,19.950001,20.059999,15.669614,999200
2013-12-02,20.070000,20.090000,19.180000,19.309999,15.372225,1291300
2013-12-09,19.389999,19.459999,18.820000,19.170000,15.260772,1264400
2013-12-16,19.180000,19.580000,19.100000,19.430000,15.467752,1311100
2013-12-23,19.590000,19.590000,18.940001,19.020000,15.141363,1103800
2013-12-30,19.030001,19.799999,18.879999,19.770000,15.738419,1247700
2014-01-06,19.889999,20.250000,19.770000,20.250000,16.120535,1144200
2014-01-13,20.260000,20.500000,20.180000,20.340000,16.192183,912700
2014-01-20,20.370001,20.700001,20.299999,20.500000,16.319553,622600
2014-01-27,18.910000,20.709999,18.910000,20.549999,16.359356,562700
2014-02-03,20.610001,20.629999,20.320000,20.520000,16.335478,458200
2014-02-10,20.559999,21.100000,20.540001,21.000000,16.717590,537500
2014-02-17,21.100000,21.450001,21.049999,21.400000,17.036022,943100
2014-02-24,21.450001,21.500000,20.900000,21.110001,16.805161,1025800
2014-03-03,21.150000,21.230000,20.980000,21.120001,17.119223,1151000
2014-03-10,21.150000,21.750000,21.049999,21.750000,17.629879,460900
2014-03-17,21.790001,22.000000,21.639999,21.870001,17.727150,679400
2014-03-24,21.910000,22.049999,21.750000,22.020000,17.848734,902700
2014-03-31,22.049999,22.250000,22.000000,22.120001,17.929792,675800
2014-04-07,22.160000,22.290001,22.080000,22.200001,17.994637,630300
2014-04-14,22.250000,22.410000,22.090000,22.230000,18.018951,490200
2014-04-21,22.230000,22.400000,22.150000,22.340000,18.108116,614900
2014-04-28,22.389999,23.219999,22.350000,23.170000,18.780891,1061700
2014-05-05,23.160000,23.340000,22.260000,23.230000,18.829525,770700
2014-05-12,23.270000,23.600000,23.200001,23.520000,19.064585,1037400
2014-05-19,23.530001,23.830000,23.379999,23.600000,19.129435,1297400
2014-05-26,23.600000,23.700001,23.150000,23.270000,18.861946,679800
2014-06-02,23.260000,23.299999,22.670000,23.139999,19.064926,900900
2014-06-09,23.180000,23.459999,22.860001,23.379999,19.262665,668600
2014-06-16,23.440001,23.480000,23.110001,23.250000,19.155554,799300
2014-06-23,23.330000,23.430000,23.110001,23.340000,19.229708,805200
2014-06-30,23.370001,23.389999,23.170000,23.250000,19.155554,697300
2014-07-07,23.180000,23.480000,23.180000,23.450001,19.320333,624100
2014-07-14,23.480000,23.900000,23.450001,23.900000,19.691088,585000
2014-07-21,23.950001,23.959999,23.690001,23.930000,19.715805,571900
2014-07-28,23.930000,24.129999,23.360001,23.620001,19.460402,703400
2014-08-04,23.700001,23.780001,23.510000,23.670000,19.501593,653600
2014-08-11,23.770000,24.049999,23.670000,24.030001,19.798193,434800
2014-08-18,24.049999,24.059999,23.870001,23.959999,19.740520,623900
2014-08-25,24.000000,24.200001,23.770000,23.809999,19.616936,717900
2014-09-01,23.930000,23.940001,23.570000,23.730000,19.865425,550100
2014-09-08,23.730000,23.799999,23.230000,23.340000,19.538940,575000
2014-09-15,23.360001,23.590000,23.170000,23.510000,19.681253,401300
2014-09-22,23.430000,23.430000,23.020000,23.080000,19.321281,587000
2014-09-29,23.070000,23.299999,22.959999,23.120001,19.354765,439800
2014-10-06,23.180000,23.350000,23.070000,23.219999,19.438478,328200
2014-10-13,23.290001,23.440001,23.010000,23.299999,19.505453,292400
2014-10-20,23.549999,23.770000,23.330000,23.680000,19.823566,356300
2014-10-27,23.719999,23.740000,23.520000,23.540001,19.706369,449000
2014-11-03,23.680000,24.139999,23.610001,23.860001,19.974257,380100
2014-11-10,23.889999,24.340000,23.830000,24.340000,20.376083,474800
2014-11-17,24.330000,24.430000,24.180000,24.430000,20.451427,681600
2014-11-24,24.430000,24.480000,24.040001,24.219999,20.275623,326800
2014-12-01,24.240000,24.260000,24.000000,24.059999,20.462215,447900
2014-12-08,24.090000,24.139999,23.879999,24.000000,20.411188,395500
2014-12-15,24.110001,24.180000,23.830000,24.139999,20.530251,418600
2014-12-22,24.180000,24.180000,23.709999,23.790001,20.232592,252200
2014-12-29,23.889999,24.290001,23.750000,24.219999,20.598288,241700
2015-01-05,24.209999,24.340000,24.110001,24.230000,20.606794,522600
2015-01-12,24.240000,24.260000,24.150000,24.190001,20.572777,546200
2015-01-19,24.219999,24.690001,24.170000,24.650000,20.963989,606900
2015-01-26,24.700001,24.920000,24.520000,24.520000,20.853430,806900
2015-02-02,24.530001,24.820000,24.209999,24.730000,21.032024,757800
2015-02-09,24.670000,24.830000,24.600000,24.820000,21.108568,582600
2015-02-16,24.850000,24.860001,24.510000,24.760000,21.057541,436700
2015-02-23,24.830000,25.180000,24.530001,24.600000,20.921467,812200
2015-03-02,24.680000,24.940001,24.600000,24.670000,20.981001,601800
2015-03-09,24.719999,24.900000,24.530001,24.690001,20.998007,567600
2015-03-16,24.730000,25.040001,24.660000,24.980000,21.244642,775900
2015-03-23,24.980000,25.070000,24.950001,25.049999,21.304174,647200
2015-03-30,25.020000,25.080000,24.959999,25.070000,21.321184,427400
2015-04-06,25.059999,25.139999,25.030001,25.070000,21.321184,540900
2015-04-13,25.090000,25.309999,25.049999,25.170000,21.406231,431800
2015-04-20,25.160000,25.450001,25.160000,25.290001,21.508289,428200
2015-04-27,25.309999,25.360001,25.129999,25.160000,21.397726,343100
2015-05-04,25.250000,25.260000,24.809999,25.190001,21.423243,440000
2015-05-11,25.170000,25.270000,24.770000,25.190001,21.423243,477200
2015-05-18,25.150000,25.400000,25.110001,25.330000,21.542309,493700
2015-05-25,25.370001,25.420000,24.950001,25.049999,21.304174,416000
2015-06-01,25.120001,25.139999,24.860001,24.940001,21.210627,542500
2015-06-08,24.950001,24.950001,24.719999,24.780001,21.074551,397000
2015-06-15,24.830000,24.900000,24.700001,24.780001,21.074551,334500
2015-06-22,24.770000,24.830000,24.670000,24.780001,21.074551,317100
2015-06-29,24.730000,25.139999,24.709999,25.080000,21.329691,180900
2015-07-06,25.049999,25.100000,24.870001,25.020000,21.278662,307200
2015-07-13,25.030001,25.320000,24.910000,25.209999,21.440250,249100
2015-07-20,25.230000,25.299999,25.010000,25.120001,21.363708,318000
2015-07-27,25.010000,25.209999,24.940001,25.150000,21.389221,359400
2015-08-03,25.110001,25.190001,25.040001,25.170000,21.406231,148000
2015-08-10,25.100000,25.180000,24.980000,25.040001,21.295670,292200
2015-08-17,25.080000,25.120001,24.889999,24.889999,21.168102,331900
2015-08-24,24.670000,25.000000,23.730000,24.740000,21.040531,324700
2015-08-31,24.740000,24.920000,24.590000,24.809999,21.100063,326500
2015-09-07,24.830000,24.920000,24.040001,24.290001,20.657824,1029800
2015-09-14,24.299999,24.299999,24.090000,24.170000,20.555769,1141000
2015-09-21,24.200001,24.400000,24.129999,24.309999,20.674831,447400
2015-09-28,24.340000,24.340000,23.809999,23.920000,20.343147,498100
2015-10-05,24.030001,24.379999,23.950001,24.330000,20.691841,271800
2015-10-12,24.379999,24.510000,24.299999,24.389999,20.742867,574800
2015-10-19,24.450001,24.879999,24.360001,24.860001,21.142590,682000
2015-10-26,24.879999,25.000000,24.799999,24.879999,21.159599,805200
2015-11-02,24.889999,25.049999,24.820000,24.900000,21.176607,687500
2015-11-09,24.760000,24.889999,24.510000,24.590000,20.912962,833600
2015-11-16,24.580000,24.870001,24.549999,24.730000,21.032024,492500
2015-11-23,24.820000,24.930000,24.420000,24.660000,20.972494,361600
2015-11-30,24.700001,24.750000,24.600000,24.629999,20.946981,490800
2015-12-07,24.650000,24.660000,24.459999,24.490000,20.827917,345400
2015-12-14,24.540001,24.540001,23.830000,23.950001,20.368666,562800
2015-12-21,24.090000,24.270000,23.980000,24.209999,20.589785,302900
2015-12-28,24.200001,24.879999,24.170000,24.840000,21.125578,262600
2016-01-04,24.750000,25.070000,24.510000,24.799999,21.091558,443200
2016-01-11,24.900000,24.900000,24.100000,24.170000,20.555769,671700
2016-01-18,24.350000,24.889999,23.250000,24.510000,20.844925,473300
2016-01-25,24.500000,24.780001,23.820000,24.750000,21.049036,646000
2016-02-01,24.559999,24.750000,24.420000,24.690001,20.998007,474400
2016-02-08,24.549999,24.549999,23.530001,24.270000,20.640812,283700
2016-02-15,24.440001,24.549999,24.080000,24.340000,20.700348,410300
2016-02-22,24.510000,24.530001,24.000000,24.240000,20.615299,389200
2016-02-29,24.250000,24.400000,24.100000,24.320000,21.012764,415800
2016-03-07,24.280001,24.459999,24.190001,24.450001,21.125084,370200
2016-03-14,24.450001,24.469999,23.879999,24.049999,20.779478,618500
2016-03-21,24.049999,24.120001,23.780001,24.010000,20.744921,386800
2016-03-28,24.040001,24.559999,24.030001,24.379999,21.064602,538100
2016-04-04,24.459999,24.459999,23.950001,24.200001,20.909084,368800
2016-04-11,24.250000,24.400000,24.219999,24.270000,20.969561,584000
2016-04-18,24.350000,24.480000,24.219999,24.480000,21.151005,552700
2016-04-25,24.379999,24.580000,24.370001,24.490000,21.159647,658100
2016-05-02,24.580000,25.040001,24.510000,25.040001,21.634850,467000
2016-05-09,24.959999,25.129999,24.959999,25.120001,21.703972,414800
2016-05-16,25.120001,25.299999,25.080000,25.240000,21.807650,272000
2016-05-23,25.170000,25.440001,25.040001,25.150000,21.729891,436700
2016-05-30,25.059999,25.170000,24.920000,25.170000,22.079584,341000
2016-06-06,25.090000,25.240000,25.000000,25.059999,21.983089,331800
2016-06-13,25.070000,25.320000,25.059999,25.280001,22.176077,268700
2016-06-20,25.230000,25.440001,25.049999,25.070000,21.991861,271600
2016-06-27,25.160000,25.600000,25.100000,25.440001,22.316431,271100
2016-07-04,25.360001,25.590000,25.320000,25.530001,22.395382,180700
2016-07-11,25.510000,25.670000,25.360001,25.469999,22.342749,305600
2016-07-18,25.500000,25.629999,25.370001,25.549999,22.412926,399000
2016-07-25,25.570000,25.840000,25.549999,25.730000,22.570822,347000
2016-08-01,25.750000,25.940001,25.650000,25.940001,22.755043,238100
2016-08-08,25.820000,25.969999,25.299999,25.340000,22.228710,842100
2016-08-15,25.360001,25.629999,25.330000,25.580000,22.439243,495100
2016-08-22,25.549999,25.750000,25.430000,25.650000,22.500647,422700
2016-08-29,25.370001,25.670000,25.370001,25.670000,22.518190,429300
2016-09-05,25.670000,25.719999,25.320000,25.320000,22.547844,285400
2016-09-12,25.350000,25.530001,25.270000,25.309999,22.538939,311200
2016-09-19,25.450001,25.770000,25.299999,25.620001,22.815001,307800
2016-09-26,25.610001,25.700001,25.340000,25.450001,22.663612,358100
2016-10-03,25.450001,25.549999,25.389999,25.459999,22.672514,197300
2016-10-10,25.469999,25.540001,25.129999,25.540001,22.743759,220400
2016-10-17,25.440001,25.719999,25.320000,25.600000,22.797188,172100
2016-10-24,25.610001,25.799999,25.530001,25.600000,22.797188,366000
2016-10-31,25.549999,25.570000,24.790001,25.260000,22.494413,463800
2016-11-07,25.309999,25.309999,23.760000,24.110001,21.470322,351800
2016-11-14,23.969999,24.559999,23.190001,23.910000,21.292217,441200
2016-11-21,23.850000,24.309999,23.850000,24.209999,21.559374,159400
2016-11-28,23.920000,23.990000,22.709999,23.059999,20.535282,407000
2016-12-05,23.219999,23.270000,22.490000,22.620001,20.467247,350100
2016-12-12,22.600000,22.840000,21.990000,22.270000,20.150555,539700
2016-12-19,22.290001,22.959999,22.150000,22.660000,20.503433,454400
2016-12-26,22.570000,23.000000,22.340000,22.690001,20.530582,282500
2017-01-02,22.709999,23.990000,22.709999,23.900000,21.625427,215800
2017-01-09,23.900000,24.330000,23.799999,24.250000,21.942114,249100
2017-01-16,24.219999,24.299999,23.799999,24.000000,21.715908,225800
2017-01-23,23.959999,24.500000,23.910000,24.469999,22.141178,286900
2017-01-30,24.469999,24.730000,24.389999,24.590000,22.249760,252200
2017-02-06,24.610001,24.750000,24.530001,24.690001,22.340240,273500
2017-02-13,24.750000,24.820000,24.530001,24.639999,22.295000,355600
2017-02-20,24.629999,24.850000,24.350000,24.459999,22.132128,245200
2017-02-27,24.530001,24.540001,24.250000,24.370001,22.396297,266300
2017-03-06,24.299999,24.450001,23.719999,23.790001,21.863270,283700
2017-03-13,23.790001,24.520000,23.709999,24.459999,22.479004,230700
2017-03-20,24.440001,24.639999,24.360001,24.480000,22.497385,225300
2017-03-27,24.469999,24.799999,24.420000,24.799999,22.791468,239600
2017-04-03,24.830000,25.010000,24.700001,24.990000,22.966080,341200
2017-04-10,25.000000,25.040001,24.920000,25.000000,22.975271,162600
2017-04-17,25.000000,25.080000,24.540001,24.850000,22.837420,444200
2017-04-24,24.870001,24.980000,24.730000,24.820000,22.809849,288900
2017-05-01,24.830000,24.920000,24.730000,24.799999,22.791468,232700
2017-05-08,24.850000,24.990000,24.799999,24.879999,22.864992,262200
2017-05-15,24.879999,24.959999,24.690001,24.879999,22.864992,347800
