Date,Open,High,Low,Close,Adj Close,Volume
2009-06-15,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-06-22,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-06-29,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-07-06,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-07-13,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-07-20,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-07-27,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-08-03,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-08-10,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-08-17,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-08-24,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-08-31,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-09-07,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-09-14,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-09-21,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-09-28,0.310000,0.310000,0.310000,0.310000,0.310000,0
2009-10-05,null,null,null,null,null,null
2009-10-12,null,null,null,null,null,null
2009-10-19,null,null,null,null,null,null
2009-10-26,null,null,null,null,null,null
2009-11-02,null,null,null,null,null,null
2009-11-09,0.600000,0.600000,0.500000,0.500000,0.500000,56000
2009-11-16,null,null,null,null,null,null
2009-11-23,0.500000,0.500000,0.500000,0.500000,0.500000,11000
2009-11-30,0.500000,0.500000,0.500000,0.500000,0.500000,4000
2009-12-07,null,null,null,null,null,null
2009-12-14,0.500000,0.500000,0.500000,0.500000,0.500000,1000
2009-12-21,0.520000,0.520000,0.520000,0.520000,0.520000,16000
2009-12-28,null,null,null,null,null,null
2010-01-04,0.500000,0.550000,0.500000,0.550000,0.550000,12500
2010-01-11,null,null,null,null,null,null
2010-01-18,null,null,null,null,null,null
2010-01-25,null,null,null,null,null,null
2010-02-01,null,null,null,null,null,null
2010-02-08,0.550000,0.550000,0.550000,0.550000,0.550000,4000
2010-02-15,null,null,null,null,null,null
2010-02-22,0.500000,0.500000,0.500000,0.500000,0.500000,14500
2010-03-01,null,null,null,null,null,null
2010-03-08,0.500000,0.500000,0.500000,0.500000,0.500000,4000
2010-03-15,0.500000,0.500000,0.500000,0.500000,0.500000,4000
2010-03-22,null,null,null,null,null,null
2010-03-29,null,null,null,null,null,null
2010-04-05,null,null,null,null,null,null
2010-04-12,null,null,null,null,null,null
