Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,20.120001,20.320000,20.120001,20.320000,19.426497,2000
2017-04-10,20.320000,20.320000,20.320000,20.320000,19.426497,0
2017-04-17,20.320000,20.320000,20.180000,20.180000,19.292652,200
2017-04-24,20.180000,20.180000,20.180000,20.180000,19.292652,0
2017-05-01,20.180000,20.180000,19.889999,19.889999,19.084440,200
2017-05-08,19.889999,19.889999,19.889999,19.889999,19.084440,100
2017-05-15,19.889999,19.889999,19.889999,19.889999,19.084440,0
2017-05-22,19.889999,19.889999,19.889999,19.889999,19.084440,0
2017-05-29,19.889999,19.889999,19.510000,19.510000,18.788795,200
2017-06-05,19.510000,19.510000,19.510000,19.510000,18.788795,0
2017-06-12,19.510000,19.510000,19.510000,19.510000,18.788795,0
2017-06-19,19.510000,19.950001,19.510000,19.950001,19.212526,100
2017-06-26,19.950001,20.070000,19.950001,20.070000,19.328087,1700
2017-07-03,20.070000,20.070000,20.070000,20.070000,19.399071,0
2017-07-10,20.070000,20.260000,20.070000,20.260000,19.582722,900
2017-07-17,20.260000,20.340000,20.260000,20.299999,19.621384,2100
2017-07-24,20.299999,20.370001,20.299999,20.350000,19.669712,5700
2017-07-31,20.480000,20.480000,20.320000,20.320000,19.711355,3300
2017-08-07,20.280001,20.280001,19.930000,19.930000,19.333038,1100
2017-08-14,19.980000,19.980000,19.940001,19.950001,19.352442,3300
2017-08-21,20.000000,20.129999,19.990000,20.120001,19.517345,3900
2017-08-28,20.120001,20.139999,20.030001,20.139999,19.536747,600
2017-09-04,20.190001,20.190001,20.139999,20.139999,19.607889,500
2017-09-11,20.160000,20.230000,20.110001,20.209999,19.676037,10000
2017-09-18,20.200001,20.230000,20.200001,20.230000,19.695513,2300
2017-09-25,20.230000,20.340000,20.230000,20.340000,19.802605,800
2017-10-02,20.400000,20.600000,20.400000,20.600000,20.128157,1000
2017-10-09,20.610001,20.719999,20.610001,20.709999,20.235634,1800
2017-10-16,20.700001,20.780001,20.700001,20.780001,20.304033,2600
2017-10-23,20.750000,20.760000,20.590000,20.590000,20.118383,5300
2017-10-30,20.590000,20.670000,20.590000,20.670000,20.267960,2900
2017-11-06,20.670000,20.709999,20.670000,20.709999,20.307178,2100
2017-11-13,20.730000,20.740000,20.700001,20.740000,20.336597,3200
2017-11-20,20.770000,20.870001,20.770000,20.870001,20.464067,1800
2017-11-27,20.840000,20.840000,20.610001,20.610001,20.209127,6300
2017-12-04,20.700001,20.700001,20.400000,20.400000,20.073528,2300
2017-12-11,20.440001,20.480000,20.389999,20.389999,20.063684,4000
2017-12-18,20.389999,20.639999,20.389999,20.629999,20.299845,2000
2017-12-25,20.629999,20.670000,20.629999,20.670000,20.339207,1500
2018-01-01,20.670000,20.820000,20.670000,20.820000,20.526606,1200
2018-01-08,20.870001,20.980000,20.870001,20.879999,20.585760,2600
2018-01-15,20.840000,20.889999,20.809999,20.889999,20.595617,5200
2018-01-22,20.820000,20.820000,20.709999,20.760000,20.467449,4300
2018-01-29,20.780001,20.860001,20.780001,20.860001,20.638405,6000
2018-02-05,20.860001,20.860001,20.430000,20.430000,20.212973,7100
2018-02-12,20.580000,20.639999,20.570000,20.639999,20.420742,3500
2018-02-19,20.610001,20.629999,20.510000,20.629999,20.410847,2500
2018-02-26,20.629999,20.670000,20.629999,20.660000,20.513081,6000
2018-03-05,20.660000,20.660000,20.559999,20.650000,20.503151,1900
2018-03-12,20.650000,20.700001,20.620001,20.660000,20.513081,1600
2018-03-19,20.629999,20.629999,20.379999,20.379999,20.235071,1800
2018-03-26,20.340000,20.410000,20.320000,20.410000,20.336857,1100
2018-04-02,20.320000,20.320000,20.219999,20.250000,20.177429,3000
2018-04-09,20.240000,20.389999,20.240000,20.389999,20.316927,1800
2018-04-16,20.389999,20.440001,20.290001,20.290001,20.217287,1600
2018-04-23,20.260000,20.260000,20.250000,20.250000,20.250000,300
2018-06-22,20.360001,20.360001,20.360001,20.360001,20.360001,503
