Date,Open,High,Low,Close,Adj Close,Volume
2005-03-21,17.500000,17.549999,17.360001,17.360001,10.789286,911000
2005-03-28,17.410000,17.450001,15.500000,17.059999,10.602835,2312000
2005-04-04,17.200001,17.200001,16.350000,16.400000,10.192643,577500
2005-04-11,16.450001,16.500000,15.000000,15.200000,9.446839,854800
2005-04-18,15.020000,16.000000,14.760000,15.460000,9.608433,1050700
2005-04-25,15.530000,16.389999,14.190000,14.250000,8.856414,1673500
2005-05-02,14.450000,15.710000,13.000000,15.490000,9.627076,1967800
2005-05-09,15.600000,16.000000,13.890000,13.960000,8.676177,1129200
2005-05-16,13.990000,15.550000,13.670000,15.550000,9.716326,1053000
2005-05-23,15.670000,16.100000,15.060000,15.200000,9.497628,831500
2005-05-30,15.290000,15.750000,15.200000,15.450000,9.653842,297300
2005-06-06,15.600000,15.850000,14.800000,14.900000,9.310178,265000
2005-06-13,14.900000,15.200000,14.280000,15.020000,9.385159,863100
2005-06-20,14.950000,15.620000,14.260000,14.550000,9.091482,793200
2005-06-27,14.500000,14.830000,14.290000,14.350000,8.966514,827400
2005-07-04,14.500000,14.750000,14.400000,14.500000,9.060240,692300
2005-07-11,14.450000,14.450000,13.780000,13.950000,8.716574,1051600
2005-07-18,13.800000,14.450000,13.770000,13.770000,8.604102,1100100
2005-07-25,13.780000,13.790000,12.750000,12.990000,8.116726,1745600
2005-08-01,12.900000,14.100000,12.320000,14.010000,8.754067,2499900
2005-08-08,14.200000,14.830000,14.010000,14.300000,8.935269,811100
2005-08-15,14.300000,14.470000,14.020000,14.400000,9.342349,491300
2005-08-22,14.470000,14.470000,13.820000,13.860000,8.992012,292000
2005-08-29,13.890000,14.750000,13.500000,14.650000,9.504542,395900
2005-09-05,14.850000,15.250000,14.780000,15.210000,9.867858,497500
2005-09-12,15.300000,15.490000,14.850000,14.930000,9.686200,481800
2005-09-19,16.500000,16.900000,15.760000,16.650000,10.802092,2301100
2005-09-26,16.700001,16.750000,16.059999,16.500000,10.704777,1045100
2005-10-03,16.969999,16.990000,15.750000,15.990000,10.373900,993800
2005-10-10,16.549999,16.950001,15.200000,16.100000,10.445266,747300
2005-10-17,16.200001,16.340000,15.060000,15.140000,9.822443,630700
2005-10-24,15.350000,16.250000,15.310000,15.700000,10.185756,778500
2005-10-31,15.800000,16.240000,15.180000,15.330000,9.945710,1097300
2005-11-07,15.530000,16.360001,15.020000,15.100000,10.086920,881500
2005-11-14,15.100000,15.250000,14.220000,14.580000,9.739556,1076900
2005-11-21,14.500000,14.500000,13.770000,14.100000,9.418913,840700
2005-11-28,14.200000,14.520000,13.710000,14.400000,9.619314,1332600
2005-12-05,14.550000,14.690000,13.100000,13.230000,8.837744,5167400
2005-12-12,13.290000,13.340000,12.370000,12.740000,8.510422,2712700
2005-12-19,12.700000,13.050000,11.400000,12.340000,8.243217,2593700
2005-12-26,12.340000,12.950000,11.950000,12.860000,8.590583,1545900
2006-01-02,12.990000,13.550000,12.950000,13.550000,9.051509,1427400
2006-01-09,13.550000,13.590000,12.720000,12.780000,8.537142,1269000
2006-01-16,12.780000,13.050000,12.320000,12.530000,8.370139,954800
2006-01-23,12.520000,12.700000,11.550000,11.680000,7.802332,2424800
2006-01-30,11.680000,11.790000,11.480000,11.500000,7.682092,2706100
2006-02-06,11.500000,11.500000,11.100000,11.200000,7.481688,2109000
2006-02-13,11.200000,12.410000,11.090000,12.360000,8.256578,2394900
2006-02-20,12.480000,12.600000,11.320000,11.320000,7.561850,1594000
2006-02-27,11.530000,11.850000,11.260000,11.360000,7.841733,1023900
2006-03-06,11.420000,11.700000,11.150000,11.240000,7.758898,729100
2006-03-13,11.180000,12.120000,11.170000,11.750000,8.110949,1118600
2006-03-20,11.720000,12.210000,11.500000,12.030000,8.304230,713000
2006-03-27,12.080000,12.450000,12.000000,12.110000,8.359452,530200
2006-04-03,12.120000,12.120000,11.440000,11.660000,8.048820,699500
2006-04-10,11.640000,11.860000,11.110000,11.180000,7.717482,523900
2006-04-17,11.250000,12.000000,11.010000,11.880000,8.200686,731100
2006-04-24,11.850000,12.000000,11.520000,11.950000,8.249005,533000
2006-05-01,11.990000,12.500000,11.960000,12.400000,8.559638,630100
2006-05-08,12.500000,12.590000,11.500000,11.950000,8.249005,745600
2006-05-15,11.950000,12.050000,11.010000,11.100000,7.662257,652500
2006-05-22,11.500000,11.500000,10.990000,11.200000,7.966187,590000
2006-05-29,11.100000,11.100000,10.420000,10.820000,7.695906,799300
2006-06-05,10.800000,10.800000,9.500000,10.160000,7.226470,4051200
2006-06-12,10.130000,10.400000,9.680000,10.190000,7.247808,1658500
2006-06-19,10.150000,10.350000,9.850000,10.310000,7.333160,937100
2006-06-26,10.300000,10.880000,10.150000,10.750000,7.646117,1117700
2006-07-03,10.720000,11.030000,10.600000,10.840000,7.710132,636800
2006-07-10,10.850000,10.990000,10.000000,10.230000,7.276258,936000
2006-07-17,10.270000,10.850000,10.200000,10.740000,7.639004,1012400
2006-07-24,10.950000,11.350000,10.830000,11.200000,7.966187,1081900
2006-07-31,11.250000,12.540000,11.160000,12.050000,8.570763,1936800
2006-08-07,12.130000,13.090000,11.900000,13.050000,9.282029,2340400
2006-08-14,13.150000,13.400000,12.100000,12.260000,8.720131,2183200
2006-08-21,12.210000,12.590000,12.150000,12.500000,9.134654,900900
2006-08-28,12.560000,12.880000,12.400000,12.690000,9.273500,776400
2006-09-04,12.720000,12.790000,12.400000,12.430000,9.083500,505100
2006-09-11,12.500000,13.550000,12.400000,12.830000,9.375809,1607900
