Date,Open,High,Low,Close,Adj Close,Volume
2010-11-22,9.850000,10.390000,9.750000,10.300000,3.882013,1621300
2010-11-29,10.290000,10.290000,10.000000,10.050000,3.787788,704600
2010-12-06,10.160000,10.200000,10.020000,10.110000,3.810402,332800
2010-12-13,10.060000,10.170000,10.010000,10.160000,3.829247,366400
2010-12-20,10.150000,10.640000,10.060000,10.420000,3.927239,410000
2010-12-27,10.500000,10.500000,10.300000,10.440000,3.934777,130500
2011-01-03,10.440000,10.670000,10.300000,10.520000,3.964928,244900
2011-01-10,10.500000,10.600000,10.400000,10.520000,3.964928,499900
2011-01-17,10.540000,11.830000,10.520000,10.950000,4.126992,561300
2011-01-24,11.190000,11.400000,10.920000,11.250000,4.240061,404900
2011-01-31,11.290000,11.690000,11.210000,11.600000,4.371973,266800
2011-02-07,11.600000,11.750000,11.430000,11.740000,4.424741,235900
2011-02-14,11.790000,11.940000,11.650000,11.850000,4.466199,255700
2011-02-21,11.850000,12.100000,11.600000,11.700000,4.409666,176400
2011-02-28,11.670000,11.940000,11.580000,11.800000,4.447355,253900
2011-03-07,11.950000,12.000000,11.220000,11.450000,4.315439,317500
2011-03-14,11.250000,11.850000,11.010000,11.750000,4.428510,277000
2011-03-21,11.800000,12.000000,11.720000,11.800000,4.447355,180900
2011-03-28,11.750000,11.990000,11.670000,11.800000,4.447355,275100
2011-04-04,11.790000,11.790000,11.350000,11.460000,4.319212,254800
2011-04-11,11.570000,11.700000,11.200000,11.680000,4.402126,259500
2011-04-18,11.660000,11.680000,11.400000,11.500000,4.334283,281100
2011-04-25,11.450000,12.000000,11.400000,11.900000,4.485042,304200
2011-05-02,11.810000,11.930000,11.250000,11.300000,4.291472,163000
2011-05-09,11.600000,11.720000,11.210000,11.290000,4.287675,196100
2011-05-16,11.290000,11.700000,11.250000,11.700000,4.443387,220200
2011-05-23,11.700000,11.820000,11.610000,11.610000,4.409204,184600
2011-05-30,11.610000,11.850000,11.600000,11.670000,4.465104,143300
2011-06-06,11.660000,11.690000,11.000000,11.240000,4.300577,255200
2011-06-13,11.200000,11.200000,10.550000,11.070000,4.235532,255900
2011-06-20,11.060000,11.250000,10.750000,11.060000,4.231709,221400
2011-06-27,11.130000,11.330000,10.900000,11.300000,4.323533,164300
2011-07-04,11.270000,11.540000,11.200000,11.510000,4.439130,159700
2011-07-11,11.490000,11.680000,11.410000,11.670000,4.500840,219700
2011-07-18,11.560000,11.630000,9.900000,11.200000,4.319571,603700
2011-07-25,11.180000,11.210000,10.450000,10.700000,4.126733,164100
2011-08-01,10.700000,10.840000,9.910000,10.240000,3.981076,158700
2011-08-08,9.800000,10.400000,9.700000,10.350000,4.023842,304300
2011-08-15,10.340000,10.350000,9.920000,10.190000,3.961638,151800
2011-08-22,10.190000,10.190000,9.500000,9.800000,3.810014,212900
2011-08-29,9.900000,10.050000,9.820000,10.000000,3.887769,147100
2011-09-05,9.950000,10.690000,9.950000,10.610000,4.162085,257500
2011-09-12,10.600000,10.800000,10.210000,10.790000,4.232695,287500
2011-09-19,10.790000,10.790000,9.950000,10.050000,3.942408,265500
2011-09-26,10.140000,10.250000,9.700000,9.720000,3.812958,201700
2011-10-03,9.700000,9.700000,8.300000,9.180000,3.632410,312800
2011-10-10,9.390000,9.520000,8.550000,8.870000,3.509746,228000
2011-10-17,8.930000,9.890000,8.900000,9.830000,3.889604,177400
2011-10-24,9.850000,10.250000,9.620000,10.100000,3.996441,215700
2011-10-31,10.020000,10.080000,9.500000,9.580000,3.823844,117600
2011-11-07,9.610000,9.800000,8.700000,9.010000,3.596329,201900
2011-11-14,8.990000,8.990000,8.520000,8.650000,3.452634,241000
2011-11-21,8.670000,8.670000,8.050000,8.150000,3.253062,211000
2011-11-28,8.150000,8.490000,7.950000,8.260000,3.296968,298400
2011-12-05,8.300000,9.470000,8.300000,9.420000,3.800786,617300
2011-12-12,9.470000,9.560000,8.890000,9.310000,3.756403,258300
2011-12-19,9.330000,10.140000,9.310000,10.030000,4.046908,332600
