Date,Open,High,Low,Close,Adj Close,Volume
2003-01-20,1.610000,1.650000,1.470000,1.520000,1.450731,1013600
2003-01-27,1.570000,1.590000,1.390000,1.500000,1.431643,623500
2003-02-03,1.480000,1.650000,1.470000,1.490000,1.422099,645800
2003-02-10,1.500000,1.510000,1.300000,1.380000,1.317112,1143400
2003-02-17,1.360000,1.460000,1.340000,1.420000,1.355289,563500
2003-02-24,1.420000,1.470000,1.360000,1.400000,1.336200,652500
2003-03-03,1.410000,1.450000,1.260000,1.310000,1.250301,980700
2003-03-10,1.300000,1.310000,1.170000,1.270000,1.212124,754800
2003-03-17,1.340000,1.380000,1.260000,1.260000,1.202580,557200
2003-03-24,1.300000,1.310000,1.240000,1.290000,1.231213,339600
2003-03-31,1.330000,1.350000,1.240000,1.260000,1.202580,282000
2003-04-07,1.200000,1.300000,1.150000,1.300000,1.240757,297400
2003-04-14,1.290000,1.290000,1.170000,1.290000,1.231213,478300
2003-04-21,1.310000,1.380000,1.310000,1.330000,1.269390,319900
2003-04-28,1.320000,1.470000,1.270000,1.460000,1.393466,616000
2003-05-05,1.470000,1.700000,1.460000,1.680000,1.603440,988100
2003-05-12,1.730000,1.740000,1.580000,1.620000,1.546175,865200
2003-05-19,1.650000,1.700000,1.480000,1.650000,1.574807,1402400
2003-05-26,1.700000,1.700000,1.490000,1.600000,1.527086,417800
2003-06-02,1.590000,1.650000,1.490000,1.620000,1.546175,1219600
2003-06-09,1.620000,1.730000,1.550000,1.730000,1.651161,602800
2003-06-16,1.740000,1.790000,1.650000,1.750000,1.670250,1584500
2003-06-23,1.750000,1.760000,1.610000,1.660000,1.584352,575600
2003-06-30,1.690000,1.930000,1.690000,1.880000,1.794326,1128000
2003-07-07,1.880000,2.040000,1.800000,1.850000,1.765693,833800
2003-07-14,1.920000,1.980000,1.800000,1.840000,1.756149,636900
2003-07-21,1.860000,2.140000,1.850000,2.080000,1.985212,1922400
2003-07-28,2.100000,2.180000,1.960000,2.080000,1.985212,1860400
2003-08-04,2.080000,2.310000,2.050000,2.160000,2.061566,2111200
2003-08-11,2.250000,2.320000,2.120000,2.280000,2.176097,1555900
2003-08-18,2.240000,2.390000,2.160000,2.280000,2.176097,2217700
2003-08-25,2.290000,2.660000,2.180000,2.620000,2.500603,2714800
2003-09-01,2.600000,2.670000,2.420000,2.610000,2.491059,2064800
2003-09-08,2.640000,2.690000,2.350000,2.390000,2.281084,2427500
2003-09-15,2.340000,2.770000,2.330000,2.740000,2.615134,2554500
2003-09-22,2.820000,2.840000,2.370000,2.560000,2.443337,2511100
2003-09-29,2.580000,2.720000,2.360000,2.530000,2.414705,2028700
2003-10-06,2.510000,2.750000,2.510000,2.740000,2.615134,1557100
2003-10-13,2.750000,2.900000,2.700000,2.900000,2.767843,2687700
2003-10-20,2.940000,3.370000,2.900000,3.280000,3.130526,4936300
2003-10-27,3.360000,3.680000,3.130000,3.370000,3.216425,4412500
2003-11-03,3.330000,3.360000,2.860000,3.180000,3.035083,3411700
2003-11-10,3.260000,3.550000,3.150000,3.540000,3.378678,3542000
2003-11-17,3.640000,3.860000,3.450000,3.560000,3.397766,4810900
2003-11-24,3.540000,3.720000,3.320000,3.670000,3.502753,2670300
2003-12-01,3.730000,3.740000,3.260000,3.490000,3.330956,4643300
2003-12-08,3.580000,3.900000,2.910000,3.100000,2.958729,4022100
2003-12-15,3.000000,3.220000,3.000000,3.030000,2.891919,2573400
2003-12-22,3.040000,3.260000,2.920000,3.230000,3.082804,1499800
2003-12-29,3.250000,3.290000,3.130000,3.170000,3.025539,1534100
2004-01-05,3.440000,3.460000,3.180000,3.250000,3.101893,1999900
2004-01-12,3.280000,3.280000,2.600000,2.980000,2.844198,3435500
2004-01-19,3.070000,3.200000,2.730000,2.770000,2.643768,2019400
2004-01-26,2.800000,2.980000,2.640000,2.810000,2.681945,2437600
2004-02-02,2.750000,3.100000,2.650000,3.090000,2.949185,1751700
2004-02-09,3.120000,3.360000,3.010000,3.310000,3.159158,2668100
2004-02-16,3.340000,3.340000,2.970000,3.080000,2.939640,1912400
2004-02-23,3.110000,3.110000,2.810000,2.890000,2.758299,1119300
2004-03-01,3.050000,3.160000,2.830000,3.150000,3.006450,1114800
2004-03-08,3.150000,3.230000,2.800000,2.880000,2.748754,1826700
2004-03-15,2.950000,3.100000,2.800000,2.950000,2.815564,1343700
2004-03-22,3.050000,3.050000,2.690000,2.710000,2.586502,1555700
2004-03-29,2.850000,3.100000,2.670000,2.960000,2.825109,3430200
2004-04-05,2.900000,2.930000,2.750000,2.800000,2.672400,1112600
2004-04-12,2.800000,2.860000,2.560000,2.840000,2.710577,2031800
2004-04-19,2.870000,2.910000,2.560000,2.600000,2.481514,1595400
2004-04-26,2.610000,2.650000,2.340000,2.500000,2.386071,2708800
2004-05-03,2.450000,2.530000,2.120000,2.120000,2.023389,2376400
2004-05-10,1.990000,2.260000,1.950000,2.220000,2.118832,1639700
2004-05-17,2.230000,2.300000,2.000000,2.230000,2.128376,1498100
2004-05-24,2.150000,2.580000,2.150000,2.530000,2.414705,1122500
2004-05-31,2.550000,2.580000,2.380000,2.530000,2.414705,578000
2004-06-07,2.540000,2.680000,2.400000,2.410000,2.300173,782200
2004-06-14,2.400000,2.800000,2.270000,2.740000,2.615134,1817900
2004-06-21,2.710000,2.780000,2.450000,2.740000,2.615134,1728600
2004-06-28,2.780000,2.800000,2.550000,2.600000,2.481514,756700
2004-07-05,2.630000,2.790000,2.500000,2.750000,2.624679,1255300
2004-07-12,2.760000,2.990000,2.580000,2.700000,2.576958,1639500
2004-07-19,2.750000,2.750000,2.420000,2.430000,2.319262,844400
2004-07-26,2.400000,2.650000,2.100000,2.540000,2.424248,1951000
2004-08-02,2.600000,2.610000,2.310000,2.390000,2.281084,666400
2004-08-09,2.400000,2.480000,2.250000,2.480000,2.366983,617800
2004-08-16,2.480000,2.650000,2.350000,2.580000,2.462426,1287300
2004-08-23,2.570000,2.640000,2.430000,2.510000,2.395616,822300
2004-08-30,2.470000,2.760000,2.460000,2.580000,2.462426,854700
2004-09-06,2.590000,2.820000,2.480000,2.820000,2.691489,814700
2004-09-13,2.740000,3.090000,2.690000,2.840000,2.710577,2062300
2004-09-20,2.760000,3.080000,2.760000,3.010000,2.872830,1798600
