Date,Open,High,Low,Close,Adj Close,Volume
1996-11-11,0.950000,1.000000,0.920000,1.000000,1.000000,52200
1996-11-18,0.950000,1.050000,0.900000,1.050000,1.050000,158400
1996-11-25,1.000000,1.200000,1.000000,1.200000,1.200000,241400
1996-12-02,1.200000,1.400000,1.010000,1.200000,1.200000,322000
1996-12-09,1.160000,1.160000,1.000000,1.150000,1.150000,92200
1996-12-16,1.120000,1.200000,1.050000,1.100000,1.100000,166400
1996-12-23,1.180000,1.250000,1.110000,1.110000,1.110000,105200
1996-12-30,1.150000,1.200000,1.110000,1.110000,1.110000,106500
1997-01-06,1.190000,1.200000,1.030000,1.030000,1.030000,141200
1997-01-13,1.010000,1.100000,0.960000,1.000000,1.000000,213400
1997-01-20,0.960000,1.150000,0.960000,1.100000,1.100000,161600
1997-01-27,1.080000,1.130000,0.980000,1.000000,1.000000,294800
1997-02-03,1.020000,1.090000,0.960000,0.990000,0.990000,117200
1997-02-10,0.990000,1.020000,0.950000,0.950000,0.950000,130800
1997-02-17,0.930000,1.050000,0.930000,0.980000,0.980000,138700
1997-02-24,1.010000,1.010000,0.860000,0.930000,0.930000,131900
1997-03-03,0.970000,0.970000,0.900000,0.920000,0.920000,81600
1997-03-10,0.950000,0.950000,0.880000,0.950000,0.950000,133000
1997-03-17,0.930000,1.140000,0.930000,1.030000,1.030000,479000
1997-03-24,0.970000,1.000000,0.860000,0.900000,0.900000,104800
1997-03-31,0.820000,0.870000,0.800000,0.850000,0.850000,76300
1997-04-07,0.850000,0.850000,0.700000,0.750000,0.750000,70200
1997-04-14,0.750000,0.820000,0.730000,0.750000,0.750000,18000
1997-04-21,0.750000,0.820000,0.700000,0.780000,0.780000,30300
1997-04-28,0.780000,0.780000,0.600000,0.780000,0.780000,56700
1997-05-05,0.650000,0.750000,0.650000,0.680000,0.680000,28500
1997-05-12,0.750000,0.750000,0.650000,0.660000,0.660000,54100
1997-05-19,0.660000,0.750000,0.650000,0.650000,0.650000,145500
1997-05-26,0.690000,0.750000,0.690000,0.750000,0.750000,19300
1997-06-02,0.720000,0.740000,0.680000,0.740000,0.740000,86500
1997-06-09,0.740000,0.740000,0.700000,0.720000,0.720000,50000
1997-06-16,0.740000,0.780000,0.700000,0.720000,0.720000,119300
1997-06-23,0.790000,0.800000,0.660000,0.750000,0.750000,78800
1997-06-30,0.750000,0.750000,0.680000,0.680000,0.680000,18000
1997-07-07,0.650000,0.650000,0.500000,0.550000,0.550000,21500
1997-07-14,0.550000,0.550000,0.500000,0.550000,0.550000,44500
1997-07-21,0.550000,0.600000,0.550000,0.590000,0.590000,32900
1997-07-28,0.520000,0.650000,0.510000,0.600000,0.600000,52500
1997-08-04,0.600000,0.650000,0.590000,0.590000,0.590000,19900
