Date,Open,High,Low,Close,Adj Close,Volume
1996-04-22,1.708330,1.791670,1.708330,1.791670,0.941748,1417800
1996-04-29,1.808330,1.808330,1.716670,1.716670,0.902326,666600
1996-05-06,1.708330,1.850000,1.708330,1.791670,0.941748,851400
1996-05-13,1.791670,1.841670,1.750000,1.783330,0.937365,357600
1996-05-20,1.750000,1.750000,1.708330,1.708330,0.897942,233400
1996-05-27,1.708330,1.733330,1.666670,1.666670,0.876045,316800
1996-06-03,1.750000,1.833330,1.666670,1.666670,0.876045,1021800
1996-06-10,1.666670,1.683330,1.666670,1.666670,0.876045,251400
1996-06-17,1.666670,1.666670,1.616670,1.616670,0.849764,664800
1996-06-24,1.616670,1.666670,1.616670,1.666670,0.876045,339000
1996-07-01,1.666670,1.750000,1.666670,1.691670,0.889185,233400
1996-07-08,1.750000,1.833330,1.691670,1.833330,0.963646,1323600
1996-07-15,1.825000,1.833330,1.600000,1.750000,0.919846,643200
1996-07-22,1.675000,1.750000,1.600000,1.716670,0.902326,43200
1996-07-29,1.666670,1.666670,1.666670,1.666670,0.876045,2652000
1996-08-05,1.666670,1.666670,1.558330,1.666670,0.876045,28200
1996-08-12,1.583330,1.750000,1.583330,1.750000,0.919846,698400
1996-08-19,1.750000,1.916670,1.750000,1.916670,1.007452,2131200
1996-08-26,2.016670,2.208330,1.966670,2.000000,1.051252,9535200
1996-09-02,2.000000,2.258330,2.000000,2.250000,1.182659,11355600
1996-09-09,2.291670,2.458330,2.250000,2.375000,1.248361,8323800
1996-09-16,2.375000,2.375000,2.225000,2.333330,1.230701,398400
1996-09-23,2.291670,2.375000,2.266670,2.266670,1.195541,2486400
1996-09-30,2.266670,2.416670,2.191670,2.375000,1.252679,378000
1996-10-07,2.508330,3.000000,2.508330,2.925000,1.542773,8769000
1996-10-14,2.925000,3.025000,2.916670,2.983330,1.573540,336000
1996-10-21,2.991670,3.166670,2.983330,3.166670,1.670240,489000
1996-10-28,3.250000,3.666670,3.175000,3.666670,1.933963,1147200
1996-11-04,3.833330,3.833330,3.500000,3.625000,1.911985,5880000
1996-11-11,3.583330,3.791670,3.583330,3.750000,1.977915,9697200
1996-11-18,3.783330,4.108330,3.750000,4.108330,2.166913,7560600
1996-11-25,4.125000,4.166670,4.000000,4.083330,2.153728,297000
1996-12-02,4.091670,4.141670,3.666670,3.750000,1.977915,414000
1996-12-09,3.833330,3.833330,3.683330,3.691670,1.947149,4335000
1996-12-16,3.691670,3.875000,3.683330,3.833330,2.021867,658200
1996-12-23,3.791670,4.500000,3.791670,4.258330,2.246030,214800
1996-12-30,4.266670,4.500000,4.166670,4.166670,2.197685,168600
1997-01-06,4.183330,4.583330,4.166670,4.575000,2.413056,7050600
1997-01-13,4.575000,4.741670,4.550000,4.666670,2.461408,2269200
1997-01-20,4.516670,4.750000,4.516670,4.633330,2.443822,3260400
1997-01-27,4.633330,4.750000,4.566670,4.750000,2.505359,6484800
1997-02-03,4.983330,5.333330,4.983330,5.133330,2.707544,6480600
1997-02-10,5.150000,5.225000,4.750000,4.916670,2.593267,909000
1997-02-17,4.908330,4.983330,4.900000,4.900000,2.584476,2350200
1997-02-24,4.666670,4.908330,4.408330,4.408330,2.325147,178200
1997-03-03,4.450000,4.583330,4.350000,4.508330,2.377891,527400
1997-03-10,4.583330,5.000000,4.583330,4.791670,2.527337,136800
1997-03-17,4.766670,4.766670,4.416670,4.416670,2.334419,403200
1997-03-24,4.416670,4.466670,4.166670,4.250000,2.246324,598800
1997-03-31,4.166670,4.250000,4.000000,4.208330,2.224301,101400
1997-04-07,4.166670,4.583330,4.083330,4.250000,2.246324,660000
1997-04-14,4.166670,4.433330,4.166670,4.333330,2.290370,1194000
1997-04-21,4.333330,4.333330,4.166670,4.166670,2.202280,1704000
1997-04-28,4.166670,4.166670,4.083330,4.116670,2.175853,135600
1997-05-05,4.083330,4.166670,4.050000,4.125000,2.180257,972000
1997-05-12,4.083330,4.675000,4.083330,4.675000,2.470957,5620200
1997-05-19,4.666670,4.750000,4.500000,4.666670,2.466555,960600
1997-05-26,4.666670,4.983330,4.650000,4.950000,2.616308,1094400
1997-06-02,4.950000,4.966670,4.833330,4.833330,2.554642,511200
1997-06-09,4.833330,4.833330,4.666670,4.791670,2.532623,1935000
1997-06-16,4.791670,4.833330,4.666670,4.666670,2.466555,270600
1997-06-23,4.650000,5.500000,4.650000,5.466670,2.889391,2397000
1997-06-30,5.500000,5.500000,5.333330,5.433330,2.871770,189000
1997-07-07,5.433330,5.500000,5.333330,5.333330,2.818916,3444000
1997-07-14,5.483330,5.833330,5.333330,5.833330,3.083188,209400
1997-07-21,5.583330,5.750000,5.541670,5.541670,2.929033,134400
1997-07-28,5.666670,6.208330,5.416670,6.166670,3.259376,1207200
1997-08-04,6.200000,6.833330,5.975000,6.758330,3.572096,5401800
1997-08-11,6.716670,7.166670,6.666670,6.750000,3.567693,1293600
1997-08-18,6.750000,7.583330,6.741670,7.383330,3.902437,1762200
1997-08-25,7.383330,7.583330,7.250000,7.500000,3.964102,3391800
1997-09-01,7.333330,8.000000,7.333330,7.758330,4.100644,2940000
1997-09-08,7.983330,8.708330,7.983330,8.658330,4.576335,1548600
1997-09-15,8.966670,9.000000,8.016670,8.125000,4.294445,2008200
1997-09-22,8.333330,8.333330,8.000000,8.000000,4.233186,1791000
1997-09-29,7.916670,8.208330,7.516670,8.166670,4.321378,4905000
