Date,Open,High,Low,Close,Adj Close,Volume
2008-07-21,6.530000,6.660000,6.430000,6.660000,4.228959,19500
2008-07-28,6.560000,6.900000,6.550000,6.700000,4.254356,30600
2008-08-04,6.700000,6.730000,6.560000,6.560000,4.201560,12200
2008-08-11,6.650000,6.750000,6.580000,6.750000,4.323253,14600
2008-08-18,6.670000,6.840000,6.650000,6.660000,4.265609,43800
2008-08-25,6.570000,6.800000,6.570000,6.800000,4.355278,28200
2008-09-01,6.800000,6.800000,6.650000,6.650000,4.296681,33400
2008-09-08,6.650000,6.650000,6.230000,6.500000,4.199763,57100
2008-09-15,6.380000,6.390000,6.020000,6.300000,4.070539,28500
2008-09-22,6.450000,6.540000,6.320000,6.390000,4.128689,31800
2008-09-29,6.260000,6.450000,6.020000,6.080000,3.963763,135700
2008-10-06,5.810000,5.810000,4.850000,5.140000,3.350946,94200
2008-10-13,5.490000,5.860000,5.440000,5.570000,3.631275,13900
2008-10-20,6.000000,6.250000,5.800000,5.800000,3.781219,162600
2008-10-27,5.530000,6.000000,5.530000,5.800000,3.781219,83200
2008-11-03,5.780000,6.250000,5.780000,5.810000,3.815858,13300
2008-11-10,5.820000,6.050000,5.600000,5.800000,3.809291,22500
2008-11-17,5.750000,5.750000,5.080000,5.140000,3.375818,115700
2008-11-24,5.300000,5.620000,5.300000,5.620000,3.691069,140800
2008-12-01,5.610000,5.620000,5.150000,5.150000,3.397803,74600
2008-12-08,5.400000,5.550000,5.400000,5.410000,3.569341,257300
2008-12-15,5.500000,5.610000,5.430000,5.500000,3.628724,170400
2008-12-22,5.600000,5.600000,5.270000,5.410000,3.569341,37600
2008-12-29,5.590000,5.750000,5.590000,5.750000,3.793662,7000
2009-01-05,5.750000,5.850000,5.730000,5.750000,3.811276,63300
2009-01-12,5.830000,5.830000,5.660000,5.720000,3.791392,58100
2009-01-19,5.770000,5.840000,5.690000,5.800000,3.844417,90900
2009-01-26,5.800000,5.890000,5.610000,5.640000,3.738366,82700
2009-02-02,5.470000,5.610000,5.350000,5.410000,3.601516,41300
2009-02-09,5.530000,5.540000,5.280000,5.340000,3.554917,39900
2009-02-16,5.360000,5.410000,5.160000,5.290000,3.521631,55800
2009-02-23,5.230000,5.350000,5.140000,5.350000,3.561574,42100
2009-03-02,5.270000,5.280000,5.110000,5.110000,3.418364,49000
2009-03-09,5.130000,5.320000,5.020000,5.100000,3.411675,30900
2009-03-16,5.120000,5.270000,5.070000,5.200000,3.478571,25800
2009-03-23,5.210000,5.500000,5.210000,5.400000,3.612362,19800
2009-03-30,5.290000,5.410000,5.280000,5.410000,3.635885,21300
2009-04-06,5.450000,5.500000,5.400000,5.500000,3.696372,6700
2009-04-13,5.500000,5.550000,5.340000,5.510000,3.703091,30900
2009-04-20,5.500000,5.640000,5.370000,5.500000,3.696372,27600
2009-04-27,5.500000,5.520000,5.380000,5.520000,3.709812,35400
2009-05-04,5.560000,5.850000,5.550000,5.560000,3.757458,18600
2009-05-11,5.560000,5.610000,5.390000,5.410000,3.656082,23800
2009-05-18,5.410000,5.630000,5.410000,5.470000,3.696632,15400
2009-05-25,5.430000,5.700000,5.430000,5.580000,3.770970,23400
2009-06-01,5.650000,5.700000,5.530000,5.600000,3.804834,54300
2009-06-08,5.600000,6.000000,5.600000,5.780000,3.927132,29000
2009-06-15,5.730000,5.730000,5.570000,5.590000,3.798038,30800
2009-06-22,5.610000,5.760000,5.560000,5.680000,3.859189,11800
2009-06-29,5.680000,5.690000,5.410000,5.630000,3.845243,21400
2009-07-06,5.610000,5.660000,5.580000,5.660000,3.865733,10400
2009-07-13,5.580000,5.890000,5.580000,5.890000,4.022820,30700
2009-07-20,5.780000,5.890000,5.780000,5.850000,3.995502,91000
2009-07-27,5.820000,5.890000,5.760000,5.860000,4.002334,47800
2009-08-03,5.810000,5.900000,5.800000,5.900000,4.050281,25300
2009-08-10,5.900000,6.000000,5.810000,5.910000,4.057146,25700
2009-08-17,5.890000,5.990000,5.770000,5.860000,4.022821,36800
2009-08-24,5.900000,5.950000,5.830000,5.830000,4.002228,16700
2009-08-31,5.800000,5.970000,5.760000,5.870000,4.050107,61300
2009-09-07,5.860000,6.030000,5.840000,5.950000,4.105305,45300
2009-09-14,5.930000,6.050000,5.930000,6.050000,4.174300,28900
2009-09-21,6.050000,6.130000,6.000000,6.040000,4.167403,83800
2009-09-28,6.040000,6.170000,6.000000,6.010000,4.146702,82700
2009-10-05,5.940000,6.320000,5.940000,6.320000,4.382360,61900
2009-10-12,6.310000,6.360000,6.150000,6.330000,4.389293,54100
2009-10-19,6.330000,6.470000,6.270000,6.430000,4.458634,227100
2009-10-26,6.430000,6.500000,6.300000,6.500000,4.507173,29500
2009-11-02,6.490000,6.500000,6.200000,6.230000,4.340359,87600
2009-11-09,6.210000,6.440000,6.210000,6.440000,4.486665,21200
2009-11-16,6.270000,6.540000,6.270000,6.450000,4.493631,24900
2009-11-23,6.540000,6.540000,6.340000,6.450000,4.493631,47300
2009-11-30,6.450000,6.590000,6.430000,6.570000,4.598559,28100
2009-12-07,6.460000,6.600000,6.460000,6.560000,4.591558,55300
2009-12-14,6.600000,6.830000,6.590000,6.720000,4.703547,58100
2009-12-21,6.710000,6.940000,6.710000,6.800000,4.759541,15600
2009-12-28,6.790000,6.980000,6.790000,6.850000,4.794536,1900
2010-01-04,6.870000,7.020000,6.870000,7.010000,4.928268,45300
2010-01-11,7.010000,7.020000,6.830000,6.990000,4.914210,34100
2010-01-18,6.960000,7.070000,6.960000,6.990000,4.914210,63800
2010-01-25,6.980000,7.020000,6.870000,6.940000,4.879058,53000
2010-02-01,6.930000,6.940000,6.590000,6.600000,4.660112,46000
2010-02-08,6.700000,6.760000,6.550000,6.680000,4.716600,61600
2010-02-15,6.760000,6.890000,6.660000,6.850000,4.836631,27200
2010-02-22,6.800000,6.890000,6.740000,6.820000,4.815452,44800
2010-03-01,6.870000,6.890000,6.800000,6.890000,4.886594,28400
2010-03-08,6.860000,7.030000,6.850000,6.930000,4.914963,45000
2010-03-15,6.950000,7.110000,6.950000,7.030000,4.985888,61300
2010-03-22,7.020000,7.550000,7.020000,7.070000,5.014254,55600
2010-03-29,7.070000,7.120000,7.020000,7.120000,5.049716,14800
2010-04-05,7.120000,7.180000,7.110000,7.180000,5.113970,15500
2010-04-12,7.150000,7.150000,7.070000,7.100000,5.056991,13700
2010-04-19,7.110000,7.150000,7.000000,7.100000,5.056991,37000
2010-04-26,7.150000,7.170000,7.000000,7.050000,5.021378,33000
2010-05-03,7.000000,7.060000,6.700000,6.800000,4.863866,68600
2010-05-10,6.860000,6.900000,6.770000,6.850000,4.899628,28500
2010-05-17,6.850000,6.950000,6.700000,6.870000,4.913933,18900
2010-05-24,6.870000,6.870000,6.630000,6.680000,4.778033,9900
2010-05-31,6.600000,6.810000,6.510000,6.810000,4.892765,41400
2010-06-07,6.810000,7.080000,6.810000,6.850000,4.921501,32800
2010-06-14,6.850000,6.950000,6.850000,6.950000,4.993351,16600
2010-06-21,6.910000,7.000000,6.880000,6.970000,5.007718,51000
2010-06-28,6.960000,6.990000,6.840000,6.850000,4.921501,33700
2010-07-05,6.790000,7.000000,6.750000,6.860000,4.949993,51300
2010-07-12,6.930000,7.020000,6.860000,7.020000,5.065445,25100
2010-07-19,6.950000,7.140000,6.950000,7.140000,5.152034,32800
2010-07-26,7.100000,7.180000,7.010000,7.150000,5.159249,28500
2010-08-02,7.150000,7.150000,7.050000,7.050000,5.108557,17500
2010-08-09,7.150000,7.180000,7.010000,7.150000,5.181017,52700
2010-08-16,7.160000,7.220000,7.150000,7.180000,5.202755,25200
2010-08-23,7.200000,7.250000,7.150000,7.250000,5.253480,26700
2010-08-30,7.190000,7.370000,7.190000,7.300000,5.311966,24800
2010-09-06,7.300000,7.370000,7.220000,7.360000,5.355627,7900
2010-09-13,7.280000,7.380000,7.270000,7.350000,5.348352,43300
2010-09-20,7.360000,7.430000,7.260000,7.300000,5.311966,25300
2010-09-27,7.290000,7.630000,7.290000,7.630000,5.552099,37700
2010-10-04,7.520000,7.620000,7.500000,7.610000,5.560177,37600
2010-10-11,7.500000,7.600000,7.500000,7.600000,5.552872,15200
2010-10-18,7.380000,7.650000,7.380000,7.650000,5.589402,52000
2010-10-25,7.640000,7.700000,7.550000,7.700000,5.625936,49800
2010-11-01,7.650000,7.760000,7.590000,7.620000,5.589258,28300
2010-11-08,7.550000,7.680000,7.500000,7.590000,5.567256,30900
2010-11-15,7.510000,7.730000,7.510000,7.730000,5.669943,30500
2010-11-22,7.630000,7.730000,7.600000,7.720000,5.662609,21900
2010-11-29,7.660000,7.770000,7.630000,7.700000,5.670323,27100
2010-12-06,7.710000,7.930000,7.700000,7.710000,5.677687,19600
2010-12-13,7.730000,7.840000,7.680000,7.790000,5.736598,52700
2010-12-20,7.780000,7.900000,7.780000,7.820000,5.758689,22200
2010-12-27,7.920000,7.950000,7.860000,7.880000,5.802878,22300
2011-01-03,7.890000,7.940000,7.850000,7.850000,5.803047,13100
2011-01-10,7.880000,8.000000,7.860000,8.000000,5.913933,51900
2011-01-17,8.000000,8.080000,8.000000,8.000000,5.913933,33400
2011-01-24,8.010000,8.010000,7.950000,7.970000,5.891756,59900
2011-01-31,7.930000,8.070000,7.920000,7.940000,5.891674,50400
2011-02-07,7.940000,7.990000,7.880000,7.950000,5.899093,20100
2011-02-14,7.940000,8.050000,7.860000,8.050000,5.973297,47100
2011-02-21,8.010000,8.010000,7.630000,7.790000,5.780368,48000
2011-02-28,7.860000,7.860000,7.660000,7.670000,5.713301,58200
2011-03-07,7.700000,7.700000,7.360000,7.470000,5.564323,51100
2011-03-14,7.520000,7.520000,7.410000,7.490000,5.579220,54900
2011-03-21,7.510000,7.610000,7.500000,7.610000,5.668608,362600
2011-03-28,7.640000,7.730000,7.500000,7.700000,5.735645,274700
2011-04-04,7.720000,7.790000,7.630000,7.750000,5.795772,100800
2011-04-11,7.750000,7.750000,7.600000,7.660000,5.728463,50500
2011-04-18,7.660000,7.700000,7.590000,7.700000,5.758378,41600
2011-04-25,7.700000,7.710000,7.640000,7.690000,5.750898,40500
2011-05-02,7.700000,7.780000,7.640000,7.720000,5.795946,26300
2011-05-09,7.720000,7.870000,7.720000,7.850000,5.893546,132300
2011-05-16,7.810000,7.970000,7.810000,7.970000,5.983636,60300
2011-05-23,7.990000,8.100000,7.950000,8.030000,6.028685,39500
2011-05-30,8.040000,8.120000,8.030000,8.040000,6.058941,88300
2011-06-06,8.030000,8.030000,7.800000,7.800000,5.878077,35000
2011-06-13,7.800000,7.800000,7.600000,7.800000,5.878077,18300
2011-06-20,7.770000,7.860000,7.700000,7.840000,5.908221,43700
2011-06-27,7.860000,8.000000,7.860000,7.990000,6.021260,13800
2011-07-04,8.000000,8.010000,7.920000,7.920000,5.991377,15800
2011-07-11,7.960000,7.960000,7.800000,7.930000,5.998940,105900
2011-07-18,7.850000,7.970000,7.850000,7.960000,6.021637,38700
2011-07-25,7.990000,8.010000,7.900000,7.900000,5.976247,53100
2011-08-01,7.910000,7.910000,7.560000,7.600000,5.771052,30500
2011-08-08,7.500000,7.680000,7.200000,7.680000,5.831799,18600
2011-08-15,7.690000,7.850000,7.690000,7.690000,5.839392,29100
2011-08-22,7.710000,7.830000,7.600000,7.720000,5.862173,38800
2011-08-29,7.730000,7.870000,7.730000,7.840000,5.953294,22800
2011-09-05,7.780000,7.890000,7.780000,7.850000,5.984143,26400
2011-09-12,7.980000,7.990000,7.850000,7.850000,5.984143,60400
2011-09-19,7.920000,7.920000,7.670000,7.670000,5.846928,71600
2011-09-26,7.700000,7.960000,7.700000,7.900000,6.022258,34600
2011-10-03,7.800000,7.900000,7.760000,7.870000,6.022434,38300
2011-10-10,7.970000,8.000000,7.800000,7.910000,6.053042,19000
2011-10-17,7.910000,8.070000,7.880000,7.880000,6.030086,34900
2011-10-24,7.860000,8.100000,7.850000,7.950000,6.083652,29100
2011-10-31,7.970000,8.000000,7.920000,7.950000,6.106610,16700
2011-11-07,7.980000,8.240000,7.950000,7.960000,6.114292,20000
2011-11-14,7.980000,8.000000,7.950000,7.970000,6.121972,13700
2011-11-21,7.950000,7.960000,7.700000,7.880000,6.052842,45300
2011-11-28,7.880000,8.080000,7.860000,7.970000,6.121972,37500
2011-12-05,8.040000,8.060000,7.870000,7.960000,6.137659,33100
2011-12-12,7.960000,8.190000,7.960000,8.050000,6.207055,10300
2011-12-19,8.030000,8.160000,8.020000,8.160000,6.291873,34900
2011-12-26,8.110000,8.150000,8.110000,8.150000,6.284162,6900
2012-01-02,8.170000,8.290000,8.170000,8.290000,6.415695,28800
2012-01-09,8.280000,8.300000,8.140000,8.140000,6.299612,70800
2012-01-16,8.110000,8.250000,8.110000,8.230000,6.369262,69300
2012-01-23,8.170000,8.280000,8.170000,8.200000,6.346046,50500
2012-01-30,8.170000,8.300000,8.170000,8.300000,6.446965,21800
2012-02-06,8.300000,8.300000,7.940000,7.950000,6.175105,25400
2012-02-13,8.000000,8.020000,7.990000,8.000000,6.213943,13600
2012-02-20,8.010000,8.150000,8.000000,8.070000,6.268314,25100
2012-02-27,8.040000,8.120000,7.930000,7.990000,6.206175,59200
2012-03-05,7.990000,8.000000,7.980000,7.980000,6.221535,19100
2012-03-12,8.000000,8.020000,7.900000,8.000000,6.237128,32300
2012-03-19,8.000000,8.000000,7.860000,7.960000,6.205942,69200
2012-03-26,7.910000,7.930000,7.730000,7.770000,6.057811,305300
2012-04-02,7.750000,7.890000,7.660000,7.690000,6.018409,77700
2012-04-09,7.670000,7.840000,7.670000,7.800000,6.104501,49600
2012-04-16,7.800000,7.870000,7.780000,7.800000,6.104501,20100
2012-04-23,7.780000,7.830000,7.750000,7.800000,6.104501,26100
2012-04-30,7.800000,7.920000,7.800000,7.840000,6.159556,32300
2012-05-07,7.840000,7.900000,7.800000,7.900000,6.206697,25000
2012-05-14,7.900000,7.900000,7.850000,7.850000,6.167412,26500
2012-05-21,7.850000,7.850000,7.810000,7.830000,6.151699,9500
2012-05-28,7.820000,7.860000,7.800000,7.820000,6.143843,35300
2012-06-04,7.800000,7.800000,7.750000,7.760000,6.120184,20700
2012-06-11,7.760000,7.820000,7.750000,7.750000,6.112297,22400
2012-06-18,7.810000,7.840000,7.750000,7.760000,6.120184,34000
2012-06-25,7.750000,7.750000,7.680000,7.700000,6.072861,23600
2012-07-02,7.700000,7.740000,7.700000,7.740000,6.128317,3700
2012-07-09,7.730000,7.730000,7.680000,7.700000,6.096646,10600
2012-07-16,7.700000,7.780000,7.700000,7.780000,6.159988,18700
2012-07-23,7.740000,7.960000,7.740000,7.960000,6.302506,15600
