Date,Open,High,Low,Close,Adj Close,Volume
2015-02-02,10.110000,10.120000,9.870000,10.110000,8.417671,22200
2015-02-09,10.100000,10.110000,10.040000,10.100000,8.409348,23000
2015-02-16,10.110000,10.160000,10.000000,10.160000,8.459301,62900
2015-02-23,10.160000,10.170000,10.100000,10.150000,8.450975,39400
2015-03-02,10.110000,10.150000,10.020000,10.100000,8.409348,24300
2015-03-09,10.050000,10.120000,10.010000,10.030000,8.351062,36800
2015-03-16,10.070000,10.130000,10.000000,10.130000,8.434324,33200
2015-03-23,10.090000,10.170000,10.050000,10.100000,8.409348,31600
2015-03-30,10.120000,10.160000,10.060000,10.150000,8.489376,5600
2015-04-06,10.080000,10.200000,10.080000,10.190000,8.522831,5500
2015-04-13,10.185000,10.240000,10.180000,10.200000,8.531194,12900
2015-04-20,10.190000,10.210000,10.150000,10.180000,8.514464,11900
2015-04-27,10.160000,10.180000,10.110000,10.130000,8.472648,14200
2015-05-04,10.190000,10.190000,10.120000,10.180000,8.553958,5000
2015-05-11,10.190000,10.210000,10.100000,10.200000,8.570765,18900
2015-05-18,10.130000,10.200000,10.120000,10.200000,8.570765,12100
2015-05-25,10.190000,10.200000,10.080000,10.150000,8.528750,16300
2015-06-01,10.150000,10.160000,10.060000,10.060000,8.491421,6000
2015-06-08,10.060000,10.130000,10.060000,10.100000,8.525185,4200
2015-06-15,10.080000,10.110000,10.050000,10.090000,8.516745,17300
2015-06-22,10.110000,10.150000,10.020000,10.020000,8.457661,8400
2015-06-29,10.020000,10.070000,9.900000,10.070000,8.537053,4300
2015-07-06,10.070000,10.070000,10.000000,10.070000,8.537053,7800
2015-07-13,10.120000,10.120000,10.040000,10.080000,8.545529,7800
2015-07-20,10.090000,10.090000,9.990000,9.990000,8.469233,6500
2015-07-27,9.990000,10.000000,9.980000,10.000000,8.477708,4600
2015-08-03,9.940000,9.970000,9.940000,9.950000,8.472636,12600
2015-08-10,9.950000,9.980000,9.910000,9.930000,8.455609,4400
2015-08-17,9.910000,9.920000,9.760000,9.760000,8.310850,5100
2015-08-24,9.760000,9.910000,9.720000,9.910000,8.438578,39700
2015-08-31,9.850000,9.870000,9.800000,9.830000,8.407648,9600
2015-09-07,9.830000,9.940000,9.830000,9.940000,8.501734,5000
2015-09-14,9.890000,10.000000,9.810000,9.850000,8.424756,16300
2015-09-21,9.850000,9.850000,9.680000,9.680000,8.279352,17800
2015-09-28,9.650000,9.650000,9.450000,9.550000,8.204421,27600
2015-10-05,9.700000,9.720000,9.550000,9.660000,8.298926,8000
2015-10-12,9.660000,9.700000,9.620000,9.690000,8.324697,6000
2015-10-19,9.690000,9.710000,9.690000,9.700000,8.333285,13000
2015-10-26,9.740000,9.740000,9.600000,9.600000,8.247377,2900
2015-11-02,9.670000,9.710000,9.620000,9.620000,8.300352,4000
2015-11-09,9.510000,9.510000,9.430000,9.430000,8.136416,5800
2015-11-16,9.410000,9.460000,9.400000,9.400000,8.110529,24300
2015-11-23,9.350000,9.370000,8.960000,9.330000,8.050134,50900
2015-11-30,9.270000,9.360000,9.260000,9.310000,8.068181,21800
2015-12-07,9.230000,9.260000,9.000000,9.000000,7.799530,9700
2015-12-14,9.010000,9.170000,8.930000,9.090000,7.877527,67500
2015-12-21,9.070000,9.300000,8.400000,9.160000,7.938186,31800
2015-12-28,9.300000,9.300000,9.150000,9.220000,8.024699,2100
2016-01-04,9.220000,9.220000,9.110000,9.110000,7.928960,4200
2016-01-11,9.150000,9.150000,8.910000,8.930000,7.772295,8400
2016-01-18,8.930000,9.100000,8.740000,9.100000,7.920258,9900
2016-01-25,9.030000,9.040000,8.960000,9.040000,7.868038,4100
2016-02-01,8.980000,9.000000,8.930000,8.930000,7.806878,3900
2016-02-08,8.820000,8.870000,8.700000,8.870000,7.754424,7000
2016-02-15,8.700000,8.900000,8.700000,8.900000,7.780651,300
2016-02-22,8.930000,8.930000,8.800000,8.890000,7.771909,3000
2016-02-29,8.930000,9.150000,8.930000,9.120000,8.007324,18000
2016-03-07,9.110000,9.300000,8.350000,9.290000,8.156584,8100
2016-03-14,9.300000,9.300000,9.170000,9.300000,8.165363,3000
2016-03-21,9.320000,9.340000,9.290000,9.300000,8.165363,21600
2016-03-28,9.220000,9.330000,9.220000,9.280000,8.147805,1700
2016-04-04,9.280000,9.350000,9.280000,9.350000,8.244724,1400
2016-04-11,9.340000,9.470000,9.290000,9.470000,8.350540,10200
2016-04-18,9.450000,9.580000,9.300000,9.510000,8.385811,10300
2016-04-25,9.500000,9.520000,9.490000,9.510000,8.385811,15900
2016-05-02,9.520000,9.520000,9.430000,9.430000,8.350427,5200
2016-05-09,9.530000,9.590000,9.460000,9.520000,8.430120,14700
2016-05-16,9.520000,9.560000,9.470000,9.560000,8.465545,600
2016-05-23,9.470000,9.610000,9.470000,9.500000,8.412414,6200
2016-05-30,9.500000,9.600000,9.500000,9.600000,8.536498,4200
2016-06-06,9.600000,9.670000,9.600000,9.670000,8.598742,8500
2016-06-13,9.670000,9.670000,9.470000,9.530000,8.474251,5300
2016-06-20,9.550000,9.670000,9.230000,9.670000,8.598742,12100
2016-06-27,9.360000,9.590000,9.360000,9.530000,8.474251,2100
2016-07-04,9.530000,9.710000,9.530000,9.700000,8.661244,3500
2016-07-11,9.740000,9.740000,9.670000,9.670000,8.634459,19200
2016-07-18,9.730000,9.790000,9.710000,9.780000,8.732680,8900
2016-07-25,9.770000,9.770000,9.650000,9.650000,8.616603,3400
2016-08-01,9.650000,9.720000,9.650000,9.720000,8.714785,200
2016-08-08,9.820000,9.850000,9.770000,9.800000,8.786510,4500
2016-08-15,9.800000,9.890000,9.780000,9.890000,8.867206,40700
2016-08-22,9.800000,9.880000,9.800000,9.800000,8.786510,9600
2016-08-29,9.820000,9.890000,9.790000,9.890000,8.903435,7800
2016-09-05,9.800000,9.960000,9.800000,9.830000,8.849419,5100
2016-09-12,9.830000,9.870000,9.770000,9.850000,8.867423,5700
2016-09-19,9.850000,10.050000,9.850000,9.950000,8.957448,10600
2016-09-26,9.770000,9.970000,9.770000,9.930000,8.939444,12300
2016-10-03,9.930000,9.980000,9.920000,9.950000,8.993787,3400
2016-10-10,9.950000,9.960000,9.950000,9.960000,9.002826,6700
2016-10-17,9.990000,10.040000,9.930000,10.040000,9.075137,12000
2016-10-24,10.040000,10.040000,9.870000,9.870000,8.921473,600
2016-10-31,9.910000,9.910000,9.800000,9.820000,8.933225,3500
2016-11-07,9.950000,9.970000,9.670000,9.670000,8.796770,7400
2016-11-14,9.670000,9.670000,9.670000,9.670000,8.796770,0
