Date,Open,High,Low,Close,Adj Close,Volume
2006-06-12,10.100000,10.400000,9.850000,10.390000,4.066694,1312300
2006-06-19,10.390000,11.150000,10.100000,11.050000,4.325020,485000
2006-06-26,11.050000,11.490000,11.000000,11.490000,4.497239,349500
2006-07-03,11.420000,11.750000,11.270000,11.600000,4.540293,107000
2006-07-10,11.400000,11.700000,11.250000,11.500000,4.501152,137400
2006-07-17,11.700000,12.000000,11.500000,11.860000,4.642059,109500
2006-07-24,12.000000,12.250000,11.900000,12.000000,4.696855,207500
2006-07-31,12.400000,12.400000,12.000000,12.250000,4.842628,394300
2006-08-07,12.250000,12.250000,12.000000,12.020000,4.751707,34400
2006-08-14,12.020000,12.080000,11.810000,12.050000,4.763567,283200
2006-08-21,12.000000,12.250000,11.950000,12.040000,4.759612,71600
2006-08-28,12.050000,12.060000,11.700000,11.750000,4.644967,84400
2006-09-04,11.750000,12.150000,11.750000,12.010000,4.779284,131300
2006-09-11,12.190000,12.990000,11.900000,12.510000,4.978255,165900
2006-09-18,12.510000,12.800000,12.430000,12.700000,5.053865,265900
2006-09-25,12.700000,12.700000,12.380000,12.500000,4.974274,140300
2006-10-02,12.550000,12.550000,12.350000,12.450000,4.985957,46200
2006-10-09,12.450000,13.000000,12.450000,12.750000,5.106104,123900
2006-10-16,12.900000,13.650000,12.690000,13.520000,5.414473,351600
2006-10-23,13.550000,14.700000,13.300000,14.600000,5.846983,690600
2006-10-30,14.600000,14.700000,11.010000,12.000000,4.832217,347500
2006-11-06,12.000000,13.100000,11.900000,12.850000,5.174503,201600
2006-11-13,12.870000,13.040000,12.750000,13.000000,5.234903,76900
2006-11-20,13.000000,13.260000,12.810000,12.900000,5.194632,50100
2006-11-27,12.900000,14.000000,12.800000,13.340000,5.371815,98500
2006-12-04,13.490000,13.890000,13.010000,13.300000,5.388910,30400
2006-12-11,13.300000,13.490000,12.800000,12.810000,5.190369,75500
2006-12-18,12.980000,13.400000,12.700000,13.400000,5.429427,163100
2006-12-25,13.400000,13.700000,13.400000,13.700000,5.550981,17500
2007-01-01,13.700000,13.700000,13.350000,13.550000,5.522835,14500
2007-01-08,13.540000,14.750000,13.400000,14.150000,5.767390,270100
2007-01-15,14.750000,14.750000,14.160000,14.750000,6.011940,44500
2007-01-22,15.000000,15.350000,14.200000,14.390000,5.865208,95000
2007-01-29,14.390000,15.000000,14.390000,15.000000,6.113841,71000
2007-02-05,14.900000,15.350000,14.710000,15.000000,6.147660,47600
2007-02-12,15.090000,15.750000,14.850000,15.500000,6.352583,47000
2007-02-19,15.490000,15.750000,15.250000,15.650000,6.414058,44500
2007-02-26,15.500000,15.750000,15.300000,15.650000,6.414058,15300
2007-03-05,15.750000,17.010000,15.550000,16.990000,6.998654,100400
2007-03-12,17.000000,17.000000,15.750000,15.750000,6.487867,61423
2007-03-19,15.500000,16.250000,14.500000,16.000000,6.590847,121198
2007-03-26,15.940000,16.100000,15.780000,16.000000,6.590847,21912
2007-04-02,16.209999,16.440001,16.000000,16.100000,6.665226,60977
2007-04-09,16.010000,16.850000,16.010000,16.410000,6.793566,54729
2007-04-16,16.680000,16.700001,16.200001,16.680000,6.905342,55291
2007-04-23,16.650000,18.299999,16.450001,18.250000,7.555311,120327
2007-04-30,18.549999,20.000000,18.500000,19.000000,7.902929,107639
