Date,Open,High,Low,Close,Adj Close,Volume
1996-08-05,2.350000,2.400000,2.350000,2.400000,0.674365,6000
1996-08-12,2.375000,2.375000,2.375000,2.375000,0.667341,2000
1996-08-19,2.200000,2.200000,2.125000,2.200000,0.618168,5000
1996-08-26,2.200000,2.200000,2.200000,2.200000,0.618168,1000
1996-09-02,2.125000,2.200000,2.125000,2.200000,0.618168,0
1996-09-09,2.200000,2.200000,2.125000,2.125000,0.597094,6000
1996-09-16,2.125000,2.175000,2.125000,2.175000,0.611143,2600
1996-09-23,2.175000,2.175000,2.100000,2.175000,0.611143,9000
1996-09-30,2.175000,2.200000,2.175000,2.200000,0.618168,4600
1996-10-07,2.200000,2.250000,2.200000,2.250000,0.632217,34000
1996-10-14,2.250000,2.340000,2.250000,2.250000,0.632217,53400
1996-10-21,2.250000,2.325000,2.250000,2.300000,0.646267,183600
1996-10-28,2.300000,2.500000,2.300000,2.500000,0.702464,147000
1996-11-04,2.400000,2.500000,2.375000,2.375000,0.667341,264600
1996-11-11,2.375000,2.500000,2.375000,2.500000,0.702464,19400
1996-11-18,2.450000,2.500000,2.450000,2.475000,0.735710,42800
1996-11-25,2.475000,2.475000,2.350000,2.400000,0.713415,159800
1996-12-02,2.400000,2.775000,2.400000,2.775000,0.824887,37400
1996-12-09,2.675000,2.750000,2.625000,2.625000,0.780298,13200
1996-12-16,2.625000,2.750000,2.625000,2.650000,0.787729,21400
1996-12-23,2.750000,3.125000,2.750000,3.125000,0.928926,40000
1996-12-30,3.125000,3.300000,3.125000,3.300000,0.980946,33000
1997-01-06,3.375000,3.500000,2.875000,3.050000,0.906632,101000
1997-01-13,3.100000,3.375000,3.050000,3.250000,0.966083,57000
1997-01-20,3.300000,3.300000,3.025000,3.225000,0.958652,61200
1997-01-27,3.250000,3.250000,3.175000,3.200000,0.951221,27200
1997-02-03,3.250000,3.250000,3.200000,3.200000,0.951221,11200
1997-02-10,3.200000,3.275000,3.125000,3.275000,0.973515,41000
1997-02-17,3.250000,3.450000,3.250000,3.450000,1.025535,39600
1997-02-24,3.500000,3.775000,3.475000,3.775000,1.122143,70600
1997-03-03,3.700000,4.250000,3.700000,4.250000,1.263340,80400
1997-03-10,4.275000,4.750000,4.275000,4.450000,1.322791,131400
1997-03-17,4.325000,4.325000,4.100000,4.100000,1.218751,7000
1997-03-24,4.200000,4.500000,4.200000,4.225000,1.255908,29600
1997-03-31,4.250000,4.250000,4.000000,4.000000,1.189025,21400
1997-04-07,4.000000,4.300000,4.000000,4.200000,1.248477,17200
1997-04-14,4.200000,4.200000,4.125000,4.150000,1.233614,10400
1997-04-21,4.150000,4.500000,4.125000,4.500000,1.337654,26400
1997-04-28,4.500000,4.675000,4.425000,4.675000,1.389674,35800
1997-05-05,4.650000,4.750000,4.500000,4.500000,1.337654,26600
1997-05-12,4.500000,4.500000,4.300000,4.300000,1.278203,1200
1997-05-19,4.475000,4.500000,4.475000,4.500000,1.337654,9400
1997-05-26,4.500000,4.500000,4.500000,4.500000,1.337654,1000
1997-06-02,4.500000,4.625000,4.500000,4.625000,1.374811,5800
1997-06-09,4.675000,4.850000,4.675000,4.800000,1.426831,106000
1997-06-16,5.000000,5.000000,4.750000,4.750000,1.411968,16800
1997-06-23,4.750000,4.925000,4.750000,4.900000,1.456556,43000
1997-06-30,4.875000,4.950000,4.875000,4.950000,1.471419,12400
1997-07-07,4.925000,5.225000,4.925000,5.200000,1.545733,91000
1997-07-14,5.350000,5.350000,4.750000,5.125000,1.523439,43800
1997-07-21,4.900000,5.225000,4.900000,5.225000,1.553165,6000
1997-07-28,5.000000,5.000000,4.875000,4.950000,1.471419,7800
1997-08-04,4.950000,5.175000,4.950000,5.025000,1.503063,124800
1997-08-11,5.025000,5.025000,4.950000,5.000000,1.495585,15200
1997-08-18,5.000000,5.000000,4.900000,4.900000,1.465673,4600
1997-08-25,4.825000,5.000000,4.800000,5.000000,1.495585,8000
1997-09-01,4.875000,5.000000,4.875000,5.000000,1.495585,8800
1997-09-08,4.950000,5.050000,4.950000,5.050000,1.510541,15400
1997-09-15,5.050000,5.050000,5.000000,5.000000,1.495585,9000
1997-09-22,5.050000,5.050000,5.000000,5.000000,1.495585,20400
1997-09-29,5.000000,5.100000,5.000000,5.100000,1.525496,11200
1997-10-06,5.050000,5.750000,5.025000,5.750000,1.719922,53200
1997-10-13,6.000000,6.375000,5.750000,6.025000,1.802180,117200
1997-10-20,6.000000,6.000000,5.750000,5.950000,1.779745,25400
1997-10-27,5.800000,5.900000,5.250000,5.800000,1.734878,20000
1997-11-03,5.800000,5.800000,5.500000,5.700000,1.704967,10600
1997-11-10,5.700000,5.700000,5.525000,5.700000,1.704967,1800
1997-11-17,5.700000,5.700000,5.625000,5.675000,1.737107,4800
1997-11-24,5.575000,5.575000,5.500000,5.500000,1.683540,2600
1997-12-01,5.375000,5.375000,5.375000,5.375000,1.645277,1200
1997-12-08,5.000000,5.300000,5.000000,5.000000,1.530491,7600
1997-12-15,5.000000,5.000000,4.900000,4.900000,1.499881,7800
1997-12-22,4.900000,5.125000,4.900000,5.125000,1.568753,1400
1997-12-29,5.250000,5.425000,5.000000,5.425000,1.660582,5800
1998-01-05,5.250000,5.250000,5.250000,5.250000,1.607015,800
1998-01-12,5.150000,5.400000,4.975000,5.400000,1.652930,19000
1998-01-19,5.400000,5.450000,5.300000,5.450000,1.668234,11200
1998-01-26,5.450000,5.450000,5.100000,5.100000,1.561100,8800
1998-02-02,5.000000,5.050000,4.800000,4.800000,1.469271,29200
1998-02-09,4.800000,4.800000,4.650000,4.750000,1.453966,29800
1998-02-16,4.750000,5.000000,4.750000,5.000000,1.530491,34600
1998-02-23,4.875000,5.000000,4.875000,4.875000,1.492228,27000
1998-03-02,4.875000,4.900000,4.875000,4.900000,1.499881,4400
1998-03-09,4.900000,5.000000,4.900000,5.000000,1.530491,15800
1998-03-16,5.000000,5.100000,5.000000,5.100000,1.561100,21000
1998-03-23,5.000000,5.075000,5.000000,5.025000,1.538143,52800
1998-03-30,5.025000,5.050000,5.025000,5.050000,1.545796,3200
1998-04-06,5.025000,5.050000,5.000000,5.000000,1.530491,19400
1998-04-13,5.000000,5.100000,5.000000,5.050000,1.545796,9200
1998-04-20,5.100000,5.125000,5.100000,5.125000,1.568753,8200
1998-04-27,5.100000,5.100000,5.000000,5.000000,1.530491,7400
1998-05-04,5.125000,5.125000,5.000000,5.000000,1.530491,4400
1998-05-11,5.000000,5.000000,4.750000,4.750000,1.453966,1200
1998-05-18,4.750000,5.000000,4.750000,5.000000,1.530491,2000
1998-05-25,5.000000,5.000000,4.750000,4.950000,1.515186,12400
1998-06-01,4.800000,4.800000,4.750000,4.750000,1.453966,5800
1998-06-08,4.750000,4.750000,4.625000,4.625000,1.415704,10200
1998-06-15,4.625000,4.625000,4.625000,4.625000,1.415704,0
1998-06-22,4.625000,4.625000,4.625000,4.625000,1.415704,1800
1998-06-29,4.625000,5.000000,4.625000,5.000000,1.530491,14200
1998-07-06,5.000000,5.000000,4.750000,4.750000,1.453966,5000
1998-07-13,4.750000,4.750000,4.750000,4.750000,1.453966,10400
1998-07-20,4.750000,4.750000,4.725000,4.725000,1.446314,2200
1998-07-27,4.725000,4.725000,4.550000,4.550000,1.392747,1800
1998-08-03,4.550000,4.675000,4.050000,4.675000,1.471494,6200
1998-08-10,4.675000,4.675000,4.250000,4.250000,1.337722,2000
1998-08-17,4.250000,4.500000,4.250000,4.500000,1.416411,18200
1998-08-24,4.500000,4.500000,3.750000,3.750000,1.180343,4400
1998-08-31,3.500000,3.500000,3.375000,3.375000,1.062309,27400
1998-09-07,3.375000,3.425000,3.250000,3.250000,1.022964,19400
1998-09-14,3.250000,3.375000,3.000000,3.000000,0.944275,4200
1998-09-21,3.250000,3.400000,3.250000,3.400000,1.070178,53200
1998-09-28,3.400000,3.500000,3.400000,3.450000,1.085916,16800
1998-10-05,3.350000,3.350000,3.350000,3.350000,1.054440,800
1998-10-12,3.425000,3.625000,3.425000,3.625000,1.140998,7400
1998-10-19,3.625000,4.000000,3.625000,3.750000,1.180343,40600
1998-10-26,4.000000,4.500000,4.000000,4.500000,1.416411,6800
1998-11-02,4.500000,4.675000,4.500000,4.500000,1.416411,3600
1998-11-09,4.500000,4.650000,4.500000,4.500000,1.416411,7200
1998-11-16,4.650000,4.750000,4.500000,4.500000,1.458547,8000
1998-11-23,4.500000,4.500000,4.450000,4.450000,1.442341,3600
1998-11-30,4.450000,4.450000,4.350000,4.350000,1.409929,1000
1998-12-07,4.350000,4.350000,4.250000,4.250000,1.377517,3200
1998-12-14,4.250000,4.250000,4.250000,4.250000,1.377517,0
1998-12-21,4.250000,4.250000,4.000000,4.150000,1.345105,6600
1998-12-28,4.150000,4.250000,4.150000,4.250000,1.377517,600
1999-01-04,4.250000,4.250000,4.150000,4.150000,1.345105,5000
1999-01-11,4.000000,4.000000,4.000000,4.000000,1.296486,600
1999-01-18,4.050000,4.050000,4.050000,4.050000,1.312693,9400
1999-01-25,4.000000,4.100000,4.000000,4.100000,1.328899,4600
1999-02-01,4.100000,4.250000,4.025000,4.075000,1.320796,7800
1999-02-08,4.075000,4.125000,4.075000,4.125000,1.337002,3800
1999-02-15,4.125000,4.175000,4.000000,4.175000,1.353208,4200
1999-02-22,4.125000,4.125000,4.025000,4.025000,1.304589,7000
1999-03-01,4.025000,4.150000,4.025000,4.150000,1.345105,17200
