Date,Open,High,Low,Close,Adj Close,Volume
2003-11-24,18.975332,19.098671,18.975332,19.022770,7.407597,1278100
2003-12-01,19.022770,19.307400,18.975332,19.297913,7.514735,627000
2003-12-08,19.316889,19.449715,19.165085,19.326376,7.525821,625300
2003-12-15,19.402277,19.449715,19.089184,19.402277,7.555376,602500
2003-12-22,19.440228,19.449715,18.984819,18.984819,7.392817,482700
2003-12-29,18.975332,19.108160,18.899431,18.975332,7.389122,1068400
2004-01-05,18.975332,19.098671,18.880455,18.956356,7.381736,649900
2004-01-12,18.880455,18.975332,18.719166,18.880455,7.352186,542200
2004-01-19,18.946869,18.956356,18.833017,18.937382,7.374351,488000
2004-01-26,18.880455,18.975332,18.728653,18.833017,7.333707,703600
2004-02-02,18.946869,18.975332,18.823530,18.880455,7.352186,546700
2004-02-09,18.889942,18.946869,18.728653,18.804554,7.322620,559200
2004-02-16,18.795067,18.937382,18.719166,18.738140,7.296761,509700
2004-02-23,18.785580,18.842505,18.263758,18.785580,7.315233,776600
2004-03-01,18.690702,18.956356,18.595825,18.880455,7.352186,562000
2004-03-08,18.795067,18.927895,18.595825,18.823530,7.330012,604800
2004-03-15,18.406073,18.481974,17.827324,18.140417,7.064005,1031000
2004-03-22,18.121443,18.121443,17.599621,17.941177,7.093678,1260500
2004-03-29,17.922201,18.358633,17.884251,18.235294,7.209970,763700
2004-04-05,18.121443,18.292219,17.846300,18.121443,7.164950,492800
2004-04-12,18.121443,18.197344,16.603416,17.561670,6.943625,1171800
2004-04-19,17.694498,17.931688,17.220114,17.533207,6.932373,793400
2004-04-26,17.533207,17.827324,16.603416,16.982922,6.714800,1129100
2004-05-03,17.077799,17.172676,16.176470,16.223909,6.414696,855800
2004-05-10,16.176470,16.603416,14.829222,16.451612,6.504728,1427500
2004-05-17,16.461100,16.982922,16.119545,16.888046,6.677288,1118500
2004-05-24,16.793169,17.172676,16.223909,17.087286,6.756057,1008400
2004-05-31,17.106262,17.258064,16.897533,17.077799,6.752314,513700
2004-06-07,17.220114,17.305502,16.745731,16.802656,6.643525,604800
2004-06-14,16.802656,16.869070,16.233397,16.518026,6.530988,906100
2004-06-21,16.584440,16.698292,16.299810,16.527514,6.647339,1037400
2004-06-28,16.499052,16.850096,16.385199,16.850096,6.777082,733700
2004-07-05,16.774193,16.935484,16.650854,16.850096,6.777082,567200
2004-07-12,16.821632,16.840607,16.223909,16.366224,6.582468,775200
2004-07-19,16.366224,16.537003,15.958254,16.053131,6.456547,931200
2004-07-26,16.072105,16.423149,15.654649,16.290323,6.551946,1000800
2004-08-02,16.280834,16.423149,16.091082,16.309298,6.559575,777300
2004-08-09,16.394688,16.508539,16.129032,16.195446,6.513785,778500
2004-08-16,16.223909,16.916508,16.176470,16.907021,6.799977,832800
2004-08-23,16.907021,17.229601,16.423149,16.954460,6.819053,985800
2004-08-30,16.982922,17.390892,16.764706,17.352942,6.979328,675800
2004-09-06,17.296015,17.514231,17.229601,17.428843,7.009853,659800
2004-09-13,17.523720,17.647058,16.831120,17.096775,6.876300,968700
2004-09-20,17.001898,17.077799,16.669828,17.020872,6.958676,1119100
2004-09-27,17.020872,17.514231,16.793169,17.476280,7.144856,1001000
2004-10-04,17.552181,17.789373,17.296015,17.419355,7.121586,790000
2004-10-11,17.333965,17.419355,16.745731,16.925997,6.919887,829500
2004-10-18,16.935484,16.944971,16.527514,16.603416,6.825553,1069000
2004-10-25,16.669828,16.869070,16.366224,16.859583,6.930856,1212500
2004-11-01,16.764706,17.447819,16.755219,17.305502,7.114172,1125900
2004-11-08,17.305502,17.305502,16.888046,16.992411,6.985460,1166200
2004-11-15,16.982922,17.096775,16.641367,16.660341,6.886896,1658900
2004-11-22,16.774193,17.077799,16.622391,17.030361,7.039851,1276900
2004-11-29,17.058823,17.314991,16.973434,17.144213,7.086916,1422900
2004-12-06,17.144213,17.144213,16.745731,16.963947,7.012395,1679100
2004-12-13,16.916508,17.030361,16.745731,16.840607,6.961411,2018000
2004-12-20,16.812143,16.869070,16.650854,16.764706,6.969059,2023100
2004-12-27,16.831120,17.058823,16.764706,17.030361,7.079491,2203400
2005-01-03,17.068312,17.333965,16.935484,17.058823,7.091325,1120000
2005-01-10,17.077799,17.077799,16.812143,16.973434,7.055830,1176700
2005-01-17,17.001898,17.125237,16.907021,17.011385,7.111357,1036700
2005-01-24,17.077799,17.115749,16.812143,17.087286,7.143085,1358700
2005-01-31,17.134726,17.590134,17.096775,17.580645,7.349327,1096400
2005-02-07,17.552181,17.722960,17.352942,17.485769,7.309665,1290700
2005-02-14,17.485769,17.552181,17.125237,17.163187,7.174816,1269500
2005-02-21,17.210627,17.352942,16.916508,17.352942,7.254137,1023800
2005-02-28,17.324478,17.656546,17.305502,17.599621,7.357265,1131500
2005-03-07,17.599621,17.666035,17.096775,17.210627,7.194643,1197500
2005-03-14,17.172676,17.220114,16.755219,16.869070,7.051858,1077900
2005-03-21,16.944971,17.030361,16.603416,16.935484,7.118873,913400
2005-03-28,16.897533,17.077799,16.698292,17.030361,7.158755,927200
2005-04-04,17.030361,17.409866,16.992411,17.324478,7.282387,915200
2005-04-11,17.362429,17.381405,16.850096,16.850096,7.082984,1031100
2005-04-18,16.859583,17.333965,16.821632,17.296015,7.310348,1210100
2005-04-25,17.352942,17.362429,16.897533,17.077799,7.218119,1043600
2005-05-02,17.077799,17.514231,17.020872,17.457306,7.378520,921200
2005-05-09,17.438330,17.504744,17.096775,17.182163,7.262229,1006900
2005-05-16,17.201139,17.542694,17.153700,17.447819,7.374512,1118000
2005-05-23,17.457306,17.552181,17.314991,17.428843,7.366492,1140900
2005-05-30,17.409866,17.495256,17.296015,17.466793,7.382531,783800
2005-06-06,17.485769,17.637571,17.466793,17.637571,7.454713,988500
2005-06-13,17.647058,17.798861,17.343454,17.779886,7.514862,972900
2005-06-20,17.713472,17.760910,17.419355,17.533207,7.450594,1139800
2005-06-27,17.523720,17.722960,17.381405,17.694498,7.519132,926300
2005-07-04,17.694498,17.979128,17.609108,17.884251,7.599769,755300
2005-07-11,17.855787,18.055029,17.836813,17.979128,7.640085,848400
2005-07-18,17.988615,18.102467,17.656546,17.694498,7.519132,1083200
2005-07-25,17.675522,18.017078,17.571157,17.922201,7.615892,1015500
2005-08-01,17.884251,18.083492,17.884251,18.007589,7.652178,899900
2005-08-08,18.017078,18.140417,17.770399,17.912714,7.611866,799700
2005-08-15,17.798861,17.931688,17.779886,17.884251,7.599769,892000
2005-08-22,17.931688,17.969639,17.561670,17.770399,7.551388,990400
2005-08-29,17.741936,18.074003,17.722960,17.969639,7.636054,713100
2005-09-05,17.979128,18.083492,17.846300,18.017078,7.656216,665400
2005-09-12,18.045540,18.045540,17.713472,17.741936,7.539292,840800
2005-09-19,17.741936,17.798861,17.485769,17.571157,7.506415,984000
2005-09-26,17.599621,17.637571,17.087286,17.514231,7.482101,1350200
2005-10-03,17.514231,17.599621,17.153700,17.210627,7.352402,993400
2005-10-10,17.248577,17.248577,16.337761,16.641367,7.109210,1005600
2005-10-17,16.669828,16.944971,16.537003,16.698292,7.174200,896200
2005-10-24,16.840607,16.982922,16.660341,16.783682,7.210888,945000
2005-10-31,16.840607,17.163187,16.717268,16.897533,7.259797,721900
2005-11-07,16.869070,16.963947,16.508539,16.584440,7.125286,990400
2005-11-14,16.546490,16.755219,16.470589,16.679317,7.206904,1118200
2005-11-21,16.669828,16.888046,16.641367,16.888046,7.297094,769700
2005-11-28,16.840607,16.963947,16.603416,16.954460,7.325789,1303100
2005-12-05,16.897533,17.068312,16.745731,16.869070,7.288894,1046200
2005-12-12,16.973434,17.068312,16.774193,16.916508,7.309394,1427900
2005-12-19,16.982922,17.182163,16.888046,17.068312,7.416489,1809400
2005-12-26,17.049335,17.077799,16.622391,16.717268,7.263952,1385100
2006-01-02,16.888046,17.533207,16.840607,17.457306,7.585509,778600
2006-01-09,17.542694,17.713472,17.305502,17.400379,7.560778,973800
2006-01-16,17.305502,17.590134,17.296015,17.362429,7.585090,716700
2006-01-23,17.390892,17.779886,17.333965,17.609108,7.692857,1044000
2006-01-30,17.599621,17.666035,17.485769,17.666035,7.717730,717600
2006-02-06,17.599621,17.647058,17.210627,17.286528,7.551930,923300
2006-02-13,17.239090,17.599621,17.239090,17.504744,7.689349,915800
2006-02-20,17.542694,17.751423,17.476280,17.675522,7.764371,884400
