Date,Open,High,Low,Close,Adj Close,Volume
2007-07-30,24.400000,24.400000,23.430000,23.700001,12.200020,5300
2007-08-06,23.700001,23.840000,21.650000,21.650000,11.144746,13800
2007-08-13,21.750000,22.000000,18.400000,21.500000,11.067527,20200
2007-08-20,21.500000,22.879999,20.750000,22.530001,11.597742,11600
2007-08-27,22.510000,23.240000,22.330000,22.980000,11.829388,6900
2007-09-03,22.879999,23.700001,22.139999,23.600000,12.148544,6700
2007-09-10,23.700001,23.799999,22.520000,23.000000,11.839683,8200
2007-09-17,23.090000,23.090000,22.299999,22.530001,11.597742,6800
2007-09-24,22.320000,22.320000,20.250000,21.389999,11.010904,27400
2007-10-01,21.389999,22.389999,20.350000,22.389999,11.525674,23500
2007-10-08,22.299999,23.080000,22.000000,23.000000,11.839683,13400
2007-10-15,23.000000,23.000000,22.000000,22.719999,11.695546,7500
2007-10-22,22.820000,22.900000,22.650000,22.879999,11.777911,3900
2007-10-29,22.790001,22.940001,22.549999,22.600000,11.633778,4200
2007-11-05,22.500000,22.500000,21.360001,21.540001,11.088120,12100
2007-11-12,21.500000,22.240000,21.360001,21.950001,11.299175,6400
2007-11-19,22.100000,22.100000,21.650000,21.860001,11.252846,5600
2007-11-26,21.750000,22.049999,20.150000,20.510000,10.557910,11000
2007-12-03,20.700001,22.500000,20.670000,22.090000,11.844932,38400
2007-12-10,22.290001,22.290001,21.510000,22.000000,11.796675,22000
2007-12-17,22.200001,22.480000,21.000000,21.020000,11.271185,9600
2007-12-24,20.830000,21.040001,20.000000,20.700001,11.099597,34500
2007-12-31,20.450001,22.230000,20.020000,22.230000,11.920003,13100
2008-01-07,22.299999,22.920000,21.610001,22.150000,11.877105,13400
2008-01-14,22.400000,22.850000,20.750000,22.500000,12.064779,18600
2008-01-21,22.750000,24.260000,21.750000,23.740000,12.729684,20800
2008-01-28,23.990000,25.100000,22.750000,23.730000,12.724319,15200
2008-02-04,23.760000,24.490000,23.290001,23.610001,12.659975,29700
2008-02-11,23.660000,23.760000,23.020000,23.020000,12.343612,9600
2008-02-18,23.260000,24.820000,22.559999,23.760000,12.740409,38600
2008-02-25,23.540001,23.790001,22.450001,22.700001,12.172023,7500
2008-03-03,22.480000,22.540001,20.500000,21.240000,11.389153,10600
2008-03-10,21.370001,21.750000,20.200001,20.209999,10.836853,7500
2008-03-17,20.209999,20.940001,20.059999,20.250000,10.858302,7400
2008-03-24,20.490000,21.990000,20.250000,21.590000,11.576826,10600
2008-03-31,21.330000,25.000000,18.190001,21.180000,11.356980,21300
2008-04-07,21.040001,23.250000,20.930000,22.209999,11.909277,7800
2008-04-14,22.100000,22.150000,20.639999,21.850000,11.716240,6400
2008-04-21,22.010000,23.750000,22.010000,22.010000,11.802037,14800
2008-04-28,22.139999,22.450001,21.100000,21.990000,11.791310,6500
2008-05-05,22.000000,23.070000,21.780001,22.400000,12.011160,5600
2008-05-12,22.250000,22.750000,22.000000,22.750000,12.198832,14700
2008-05-19,22.730000,23.000000,21.700001,21.700001,11.635810,7800
2008-05-26,21.950001,22.719999,20.820000,22.100000,11.850293,7500
2008-06-02,22.340000,22.340000,20.070000,21.299999,11.889960,9500
2008-06-09,21.260000,21.610001,20.820000,21.360001,11.923454,9500
2008-06-16,21.000000,21.490000,19.809999,20.590000,11.493629,14900
2008-06-23,20.700001,22.100000,19.700001,20.570000,11.482464,37900
2008-06-30,20.740000,21.370001,19.400000,20.410000,11.393151,16000
2008-07-07,20.500000,21.750000,19.240000,19.240000,10.740040,29000
2008-07-14,19.500000,20.860001,17.000000,20.389999,11.381985,21900
2008-07-21,19.920000,22.000000,18.129999,20.500000,11.443390,15200
2008-07-28,20.500000,21.850000,19.700001,20.670000,11.538284,24700
2008-08-04,20.809999,21.389999,19.650000,19.750000,11.024728,17000
2008-08-11,20.389999,20.389999,19.000000,19.000000,10.606068,6400
2008-08-18,19.049999,19.650000,18.520000,19.360001,10.807024,13500
