Date,Open,High,Low,Close,Adj Close,Volume
1996-08-12,4.350000,4.350000,4.250000,4.350000,4.350000,6900
1996-08-19,4.500000,5.250000,4.500000,5.250000,5.250000,14500
1996-08-26,5.500000,6.250000,5.500000,5.850000,5.850000,10200
1996-09-02,6.050000,6.100000,5.850000,6.100000,6.100000,7200
1996-09-09,6.250000,6.250000,6.000000,6.150000,6.150000,18700
1996-09-16,6.000000,6.250000,6.000000,6.000000,6.000000,5000
1996-09-23,5.900000,5.900000,5.700000,5.750000,5.750000,1600
1996-09-30,5.750000,5.950000,5.250000,5.650000,5.650000,5000
1996-10-07,5.500000,5.500000,5.250000,5.450000,5.450000,1800
1996-10-14,5.100000,5.750000,5.100000,5.750000,5.750000,8800
1996-10-21,5.750000,5.950000,5.550000,5.800000,5.800000,7700
1996-10-28,5.500000,5.700000,5.500000,5.700000,5.700000,2300
1996-11-04,5.600000,5.700000,5.350000,5.350000,5.350000,2100
1996-11-11,5.350000,5.350000,5.200000,5.200000,5.200000,1000
1996-11-18,5.200000,5.200000,5.000000,5.000000,5.000000,2600
1996-11-25,5.000000,5.000000,4.750000,5.000000,5.000000,6700
1996-12-02,5.000000,5.000000,5.000000,5.000000,5.000000,200
1996-12-09,5.000000,5.250000,5.000000,5.000000,5.000000,7500
1996-12-16,5.000000,5.000000,5.000000,5.000000,5.000000,3400
1996-12-23,5.000000,5.000000,4.750000,4.750000,4.750000,1300
1996-12-30,4.750000,4.750000,4.750000,4.750000,4.750000,100
1997-01-06,4.750000,5.250000,4.750000,5.200000,5.200000,13700
1997-01-13,5.000000,5.200000,5.000000,5.050000,5.050000,12500
1997-01-20,5.250000,5.250000,5.150000,5.150000,5.150000,3200
1997-01-27,5.000000,5.000000,4.750000,4.750000,4.750000,1200
1997-02-03,4.750000,4.750000,4.500000,4.500000,4.500000,1500
1997-02-10,4.500000,4.500000,4.250000,4.250000,4.250000,1900
1997-02-17,4.250000,4.500000,4.250000,4.500000,4.500000,1000
1997-02-24,4.500000,4.500000,3.750000,3.750000,3.750000,11200
1997-03-03,3.850000,5.000000,3.600000,5.000000,5.000000,10000
1997-03-10,5.000000,5.250000,4.350000,5.250000,5.250000,4000
1997-03-17,5.250000,6.000000,5.250000,6.000000,6.000000,10300
1997-03-24,6.000000,6.000000,4.810000,5.150000,5.150000,6100
1997-03-31,5.500000,6.000000,5.500000,5.950000,5.950000,10900
1997-04-07,5.950000,5.950000,5.500000,5.800000,5.800000,5000
1997-04-14,5.800000,5.800000,5.650000,5.650000,5.650000,600
1997-04-21,5.500000,5.500000,5.500000,5.500000,5.500000,1100
1997-04-28,5.500000,5.800000,5.500000,5.800000,5.800000,4200
1997-05-05,5.800000,5.800000,5.800000,5.800000,5.800000,0
1997-05-12,5.800000,5.800000,5.500000,5.800000,5.800000,3100
1997-05-19,5.800000,5.800000,5.500000,5.500000,5.500000,100
1997-05-26,5.500000,5.650000,5.350000,5.500000,5.500000,8400
1997-06-02,5.500000,5.500000,5.250000,5.250000,5.250000,3100
1997-06-09,5.150000,5.150000,5.100000,5.100000,5.100000,1500
1997-06-16,5.100000,5.100000,5.000000,5.000000,5.000000,400
1997-06-23,5.000000,5.000000,5.000000,5.000000,5.000000,900
1997-06-30,5.000000,5.000000,5.000000,5.000000,5.000000,200
1997-07-07,5.000000,5.000000,5.000000,5.000000,5.000000,0
1997-07-14,5.000000,5.000000,4.500000,4.600000,4.600000,1900
1997-07-21,4.600000,4.750000,4.500000,4.750000,4.750000,10700
1997-07-28,4.750000,4.750000,4.600000,4.600000,4.600000,800
1997-08-04,4.600000,4.600000,4.400000,4.400000,4.400000,100
1997-08-11,4.400000,4.400000,4.300000,4.300000,4.300000,100
1997-08-18,4.250000,4.250000,4.150000,4.150000,4.150000,200
1997-08-25,4.150000,4.250000,4.100000,4.250000,4.250000,600
1997-09-01,4.500000,4.750000,4.000000,4.000000,4.000000,4900
1997-09-08,4.200000,4.200000,4.150000,4.200000,4.200000,20700
1997-09-15,4.150000,4.150000,4.000000,4.000000,4.000000,600
1997-09-22,4.000000,4.000000,4.000000,4.000000,4.000000,100
1997-09-29,4.000000,4.000000,3.250000,3.250000,3.250000,14300
1997-10-06,3.550000,3.550000,3.300000,3.350000,3.350000,4000
1997-10-13,3.250000,3.250000,3.200000,3.250000,3.250000,14300
