Date,Open,High,Low,Close,Adj Close,Volume
2015-06-22,12.750000,13.700000,12.750000,13.510000,13.510000,8326900
2015-06-29,13.530000,14.000000,13.400000,13.750000,13.750000,1558800
2015-07-06,13.940000,13.990000,13.430000,13.620000,13.620000,1077400
2015-07-13,13.490000,14.300000,13.430000,14.210000,14.210000,2243800
2015-07-20,14.200000,14.820000,13.700000,14.040000,14.040000,1755900
2015-07-27,13.790000,14.080000,13.491000,13.720000,13.720000,1032200
2015-08-03,13.960000,14.200000,13.520000,13.810000,13.810000,1340900
2015-08-10,13.920000,13.920000,12.330000,13.030000,13.030000,1548600
2015-08-17,12.930000,13.170000,12.360000,12.970000,12.970000,1440300
2015-08-24,12.760000,13.160000,11.630000,13.020000,13.020000,940500
2015-08-31,12.750000,13.300000,12.510000,12.940000,12.940000,1029100
2015-09-07,12.900000,12.950000,11.755000,12.050000,12.050000,1370300
2015-09-14,11.880000,13.210000,11.780000,12.070000,12.070000,2733400
2015-09-21,12.270000,12.800000,11.690000,11.700000,11.700000,1071900
2015-09-28,11.770000,11.820000,10.830000,11.670000,11.670000,3321200
2015-10-05,11.810000,12.210000,11.670000,12.030000,12.030000,1488900
2015-10-12,12.030000,12.200000,11.370000,12.040000,12.040000,1081700
2015-10-19,11.970000,11.970000,11.310000,11.510000,11.510000,658600
2015-10-26,11.480000,11.540000,10.220000,10.400000,10.400000,1603300
2015-11-02,10.400000,11.197000,9.860000,10.120000,10.120000,1047200
2015-11-09,10.140000,10.140000,9.010000,9.710000,9.710000,1364400
2015-11-16,9.700000,10.125000,9.430000,9.560000,9.560000,940600
2015-11-23,9.570000,9.960000,9.330000,9.500000,9.500000,462500
2015-11-30,9.510000,9.870000,9.110000,9.410000,9.410000,955300
2015-12-07,9.410000,9.830000,9.000000,9.280000,9.280000,906700
2015-12-14,9.290000,9.850000,9.000000,9.640000,9.640000,1001800
2015-12-21,9.680000,9.760000,8.330000,9.680000,9.680000,1548100
2015-12-28,9.660000,9.880000,9.320000,9.450000,9.450000,497000
2016-01-04,9.400000,9.490000,7.860000,7.990000,7.990000,906500
2016-01-11,7.950000,8.005000,5.460000,6.350000,6.350000,1489600
2016-01-18,6.380000,6.980000,5.950000,6.790000,6.790000,1104500
2016-01-25,6.810000,7.060000,6.350000,6.730000,6.730000,1238100
2016-02-01,6.730000,6.830000,6.020000,6.210000,6.210000,822100
2016-02-08,6.150000,6.150000,4.810000,5.340000,5.340000,881500
2016-02-15,5.400000,6.100000,5.250000,6.030000,6.030000,2915900
2016-02-22,6.130000,6.500000,5.740000,5.820000,5.820000,1798200
2016-02-29,5.890000,6.630000,5.800000,6.410000,6.410000,1391600
2016-03-07,6.330000,6.589000,5.515000,6.250000,6.250000,1146300
2016-03-14,6.350000,6.920000,5.800000,6.630000,6.630000,1745600
2016-03-21,6.590000,6.750000,6.060000,6.650000,6.650000,1174500
2016-03-28,6.700000,7.230000,6.390000,6.890000,6.890000,1774100
2016-04-04,6.900000,6.975000,6.280000,6.850000,6.850000,752000
2016-04-11,6.870000,7.600000,6.830000,7.490000,7.490000,1013100
2016-04-18,7.290000,8.290000,7.220000,8.130000,8.130000,741800
2016-04-25,8.100000,8.289000,7.000000,7.230000,7.230000,895300
2016-05-02,7.260000,7.510000,6.950000,7.290000,7.290000,702400
2016-05-09,7.230000,8.750000,6.800000,7.590000,7.590000,1033600
2016-05-16,7.700000,7.880000,6.770000,7.020000,7.020000,1572600
2016-05-23,7.010000,7.010000,6.760000,6.870000,6.870000,3630600
2016-05-30,6.950000,7.520000,6.570000,7.330000,7.330000,3590400
2016-06-06,7.400000,7.830000,7.020000,7.050000,7.050000,2125600
2016-06-13,6.970000,7.320000,5.950000,6.450000,6.450000,2406000
2016-06-20,6.550000,6.940000,6.260000,6.360000,6.360000,4276300
2016-06-27,6.320000,6.610000,5.770000,6.300000,6.300000,2219000
2016-07-04,6.160000,6.160000,5.100000,5.400000,5.400000,2607300
2016-07-11,5.680000,6.010000,5.500000,5.560000,5.560000,1193500
2016-07-18,5.490000,6.280000,5.410000,5.860000,5.860000,1484600
2016-07-25,5.820000,5.920000,5.250000,5.320000,5.320000,1324800
2016-08-01,5.280000,5.470000,4.810000,5.400000,5.400000,1397800
2016-08-08,5.450000,5.650000,5.115000,5.240000,5.240000,863900
2016-08-15,5.240000,5.760000,5.240000,5.410000,5.410000,1086700
2016-08-22,5.370000,5.700000,4.965000,5.020000,5.020000,1196500
2016-08-29,5.090000,5.180000,4.850000,4.940000,4.940000,1294200
2016-09-05,4.950000,6.400000,4.940000,5.920000,5.920000,2517400
