Date,Open,High,Low,Close,Adj Close,Volume
2005-02-14,3.200000,3.290000,2.960000,3.230000,3.031210,2788600
2005-02-21,3.250000,3.670000,3.200000,3.650000,3.425361,9881700
2005-02-28,3.720000,4.250000,3.620000,4.150000,3.894589,14584300
2005-03-07,4.200000,4.350000,3.700000,3.800000,3.566129,5792200
2005-03-14,3.850000,3.950000,3.520000,3.820000,3.584898,2706800
2005-03-21,3.820000,3.820000,3.300000,3.400000,3.190747,2519400
2005-03-28,3.390000,3.530000,3.140000,3.450000,3.237669,4567300
2005-04-04,3.500000,3.770000,3.350000,3.550000,3.331515,2762800
2005-04-11,3.550000,3.550000,2.900000,3.010000,2.824749,3359000
2005-04-18,3.000000,3.160000,2.800000,2.920000,2.740289,2766600
2005-04-25,2.900000,3.100000,2.550000,2.690000,2.524444,10284000
2005-05-02,2.680000,2.970000,2.630000,2.970000,2.787211,4077200
2005-05-09,2.900000,3.070000,2.610000,2.720000,2.552598,3283300
2005-05-16,2.690000,2.750000,2.500000,2.740000,2.571367,2662800
2005-05-23,2.650000,2.950000,2.650000,2.860000,2.683981,1583900
2005-05-30,2.860000,2.970000,2.800000,2.970000,2.787211,324900
2005-06-06,2.970000,2.990000,2.800000,2.820000,2.646443,729400
2005-06-13,2.800000,2.890000,2.680000,2.880000,2.702751,2170400
2005-06-20,2.880000,2.950000,2.800000,2.800000,2.627674,5284400
2005-06-27,2.800000,2.800000,2.540000,2.570000,2.411829,1238000
2005-07-04,2.600000,2.650000,2.500000,2.590000,2.430598,3890100
2005-07-11,2.570000,2.770000,2.560000,2.650000,2.486906,1075800
2005-07-18,2.650000,2.910000,2.550000,2.900000,2.721519,3703400
2005-07-25,2.900000,2.900000,2.780000,2.840000,2.665213,1027700
2005-08-01,2.840000,3.110000,2.820000,2.970000,2.787211,2854400
2005-08-08,3.000000,3.230000,2.870000,2.960000,2.777827,7655300
2005-08-15,3.050000,3.100000,2.880000,2.920000,2.740289,1013000
2005-08-22,2.980000,3.420000,2.950000,3.410000,3.200131,11321800
2005-08-29,3.470000,3.600000,3.250000,3.460000,3.247054,5341100
2005-09-05,3.500000,3.530000,3.200000,3.320000,3.115670,2799100
2005-09-12,3.250000,3.350000,3.200000,3.290000,3.087517,3804700
2005-09-19,3.300000,3.360000,3.020000,3.150000,2.956133,2519700
2005-09-26,3.100000,3.350000,3.100000,3.350000,3.143824,4506500
2005-10-03,3.340000,3.640000,3.300000,3.630000,3.406592,5588700
2005-10-10,3.630000,3.840000,3.450000,3.450000,3.237669,3662400
2005-10-17,3.450000,3.680000,3.250000,3.300000,3.096901,2500900
