Date,Open,High,Low,Close,Adj Close,Volume
2006-12-11,1.000000,1.500000,1.000000,1.500000,1.500000,61000
2006-12-18,1.500000,1.500000,1.400000,1.450000,1.450000,8600
2006-12-25,1.450000,1.450000,1.450000,1.450000,1.450000,1000
2007-01-01,1.450000,1.600000,1.440000,1.600000,1.600000,12000
2007-01-08,1.600000,1.850000,1.550000,1.850000,1.850000,51100
2007-01-15,1.900000,2.000000,1.850000,2.000000,2.000000,39000
2007-01-22,2.000000,2.050000,1.950000,2.050000,2.050000,20200
2007-01-29,2.000000,2.100000,2.000000,2.100000,2.100000,24300
2007-02-05,2.100000,2.150000,2.100000,2.150000,2.150000,5500
2007-02-12,2.150000,2.350000,2.150000,2.300000,2.300000,21100
2007-02-19,2.300000,2.450000,2.250000,2.420000,2.420000,44000
2007-02-26,2.400000,2.600000,2.250000,2.400000,2.400000,321400
2007-03-05,2.430000,2.550000,2.430000,2.500000,2.500000,9300
2007-03-12,2.470000,2.550000,2.460000,2.550000,2.550000,24600
2007-03-19,2.550000,2.950000,2.550000,2.930000,2.930000,60700
2007-03-26,2.950000,3.000000,2.600000,2.950000,2.950000,53600
2007-04-02,2.950000,3.000000,2.800000,3.000000,3.000000,71700
2007-04-09,3.000000,3.500000,2.870000,3.200000,3.200000,455900
2007-04-16,3.250000,3.500000,2.950000,2.950000,2.950000,398300
2007-04-23,3.000000,3.200000,2.700000,3.150000,3.150000,2906600
2007-04-30,3.100000,3.100000,2.920000,2.940000,2.940000,130200
2007-05-07,2.950000,3.380000,2.850000,3.380000,3.380000,1410200
2007-05-14,3.390000,3.900000,3.300000,3.600000,3.600000,601400
2007-05-21,3.690000,4.100000,3.600000,3.850000,3.850000,435800
2007-05-28,4.000000,5.650000,3.750000,5.280000,5.280000,592000
2007-06-04,5.300000,5.820000,5.150000,5.220000,5.220000,1336200
2007-06-11,5.380000,5.550000,4.840000,5.540000,5.540000,337600
2007-06-18,5.410000,6.900000,5.400000,6.580000,6.580000,462500
2007-06-25,6.500000,6.650000,6.300000,6.500000,6.500000,306200
2007-07-02,6.600000,6.600000,6.050000,6.250000,6.250000,137900
2007-07-09,6.250000,7.450000,6.150000,7.200000,7.200000,577100
2007-07-16,7.350000,7.350000,6.050000,6.250000,6.250000,1531800
2007-07-23,6.250000,6.470000,5.040000,5.300000,5.300000,1257000
2007-07-30,5.300000,5.950000,5.200000,5.500000,5.500000,339300
2007-08-06,5.600000,5.600000,4.600000,4.800000,4.800000,850300
2007-08-13,4.790000,4.790000,3.070000,3.750000,3.750000,2262000
2007-08-20,4.000000,5.000000,3.870000,4.750000,4.750000,1889400
2007-08-27,4.750000,5.150000,4.390000,4.600000,4.600000,1703400
2007-09-03,4.720000,5.190000,4.430000,5.190000,5.190000,772800
2007-09-10,5.150000,5.750000,5.100000,5.550000,5.550000,519800
2007-09-17,5.550000,5.700000,5.210000,5.370000,5.370000,619400
2007-09-24,5.450000,6.290000,5.360000,6.110000,6.110000,993000
2007-10-01,6.270000,6.270000,5.750000,5.900000,5.900000,413400
2007-10-08,5.830000,6.090000,5.760000,6.050000,6.050000,511600
2007-10-15,6.150000,6.180000,5.860000,5.950000,5.950000,405900
2007-10-22,5.910000,6.040000,5.200000,5.900000,5.900000,1555400
2007-10-29,6.190000,6.190000,5.370000,5.480000,5.480000,931300
2007-11-05,5.700000,5.950000,5.350000,5.650000,5.650000,706800
2007-11-12,5.700000,5.740000,5.000000,5.110000,5.110000,708900
2007-11-19,5.070000,5.290000,4.480000,4.990000,4.990000,689800
2007-11-26,5.000000,5.200000,4.700000,5.060000,5.060000,493200
2007-12-03,5.250000,5.850000,5.200000,5.500000,5.500000,1256800
2007-12-10,5.580000,5.650000,5.250000,5.500000,5.500000,440800
2007-12-17,5.500000,5.550000,5.000000,5.250000,5.250000,1092700
2007-12-24,5.200000,5.500000,5.200000,5.500000,5.500000,211600
2007-12-31,5.540000,5.570000,5.210000,5.280000,5.280000,700100
2008-01-07,5.270000,5.500000,4.920000,4.960000,4.960000,337900
2008-01-14,4.990000,5.000000,4.000000,4.380000,4.380000,881600
2008-01-21,4.400000,5.490000,3.920000,5.090000,5.090000,2086300
2008-01-28,5.130000,5.660000,4.950000,5.450000,5.450000,803800
2008-02-04,5.450000,5.450000,4.930000,5.330000,5.330000,422800
2008-02-11,5.400000,5.450000,5.000000,5.070000,5.070000,741600
2008-02-18,5.150000,5.150000,4.790000,4.810000,4.810000,417500
2008-02-25,4.840000,4.970000,4.490000,4.880000,4.880000,1028500
2008-03-03,5.030000,5.400000,4.700000,5.120000,5.120000,494700
2008-03-10,5.140000,5.300000,4.810000,4.950000,4.950000,227900
2008-03-17,4.830000,4.860000,4.510000,4.830000,4.830000,175900
2008-03-24,4.940000,4.940000,4.500000,4.500000,4.500000,314200
2008-03-31,4.680000,4.960000,3.910000,4.480000,4.480000,578900
2008-04-07,4.610000,4.680000,4.270000,4.600000,4.600000,335800
2008-04-14,4.650000,4.650000,4.020000,4.400000,4.400000,440200
2008-04-21,4.490000,4.490000,4.060000,4.240000,4.240000,144000
2008-04-28,4.260000,4.260000,3.600000,3.700000,3.700000,754100
2008-05-05,3.700000,4.220000,3.670000,4.000000,4.000000,947300
2008-05-12,4.050000,4.290000,3.800000,3.850000,3.850000,337100
2008-05-19,3.980000,3.980000,3.500000,3.640000,3.640000,403200
2008-05-26,3.700000,4.180000,3.650000,4.100000,4.100000,694000
2008-06-02,4.140000,4.140000,3.910000,4.000000,4.000000,302300
2008-06-09,3.950000,4.050000,3.720000,3.840000,3.840000,293600
2008-06-16,3.850000,3.930000,3.570000,3.650000,3.650000,354500
2008-06-23,3.660000,3.760000,3.500000,3.510000,3.510000,383100
2008-06-30,3.510000,3.590000,3.210000,3.500000,3.500000,335500
2008-07-07,3.430000,3.900000,3.220000,3.610000,3.610000,325700
2008-07-14,3.600000,3.700000,3.020000,3.540000,3.540000,453800
2008-07-21,3.610000,3.750000,3.370000,3.370000,3.370000,131300
2008-07-28,3.420000,3.450000,3.100000,3.250000,3.250000,276900
2008-08-04,3.160000,3.310000,3.000000,3.110000,3.110000,248500
2008-08-11,3.030000,3.100000,2.500000,2.600000,2.600000,910700
2008-08-18,2.600000,2.600000,2.280000,2.300000,2.300000,396400
2008-08-25,2.340000,2.750000,2.080000,2.540000,2.540000,895000
2008-09-01,2.740000,2.900000,2.410000,2.800000,2.800000,1064800
2008-09-08,2.850000,2.950000,2.580000,2.600000,2.600000,315100
2008-09-15,2.400000,2.440000,2.000000,2.210000,2.210000,448700
2008-09-22,2.300000,2.500000,2.060000,2.400000,2.400000,307800
2008-09-29,2.420000,2.420000,1.510000,1.900000,1.900000,636900
2008-10-06,1.710000,1.940000,1.150000,1.400000,1.400000,866800
2008-10-13,1.790000,1.800000,1.190000,1.350000,1.350000,406500
2008-10-20,1.490000,1.500000,1.020000,1.150000,1.150000,776200
2008-10-27,1.190000,1.250000,1.040000,1.040000,1.040000,614300
2008-11-03,1.210000,1.360000,0.950000,1.250000,1.250000,3768200
2008-11-10,1.330000,1.330000,0.950000,1.070000,1.070000,706800
2008-11-17,1.100000,1.100000,0.800000,0.930000,0.930000,1122200
2008-11-24,0.900000,1.000000,0.810000,0.900000,0.900000,606300
2008-12-01,0.880000,0.890000,0.690000,0.750000,0.750000,340000
2008-12-08,0.750000,0.900000,0.750000,0.900000,0.900000,291200
2008-12-15,0.900000,0.900000,0.660000,0.820000,0.820000,304100
2008-12-22,0.810000,0.850000,0.700000,0.700000,0.700000,222200
2008-12-29,0.750000,0.900000,0.750000,0.850000,0.850000,323200
2009-01-05,0.880000,1.250000,0.850000,1.030000,1.030000,401100
2009-01-12,1.030000,1.050000,0.900000,0.900000,0.900000,202100
2009-01-19,0.860000,1.000000,0.820000,1.000000,1.000000,94800
2009-01-26,0.990000,1.030000,0.850000,1.030000,1.030000,404300
2009-02-02,0.980000,1.040000,0.900000,1.030000,1.030000,186700
2009-02-09,1.030000,1.560000,1.030000,1.480000,1.480000,755000
2009-02-16,1.480000,1.500000,1.150000,1.390000,1.390000,287400
2009-02-23,1.330000,1.430000,1.200000,1.320000,1.320000,161600
2009-03-02,1.250000,1.450000,1.050000,1.300000,1.300000,173000
2009-03-09,1.210000,1.350000,1.170000,1.300000,1.300000,57100
2009-03-16,1.280000,1.320000,1.200000,1.290000,1.290000,83100
2009-03-23,1.220000,1.350000,1.150000,1.250000,1.250000,75100
2009-03-30,1.200000,1.410000,1.150000,1.410000,1.410000,223600
2009-04-06,1.360000,1.820000,1.360000,1.710000,1.710000,268200
2009-04-13,1.730000,1.980000,1.710000,1.850000,1.850000,262200
2009-04-20,1.900000,1.900000,1.710000,1.750000,1.750000,236400
2009-04-27,1.780000,1.850000,1.620000,1.750000,1.750000,165100
2009-05-04,1.750000,2.050000,1.730000,1.970000,1.970000,260900
2009-05-11,2.020000,2.050000,1.600000,1.800000,1.800000,2865100
2009-05-18,1.750000,1.800000,1.480000,1.520000,1.520000,400200
2009-05-25,1.620000,1.800000,1.500000,1.760000,1.760000,363000
2009-06-01,1.750000,1.820000,1.600000,1.610000,1.610000,404500
2009-06-08,1.640000,1.640000,1.450000,1.600000,1.600000,697800
2009-06-15,1.690000,1.690000,1.370000,1.370000,1.370000,562300
2009-06-22,1.370000,1.400000,1.200000,1.350000,1.350000,327100
2009-06-29,1.490000,1.540000,1.370000,1.370000,1.370000,91200
2009-07-06,1.350000,1.370000,1.200000,1.240000,1.240000,131700
2009-07-13,1.240000,1.390000,1.240000,1.310000,1.310000,117300
2009-07-20,1.320000,1.390000,1.290000,1.350000,1.350000,428000
2009-07-27,1.390000,1.500000,1.300000,1.380000,1.380000,1213300
2009-08-03,1.350000,1.400000,1.280000,1.310000,1.310000,207900
2009-08-10,1.350000,1.350000,1.080000,1.100000,1.100000,245300
2009-08-17,1.110000,1.270000,1.050000,1.150000,1.150000,541000
2009-08-24,1.250000,1.250000,1.100000,1.100000,1.100000,261300
2009-08-31,1.090000,1.100000,1.000000,1.100000,1.100000,334500
2009-09-07,1.120000,1.400000,1.100000,1.370000,1.370000,280400
2009-09-14,1.310000,1.390000,1.200000,1.220000,1.220000,390700
2009-09-21,1.280000,1.280000,1.080000,1.100000,1.100000,392400
2009-09-28,1.100000,1.100000,1.030000,1.040000,1.040000,778800
2009-10-05,1.040000,1.040000,0.750000,0.800000,0.800000,2842600
2009-10-12,0.820000,1.070000,0.820000,1.050000,1.050000,658700
2009-10-19,1.070000,1.080000,0.950000,0.980000,0.980000,504100
2009-10-26,0.990000,0.990000,0.880000,0.900000,0.900000,424400
2009-11-02,0.880000,0.910000,0.850000,0.880000,0.880000,310600
2009-11-09,0.900000,0.920000,0.810000,0.810000,0.810000,412200
2009-11-16,0.840000,0.840000,0.710000,0.750000,0.750000,1066900
2009-11-23,0.740000,0.740000,0.650000,0.660000,0.660000,546800
2009-11-30,0.660000,0.680000,0.610000,0.620000,0.620000,587900
2009-12-07,0.620000,0.620000,0.510000,0.540000,0.540000,1548600
2009-12-14,0.540000,0.790000,0.500000,0.710000,0.710000,1918600
2009-12-21,0.710000,0.760000,0.640000,0.700000,0.700000,535500
2009-12-28,0.700000,0.820000,0.700000,0.820000,0.820000,209700
2010-01-04,0.840000,0.850000,0.750000,0.790000,0.790000,579000
2010-01-11,0.800000,0.800000,0.700000,0.720000,0.720000,910600
2010-01-18,0.710000,0.720000,0.680000,0.700000,0.700000,250100
2010-01-25,0.700000,0.700000,0.620000,0.670000,0.670000,268400
2010-02-01,0.690000,0.700000,0.600000,0.600000,0.600000,567000
2010-02-08,0.600000,0.610000,0.460000,0.490000,0.490000,1589400
2010-02-15,0.450000,0.460000,0.390000,0.430000,0.430000,1860200
2010-02-22,0.420000,0.430000,0.400000,0.420000,0.420000,806000
2010-03-01,0.410000,0.420000,0.390000,0.390000,0.390000,326700
2010-03-08,0.400000,0.410000,0.340000,0.340000,0.340000,884800
2010-03-15,0.340000,0.420000,0.340000,0.410000,0.410000,1559600
2010-03-22,0.410000,0.430000,0.400000,0.410000,0.410000,358000
2010-03-29,0.390000,0.440000,0.370000,0.390000,0.390000,282400
2010-04-05,0.420000,0.420000,0.360000,0.380000,0.380000,370400
2010-04-12,0.380000,0.390000,0.340000,0.350000,0.350000,791500
2010-04-19,0.350000,0.460000,0.350000,0.450000,0.450000,876700
2010-04-26,0.460000,0.490000,0.450000,0.490000,0.490000,394200
2010-05-03,0.490000,0.520000,0.390000,0.410000,0.410000,358800
2010-05-10,0.380000,0.490000,0.380000,0.470000,0.470000,466100
2010-05-17,0.460000,0.480000,0.400000,0.400000,0.400000,523700
2010-05-24,0.410000,0.470000,0.400000,0.470000,0.470000,422700
2010-05-31,0.460000,0.500000,0.400000,0.450000,0.450000,409300
2010-06-07,0.420000,0.430000,0.400000,0.410000,0.410000,86600
2010-06-14,0.420000,0.440000,0.400000,0.400000,0.400000,126000
2010-06-21,0.420000,0.420000,0.380000,0.390000,0.390000,190800
2010-06-28,0.390000,0.390000,0.240000,0.260000,0.260000,864900
2010-07-05,0.270000,0.370000,0.270000,0.300000,0.300000,328500
2010-07-12,0.300000,0.340000,0.300000,0.340000,0.340000,129500
2010-07-19,0.320000,0.350000,0.320000,0.350000,0.350000,123900
2010-07-26,0.350000,0.450000,0.350000,0.410000,0.410000,205000
