Date,Open,High,Low,Close,Adj Close,Volume
2008-01-14,2.023000,2.104000,2.010000,2.085000,2.085000,78000
2008-01-21,2.200000,2.294000,2.104000,2.104000,2.104000,243000
2008-01-28,2.104000,2.130000,2.016000,2.130000,2.130000,17000
2008-02-04,2.108000,2.125000,1.890000,1.927000,1.927000,70000
2008-02-11,1.812000,1.857000,1.680000,1.746000,1.746000,593000
2008-02-18,1.631000,1.670000,1.516000,1.517000,1.517000,1028000
2008-02-25,1.500000,1.585000,1.425000,1.455000,1.455000,2190000
2008-03-03,1.450000,1.487000,1.272000,1.331000,1.331000,2382000
2008-03-10,1.353000,1.370000,1.199000,1.301000,1.301000,1913000
2008-03-17,1.351000,1.606000,1.311000,1.500000,1.500000,2447000
2008-03-24,1.472000,1.474000,1.276000,1.276000,1.276000,1525000
2008-03-31,1.240000,1.415000,1.192000,1.409000,1.409000,5033000
2008-04-07,1.333000,1.334000,1.147000,1.223000,1.223000,6512000
2008-04-14,1.230000,1.237000,1.061000,1.061000,1.061000,1586000
2008-04-21,1.062000,1.085000,0.979000,0.991000,0.991000,2219000
2008-04-28,0.966000,1.096000,0.929000,1.053000,1.053000,5471000
2008-05-05,0.975000,1.005000,0.898000,0.898000,0.898000,4421000
2008-05-12,0.908000,0.970000,0.873000,0.966000,0.966000,4730000
2008-05-19,0.956000,0.956000,0.843000,0.846000,0.846000,3426000
2008-05-26,0.824000,0.921000,0.820000,0.874000,0.874000,4785000
2008-06-02,0.855000,0.855000,0.732000,0.745000,0.745000,11622000
2008-06-09,0.751000,0.782000,0.723000,0.748000,0.748000,3683000
2008-06-16,0.725000,0.738000,0.671000,0.703000,0.703000,9060000
2008-06-23,0.688000,0.752000,0.669000,0.684000,0.684000,8195000
2008-06-30,0.672000,0.685000,0.643000,0.651000,0.651000,2467000
2008-07-07,0.687000,0.837000,0.687000,0.832000,0.832000,9067000
2008-07-14,0.832000,1.044000,0.800000,1.016000,1.016000,8639000
2008-07-21,1.037000,1.409000,1.027000,1.379000,1.379000,20062000
2008-07-28,1.338000,1.472000,1.278000,1.293000,1.293000,11828000
2008-08-04,1.495000,1.670000,1.371000,1.623000,1.623000,15620000
2008-08-11,1.616000,1.758000,1.465000,1.706000,1.706000,11279000
2008-08-18,1.755000,1.810000,1.579000,1.791000,1.791000,10223000
2008-08-25,1.835000,1.881000,1.427000,1.727000,1.727000,25455000
2008-09-01,1.975000,2.181000,1.925000,1.948000,1.948000,13421000
2008-09-08,1.885000,2.091000,1.833000,1.983000,1.983000,17501000
2008-09-15,2.078000,2.111000,1.609000,1.826000,1.826000,21526000
2008-09-22,1.889000,1.965000,1.647000,1.905000,1.905000,10502000
2008-09-29,2.109000,2.170000,1.743000,2.026000,2.026000,11889000
2008-10-06,2.200000,2.534000,2.162000,2.447000,2.447000,15077000
2008-10-13,2.339000,2.531000,2.258000,2.310000,2.310000,6440000
2008-10-20,2.249000,2.858000,2.206000,2.833000,2.833000,7084000
2008-10-27,2.893000,2.953000,2.454000,2.526000,2.526000,11882000
2008-11-03,2.632000,2.673000,2.100000,2.470000,2.470000,8164000
2008-11-10,2.132000,2.900000,2.097000,2.700000,2.700000,13527000
2008-11-17,2.641000,2.786000,2.385000,2.606000,2.606000,9863000
2008-11-24,2.489000,2.717000,2.208000,2.535000,2.535000,9142000
2008-12-01,2.577000,3.216000,2.400000,3.174000,3.174000,2929000
2008-12-08,3.333000,3.512000,3.133000,3.455000,3.455000,4321000
2008-12-15,3.213000,3.700000,3.127000,3.656000,3.656000,2393000
2008-12-22,3.747000,3.813000,2.909000,3.039000,3.039000,695000
2008-12-29,2.847000,3.345000,2.700000,2.768000,2.768000,1418000
2009-01-05,2.928000,3.364000,2.588000,3.245000,3.245000,2148000
2009-01-12,3.400000,4.308000,3.130000,4.217000,4.217000,3900000
2009-01-19,4.394000,4.919000,4.145000,4.796000,4.796000,5215000
2009-01-26,4.847000,5.036000,4.425000,4.947000,4.947000,6027000
2009-02-02,5.076000,5.087000,4.100000,4.110000,4.110000,10506000
2009-02-09,4.210000,4.894000,3.975000,4.796000,4.796000,6990000
2009-02-16,5.176000,5.891000,5.176000,5.752000,5.752000,5217000
2009-02-23,5.389000,6.065000,5.056000,5.267000,5.267000,9831000
2009-03-02,5.046000,5.948000,4.877000,5.897000,5.897000,7316000
2009-03-09,6.075000,6.428000,5.609000,5.845000,5.845000,7689000
2009-03-16,6.128000,6.600000,4.536000,4.733000,4.733000,8093000
2009-03-23,4.664000,6.100000,4.422000,5.983000,5.983000,5354000
2009-03-30,6.100000,6.390000,5.753000,5.869000,5.869000,3490000
2009-04-06,6.067000,6.630000,5.758000,6.460000,6.460000,3027000
2009-04-13,6.734000,6.790000,5.840000,5.955000,5.955000,1810800
2009-04-20,6.425000,7.735000,6.395000,7.730000,7.730000,1204200
2009-04-27,8.155000,8.205000,6.750000,6.990000,6.990000,1816800
2009-05-04,7.015000,7.015000,4.410000,4.420000,4.420000,6519600
2009-05-11,4.460000,4.935000,4.125000,4.870000,4.870000,7265200
2009-05-18,4.935000,6.470000,4.935000,6.415000,6.415000,4035400
2009-05-25,6.535000,6.775000,4.900000,5.475000,5.475000,6197000
2009-06-01,4.880000,6.075000,4.345000,5.160000,5.160000,10052800
2009-06-08,5.465000,5.725000,4.585000,5.035000,5.035000,9701600
2009-06-15,4.770000,4.920000,4.040000,4.640000,4.640000,19702600
2009-06-22,4.670000,5.420000,4.630000,4.810000,4.810000,11954800
2009-06-29,5.040000,6.175000,5.005000,6.020000,6.020000,5612800
2009-07-06,6.735000,7.090000,6.300000,7.020000,7.020000,7345600
2009-07-13,7.365000,7.545000,5.270000,5.670000,5.670000,14218000
2009-07-20,5.705000,6.025000,4.945000,5.460000,5.460000,17984200
2009-07-27,5.710000,6.585000,5.515000,5.835000,5.835000,12023800
2009-08-03,5.245000,5.570000,4.560000,5.480000,5.480000,24561600
2009-08-10,5.390000,6.930000,5.300000,6.810000,6.810000,8235600
2009-08-17,7.025000,8.715000,7.020000,8.625000,8.625000,10488000
2009-08-24,8.490000,9.690000,7.855000,9.670000,9.670000,13617200
2009-08-31,10.175000,13.745000,9.690000,11.090000,11.090000,24246600
2009-09-07,11.250000,11.840000,7.080000,8.590000,8.590000,31741600
2009-09-14,7.700000,7.900000,3.165000,5.800000,5.800000,56220700
2009-09-21,6.040000,6.330000,4.900000,4.950000,4.950000,59256000
2009-09-28,5.150000,5.990000,4.880000,5.300000,5.300000,71198700
2009-10-05,5.000000,5.050000,4.540000,5.010000,5.010000,75799800
2009-10-12,5.180000,5.810000,4.710000,4.910000,4.910000,29621100
2009-10-19,5.030000,5.250000,4.440000,5.170000,5.170000,45836800
2009-10-26,5.550000,6.340000,5.530000,6.110000,6.110000,30190600
2009-11-02,6.300000,7.360000,6.240000,7.200000,7.200000,16987400
2009-11-09,7.400000,8.050000,6.980000,7.780000,7.780000,12194300
2009-11-16,7.610000,8.360000,7.020000,7.760000,7.760000,14989400
2009-11-23,7.470000,8.040000,6.170000,6.470000,6.470000,17616900
2009-11-30,7.040000,8.580000,6.910000,8.000000,8.000000,16056800
2009-12-07,7.190000,7.210000,5.560000,6.010000,6.010000,21138100
2009-12-14,5.600000,5.930000,4.530000,4.710000,4.710000,25622700
2009-12-21,4.880000,5.110000,4.490000,4.920000,4.920000,19597200
2009-12-28,4.500000,5.230000,4.480000,5.080000,5.080000,14418000
2010-01-04,4.660000,4.970000,4.220000,4.670000,4.670000,63643800
2010-01-11,4.950000,5.270000,4.550000,4.720000,4.720000,37771200
2010-01-18,4.830000,5.080000,4.430000,4.550000,4.550000,35859900
2010-01-25,4.690000,5.700000,4.460000,5.620000,5.620000,34838400
2010-02-01,5.140000,5.320000,4.670000,4.770000,4.770000,35009700
2010-02-08,4.640000,5.280000,4.590000,4.870000,4.870000,32670800
2010-02-15,4.790000,5.670000,4.750000,5.580000,5.580000,21654200
2010-02-22,5.850000,6.310000,5.830000,6.170000,6.170000,13865200
2010-03-01,6.170000,6.780000,6.000000,6.690000,6.690000,19362600
2010-03-08,6.960000,7.310000,6.690000,7.300000,7.300000,17811000
2010-03-15,7.350000,8.420000,7.080000,8.040000,8.040000,13360400
2010-03-22,8.370000,9.240000,8.000000,9.200000,9.200000,17029900
2010-03-29,9.030000,9.710000,8.100000,8.400000,8.400000,19953000
2010-04-05,8.470000,9.270000,7.570000,8.280000,8.280000,19723100
2010-04-12,8.340000,8.830000,7.550000,8.310000,8.310000,22027600
2010-04-19,8.340000,9.000000,7.220000,7.450000,7.450000,17786500
2010-04-26,7.530000,9.080000,7.160000,8.900000,8.900000,19849700
2010-05-03,8.950000,9.200000,8.020000,8.560000,8.560000,9224100
2010-05-10,7.990000,8.110000,6.980000,7.290000,7.290000,17303400
2010-05-17,7.090000,8.390000,6.810000,8.290000,8.290000,13233700
2010-05-24,8.490000,8.640000,7.260000,7.410000,7.410000,10498000
2010-05-31,7.350000,7.840000,5.510000,5.970000,5.970000,18684300
2010-06-07,6.050000,6.370000,5.630000,5.930000,5.930000,15360900
2010-06-14,5.650000,5.770000,5.000000,5.320000,5.320000,18486900
2010-06-21,5.080000,6.050000,4.980000,5.590000,5.590000,19095600
2010-06-28,5.940000,6.550000,5.700000,6.140000,6.140000,12816600
2010-07-05,5.850000,6.990000,5.560000,6.820000,6.820000,12788100
2010-07-12,6.890000,7.240000,6.140000,6.440000,6.440000,12742800
2010-07-19,6.420000,6.620000,6.000000,6.330000,6.330000,15005200
2010-07-26,6.430000,6.480000,5.350000,5.420000,5.420000,21788200
2010-08-02,5.670000,6.450000,5.570000,6.340000,6.340000,19102900
2010-08-09,6.350000,7.000000,6.300000,6.800000,6.800000,13517400
2010-08-16,7.130000,7.490000,6.710000,7.450000,7.450000,10262700
2010-08-23,7.690000,9.260000,7.470000,9.150000,9.150000,12214700
2010-08-30,8.870000,9.220000,8.060000,8.190000,8.190000,24668100
2010-09-06,8.470000,9.060000,8.080000,8.320000,8.320000,8548700
2010-09-13,8.060000,8.560000,7.540000,7.960000,7.960000,17127900
2010-09-20,8.390000,8.680000,7.770000,8.500000,8.500000,14162000
2010-09-27,8.930000,9.530000,8.540000,9.510000,9.510000,9309400
2010-10-04,9.660000,10.350000,9.020000,10.070000,10.070000,8589800
2010-10-11,10.490000,10.650000,9.570000,10.570000,10.570000,8589900
2010-10-18,10.740000,12.130000,10.460000,11.900000,11.900000,5886200
2010-10-25,12.120000,12.440000,9.800000,9.850000,9.850000,13460000
2010-11-01,9.940000,11.360000,9.930000,10.320000,10.320000,11788500
2010-11-08,9.870000,10.890000,9.000000,10.780000,10.780000,8325300
2010-11-15,10.960000,11.350000,9.080000,9.110000,9.110000,11017700
2010-11-22,9.110000,9.260000,8.340000,8.730000,8.730000,10274400
2010-11-29,8.560000,9.900000,8.540000,9.020000,9.020000,10466500
2010-12-06,8.460000,8.730000,7.830000,8.440000,8.440000,18189900
2010-12-13,8.180000,10.070000,8.150000,9.810000,9.810000,6180900
2010-12-20,9.660000,10.110000,8.980000,9.720000,9.720000,5649300
2010-12-27,8.890000,9.150000,8.180000,8.350000,8.350000,11294700
2011-01-03,7.420000,8.490000,7.340000,8.140000,8.140000,33314800
2011-01-10,8.320000,8.500000,7.680000,7.840000,7.840000,21152500
2011-01-17,7.760000,8.160000,6.920000,7.090000,7.090000,21432000
2011-01-24,7.030000,8.490000,7.010000,8.310000,8.310000,22224400
2011-01-31,7.910000,8.470000,7.740000,8.340000,8.340000,15062100
2011-02-07,8.850000,10.000000,8.810000,10.000000,10.000000,9901000
2011-02-14,10.040000,10.490000,9.610000,10.330000,10.330000,8783000
2011-02-21,10.160000,10.710000,9.540000,9.720000,9.720000,13212700
2011-02-28,9.500000,11.040000,9.300000,10.740000,10.740000,12951200
2011-03-07,10.500000,10.690000,9.870000,10.210000,10.210000,14303000
2011-03-14,9.500000,10.590000,8.660000,8.790000,8.790000,21058300
2011-03-21,8.820000,8.880000,7.690000,7.710000,7.710000,14890500
2011-03-28,7.820000,8.730000,7.560000,8.270000,8.270000,19849800
2011-04-04,8.570000,9.570000,8.150000,9.440000,9.440000,16788700
2011-04-11,9.090000,9.350000,8.520000,8.730000,8.730000,14613500
2011-04-18,8.690000,9.220000,7.890000,7.920000,7.920000,11374100
2011-04-25,8.020000,8.180000,7.110000,7.180000,7.180000,12252000
2011-05-02,7.210000,8.630000,7.020000,8.490000,8.490000,13215500
2011-05-09,8.560000,8.980000,8.450000,8.520000,8.520000,7813600
2011-05-16,8.390000,9.110000,8.190000,8.450000,8.450000,8048100
2011-05-23,8.280000,8.670000,7.490000,7.620000,7.620000,15797200
2011-05-30,7.470000,7.500000,6.550000,7.020000,7.020000,15300800
2011-06-06,6.620000,7.090000,6.260000,6.780000,6.780000,11820500
2011-06-13,6.890000,8.130000,6.890000,8.030000,8.030000,14244700
2011-06-20,8.110000,8.740000,7.800000,8.460000,8.460000,10444400
