Date,Open,High,Low,Close,Adj Close,Volume
2006-07-24,3.500000,4.000000,3.350000,3.770000,2.579898,3519600
2006-07-31,3.790000,4.000000,3.310000,3.440000,2.354070,2152800
2006-08-07,3.440000,3.570000,3.400000,3.470000,2.374600,1077800
2006-08-14,3.570000,3.570000,3.350000,3.480000,2.381444,1696800
2006-08-21,3.550000,3.640000,3.250000,3.550000,2.429346,6540000
2006-08-28,3.750000,4.000000,3.550000,4.000000,2.737292,1466300
2006-09-04,3.950000,4.000000,3.750000,3.750000,2.566211,295300
2006-09-11,3.730000,3.990000,3.550000,3.600000,2.463563,952600
2006-09-18,3.700000,3.700000,3.500000,3.600000,2.463563,1112000
2006-09-25,3.600000,3.700000,3.100000,3.250000,2.224049,600400
2006-10-02,3.300000,3.310000,2.800000,3.010000,2.059812,512200
2006-10-09,3.010000,3.150000,3.010000,3.140000,2.148774,362800
2006-10-16,3.290000,3.700000,3.110000,3.700000,2.531995,363900
2006-10-23,3.720000,3.850000,3.500000,3.700000,2.531995,1312200
2006-10-30,3.700000,3.750000,3.370000,3.400000,2.326698,398800
2006-11-06,3.300000,3.600000,3.220000,3.300000,2.258265,360500
2006-11-13,3.260000,3.600000,3.120000,3.450000,2.360914,414300
2006-11-20,3.490000,3.490000,3.300000,3.400000,2.326698,316000
2006-11-27,3.400000,4.050000,3.400000,3.510000,2.401974,282600
2006-12-04,3.600000,3.900000,3.600000,3.850000,2.634644,543600
2006-12-11,3.870000,3.950000,3.590000,3.950000,2.703076,1223600
2006-12-18,3.700000,3.950000,3.600000,3.700000,2.531995,622100
2006-12-25,3.600000,3.730000,3.450000,3.560000,2.436189,154900
2007-01-01,3.560000,3.600000,3.400000,3.600000,2.463563,212600
2007-01-08,3.600000,3.600000,3.250000,3.250000,2.224049,1221100
2007-01-15,3.250000,3.290000,3.070000,3.200000,2.189834,1621100
2007-01-22,3.100000,3.450000,3.050000,3.300000,2.258265,320200
2007-01-29,3.250000,3.450000,3.110000,3.400000,2.326698,1153600
2007-02-05,3.400000,3.440000,3.250000,3.280000,2.244579,1395000
2007-02-12,3.350000,3.440000,3.200000,3.400000,2.326698,981300
2007-02-19,3.400000,3.400000,3.200000,3.300000,2.258265,505800
2007-02-26,3.210000,3.450000,3.150000,3.350000,2.292482,1242500
2007-03-05,3.420000,3.500000,3.250000,3.400000,2.326698,700700
2007-03-12,3.400000,3.400000,3.030000,3.100000,2.121401,845200
2007-03-19,3.100000,3.300000,3.050000,3.100000,2.121401,516300
2007-03-26,3.100000,3.200000,3.060000,3.150000,2.155617,217900
2007-04-02,3.150000,3.280000,3.100000,3.200000,2.189834,288400
2007-04-09,3.250000,3.490000,3.160000,3.490000,2.388287,673200
2007-04-16,3.400000,3.650000,3.400000,3.550000,2.429346,1881800
2007-04-23,3.540000,3.600000,3.100000,3.310000,2.265109,228300
2007-04-30,3.310000,3.560000,3.300000,3.500000,2.395130,392200
2007-05-07,3.540000,4.000000,3.500000,3.650000,2.497779,1644700
2007-05-14,3.650000,3.700000,3.500000,3.510000,2.401974,265600
2007-05-21,3.650000,3.690000,3.500000,3.500000,2.395130,297800
2007-05-28,3.510000,3.850000,3.500000,3.670000,2.511465,2277800
2007-06-04,3.680000,3.700000,3.550000,3.600000,2.463563,151700
2007-06-11,3.590000,3.650000,3.550000,3.550000,2.429346,574300
2007-06-18,3.560000,3.600000,3.300000,3.300000,2.258265,1361300
2007-06-25,3.250000,3.450000,3.160000,3.300000,2.258265,78000
2007-07-02,3.280000,3.540000,3.280000,3.490000,2.388287,134100
2007-07-09,3.490000,3.550000,3.300000,3.500000,2.395130,292200
2007-07-16,3.500000,3.740000,3.500000,3.700000,2.531995,211600
2007-07-23,3.700000,3.700000,3.580000,3.700000,2.531995,334600
2007-07-30,3.700000,3.780000,3.470000,3.470000,2.374600,865100
2007-08-06,3.550000,3.700000,3.110000,3.410000,2.333541,417900
2007-08-13,3.400000,3.580000,3.200000,3.300000,2.258265,180200
2007-08-20,3.340000,3.420000,3.250000,3.350000,2.292482,188600
2007-08-27,3.300000,3.300000,3.100000,3.150000,2.155617,496700
2007-09-03,3.160000,3.290000,3.150000,3.200000,2.189834,86500
2007-09-10,3.200000,3.240000,3.100000,3.130000,2.141930,171700
2007-09-17,3.130000,3.220000,3.050000,3.100000,2.121401,346100
2007-09-24,3.100000,3.150000,3.000000,3.100000,2.121401,216000
2007-10-01,2.970000,3.400000,2.900000,3.290000,2.251422,1740000
2007-10-08,3.350000,3.350000,3.050000,3.300000,2.258265,767900
2007-10-15,3.250000,3.750000,3.250000,3.260000,2.230893,2488400
2007-10-22,3.300000,3.450000,3.300000,3.430000,2.347228,7550200
2007-10-29,3.360000,3.680000,3.360000,3.650000,2.497779,4711900
2007-11-05,3.440000,3.700000,3.360000,3.480000,2.381444,1089200
2007-11-12,3.450000,3.580000,3.200000,3.360000,2.299325,395100
2007-11-19,3.350000,3.390000,3.230000,3.350000,2.292482,162500
2007-11-26,3.360000,3.360000,3.010000,3.200000,2.189834,615700
2007-12-03,3.200000,3.400000,3.200000,3.330000,2.278795,350800
2007-12-10,3.310000,3.470000,3.170000,3.300000,2.258265,293700
2007-12-17,3.270000,3.360000,3.250000,3.310000,2.265109,249400
2007-12-24,3.300000,3.400000,3.110000,3.320000,2.271952,24100
2007-12-31,3.310000,3.350000,3.240000,3.350000,2.292482,178800
2008-01-07,3.180000,3.400000,3.150000,3.150000,2.155617,355700
2008-01-14,3.150000,3.360000,3.040000,3.240000,2.217206,382200
2008-01-21,2.920000,3.200000,2.920000,3.200000,2.189834,450300
2008-01-28,3.200000,3.200000,3.040000,3.100000,2.121401,68500
2008-02-04,3.100000,3.130000,2.950000,3.010000,2.059812,593100
2008-02-11,3.150000,3.180000,2.810000,3.070000,2.100871,679700
2008-02-18,3.050000,3.050000,2.810000,2.910000,1.991380,607400
2008-02-25,2.910000,3.200000,2.910000,3.030000,2.073498,221100
2008-03-03,3.000000,3.130000,2.720000,2.800000,1.916104,1299000
2008-03-10,2.850000,2.850000,2.520000,2.570000,1.758709,444500
