Date,Open,High,Low,Close,Adj Close,Volume
2010-12-20,27320000.000000,29096002.000000,26663998.000000,29096002.000000,29096002.000000,0
2010-12-27,29928000.000000,29928000.000000,28480000.000000,28480000.000000,28480000.000000,0
2011-01-03,26808000.000000,27583998.000000,25600000.000000,26216002.000000,26216002.000000,0
2011-01-10,27120000.000000,27936002.000000,19680000.000000,19968000.000000,19968000.000000,0
2011-01-17,19960000.000000,21840000.000000,18560000.000000,20872000.000000,20872000.000000,0
2011-01-24,19904000.000000,20896002.000000,17200000.000000,20440000.000000,20440000.000000,0
2011-01-31,19912000.000000,20536002.000000,16816000.000000,16928000.000000,16928000.000000,0
2011-02-07,16296000.000000,16824000.000000,15400000.000000,15551999.000000,15551999.000000,0
2011-02-14,15416000.000000,16888000.000000,14928001.000000,16664000.000000,16664000.000000,0
2011-02-21,18352000.000000,23903998.000000,17784000.000000,19160000.000000,19160000.000000,0
2011-02-28,18240000.000000,20440000.000000,17024000.000000,19248000.000000,19248000.000000,0
2011-03-07,18400000.000000,22712000.000000,18320000.000000,20583998.000000,20583998.000000,0
2011-03-14,21840000.000000,28296002.000000,21120000.000000,23632000.000000,23632000.000000,0
2011-03-21,21696002.000000,21696002.000000,16512000.000000,17248000.000000,17248000.000000,0
2011-03-28,17128000.000000,18000000.000000,15104000.000000,15776000.000000,15776000.000000,0
2011-04-04,15631999.000000,15960000.000000,14511999.000000,15528001.000000,15528001.000000,0
2011-04-11,15471999.000000,16208001.000000,14040000.000000,14104000.000000,14104000.000000,0
2011-04-18,15200000.000000,15871999.000000,11496000.000000,11496000.000000,11496000.000000,0
2011-04-25,11496000.000000,11584000.000000,9728000.000000,10120000.000000,10120000.000000,0
2011-05-02,9840000.000000,12160000.000000,9840000.000000,11304000.000000,11304000.000000,0
2011-05-09,11304000.000000,11431999.000000,9768000.000000,10311999.000000,10311999.000000,0
2011-05-16,10464000.000000,11200000.000000,9112000.000000,9512000.000000,9512000.000000,0
2011-05-23,9760000.000000,10120000.000000,8600000.000000,8808000.000000,8808000.000000,0
2011-05-30,8712000.000000,9872000.000000,8120000.000000,9216000.000000,9216000.000000,0
2011-06-06,9096000.000000,9664000.000000,8760000.000000,9480000.000000,9480000.000000,0
2011-06-13,9408000.000000,13200000.000000,9016000.000000,11431999.000000,11431999.000000,0
2011-06-20,11511999.000000,11848001.000000,9168000.000000,10808001.000000,10808001.000000,0
2011-06-27,10760000.000000,11144000.000000,7880000.000000,8048000.000000,8048000.000000,0
2011-07-04,8240000.000000,8240000.000000,6952000.000000,7376000.000000,7376000.000000,0
2011-07-11,7968000.000000,10144000.000000,7920000.000000,9536000.000000,9536000.000000,0
2011-07-18,9872000.000000,10216000.000000,7448000.000000,7560000.000000,7560000.000000,0
2011-07-25,7976000.000000,10840000.000000,7824000.000000,9520000.000000,9520000.000000,0
2011-08-01,9472000.000000,18424000.000000,8920000.000000,15616000.000000,15616000.000000,0
2011-08-08,18544000.000000,21400000.000000,15840000.000000,18344000.000000,18344000.000000,0
2011-08-15,17304000.000000,28472000.000000,16216000.000000,27800000.000000,27800000.000000,0
2011-08-22,24776002.000000,30608000.000000,23600000.000000,25680000.000000,25680000.000000,0
2011-08-29,23848000.000000,26512000.000000,21600000.000000,26048000.000000,26048000.000000,0
2011-09-05,30696002.000000,32072000.000000,24672000.000000,31480000.000000,31480000.000000,0
2011-09-12,34520000.000000,35872000.000000,25520000.000000,25776002.000000,25776002.000000,0
2011-09-19,28008000.000000,38840000.000000,25568000.000000,37432000.000000,37432000.000000,0
2011-09-26,36008000.000000,42112000.000000,30383998.000000,41872000.000000,41872000.000000,0
2011-10-03,43768000.000000,51008000.000000,33808000.000000,36568000.000000,36568000.000000,0
2011-10-10,32248000.000000,32248000.000000,23208000.000000,23383998.000000,23383998.000000,0
2011-10-17,23752000.000000,32560000.000000,23560000.000000,26728000.000000,26728000.000000,0
2011-10-24,26296002.000000,28392000.000000,17528000.000000,17776000.000000,17776000.000000,0
2011-10-31,19200000.000000,29440000.000000,19112000.000000,24783998.000000,24783998.000000,0
2011-11-07,25503998.000000,30608000.000000,21928000.000000,24303998.000000,24303998.000000,0
2011-11-14,26543998.000000,31168000.000000,24512000.000000,28000000.000000,28000000.000000,0
2011-11-21,31120000.000000,31543998.000000,27368000.000000,31000000.000000,31000000.000000,0
2011-11-28,26728000.000000,28463998.000000,19112000.000000,20960000.000000,20960000.000000,0
2011-12-05,19200000.000000,24400000.000000,19120000.000000,20640000.000000,20640000.000000,0
2011-12-12,21640000.000000,22296002.000000,17848000.000000,18912000.000000,18912000.000000,0
2011-12-19,18552000.000000,18896000.000000,12911999.000000,14784000.000000,14784000.000000,0
2011-12-26,14560000.000000,15888001.000000,14400000.000000,15528001.000000,15528001.000000,0
2012-01-02,14151999.000000,14551999.000000,12071999.000000,12351999.000000,12351999.000000,0
2012-01-09,12120000.000000,12800000.000000,10968001.000000,12096000.000000,12096000.000000,0
2012-01-16,12216000.000000,12400000.000000,9776000.000000,9800000.000000,9800000.000000,0
2012-01-23,9744000.000000,9920000.000000,8200000.000000,8272000.000000,8272000.000000,0
2012-01-30,8832000.000000,8992000.000000,6944000.000000,6952000.000000,6952000.000000,0
2012-02-06,7104000.000000,10288001.000000,6776000.000000,9280000.000000,9280000.000000,0
2012-02-13,8296000.000000,10096000.000000,7904000.000000,8336000.000000,8336000.000000,0
2012-02-20,8104000.000000,8560000.000000,6560000.000000,7336000.000000,7336000.000000,0
2012-02-27,7840000.000000,7912000.000000,6648000.000000,6856000.000000,6856000.000000,0
