Date,Open,High,Low,Close,Adj Close,Volume
2014-10-20,32.810001,53.849998,32.810001,38.740002,38.740002,915100
2014-10-27,38.250000,38.500000,37.000000,37.970001,37.970001,8896100
2014-11-03,37.520000,40.759998,35.560001,36.959999,36.959999,17131200
2014-11-10,35.610001,38.230000,35.610001,37.400002,37.400002,8771600
2014-11-17,37.110001,39.919998,36.820000,39.290001,39.290001,4390800
2014-11-24,39.220001,39.740002,38.480000,39.209999,39.209999,2354100
2014-12-01,39.040001,39.490002,36.750000,38.619999,38.619999,3449000
2014-12-08,38.119999,39.930000,38.119999,38.669998,38.669998,2155000
2014-12-15,38.619999,40.349998,38.119999,40.139999,40.139999,2433500
2014-12-22,40.250000,44.599998,40.029999,41.709999,41.709999,2122600
2014-12-29,42.369999,46.409000,41.810001,46.250000,46.250000,2371800
2015-01-05,46.000000,48.770000,44.220001,47.830002,47.830002,4893700
2015-01-12,48.230000,48.910000,44.439999,45.540001,45.540001,3185500
2015-01-19,45.650002,47.070000,45.200001,46.099998,46.099998,1426000
2015-01-26,46.080002,46.840000,44.509998,44.570000,44.570000,1921400
2015-02-02,44.740002,45.110001,43.389999,43.900002,43.900002,2159900
2015-02-09,43.900002,44.770000,42.290001,44.500000,44.500000,1807900
2015-02-16,44.560001,46.349998,44.520000,46.130001,46.130001,2037000
2015-02-23,46.130001,48.400002,44.500000,46.040001,46.040001,4297400
2015-03-02,46.040001,47.970001,43.910000,46.259998,46.259998,6595800
2015-03-09,46.500000,48.450001,46.020000,46.610001,46.610001,3179700
2015-03-16,46.639999,49.410000,46.330002,49.259998,49.259998,3357100
2015-03-23,49.259998,49.950001,47.264999,47.970001,47.970001,2527800
2015-03-30,48.360001,49.900002,47.849998,48.400002,48.400002,1833200
2015-04-06,48.240002,50.915001,48.029999,49.759998,49.759998,2372000
2015-04-13,49.750000,50.150002,48.220001,48.509998,48.509998,1846500
2015-04-20,48.869999,49.520000,48.480000,49.270000,49.270000,1097500
