Date,Open,High,Low,Close,Adj Close,Volume
2009-11-30,39.560001,41.240002,39.080002,40.400002,40.400002,3500
2009-12-07,42.360001,48.200001,41.439999,46.639999,46.639999,19500
2009-12-14,46.560001,46.759998,43.639999,45.799999,45.799999,8900
2009-12-21,47.080002,48.080002,44.599998,44.599998,44.599998,4900
2009-12-28,45.759998,48.439999,45.480000,48.080002,48.080002,5200
2010-01-04,44.959999,44.959999,39.480000,39.560001,39.560001,18600
2010-01-11,38.799999,41.840000,38.200001,39.840000,39.840000,11400
2010-01-18,38.880001,46.799999,38.279999,45.840000,45.840000,20900
2010-01-25,45.520000,51.840000,45.240002,50.919998,50.919998,29900
2010-02-01,50.320000,60.279999,46.840000,57.119999,57.119999,35100
2010-02-08,57.119999,59.520000,52.840000,54.240002,54.240002,25000
2010-02-15,52.119999,52.119999,47.520000,48.799999,48.799999,20600
2010-02-22,48.160000,52.919998,47.439999,47.520000,47.520000,24400
2010-03-01,47.040001,47.880001,41.880001,42.840000,42.840000,26500
2010-03-08,42.080002,44.759998,41.279999,44.080002,44.080002,39900
2010-03-15,44.119999,44.279999,41.759998,44.279999,44.279999,8400
2010-03-22,46.240002,46.560001,43.959999,44.560001,44.560001,37600
2010-03-29,42.360001,42.840000,39.400002,39.599998,39.599998,12300
2010-04-05,39.000000,39.599998,37.320000,37.599998,37.599998,16500
2010-04-12,37.400002,40.599998,37.000000,40.119999,40.119999,16200
2010-04-19,40.680000,40.799999,37.840000,37.840000,37.840000,19900
2010-04-26,37.680000,39.279999,35.759998,36.240002,36.240002,20000
2010-05-03,35.680000,42.639999,35.439999,36.680000,36.680000,55100
2010-05-10,36.200001,36.320000,31.360001,32.959999,32.959999,59800
2010-05-17,33.119999,40.119999,33.040001,39.480000,39.480000,62500
2010-05-24,39.279999,39.799999,35.680000,36.080002,36.080002,18400
2010-05-31,35.520000,40.599998,34.919998,40.320000,40.320000,28100
2010-06-07,39.480000,39.480000,35.400002,36.119999,36.119999,34400
2010-06-14,36.599998,36.599998,32.400002,32.799999,32.799999,34400
2010-06-21,32.279999,35.599998,32.200001,32.919998,32.919998,36800
2010-06-28,32.840000,38.000000,32.320000,37.320000,37.320000,16800
2010-07-05,37.599998,38.240002,36.200001,36.240002,36.240002,15200
2010-07-12,36.160000,37.560001,34.919998,37.200001,37.200001,17500
2010-07-19,37.759998,38.639999,35.599998,36.119999,36.119999,45700
2010-07-26,35.720001,38.680000,35.639999,36.439999,36.439999,14000
2010-08-02,34.639999,35.480000,33.599998,34.360001,34.360001,8100
2010-08-09,34.799999,36.880001,34.759998,35.799999,35.799999,9900
2010-08-16,34.599998,36.560001,33.799999,36.320000,36.320000,32800
2010-08-23,35.880001,36.160000,31.080000,31.879999,31.879999,30200
2010-08-30,31.920000,32.160000,29.240000,29.440001,29.440001,29300
2010-09-06,29.320000,29.799999,28.920000,29.520000,29.520000,49700
2010-09-13,29.120001,29.120001,26.719999,27.080000,27.080000,71500
2010-09-20,26.799999,27.600000,25.160000,25.200001,25.200001,163400
2010-09-27,25.120001,25.799999,23.639999,23.680000,23.680000,138700
2010-10-04,23.680000,24.160000,21.160000,21.320000,21.320000,250400
2010-10-11,21.440001,21.719999,18.959999,19.360001,19.360001,319000
2010-10-18,19.840000,21.480000,19.120001,21.080000,21.080000,291200
2010-10-25,20.160000,21.160000,18.559999,18.600000,18.600000,293000
2010-11-01,18.400000,19.639999,15.400000,15.680000,15.680000,558500
2010-11-08,15.560000,16.280001,12.760000,15.960000,15.960000,1957700
2010-11-15,15.960000,17.360001,14.400000,14.440000,14.440000,762100
2010-11-22,14.440000,15.200000,13.800000,14.960000,14.960000,487600
2010-11-29,14.800000,15.200000,12.400000,12.440000,12.440000,653900
2010-12-06,12.200000,13.480000,11.320000,12.800000,12.800000,1207100
2010-12-13,12.160000,13.040000,11.840000,12.280000,12.280000,685200
2010-12-20,12.280000,12.680000,12.040000,12.200000,12.200000,309800
2010-12-27,11.840000,11.840000,10.840000,10.840000,10.840000,420900
2011-01-03,11.240000,12.640000,11.240000,12.520000,12.520000,633400
2011-01-10,12.280000,13.000000,11.720000,12.760000,12.760000,565300
2011-01-17,12.800000,13.880000,11.840000,13.560000,13.560000,649800
2011-01-24,13.760000,14.360000,12.920000,13.040000,13.040000,829800
2011-01-31,13.280000,13.280000,11.840000,12.000000,12.000000,654500
2011-02-07,11.920000,12.000000,10.880000,11.280000,11.280000,498700
2011-02-14,11.000000,11.000000,9.280000,9.520000,9.520000,1103600
2011-02-21,9.000000,9.880000,8.800000,9.040000,9.040000,1434900
2011-02-28,8.960000,8.960000,7.880000,7.880000,7.880000,925800
2011-03-07,7.480000,8.480000,7.360000,7.680000,7.680000,1397500
2011-03-14,7.680000,8.560000,7.520000,7.950000,7.950000,2659500
2011-03-21,7.630000,7.660000,6.690000,7.030000,7.030000,2551500
2011-03-28,7.260000,7.260000,6.760000,6.840000,6.840000,1410200
2011-04-04,6.580000,6.640000,5.810000,5.810000,5.810000,1967600
2011-04-11,5.710000,6.130000,5.250000,5.260000,5.260000,2978500
2011-04-18,5.170000,5.410000,4.400000,4.410000,4.410000,2278000
2011-04-25,4.120000,4.780000,3.810000,4.100000,4.100000,14584100
2011-05-02,4.550000,7.520000,4.220000,7.160000,7.160000,24010200
2011-05-09,6.440000,7.950000,5.860000,6.980000,6.980000,13382200
2011-05-16,7.230000,7.920000,6.760000,6.980000,6.980000,11249100
2011-05-23,6.630000,6.680000,5.820000,5.900000,5.900000,4703600
2011-05-30,5.830000,6.700000,5.680000,6.450000,6.450000,5142400
2011-06-06,6.130000,6.450000,5.940000,6.430000,6.430000,4010000
2011-06-13,6.630000,6.980000,6.450000,6.490000,6.490000,4593500
2011-06-20,6.490000,7.080000,6.170000,7.070000,7.070000,3220500
2011-06-27,7.230000,7.390000,6.700000,6.840000,6.840000,3367200
2011-07-04,7.080000,7.100000,6.060000,6.120000,6.120000,2094400
2011-07-11,6.100000,6.630000,5.210000,5.250000,5.250000,5313800
2011-07-18,4.980000,5.460000,4.850000,4.990000,4.990000,5417200
2011-07-25,4.860000,5.160000,4.670000,5.020000,5.020000,4195800
2011-08-01,4.940000,5.550000,4.450000,5.330000,5.330000,7454700
2011-08-08,5.030000,5.670000,4.970000,5.060000,5.060000,6812400
2011-08-15,5.010000,5.040000,4.210000,4.210000,4.210000,3123400
2011-08-22,4.120000,4.930000,3.980000,4.380000,4.380000,3895200
2011-08-29,4.490000,4.610000,3.970000,3.980000,3.980000,3290100
2011-09-05,4.170000,4.540000,4.090000,4.290000,4.290000,1858100
2011-09-12,4.440000,4.750000,4.330000,4.490000,4.490000,2783500
2011-09-19,4.530000,7.300000,4.420000,6.900000,6.900000,5061100
2011-09-26,8.090000,8.180000,5.880000,7.350000,7.350000,10389300
2011-10-03,6.790000,7.800000,6.040000,6.590000,6.590000,8856700
2011-10-10,6.290000,6.390000,5.890000,6.100000,6.100000,2966000
2011-10-17,6.090000,7.000000,6.050000,6.410000,6.410000,5952600
2011-10-24,6.350000,6.380000,4.940000,5.000000,5.000000,5011100
2011-10-31,5.200000,5.840000,5.070000,5.260000,5.260000,4667800
2011-11-07,5.120000,5.530000,4.900000,5.060000,5.060000,2800600
2011-11-14,5.120000,6.180000,5.030000,5.740000,5.740000,3684900
2011-11-21,6.080000,6.320000,5.420000,6.050000,6.050000,3943800
2011-11-28,5.670000,5.810000,5.240000,5.520000,5.520000,2888600
2011-12-05,5.420000,5.910000,5.380000,5.610000,5.610000,3692900
2011-12-12,5.960000,7.050000,5.660000,6.510000,6.510000,3515000
2011-12-19,6.770000,6.950000,6.510000,6.740000,6.740000,1623100
2011-12-26,7.090000,8.090000,6.940000,7.340000,7.340000,2119000
2012-01-02,6.790000,6.810000,6.310000,6.770000,6.770000,2326600
2012-01-09,6.570000,6.720000,5.890000,6.300000,6.300000,3576500
2012-01-16,6.220000,6.250000,5.330000,5.340000,5.340000,2850700
2012-01-23,5.340000,5.520000,4.750000,4.770000,4.770000,4450000
2012-01-30,4.910000,5.030000,4.610000,4.830000,4.830000,3700300
2012-02-06,4.910000,4.920000,4.590000,4.860000,4.860000,2447100
2012-02-13,4.810000,5.070000,4.740000,4.950000,4.950000,2895300
2012-02-20,4.750000,4.760000,4.250000,4.300000,4.300000,3166500
2012-02-27,4.350000,4.540000,3.820000,4.360000,4.360000,5782900
2012-03-05,4.430000,4.980000,4.420000,4.470000,4.470000,5094200
2012-03-12,4.560000,5.200000,4.560000,4.920000,4.920000,6108500
2012-03-19,4.920000,5.350000,4.760000,5.000000,5.000000,4905300
2012-03-26,4.830000,5.140000,4.710000,4.930000,4.930000,4340700
2012-04-02,4.890000,5.280000,4.640000,5.060000,5.060000,3270700
2012-04-09,5.040000,5.220000,4.770000,5.090000,5.090000,3960900
2012-04-16,5.050000,5.140000,4.920000,5.040000,5.040000,1934200
2012-04-23,5.240000,5.580000,5.070000,5.110000,5.110000,2407300
2012-04-30,5.290000,5.610000,5.110000,5.450000,5.450000,1883900
2012-05-07,5.470000,6.160000,5.470000,5.990000,5.990000,1899100
2012-05-14,6.170000,6.950000,5.930000,6.030000,6.030000,3282400
2012-05-21,6.160000,6.700000,5.980000,6.080000,6.080000,1796100
2012-05-28,6.040000,6.560000,5.960000,6.070000,6.070000,2013200
2012-06-04,6.090000,6.260000,5.460000,5.960000,5.960000,1755500
2012-06-11,5.930000,6.110000,5.750000,5.930000,5.930000,801900
2012-06-18,6.040000,6.830000,5.850000,6.660000,6.660000,2001200
2012-06-25,6.730000,7.030000,6.180000,6.330000,6.330000,2349200
2012-07-02,6.030000,6.550000,5.890000,6.490000,6.490000,922800
2012-07-09,6.420000,6.730000,6.250000,6.390000,6.390000,1299100
2012-07-16,6.340000,6.580000,6.270000,6.360000,6.360000,728400
2012-07-23,6.580000,6.680000,6.130000,6.140000,6.140000,563700
2012-07-30,6.160000,6.500000,5.940000,6.120000,6.120000,826100
2012-08-06,5.980000,6.120000,5.860000,5.970000,5.970000,495800
2012-08-13,6.010000,6.130000,5.880000,5.970000,5.970000,292900
2012-08-20,5.960000,5.960000,4.910000,4.960000,4.960000,1218500
2012-08-27,4.910000,5.100000,4.610000,4.610000,4.610000,1697800
2012-09-03,4.490000,4.540000,4.070000,4.080000,4.080000,1155800
2012-09-10,4.120000,4.360000,3.790000,3.820000,3.820000,2664100
2012-09-17,3.850000,4.010000,3.720000,3.840000,3.840000,2369600
2012-09-24,4.000000,4.090000,3.790000,3.840000,3.840000,3201800
2012-10-01,3.770000,3.880000,3.700000,3.840000,3.840000,1765800
2012-10-08,3.960000,4.070000,3.880000,4.070000,4.070000,2725000
2012-10-15,4.160000,4.450000,4.110000,4.410000,4.410000,1976300
2012-10-22,4.400000,4.560000,4.320000,4.400000,4.400000,1324200
2012-10-29,4.460000,4.740000,4.280000,4.720000,4.720000,1578800
2012-11-05,4.670000,4.720000,4.180000,4.240000,4.240000,4015800
2012-11-12,4.250000,4.360000,4.140000,4.310000,4.310000,1679100
2012-11-19,4.120000,4.170000,3.830000,3.840000,3.840000,1266300
2012-11-26,3.850000,4.090000,3.780000,3.980000,3.980000,1730200
2012-12-03,3.940000,4.190000,3.890000,4.050000,4.050000,1972100
2012-12-10,3.990000,4.250000,3.870000,4.250000,4.250000,1188600
