Date,Open,High,Low,Close,Adj Close,Volume
2001-05-14,33.601013,33.601013,33.601013,33.601013,12.377271,0
2001-05-21,33.601013,33.601013,33.601013,33.601013,12.377271,0
2001-05-28,35.502960,38.038883,29.416737,34.108200,12.564097,50400
2001-06-04,33.854607,33.854607,29.923922,29.949282,11.032118,161000
2001-06-11,29.923922,29.923922,25.359257,28.402367,10.462293,191300
2001-06-18,27.895182,29.467455,25.866442,27.945900,10.294152,320200
2001-06-25,27.768385,30.177515,26.880812,27.895182,10.275468,236200
2001-07-02,27.768385,32.333050,27.768385,29.163145,10.742536,121000
2001-07-09,29.163145,29.289940,27.387997,29.112427,10.723852,166700
2001-07-16,27.895182,29.137785,27.540152,29.137785,10.733196,125100
2001-07-23,28.909552,30.405748,27.895182,30.405748,11.200264,81000
2001-07-30,30.152155,30.405748,28.909552,29.594252,10.901339,73600
2001-08-06,29.416737,30.811497,28.909552,30.050718,11.069483,59000
2001-08-13,29.974640,30.456467,29.163145,30.202873,11.125532,51600
2001-08-20,30.050718,30.912933,29.923922,30.177515,11.116190,69000
2001-08-27,30.152155,30.431107,28.072697,28.377008,10.452955,84100
2001-09-03,28.275570,28.529163,27.387997,27.514793,10.135352,160500
2001-09-10,27.413357,27.996618,27.387997,27.996618,10.312835,8800
2001-09-17,26.627218,27.895182,23.685545,24.852072,9.154510,111300
2001-09-24,24.598478,25.739645,24.243448,24.547760,9.042413,77500
2001-10-01,24.294167,25.105663,23.584108,24.091293,8.874269,93200
2001-10-08,23.457312,24.344887,23.203720,23.584108,8.687442,180600
2001-10-15,23.584108,23.584108,20.414202,22.848690,8.416543,126100
2001-10-22,22.595097,24.091293,22.290787,23.710905,8.734148,69700
2001-10-29,23.710905,27.134403,23.457312,26.880812,9.901818,88800
2001-11-05,27.007608,27.717667,25.993238,26.601860,9.799062,71700
2001-11-12,26.348267,28.833475,25.993238,28.630600,10.546365,71300
2001-11-19,28.630600,29.923922,28.630600,29.847845,10.994754,88800
2001-11-26,29.797127,30.431107,29.543533,30.177515,11.116190,62100
2001-12-03,30.304312,33.651733,29.923922,32.713440,12.050323,254100
2001-12-10,32.459846,33.347424,29.923922,32.890957,12.115710,158800
2001-12-17,32.890957,36.973797,32.840237,36.770920,13.544938,487000
2001-12-24,38.672867,43.338970,38.672867,42.983940,15.833565,515600
2001-12-31,43.110737,44.125107,36.770920,41.715977,15.366501,328500
2002-01-07,42.248520,43.998310,41.284870,42.172443,15.534647,351500
2002-01-14,41.969570,42.603550,39.687237,41.081993,15.132962,359200
2002-01-21,40.955200,42.983940,40.092983,42.983940,15.833565,197600
2002-01-28,42.730347,43.237534,38.799664,40.853760,15.048892,231600
2002-02-04,40.422653,40.574810,38.292477,39.332207,14.488416,129700
2002-02-11,39.078613,39.281487,36.365173,36.897717,13.591642,123200
2002-02-18,36.948437,38.038883,33.601013,34.463230,12.694878,149800
2002-02-25,34.234997,37.379543,33.195267,37.202030,13.703739,301800
2002-03-04,36.948437,40.448013,36.517330,40.321217,14.852723,488600
2002-03-11,40.701607,41.944210,39.585800,41.589180,15.319791,202900
2002-03-18,41.842773,43.617920,40.726967,43.516483,16.029730,204700
2002-03-25,43.110737,45.266273,43.110737,44.759087,16.487459,409100
2002-04-01,44.378696,50.769230,44.378696,49.323753,18.168903,514500
2002-04-08,49.070160,51.606087,44.885883,45.798817,16.870451,173100
2002-04-15,46.153847,48.943363,45.900253,47.066780,17.337521,152800
2002-04-22,46.661030,46.661030,43.110737,43.744717,16.113802,204400
2002-04-29,43.744717,45.900253,43.364326,44.885883,16.534164,163100
2002-05-06,44.632290,45.139477,42.223160,44.251904,16.300631,313300
2002-05-13,44.378696,45.139477,41.715977,43.364326,15.973687,84400
2002-05-20,43.364326,45.012680,42.603550,43.592560,16.057753,674400
