Date,Open,High,Low,Close,Adj Close,Volume
1998-09-14,27.239584,27.447916,27.239584,27.395834,22.450050,5200
1998-09-21,27.447916,27.500000,26.354166,27.083334,22.193970,3100
1998-09-28,27.083334,28.854166,27.083334,28.750000,23.559746,1600
1998-10-05,27.135416,29.062500,26.145834,28.697916,23.517071,19800
1998-10-12,28.750000,29.114584,28.229166,28.854166,23.645111,8200
1998-10-19,28.854166,30.000000,28.854166,30.000000,24.584085,700
1998-10-26,30.000000,30.000000,30.000000,30.000000,24.584085,0
1998-11-02,30.000000,30.000000,30.000000,30.000000,24.584085,400
1998-11-09,30.000000,30.000000,30.000000,30.000000,24.584085,0
1998-11-16,30.000000,30.208334,29.843750,30.208334,24.754812,400
1998-11-23,30.208334,30.208334,30.208334,30.208334,24.754812,0
1998-11-30,30.208334,30.208334,29.791666,30.000000,24.584085,600
1998-12-07,30.000000,31.979166,30.000000,31.979166,26.205954,2000
1998-12-14,31.979166,31.979166,31.979166,31.979166,26.205954,0
1998-12-21,31.979166,31.979166,31.979166,31.979166,26.205954,0
1998-12-28,31.979166,31.979166,30.833334,31.666666,25.949867,400
1999-01-04,31.875000,32.083332,29.166666,29.166666,23.901196,8800
1999-01-11,29.166666,29.166666,28.854166,28.854166,23.645111,1200
1999-01-18,28.333334,28.333334,26.875000,28.125000,23.047579,1800
1999-01-25,28.125000,28.854166,28.125000,28.854166,23.645111,3200
1999-02-01,28.854166,28.958334,28.645834,28.645834,23.474392,1500
1999-02-08,28.645834,28.645834,28.020834,28.020834,22.962223,1800
1999-02-15,28.020834,28.020834,25.000000,25.312500,20.742821,3600
1999-02-22,25.312500,25.520834,25.312500,25.520834,20.913544,100
1999-03-01,25.833334,25.833334,24.895834,25.416666,20.828182,5000
1999-03-08,25.416666,29.166666,25.416666,29.166666,23.901196,7400
1999-03-15,29.270834,31.145834,29.270834,30.833334,25.266977,3400
1999-03-22,31.041666,31.666666,30.729166,30.833334,25.266977,6700
1999-03-29,30.781250,30.781250,30.416666,30.625000,25.096252,1700
1999-04-05,30.625000,30.625000,30.000000,30.052084,24.667969,1500
1999-04-12,30.052084,31.250000,29.895834,31.250000,25.651264,3000
1999-04-19,31.250000,32.083332,31.250000,32.083332,26.335299,1200
1999-04-26,32.500000,33.333332,32.500000,33.125000,27.190348,3200
1999-05-03,33.333332,34.583332,33.125000,34.583332,28.387403,1200
1999-05-10,35.833332,35.937500,35.000000,35.052082,28.772169,3700
1999-05-17,35.052082,38.333332,35.000000,35.052082,28.772169,40200
1999-05-24,33.958332,34.062500,33.020832,33.281250,27.318600,4300
1999-05-31,33.125000,33.281250,33.020832,33.125000,27.190348,2100
1999-06-07,33.333332,39.583332,33.333332,37.500000,30.781519,2200
1999-06-14,36.250000,37.187500,36.250000,37.083332,30.439505,1100
1999-06-21,37.708332,40.000000,37.500000,38.958332,31.978575,2700
1999-06-28,38.333332,41.041668,38.333332,40.833332,33.517658,2700
1999-07-05,42.916668,42.916668,39.166668,39.166668,32.149582,700
1999-07-12,40.312500,45.000000,40.312500,45.000000,36.937828,3900
1999-07-19,43.437500,44.166668,41.666668,41.666668,34.201691,3100
1999-07-26,41.875000,43.750000,41.041668,42.916668,35.227741,13500
1999-08-02,42.916668,43.958332,41.979168,41.979168,34.458199,2000
1999-08-09,41.197918,41.770832,40.208332,41.770832,34.287193,7400
1999-08-16,41.562500,42.291668,40.833332,40.833332,33.517658,17900
1999-08-23,41.041668,41.041668,39.895832,40.833332,33.517658,2400
1999-08-30,40.416668,50.208332,40.416668,49.583332,40.700020,4900
1999-09-06,47.500000,48.125000,46.666668,47.916668,39.331944,7200
1999-09-13,49.531250,52.083332,48.020832,50.416668,41.384052,309300
1999-09-20,51.666668,53.385418,50.833332,51.250000,42.068073,31400
1999-09-27,51.041668,51.041668,50.000000,50.416668,41.384052,26400
1999-10-04,50.000000,50.000000,48.645832,50.000000,41.042023,36800
1999-10-11,49.791668,50.364582,47.500000,48.333332,39.673958,8700
1999-10-18,48.333332,52.083332,48.333332,52.083332,42.752113,11800
1999-10-25,52.083332,58.437500,52.083332,55.729168,45.744762,11300
1999-11-01,56.197918,68.541664,56.197918,68.541664,56.261776,11100
1999-11-08,65.625000,66.041664,61.041668,65.104164,53.440136,23100
1999-11-15,66.614586,67.708336,63.541668,63.958332,52.499596,13200
1999-11-22,67.083336,67.916664,66.562500,67.500000,55.406742,8500
1999-11-29,67.500000,69.791664,67.500000,69.166664,56.774807,9700
1999-12-06,75.416664,76.250000,68.958336,71.250000,58.484898,14600
1999-12-13,70.729164,77.187500,69.479164,77.187500,63.358639,17400
1999-12-20,75.208336,79.687500,73.958336,79.375000,65.154213,4200
1999-12-27,81.875000,103.125000,81.875000,94.531250,77.595078,22900
2000-01-03,95.000000,95.208336,68.541664,71.250000,58.484898,21300
2000-01-10,68.750000,76.145836,68.020836,69.166664,56.774807,23300
2000-01-17,67.708336,68.541664,64.166664,67.812500,55.663261,10100
2000-01-24,67.500000,74.583336,66.666664,72.916664,59.852947,23400
2000-01-31,77.916664,83.333336,75.000000,82.187500,67.462830,22700
2000-02-07,78.958336,79.791664,69.375000,69.583336,57.116821,30700
2000-02-14,69.895836,73.229164,68.541664,71.250000,58.484898,32900
2000-02-21,66.875000,72.500000,66.875000,72.500000,59.510952,13000
2000-02-28,72.500000,72.500000,68.437500,69.583336,57.116821,23900
2000-03-06,66.875000,72.708336,66.666664,72.708336,59.681953,27500
2000-03-13,68.750000,70.781250,67.083336,68.125000,55.919769,25300
2000-03-20,67.083336,68.020836,65.000000,65.312500,53.611149,43100
2000-03-27,66.875000,71.770836,52.916668,67.916664,55.748760,51200
2000-04-03,75.000000,75.572914,70.052086,70.416664,57.854473,146300
