Date,Open,High,Low,Close,Adj Close,Volume
2001-04-30,2.540000,2.585000,2.500000,2.560000,0.671389,6165600
2001-05-07,2.562500,2.602500,2.550000,2.587500,0.678601,2394800
2001-05-14,2.612500,2.997500,2.612500,2.950000,0.773671,2817600
2001-05-21,2.950000,3.062500,2.937500,2.962500,0.776949,2317200
2001-05-28,2.987500,2.987500,2.937500,2.950000,0.773671,874800
2001-06-04,2.987500,3.062500,2.940000,3.050000,0.799896,852000
2001-06-11,3.050000,3.062500,3.025000,3.062500,0.803175,736400
2001-06-18,3.062500,3.087500,3.045000,3.087500,0.809732,688800
2001-06-25,3.075000,3.187500,3.062500,3.087500,0.809732,716000
2001-07-02,3.087500,3.112500,3.067500,3.087500,0.809732,274000
2001-07-09,3.107500,3.125000,3.000000,3.025000,0.793340,697600
2001-07-16,2.942500,3.087500,2.942500,3.075000,0.806453,351200
2001-07-23,3.062500,3.075000,3.012500,3.070000,0.805142,250000
2001-07-30,3.067500,3.175000,3.062500,3.137500,0.822845,689600
2001-08-06,3.137500,3.362500,3.137500,3.250000,0.852349,342800
2001-08-13,3.250000,3.250000,3.180000,3.250000,0.852349,846400
2001-08-20,3.200000,3.545000,3.200000,3.500000,0.917915,1353200
2001-08-27,3.475000,3.512500,3.437500,3.467500,0.909391,686400
2001-09-03,3.467500,3.587500,3.442500,3.550000,0.931027,470400
2001-09-10,3.550000,3.550000,3.375000,3.487500,0.914636,772400
2001-09-17,3.450000,3.497500,3.287500,3.415000,0.895622,859600
2001-09-24,3.425000,3.450000,3.350000,3.450000,0.904802,622400
2001-10-01,3.450000,3.497500,3.425000,3.475000,0.911358,298000
2001-10-08,3.475000,3.787500,3.475000,3.787500,0.993314,656000
2001-10-15,3.670000,3.837500,3.670000,3.750000,0.983479,481600
2001-10-22,3.762500,3.837500,3.725000,3.750000,0.983479,558000
2001-10-29,3.800000,3.837500,3.752500,3.775000,0.990036,997200
2001-11-05,3.762500,3.800000,3.727500,3.770000,0.988725,817200
2001-11-12,3.770000,4.087500,3.752500,3.937500,1.032653,1559200
2001-11-19,3.937500,4.237500,3.937500,4.225000,1.108054,1513600
2001-11-26,4.225000,4.250000,4.155000,4.237500,1.111333,1212800
2001-12-03,4.225000,4.285000,4.180000,4.237500,1.111333,1158400
2001-12-10,4.235000,4.812500,4.235000,4.700000,1.232628,1528800
2001-12-17,4.737500,4.762500,4.612500,4.662500,1.222793,547200
2001-12-24,4.625000,4.675000,4.575000,4.650000,1.219515,180000
2001-12-31,4.650000,4.675000,4.612500,4.650000,1.219515,362400
2002-01-07,4.675000,5.052500,4.650000,4.937500,1.294915,937600
2002-01-14,4.925000,5.020000,4.925000,4.975000,1.304750,571600
2002-01-21,4.962500,5.025000,4.887500,5.025000,1.317863,1125200
2002-01-28,5.025000,5.120000,4.975000,5.050000,1.324419,1603200
2002-02-04,5.080000,5.487500,5.027500,5.487500,1.439158,971200
2002-02-11,5.487500,5.750000,5.325000,5.750000,1.508002,996400
2002-02-18,5.750000,6.387500,5.537500,6.182500,1.621430,1552800
2002-02-25,6.225000,6.225000,5.537500,6.027500,1.580780,1708000
2002-03-04,6.037500,6.250000,6.037500,6.225000,1.632577,930800
2002-03-11,6.225000,6.225000,5.975000,6.005000,1.574879,875600
2002-03-18,5.950000,6.187500,5.950000,6.062500,1.589959,1336800
2002-03-25,6.062500,6.100000,6.000000,6.085000,1.595860,869200
2002-04-01,6.100000,6.625000,6.062500,6.625000,1.737480,572800
2002-04-08,6.625000,6.625000,5.937500,6.062500,1.589959,990400
2002-04-15,6.212500,6.370000,5.887500,6.370000,1.670605,537200
2002-04-22,6.375000,6.620000,6.350000,6.500000,1.704698,1016400
2002-04-29,6.500000,7.470000,6.300000,7.225000,1.894837,1818800
2002-05-06,7.175000,7.500000,7.025000,7.337500,1.924343,1035200
2002-05-13,7.425000,7.425000,7.212500,7.252500,1.902050,527600
2002-05-20,7.252500,7.312500,7.250000,7.287500,1.911229,541200
2002-05-27,7.287500,7.475000,7.150000,7.475000,1.960404,875200
2002-06-03,7.487500,7.575000,7.352500,7.437500,1.950568,1184400
2002-06-10,7.450000,7.507500,7.412500,7.500000,1.966959,1232400
2002-06-17,7.500000,7.812500,7.487500,7.812500,2.048917,474800
2002-06-24,7.822500,7.825000,7.562500,7.650000,2.006298,528400
2002-07-01,7.650000,7.725000,7.537500,7.687500,2.016134,378400
2002-07-08,7.687500,7.687500,7.500000,7.537500,1.976795,1494400
2002-07-15,7.537500,7.662500,7.315000,7.660000,2.008920,1408800
2002-07-22,7.612500,7.687500,6.625000,7.150000,1.875169,1105600
2002-07-29,3.575000,7.550000,3.575000,7.475000,1.960404,805200
2002-08-05,7.475000,7.500000,7.100000,7.260000,1.904015,933800
2002-08-12,7.260000,7.400000,7.125000,7.300000,1.914508,947000
2002-08-19,7.290000,7.290000,7.000000,7.050000,1.848943,309200
2002-08-26,7.105000,7.125000,6.675000,6.900000,1.809603,818600
2002-09-02,6.900000,7.300000,6.875000,7.115000,1.865989,1054600
2002-09-09,7.180000,8.280000,7.180000,8.180000,2.145297,970600
2002-09-16,8.280000,8.525000,8.075000,8.250000,2.163656,1333200
2002-09-23,8.370000,8.375000,8.125000,8.275000,2.170211,558600
2002-09-30,8.370000,8.535000,8.250000,8.450000,2.216107,1143400
2002-10-07,8.425000,8.470000,7.855000,7.975000,2.091534,743200
2002-10-14,7.975000,8.175000,7.925000,8.100000,2.124316,655600
2002-10-21,8.095000,8.250000,8.030000,8.250000,2.163656,833600
2002-10-28,8.250000,8.320000,8.065000,8.100000,2.124316,1458000
2002-11-04,8.325000,8.325000,8.035000,8.095000,2.123003,585000
2002-11-11,8.065000,8.100000,6.150000,6.675000,1.750594,4657600
2002-11-18,6.625000,6.705000,5.950000,6.200000,1.626020,2831400
2002-11-25,6.175000,6.615000,5.945000,6.475000,1.698140,1968200
2002-12-02,6.450000,6.750000,6.400000,6.675000,1.750594,1201600
2002-12-09,6.740000,6.750000,6.535000,6.675000,1.750594,953000
2002-12-16,6.715000,6.750000,6.600000,6.740000,1.767640,1133600
2002-12-23,6.750000,6.850000,6.740000,6.775000,1.776820,213400
2002-12-30,6.790000,7.025000,6.650000,6.850000,1.796489,244000
2003-01-06,6.800000,7.245000,6.785000,6.925000,1.816159,769000
