Date,Open,High,Low,Close,Adj Close,Volume
1999-05-24,30.125000,31.937500,30.062500,31.812500,17.467550,15509900
1999-05-31,35.500000,35.812500,33.187500,35.250000,19.355005,6240100
1999-06-07,36.500000,37.000000,33.250000,34.937500,19.183416,4119400
1999-06-14,34.750000,36.625000,34.000000,36.625000,20.109989,3221600
1999-06-21,37.750000,39.000000,33.250000,35.000000,19.217735,4235800
1999-06-28,35.000000,41.250000,35.000000,40.625000,22.306301,3665000
1999-07-05,43.000000,45.125000,42.000000,44.250000,24.296713,3297600
1999-07-12,43.500000,43.625000,37.750000,40.000000,21.963125,2692800
1999-07-19,40.000000,40.250000,33.875000,34.375000,18.874561,2132100
1999-07-26,34.062500,38.500000,33.000000,36.812500,20.212942,2397000
1999-08-02,36.000000,36.937500,35.500000,35.875000,19.698175,1564600
1999-08-09,35.875000,36.625000,34.375000,34.625000,19.011829,2552900
1999-08-16,34.625000,34.750000,32.500000,32.875000,18.050943,2029800
1999-08-23,35.000000,35.187500,33.625000,34.625000,19.011829,2282200
1999-08-30,34.000000,34.375000,31.500000,33.750000,18.531389,1367200
1999-09-06,34.375000,38.625000,33.000000,38.375000,21.070873,2191000
1999-09-13,38.500000,38.812500,34.375000,36.625000,20.109989,1197700
1999-09-20,36.750000,37.000000,35.375000,36.250000,19.904087,1095800
1999-09-27,36.750000,37.500000,35.500000,36.750000,20.178619,2212400
1999-10-04,36.500000,37.187500,36.000000,36.500000,20.041351,1960300
1999-10-11,36.500000,36.500000,33.000000,34.437500,18.908880,1380700
1999-10-18,33.875000,34.000000,31.312500,33.875000,18.600023,1371800
1999-10-25,33.125000,35.625000,32.375000,35.250000,19.355005,2260200
1999-11-01,35.500000,36.875000,34.875000,36.750000,20.178619,2821200
1999-11-08,36.750000,43.000000,36.750000,42.937500,23.576040,2760400
1999-11-15,43.875000,50.875000,43.625000,49.562500,27.213686,3315800
1999-11-22,48.125000,50.437500,46.250000,50.062500,27.488230,1471800
1999-11-29,50.375000,53.375000,49.812500,51.312500,28.174568,2144400
1999-12-06,54.000000,60.625000,53.312500,58.937500,32.361298,1711400
1999-12-13,60.750000,61.125000,54.500000,55.250000,30.336573,1507900
1999-12-20,59.000000,68.625000,58.750000,68.500000,37.611843,918300
1999-12-27,77.000000,77.500000,71.000000,74.750000,41.043598,942500
2000-01-03,79.875000,79.875000,58.375000,59.875000,32.949436,4008500
2000-01-10,65.750000,65.750000,54.125000,58.437500,32.158375,2860300
2000-01-17,59.500000,60.562500,54.187500,55.500000,30.541849,2426200
2000-01-24,55.875000,58.250000,49.500000,55.062500,30.301094,2717700
2000-01-31,55.250000,55.625000,52.937500,53.250000,29.303667,2170800
2000-02-07,58.125000,63.500000,58.125000,59.000000,32.467918,2722600
2000-02-14,59.125000,59.125000,51.750000,52.000000,28.615786,2502000
2000-02-21,50.875000,52.000000,45.437500,45.437500,25.004425,2391500
2000-02-28,42.750000,53.750000,42.375000,53.437500,29.406847,4640500
2000-03-06,53.500000,57.750000,49.000000,51.500000,28.340635,2643000
2000-03-13,45.750000,46.750000,43.000000,44.750000,24.626093,3253100
2000-03-20,44.750000,47.250000,41.000000,46.062500,25.348356,2378900
2000-03-27,46.062500,46.062500,43.000000,43.812500,24.110180,2047900
2000-04-03,41.750000,42.437500,37.250000,41.250000,22.700020,2087700
2000-04-10,41.500000,42.562500,33.250000,34.000000,18.710325,3107900
2000-04-17,32.875000,38.500000,31.750000,37.750000,20.773962,1990500
2000-04-24,36.000000,37.125000,31.750000,34.500000,18.985479,2292500
2000-05-01,34.625000,36.000000,33.375000,34.562500,19.019871,3295800
2000-05-08,35.687500,37.375000,35.125000,36.812500,20.258055,1433500
2000-05-15,36.500000,39.000000,34.625000,36.125000,19.879717,2354900
2000-05-22,33.500000,34.000000,30.687500,32.812500,18.056841,2889500
