Date,Open,High,Low,Close,Adj Close,Volume
2017-06-05,8.770000,9.200000,8.400000,9.200000,9.200000,798400
2017-06-12,9.300000,9.650000,8.550000,8.750000,8.750000,885300
2017-06-19,8.950000,9.000000,8.200000,8.525000,8.525000,451000
2017-06-26,8.600000,8.700000,7.900000,8.600000,8.600000,401300
2017-07-03,8.700000,8.730000,7.900000,7.900000,7.900000,159000
2017-07-10,7.920000,8.420000,7.920000,8.200000,8.200000,146600
2017-07-17,8.200000,8.250000,7.800000,7.980000,7.980000,248500
2017-07-24,8.090000,8.090000,7.900000,8.010000,8.010000,273700
2017-07-31,8.020000,8.020000,7.630000,7.780000,7.780000,170600
2017-08-07,7.960000,8.300000,7.450000,7.670000,7.670000,233600
2017-08-14,7.800000,8.170000,7.780000,8.030000,8.030000,239400
2017-08-21,8.170000,8.260000,7.920000,7.980000,7.980000,324700
2017-08-28,8.100000,8.100000,7.800000,7.960000,7.960000,186100
2017-09-04,7.960000,9.280000,7.860000,8.700000,8.700000,629900
2017-09-11,8.890000,9.450000,8.420000,9.240000,9.240000,513300
2017-09-18,9.200000,9.450000,8.960000,9.140000,9.140000,426000
2017-09-25,9.170000,9.270000,9.130000,9.215000,9.215000,107900
2017-10-02,9.240000,10.200000,9.080000,9.800000,9.800000,883200
2017-10-09,10.160000,11.700000,10.040000,11.080000,11.080000,1027000
2017-10-16,11.300000,11.380000,10.470000,11.000000,11.000000,784100
2017-10-23,11.000000,11.530000,10.800000,11.480000,11.480000,518400
2017-10-30,11.950000,13.800000,11.950000,13.700000,13.700000,1596600
2017-11-06,16.500000,17.410000,14.250000,17.150000,17.150000,3065800
2017-11-13,17.190001,18.900000,15.010000,16.299999,16.299999,3144400
2017-11-20,16.500000,16.700001,15.800000,16.080000,16.080000,830900
2017-11-27,16.120001,16.650000,15.500000,16.070000,16.070000,2170400
2017-12-04,15.980000,16.100000,14.830000,15.500000,15.500000,1832200
2017-12-11,15.800000,16.250000,15.570000,16.080000,16.080000,1293500
2017-12-18,16.250000,16.990000,15.830000,16.340000,16.340000,2061900
2017-12-25,17.799999,22.780001,16.400000,21.240000,21.240000,5860200
2018-01-01,23.559999,31.250000,21.760000,27.200001,27.200001,6535300
2018-01-08,28.000000,29.840000,18.600000,22.370001,22.370001,8485000
2018-01-15,21.340000,25.100000,20.250000,24.150000,24.150000,2855700
2018-01-22,25.000000,25.400000,22.420000,23.600000,23.600000,3838600
2018-01-29,23.980000,23.990000,15.460000,15.740000,15.740000,5633400
2018-02-05,14.900000,18.990000,14.750000,18.000000,18.000000,3503200
2018-02-12,18.190001,22.500000,17.610001,20.400000,20.400000,3491800
2018-02-19,20.100000,21.250000,18.120001,18.360001,18.360001,1546300
2018-02-26,19.200001,20.450001,18.049999,19.900000,19.900000,1989000
2018-03-05,19.799999,21.070000,18.430000,18.629999,18.629999,2462200
2018-03-12,18.980000,19.850000,18.030001,19.340000,19.340000,902800
2018-03-19,19.650000,19.900000,17.600000,17.799999,17.799999,1696000
2018-03-26,18.110001,18.330000,16.700001,17.520000,17.520000,1139600
2018-04-02,17.150000,17.430000,14.820000,15.400000,15.400000,1754500
2018-04-09,15.790000,19.750000,14.570000,19.320000,19.320000,2671100
2018-04-16,19.520000,20.190001,18.639999,19.690001,19.690001,1931100
2018-04-23,19.700001,20.940001,19.190001,19.900000,19.900000,1920600
2018-04-30,20.240000,23.750000,20.040001,23.290001,23.290001,5081400
2018-05-07,23.480000,25.250000,22.510000,24.900000,24.900000,3894900
2018-05-14,26.559999,26.740000,22.059999,24.600000,24.600000,8302700
2018-05-21,25.590000,25.990000,24.200001,24.510000,24.510000,2713600
2018-05-28,24.809999,25.360001,24.059999,24.629999,24.629999,2226200
2018-06-04,24.780001,30.000000,24.480000,27.520000,27.520000,5078800
2018-06-11,27.400000,27.590000,25.860001,25.959999,25.959999,2077800
2018-06-18,26.000000,32.220001,25.530001,30.680000,30.680000,4343000
2018-06-22,31.500000,32.220001,30.340000,30.680000,30.680000,1239951
