Date,Open,High,Low,Close,Adj Close,Volume
1996-05-06,1.150000,1.170000,0.950000,1.080000,1.004592,2522700
1996-05-13,1.090000,1.140000,1.020000,1.020000,0.948781,2746000
1996-05-20,1.020000,1.040000,0.880000,0.930000,0.865065,2876100
1996-05-27,0.930000,1.100000,0.920000,1.020000,0.948781,1869900
1996-06-03,1.000000,1.030000,0.960000,1.020000,0.948781,1744000
1996-06-10,1.020000,1.020000,0.930000,0.930000,0.865065,1224600
1996-06-17,0.950000,0.970000,0.880000,0.900000,0.837160,1089800
1996-06-24,0.900000,0.900000,0.660000,0.850000,0.790651,3542900
1996-07-01,0.890000,0.900000,0.770000,0.780000,0.725539,1143400
1996-07-08,0.770000,0.790000,0.680000,0.780000,0.725539,905000
1996-07-15,0.780000,0.870000,0.700000,0.800000,0.744142,3594600
1996-07-22,0.850000,0.860000,0.730000,0.750000,0.697633,669200
1996-07-29,0.760000,0.790000,0.750000,0.770000,0.716237,548600
1996-08-05,0.750000,1.000000,0.740000,0.880000,0.818556,3436100
1996-08-12,0.890000,0.950000,0.800000,0.800000,0.744142,1908800
1996-08-19,0.800000,0.820000,0.710000,0.740000,0.688332,1648400
1996-08-26,0.740000,0.790000,0.720000,0.790000,0.734840,727700
1996-09-02,0.770000,0.800000,0.760000,0.770000,0.716237,1431100
1996-09-09,0.770000,0.770000,0.700000,0.720000,0.669728,1134800
1996-09-16,0.720000,0.730000,0.610000,0.640000,0.595314,1420000
1996-09-23,0.640000,0.690000,0.610000,0.680000,0.632521,898900
1996-09-30,0.690000,0.760000,0.670000,0.720000,0.669728,862400
1996-10-07,0.720000,0.720000,0.630000,0.660000,0.613917,3186700
1996-10-14,0.670000,0.680000,0.620000,0.630000,0.586012,1144400
1996-10-21,0.630000,3.750000,0.620000,3.420000,3.181208,304600
1996-10-28,3.500000,3.700000,3.000000,3.100000,2.883551,144500
1996-11-04,3.120000,3.450000,3.120000,3.300000,3.069587,298500
1996-11-11,3.200000,3.350000,3.000000,3.150000,2.930060,580300
1996-11-18,3.100000,3.100000,2.550000,2.870000,2.669611,316400
1996-11-25,2.840000,2.950000,2.630000,2.950000,2.744025,301800
1996-12-02,2.900000,3.100000,2.900000,2.980000,2.771930,177300
1996-12-09,2.950000,3.200000,2.900000,2.950000,2.744025,705200
1996-12-16,3.000000,3.100000,2.800000,3.100000,2.883551,640300
1996-12-23,3.050000,3.100000,2.950000,3.000000,2.790533,72100
1996-12-30,3.000000,3.200000,3.000000,3.200000,2.976569,38200
1997-01-06,3.200000,3.400000,3.100000,3.400000,3.162604,329500
1997-01-13,3.400000,4.690000,3.300000,4.150000,3.860238,405600
1997-01-20,4.250000,4.360000,4.000000,4.050000,3.767220,345900
1997-01-27,4.050000,4.600000,3.800000,4.300000,3.999765,346200
1997-02-03,4.490000,4.500000,4.250000,4.450000,4.139291,158300
1997-02-10,4.440000,4.600000,4.300000,4.450000,4.139291,337000
1997-02-17,4.400000,4.450000,3.850000,4.000000,3.720711,121000
1997-02-24,4.000000,4.300000,4.000000,4.300000,3.999765,180400
1997-03-03,4.330000,4.350000,4.100000,4.350000,4.046274,140200
1997-03-10,4.350000,4.350000,4.050000,4.100000,3.813729,189800
1997-03-17,4.100000,4.150000,3.700000,3.700000,3.441658,96000
1997-03-24,3.750000,4.100000,3.750000,3.850000,3.581185,117600
1997-03-31,3.750000,3.800000,3.250000,3.550000,3.302131,108900
1997-04-07,3.650000,3.650000,3.100000,3.120000,2.902155,159200
1997-04-14,3.150000,4.150000,3.150000,4.000000,3.720711,116100
1997-04-21,4.000000,4.200000,3.800000,3.990000,3.711410,114400
1997-04-28,4.000000,4.000000,3.750000,3.900000,3.627694,43400
