Date,Open,High,Low,Close,Adj Close,Volume
2013-03-18,25.049999,25.049999,25.000000,25.010000,19.451509,48500
2013-03-25,25.000000,25.180000,24.889999,25.120001,19.537062,96500
2013-04-01,25.020000,25.150000,24.980000,25.040001,19.474840,79000
2013-04-08,25.000000,25.790001,24.990000,25.049999,19.482616,64200
2013-04-15,25.070000,25.100000,24.959999,25.080000,19.505949,52400
2013-04-22,25.000000,25.200001,24.969999,25.150000,19.560389,108900
2013-04-29,25.059999,25.379999,25.059999,25.160000,19.568171,30500
2013-05-06,25.200001,25.299999,25.000000,25.040001,19.474840,101400
2013-05-13,25.040001,25.240000,25.010000,25.170000,19.575947,65700
2013-05-20,25.170000,25.219999,24.900000,25.010000,19.451509,30500
2013-05-27,25.049999,25.290001,24.950001,25.290001,19.669279,60900
2013-06-03,25.230000,25.250000,24.910000,25.000000,19.443729,42600
2013-06-10,24.950001,25.100000,24.070000,24.750000,19.249292,28400
2013-06-17,24.809999,25.059999,24.440001,24.440001,19.339775,21000
2013-06-24,24.450001,24.930000,24.000000,24.500000,19.387257,35400
2013-07-01,24.690001,24.690001,23.990000,24.000000,18.991594,18000
2013-07-08,24.250000,24.600000,23.799999,24.219999,19.165686,6300
2013-07-15,24.420000,24.670000,24.059999,24.200001,19.149858,13600
2013-07-22,24.240000,24.530001,23.840000,24.000000,18.991594,29800
2013-07-29,23.990000,24.350000,23.750000,23.830000,18.857069,14300
2013-08-05,23.629999,24.100000,23.000000,23.700001,18.754200,16900
2013-08-12,23.750000,24.139999,23.250000,23.680000,18.738375,16700
2013-08-19,23.900000,24.080000,23.250000,23.400000,18.516808,13000
2013-08-26,23.350000,23.850000,23.250000,23.580000,18.659237,11100
2013-09-02,23.580000,23.809999,23.309999,23.500000,18.595938,21400
2013-09-09,23.580000,23.830000,23.270000,23.270000,18.413933,25200
2013-09-16,23.500000,23.840000,23.250000,23.490000,18.895718,29900
2013-09-23,23.600000,23.639999,23.030001,23.200001,18.662441,25600
2013-09-30,23.299999,24.250000,23.200001,23.750000,19.104868,11400
2013-10-07,23.420000,23.740000,23.100000,23.250000,18.702663,35700
2013-10-14,23.250000,23.350000,23.100000,23.350000,18.783104,14100
2013-10-21,23.400000,24.400000,23.219999,23.549999,18.943985,13300
2013-10-28,23.549999,23.889999,23.120001,23.770000,19.120960,15300
2013-11-04,23.879999,23.879999,23.150000,23.150000,18.622215,19400
2013-11-11,23.150000,23.250000,22.760000,23.000000,18.501556,38600
2013-11-18,23.000000,23.330000,22.900000,23.330000,18.767017,45700
2013-11-25,23.299999,23.809999,23.030001,23.100000,18.581999,23200
2013-12-02,23.100000,23.389999,23.010000,23.080000,18.565910,24000
2013-12-09,23.150000,23.400000,22.760000,23.000000,18.501556,40400
2013-12-16,22.700001,23.010000,22.559999,22.650000,18.525848,59800
2013-12-23,22.680000,23.080000,22.010000,22.500000,18.403164,59300
2013-12-30,22.709999,22.959999,22.070000,22.959999,18.779400,50300
2014-01-06,22.790001,23.690001,22.510000,23.100000,18.893909,30000
2014-01-13,22.990000,23.000000,22.570000,22.840000,18.681255,16900
