Date,Open,High,Low,Close,Adj Close,Volume
1993-12-27,4.500000,5.500000,4.500000,5.187500,4.829281,693000
1994-01-03,5.000000,5.375000,5.000000,5.125000,4.771097,68600
1994-01-10,5.250000,5.250000,5.000000,5.250000,4.887465,50800
1994-01-17,5.062500,5.500000,5.000000,5.250000,4.887465,44800
1994-01-24,5.250000,5.500000,5.250000,5.250000,4.887465,35100
1994-01-31,5.250000,5.625000,5.250000,5.625000,5.236569,12900
1994-02-07,5.625000,5.625000,5.250000,5.375000,5.003833,13300
1994-02-14,5.250000,5.500000,5.250000,5.250000,4.887465,55000
1994-02-21,5.250000,5.375000,5.125000,5.125000,4.771097,23900
1994-02-28,5.125000,5.250000,4.750000,5.125000,4.771097,179800
1994-03-07,4.750000,5.125000,4.750000,5.125000,4.771097,3800
1994-03-14,4.750000,5.125000,4.750000,4.875000,4.538360,9500
1994-03-21,4.875000,5.125000,4.750000,5.125000,4.771097,58300
1994-03-28,4.750000,5.125000,4.750000,5.000000,4.654729,28200
1994-04-04,4.750000,4.875000,4.500000,4.687500,4.363808,331700
1994-04-11,4.500000,4.750000,4.500000,4.500000,4.189256,61900
1994-04-18,4.500000,4.875000,4.500000,4.875000,4.538360,78800
1994-04-25,4.875000,4.875000,4.500000,4.875000,4.538360,34000
1994-05-02,4.500000,4.750000,4.500000,4.750000,4.421993,45600
1994-05-09,4.500000,4.625000,4.500000,4.500000,4.189256,10000
1994-05-16,4.500000,4.750000,4.375000,4.500000,4.189256,68700
1994-05-23,4.500000,4.625000,4.500000,4.500000,4.189256,65800
1994-05-30,4.500000,4.750000,4.500000,4.750000,4.421993,50000
1994-06-06,4.625000,4.750000,4.500000,4.625000,4.305624,57700
1994-06-13,4.625000,4.750000,4.500000,4.500000,4.189256,23600
1994-06-20,4.750000,4.750000,4.500000,4.750000,4.421993,18000
1994-06-27,4.625000,4.750000,4.500000,4.750000,4.421993,39200
1994-07-04,4.750000,4.750000,4.750000,4.750000,4.421993,1000
1994-07-11,4.687500,4.750000,4.500000,4.500000,4.189256,26600
1994-07-18,4.500000,4.750000,4.500000,4.750000,4.421993,8400
1994-07-25,4.750000,4.875000,4.500000,4.875000,4.538360,112500
1994-08-01,4.875000,4.875000,4.500000,4.625000,4.305624,30300
1994-08-08,4.500000,4.750000,4.500000,4.750000,4.421993,7200
1994-08-15,4.750000,4.750000,4.500000,4.500000,4.189256,41600
1994-08-22,4.625000,5.125000,4.500000,5.000000,4.654729,113900
1994-08-29,4.750000,5.125000,4.625000,4.937500,4.596545,61800
1994-09-05,5.125000,5.125000,4.750000,5.125000,4.771097,25800
1994-09-12,4.750000,5.000000,4.750000,4.750000,4.421993,32400
1994-09-19,4.750000,5.000000,4.500000,4.750000,4.421993,51400
1994-09-26,5.000000,5.125000,4.750000,5.125000,4.771097,52800
1994-10-03,4.875000,5.250000,4.750000,5.250000,4.887465,324000
1994-10-10,5.000000,5.250000,5.000000,5.250000,4.887465,46900
1994-10-17,5.250000,5.375000,5.000000,5.250000,4.887465,37800
1994-10-24,5.000000,5.500000,5.000000,5.500000,5.120202,44300
1994-10-31,5.375000,5.500000,5.125000,5.375000,5.003833,52400
1994-11-07,5.125000,5.375000,4.750000,5.125000,4.771097,95300
1994-11-14,5.125000,5.250000,5.000000,5.000000,4.654729,36500
1994-11-21,5.000000,5.125000,5.000000,5.000000,4.654729,31700
1994-11-28,5.000000,5.375000,5.000000,5.250000,4.887465,147200
1994-12-05,5.250000,5.375000,5.000000,5.000000,4.654729,80300
1994-12-12,5.250000,5.250000,5.000000,5.250000,4.887465,27500
1994-12-19,5.000000,5.250000,5.000000,5.000000,4.654729,36300
1994-12-26,5.000000,5.125000,5.000000,5.000000,4.654729,63900
1995-01-02,5.000000,5.375000,5.000000,5.375000,5.003833,15900
1995-01-09,5.000000,5.000000,4.500000,4.687500,4.363808,40700
1995-01-16,4.687500,4.875000,4.625000,4.875000,4.538360,17200
1995-01-23,4.625000,4.875000,4.625000,4.625000,4.305624,18100
1995-01-30,4.625000,4.875000,4.625000,4.875000,4.538360,20300
1995-02-06,4.875000,4.875000,4.625000,4.625000,4.305624,46000
1995-02-13,4.625000,4.750000,4.500000,4.750000,4.421993,115100
1995-02-20,4.500000,4.500000,4.000000,4.375000,4.072888,129200
1995-02-27,4.250000,4.375000,4.125000,4.125000,3.840151,38500
1995-03-06,4.125000,4.375000,4.125000,4.125000,3.840151,88100
1995-03-13,4.125000,4.375000,4.125000,4.125000,3.840151,26000
1995-03-20,4.125000,4.250000,3.750000,3.750000,3.491046,34100
1995-03-27,3.750000,4.000000,3.625000,3.625000,3.374678,7900
1995-04-03,3.500000,3.500000,3.375000,3.500000,3.258310,49200
1995-04-10,3.375000,3.625000,3.000000,3.250000,3.025574,65200
1995-04-17,3.250000,3.250000,3.000000,3.250000,3.025574,36100
1995-04-24,3.250000,3.250000,3.000000,3.000000,2.792837,18600
1995-05-01,3.000000,3.250000,3.000000,3.000000,2.792837,40900
1995-05-08,3.000000,3.250000,3.000000,3.000000,2.792837,75500
1995-05-15,3.000000,3.125000,2.375000,2.625000,2.443733,29200
1995-05-22,2.375000,3.000000,2.343700,2.812500,2.618285,283000
1995-05-29,2.750000,3.000000,2.750000,2.750000,2.560101,12600
1995-06-05,2.875000,3.250000,2.875000,3.125000,2.909205,82400
1995-06-12,3.125000,3.125000,2.500000,2.875000,2.676469,600000
1995-06-19,2.875000,3.125000,2.875000,2.875000,2.676469,17600
1995-06-26,2.875000,3.125000,2.875000,3.000000,2.792837,53900
1995-07-03,3.000000,3.000000,2.625000,2.875000,2.676469,14900
1995-07-10,2.625000,2.875000,2.500000,2.625000,2.443733,50800
1995-07-17,2.562500,2.875000,2.500000,2.625000,2.443733,38000
1995-07-24,2.750000,2.875000,2.500000,2.625000,2.443733,25000
1995-07-31,2.625000,3.000000,2.500000,2.875000,2.676469,72300
1995-08-07,2.875000,3.000000,2.750000,2.750000,2.560101,35400
1995-08-14,2.750000,3.125000,2.687500,2.750000,2.560101,26000
1995-08-21,2.875000,3.250000,2.687500,3.000000,2.792837,50700
1995-08-28,3.000000,3.375000,3.000000,3.375000,3.141941,10800
1995-09-04,3.375000,3.375000,3.000000,3.000000,2.792837,40300
1995-09-11,3.062500,3.125000,3.062500,3.062500,2.851021,100600
1995-09-18,3.062500,3.062500,2.500000,2.625000,2.443733,83600
1995-09-25,2.750000,2.875000,2.500000,2.875000,2.676469,49700
1995-10-02,2.625000,2.875000,2.500000,2.500000,2.327364,50200
1995-10-09,2.500000,2.750000,2.000000,2.000000,1.861891,16600
1995-10-16,2.000000,2.250000,1.875000,1.875000,1.745523,29500
1995-10-23,1.875000,2.125000,1.500000,2.000000,1.861891,89600
1995-10-30,2.000000,2.375000,2.000000,2.125000,1.978260,96800
1995-11-06,2.125000,2.375000,2.125000,2.125000,1.978260,27700
1995-11-13,2.125000,2.250000,1.875000,2.250000,2.094628,38800
1995-11-20,2.375000,2.375000,2.000000,2.000000,1.861891,60200
1995-11-27,2.125000,2.375000,2.000000,2.375000,2.210996,13200
1995-12-04,2.375000,2.375000,2.000000,2.125000,1.978260,56900
1995-12-11,2.250000,2.250000,1.875000,2.125000,1.978260,91700
1995-12-18,1.937500,2.250000,1.937500,2.250000,2.094628,79200
1995-12-25,2.250000,2.250000,1.875000,2.000000,1.861891,77100
1996-01-01,2.000000,2.125000,1.812500,2.125000,1.978260,46700
1996-01-08,1.875000,2.125000,1.625000,1.812500,1.687339,178100
1996-01-15,2.125000,2.125000,1.875000,1.875000,1.745523,14200
1996-01-22,1.875000,2.187500,1.875000,2.187500,2.036444,66600
1996-01-29,1.875000,2.125000,1.625000,2.000000,1.861891,64200
1996-02-05,1.875000,2.125000,1.875000,2.125000,1.978260,129800
1996-02-12,1.937500,2.250000,1.812500,2.000000,1.861891,177500
1996-02-19,2.187500,2.250000,1.812500,1.875000,1.745523,69500
1996-02-26,2.000000,2.500000,1.812500,2.250000,2.094628,76200
1996-03-04,2.250000,2.250000,1.875000,1.875000,1.745523,51300
1996-03-11,2.062500,2.062500,1.812500,2.000000,1.861891,13400
1996-03-18,2.000000,2.500000,2.000000,2.062500,1.920076,72800
1996-03-25,2.062500,2.125000,2.062500,2.125000,1.978260,15900
1996-04-01,2.062500,2.687500,2.062500,2.500000,2.327364,69700
1996-04-08,2.500000,2.875000,2.250000,2.375000,2.210996,110400
1996-04-15,2.375000,2.500000,2.250000,2.375000,2.210996,52300
1996-04-22,2.125000,2.421800,2.000000,2.000000,1.861891,191800
1996-04-29,2.125000,2.125000,2.000000,2.062500,1.920076,54700
1996-05-06,2.000000,2.343700,2.000000,2.125000,1.978260,193600
1996-05-13,2.093700,2.250000,2.000000,2.250000,2.094628,39100
1996-05-20,2.000000,2.187500,1.875000,2.187500,2.036444,28400
1996-05-27,2.125000,2.250000,1.875000,2.062500,1.920076,209600
1996-06-03,2.062500,2.062500,1.875000,2.000000,1.861891,19900
1996-06-10,2.000000,2.125000,1.875000,1.875000,1.745523,82000
1996-06-17,1.875000,2.000000,1.875000,2.000000,1.861891,69000
1996-06-24,1.875000,2.000000,1.875000,2.000000,1.861891,64800
1996-07-01,1.875000,2.000000,1.875000,2.000000,1.861891,40400
1996-07-08,2.000000,2.062500,1.812500,1.812500,1.687339,30000
1996-07-15,2.000000,2.093700,1.750000,2.093700,1.949121,38700
1996-07-22,1.875000,2.093700,1.875000,2.000000,1.861891,116100
1996-07-29,2.000000,2.000000,1.875000,2.000000,1.861891,24700
1996-08-05,2.000000,2.125000,1.812500,2.062500,1.920076,62900
1996-08-12,2.062500,2.187500,1.875000,2.062500,1.920076,105700
1996-08-19,2.000000,2.375000,2.000000,2.125000,1.978260,83600
1996-08-26,2.125000,2.375000,2.125000,2.375000,2.210996,52800
1996-09-02,2.375000,2.500000,2.187500,2.500000,2.327364,20800
1996-09-09,2.500000,3.000000,2.250000,2.875000,2.676469,95200
1996-09-16,2.937500,2.937500,2.625000,2.875000,2.676469,44000
1996-09-23,2.875000,3.000000,2.750000,3.000000,2.792837,124700
1996-09-30,3.000000,3.125000,2.812500,2.812500,2.618285,66200
1996-10-07,2.812500,3.000000,2.500000,2.750000,2.560101,83400
1996-10-14,2.750000,2.875000,2.625000,2.687500,2.501916,19900
1996-10-21,2.750000,3.000000,2.625000,2.750000,2.560101,48500
1996-10-28,2.750000,2.875000,2.750000,2.750000,2.560101,19600
1996-11-04,2.625000,2.750000,2.500000,2.625000,2.443733,48600
1996-11-11,2.625000,2.750000,2.500000,2.500000,2.327364,65500
1996-11-18,2.625000,2.875000,2.375000,2.625000,2.443733,164600
1996-11-25,2.562500,2.625000,2.500000,2.500000,2.327364,31000
1996-12-02,2.500000,2.937500,2.500000,2.734300,2.545485,115300
1996-12-09,2.734300,2.812500,2.625000,2.625000,2.443733,78500
1996-12-16,2.625000,3.000000,2.625000,2.812500,2.618285,36900
1996-12-23,3.000000,3.000000,2.562500,2.625000,2.443733,32200
1996-12-30,2.750000,2.812500,2.625000,2.812500,2.618285,10000
1997-01-06,2.812500,3.125000,2.750000,2.875000,2.676469,76700
1997-01-13,3.125000,3.125000,2.875000,2.875000,2.676469,68600
1997-01-20,3.125000,3.625000,3.062500,3.375000,3.141941,109100
1997-01-27,3.125000,3.250000,3.000000,3.125000,2.909205,71600
1997-02-03,3.125000,3.250000,3.000000,3.000000,2.792837,57700
1997-02-10,3.000000,3.125000,2.875000,3.000000,2.792837,26900
1997-02-17,3.000000,3.125000,2.875000,2.875000,2.676469,37200
1997-02-24,2.937500,3.125000,2.875000,3.062500,2.851021,37300
1997-03-03,3.062500,3.062500,2.625000,2.937500,2.734653,23000
1997-03-10,2.937500,2.937500,2.625000,2.875000,2.676469,35300
1997-03-17,2.750000,2.875000,2.500000,2.625000,2.443733,29900
1997-03-24,2.625000,2.625000,2.250000,2.500000,2.327364,5900
1997-03-31,2.125000,2.125000,1.875000,1.875000,1.745523,7800
1997-04-07,2.062500,2.062500,1.750000,1.875000,1.745523,2500
1997-04-14,2.062500,2.062500,1.875000,2.000000,1.861891,12100
1997-04-21,2.000000,2.437500,1.937500,2.125000,1.978260,55800
1997-04-28,2.125000,2.250000,2.000000,2.187500,2.036444,51000
1997-05-05,2.250000,2.375000,2.250000,2.312500,2.152812,15900
1997-05-12,2.312500,2.312500,2.125000,2.187500,2.036444,12600
1997-05-19,2.000000,2.000000,1.750000,1.937500,1.803707,36200
1997-05-26,1.937500,1.937500,1.375000,1.500000,1.396419,86500
1997-06-02,1.562500,1.750000,1.500000,1.750000,1.629155,41200
1997-06-09,1.875000,2.187500,1.750000,2.000000,1.861891,48800
1997-06-16,1.937500,2.000000,1.875000,2.000000,1.861891,16900
1997-06-23,2.250000,2.250000,1.687500,2.062500,1.920076,66700
1997-06-30,2.187500,2.187500,1.875000,2.187500,2.036444,15100
1997-07-07,2.125000,2.312500,2.125000,2.312500,2.152812,18900
1997-07-14,2.062500,2.312500,2.000000,2.125000,1.978260,21200
1997-07-21,2.187500,2.750000,1.625000,2.625000,2.443733,125100
1997-07-28,2.375000,2.750000,2.312500,2.750000,2.560101,36100
1997-08-04,2.500000,2.625000,2.250000,2.250000,2.094628,19300
1997-08-11,2.250000,2.750000,2.187500,2.625000,2.443733,78500
1997-08-18,2.625000,2.625000,2.375000,2.562500,2.385549,32500
1997-08-25,2.375000,2.562500,2.062500,2.062500,1.920076,36500
1997-09-01,2.000000,2.000000,1.375000,1.687500,1.570971,136800
1997-09-08,1.687500,1.687500,1.500000,1.687500,1.570971,35600
1997-09-15,1.687500,1.687500,1.500000,1.625000,1.512787,37900
1997-09-22,1.625000,1.625000,1.500000,1.500000,1.396419,1900
1997-09-29,1.500000,1.500000,1.250000,1.375000,1.280050,9500
1997-10-06,1.375000,1.500000,1.375000,1.500000,1.396419,100
1997-10-13,1.500000,2.000000,1.500000,2.000000,1.861891,24000
1997-10-20,1.937500,2.125000,1.875000,1.937500,1.803707,31700
1997-10-27,1.875000,2.000000,1.750000,1.750000,1.629155,15600
1997-11-03,2.000000,2.000000,1.562500,1.562500,1.454603,10700
1997-11-10,1.875000,1.875000,1.500000,1.500000,1.396419,37400
1997-11-17,1.500000,1.750000,1.250000,1.500000,1.396419,45300
1997-11-24,1.687500,1.687500,1.375000,1.500000,1.396419,14900
1997-12-01,1.500000,1.500000,1.500000,1.500000,1.396419,3500
1997-12-08,1.687500,1.875000,1.500000,1.625000,1.512787,97300
1997-12-15,1.625000,1.625000,1.250000,1.250000,1.163682,37700
1997-12-22,1.250000,1.375000,1.125000,1.125000,1.047314,43200
1997-12-29,1.312500,1.625000,1.312500,1.625000,1.512787,55800
1998-01-05,1.625000,1.625000,1.437500,1.500000,1.396419,4000
1998-01-12,1.500000,1.625000,1.437500,1.437500,1.338234,2200
1998-01-19,1.437500,1.875000,1.437500,1.750000,1.629155,21300
1998-01-26,1.750000,1.812500,1.500000,1.500000,1.396419,27300
1998-02-02,1.437500,2.000000,1.437500,2.000000,1.861891,6800
1998-02-09,1.750000,1.750000,1.437500,1.625000,1.512787,6800
1998-02-16,1.625000,2.375000,1.562500,2.000000,1.861891,69200
1998-02-23,2.000000,2.000000,1.437500,1.625000,1.512787,32200
1998-03-02,1.625000,1.750000,1.500000,1.500000,1.396419,22300
1998-03-09,1.500000,1.875000,1.375000,1.500000,1.396419,72800
1998-03-16,1.812500,1.812500,1.437500,1.500000,1.396419,16000
1998-03-23,1.500000,1.750000,1.500000,1.625000,1.512787,67900
1998-03-30,1.625000,1.875000,1.375000,1.562500,1.454603,56400
1998-04-06,1.562500,1.750000,1.500000,1.750000,1.629155,14100
1998-04-13,1.750000,1.937500,1.625000,1.875000,1.745523,31500
1998-04-20,1.750000,1.812500,1.437500,1.500000,1.396419,53500
1998-04-27,1.500000,1.875000,1.437500,1.687500,1.570971,53800
1998-05-04,1.625000,2.000000,1.500000,1.750000,1.629155,207700
1998-05-11,1.812500,1.812500,1.500000,1.750000,1.629155,16900
1998-05-18,1.750000,1.750000,1.125000,1.500000,1.396419,101200
1998-05-25,1.312500,1.750000,1.312500,1.750000,1.629155,42400
1998-06-01,1.750000,2.000000,1.750000,1.750000,1.629155,129300
1998-06-08,1.750000,2.000000,1.437500,1.437500,1.338234,66300
1998-06-15,1.437500,1.750000,1.437500,1.500000,1.396419,18800
1998-06-22,1.750000,1.750000,1.437500,1.625000,1.512787,119100
1998-06-29,1.625000,1.625000,1.500000,1.500000,1.396419,23900
1998-07-06,1.625000,1.750000,1.500000,1.750000,1.629155,102800
1998-07-13,1.687500,1.812500,1.625000,1.750000,1.629155,133400
1998-07-20,1.875000,2.812500,1.812500,2.125000,1.978260,397900
1998-07-27,2.187500,2.437500,2.125000,2.312500,2.152812,141900
1998-08-03,2.312500,2.500000,2.000000,2.031200,1.890937,87700
1998-08-10,2.000000,2.250000,1.937500,2.000000,1.861891,48400
1998-08-17,2.250000,2.312500,2.000000,2.187500,2.036444,66300
1998-08-24,2.250000,2.250000,1.750000,1.968700,1.832753,46100
1998-08-31,1.812500,2.125000,1.625000,1.625000,1.512787,47000
1998-09-07,1.625000,1.750000,1.625000,1.625000,1.512787,4600
1998-09-14,1.750000,2.000000,1.375000,1.500000,1.396419,60500
1998-09-21,1.875000,1.875000,1.437500,1.437500,1.338234,60200
1998-09-28,1.375000,1.500000,1.250000,1.375000,1.280050,29200
1998-10-05,1.375000,1.718700,1.312500,1.312500,1.221866,53600
1998-10-12,1.562500,2.000000,1.375000,1.500000,1.396419,127000
1998-10-19,1.875000,1.875000,1.500000,1.625000,1.512787,13000
1998-10-26,1.875000,2.000000,1.625000,1.656200,1.541832,22800
1998-11-02,1.718700,2.625000,1.500000,2.406200,2.240042,83600
1998-11-09,2.125000,2.687500,2.125000,2.500000,2.327364,220500
1998-11-16,2.687500,2.687500,2.125000,2.125000,1.978260,91300
1998-11-23,2.375000,2.500000,2.125000,2.125000,1.978260,45800
1998-11-30,2.125000,2.250000,2.125000,2.125000,1.978260,41100
1998-12-07,2.125000,2.250000,2.000000,2.156200,2.007305,23600
1998-12-14,2.000000,2.125000,1.625000,2.000000,1.861891,59200
1998-12-21,2.125000,2.250000,1.500000,2.125000,1.978260,93100
1998-12-28,2.125000,2.125000,1.875000,2.000000,1.861891,39000
1999-01-04,2.000000,2.125000,1.812500,1.812500,1.687339,21900
1999-01-11,1.812500,2.000000,1.625000,1.750000,1.629155,97700
1999-01-18,1.812500,1.875000,1.500000,1.750000,1.629155,40300
1999-01-25,1.562500,1.750000,1.500000,1.500000,1.396419,80200
1999-02-01,1.500000,1.812500,1.437500,1.812500,1.687339,42200
1999-02-08,1.875000,2.000000,1.625000,1.875000,1.745523,66800
1999-02-15,1.875000,1.875000,1.625000,1.687500,1.570971,32100
1999-02-22,1.687500,1.750000,1.562500,1.625000,1.512787,101700
1999-03-01,1.625000,1.875000,1.500000,1.500000,1.396419,56300
1999-03-08,1.625000,1.625000,1.125000,1.187500,1.105498,154100
1999-03-15,0.500000,1.500000,0.250000,1.125000,1.047314,284300
1999-03-22,1.375000,1.562500,1.187500,1.437500,1.338234,53300
1999-03-29,1.312500,1.437500,1.187500,1.437500,1.338234,10400
1999-04-05,1.437500,1.437500,1.000000,1.437500,1.338234,57100
1999-04-12,1.437500,1.437500,1.062500,1.062500,0.989130,34900
1999-04-19,1.125000,1.375000,0.906200,1.187500,1.105498,134400
1999-04-26,1.000000,1.187500,0.750000,1.000000,0.930946,54700
1999-05-03,1.125000,1.125000,0.750000,0.750000,0.698209,5800
1999-05-10,0.750000,0.875000,0.687500,0.875000,0.814578,23400
1999-05-17,0.750000,1.000000,0.750000,0.750000,0.698209,17700
1999-05-24,0.750000,0.875000,0.750000,0.750000,0.698209,9300
1999-05-31,0.750000,0.781200,0.687500,0.781200,0.727255,5400
1999-06-07,0.625000,0.750000,0.625000,0.625000,0.581841,23000
1999-06-14,0.625000,0.875000,0.625000,0.687500,0.640025,27500
1999-06-21,0.625000,1.000000,0.500000,0.750000,0.698209,229100
1999-06-28,0.750000,0.875000,0.625000,0.625000,0.581841,3300
1999-07-05,0.750000,0.812500,0.625000,0.750000,0.698209,25100
1999-07-12,0.687500,0.750000,0.562500,0.562500,0.523657,47700
1999-07-19,0.718700,1.562500,0.625000,1.125000,1.047314,285300
1999-07-26,1.375000,1.375000,0.812500,1.062500,0.989130,126500
1999-08-02,1.062500,1.062500,0.625000,0.625000,0.581841,59600
1999-08-09,0.750000,0.750000,0.500000,0.562500,0.523657,53200
1999-08-16,0.500000,0.625000,0.500000,0.593700,0.552702,28100
1999-08-23,0.593700,0.593700,0.437500,0.500000,0.465473,15300
1999-08-30,0.500000,0.812500,0.375000,0.406200,0.378150,137300
1999-09-06,0.468700,0.500000,0.375000,0.375000,0.349105,32700
1999-09-13,0.375000,0.406200,0.312500,0.406200,0.378150,11200
1999-09-20,0.375000,0.468700,0.156200,0.187500,0.174552,160400
1999-09-27,0.187500,0.250000,0.187500,0.187500,0.174552,148400
1999-10-04,0.250000,0.281200,0.187500,0.281200,0.261782,104300
1999-10-11,0.281200,0.281200,0.187500,0.218700,0.203598,3400
1999-10-18,0.218700,0.375000,0.218700,0.375000,0.349105,28200
