Date,Open,High,Low,Close,Adj Close,Volume
1986-11-17,10.000000,10.125000,10.000000,10.125000,1.178537,1591600
1986-11-24,10.125000,10.250000,10.000000,10.250000,1.193087,269800
1986-12-01,10.250000,10.250000,10.000000,10.250000,1.193087,408900
1986-12-08,10.250000,10.250000,10.000000,10.250000,1.193087,366400
1986-12-15,10.250000,10.375000,10.125000,10.375000,1.207637,396000
1986-12-22,10.375000,10.500000,10.125000,10.125000,1.178537,198100
1986-12-29,10.250000,10.500000,10.250000,10.250000,1.193087,151700
1987-01-05,10.250000,10.625000,10.250000,10.375000,1.207637,307900
1987-01-12,10.375000,10.625000,10.375000,10.500000,1.222187,325200
1987-01-19,10.500000,10.750000,10.375000,10.500000,1.222187,391200
1987-01-26,10.500000,10.625000,10.250000,10.625000,1.236737,174400
1987-02-02,10.625000,10.625000,10.250000,10.375000,1.207637,187900
1987-02-09,10.375000,10.625000,10.250000,10.375000,1.207637,171000
1987-02-16,10.375000,10.625000,10.000000,10.250000,1.199563,207900
1987-02-23,10.250000,10.375000,10.125000,10.250000,1.199563,211900
1987-03-02,10.250000,10.500000,10.125000,10.500000,1.228819,359400
1987-03-09,10.500000,10.500000,10.000000,10.125000,1.184933,311500
1987-03-16,10.125000,10.250000,10.000000,10.125000,1.184933,207400
1987-03-23,10.125000,10.250000,10.000000,10.000000,1.170303,130200
1987-03-30,10.000000,10.125000,10.000000,10.000000,1.170303,175100
1987-04-06,10.000000,10.125000,9.875000,9.875000,1.155674,252500
1987-04-13,9.875000,9.875000,9.000000,9.625000,1.132990,226700
1987-04-20,9.625000,9.750000,9.000000,9.250000,1.088847,166800
1987-04-27,9.250000,9.750000,8.875000,9.625000,1.132990,124300
1987-05-04,9.625000,9.750000,9.250000,9.500000,1.118275,152800
1987-05-11,9.500000,9.750000,9.375000,9.750000,1.147703,123600
1987-05-18,9.625000,9.625000,9.125000,9.375000,1.103562,102900
1987-05-25,9.500000,9.625000,9.375000,9.500000,1.118275,85700
1987-06-01,9.500000,9.750000,9.125000,9.500000,1.118275,100100
1987-06-08,9.500000,9.750000,9.250000,9.625000,1.132990,110300
1987-06-15,9.625000,9.750000,9.500000,9.750000,1.155121,118000
1987-06-22,9.750000,9.750000,9.500000,9.625000,1.140311,95700
1987-06-29,9.625000,9.750000,9.250000,9.750000,1.155121,70400
1987-07-06,9.750000,9.875000,9.500000,9.750000,1.155121,154100
1987-07-13,9.750000,10.000000,9.375000,9.875000,1.177294,173900
1987-07-20,9.750000,9.750000,9.625000,9.625000,1.147490,84100
1987-07-27,9.625000,9.875000,9.500000,9.625000,1.147490,129600
1987-08-03,9.500000,9.500000,9.250000,9.500000,1.132588,125500
1987-08-10,9.500000,9.625000,9.375000,9.375000,1.117685,114200
1987-08-17,9.375000,9.625000,9.375000,9.375000,1.124908,110800
1987-08-24,9.375000,9.500000,9.250000,9.250000,1.109910,78200
1987-08-31,9.250000,9.500000,9.125000,9.125000,1.094910,114900
1987-09-07,9.125000,9.250000,8.625000,8.875000,1.064914,181400
1987-09-14,8.875000,9.125000,8.500000,8.750000,1.057079,212600
1987-09-21,8.750000,9.125000,8.625000,9.000000,1.087282,173500
1987-09-28,9.000000,9.125000,8.875000,8.875000,1.072181,120600
1987-10-05,8.875000,9.000000,8.500000,8.750000,1.057079,149600
1987-10-12,8.750000,8.750000,7.875000,8.125000,0.988367,290100
1987-10-19,8.000000,8.750000,7.125000,8.625000,1.049189,353800
1987-10-26,8.250000,8.750000,8.000000,8.500000,1.033983,182500
1987-11-02,8.500000,9.625000,8.375000,8.750000,1.064395,190500
1987-11-09,8.875000,9.000000,8.500000,8.875000,1.086866,243500
1987-11-16,9.000000,9.000000,8.625000,9.000000,1.102174,301500
1987-11-23,8.875000,9.125000,8.750000,8.750000,1.071559,166300
1987-11-30,8.875000,9.000000,8.750000,8.750000,1.071559,272100
1987-12-07,8.750000,8.875000,8.250000,8.375000,1.025635,374600
1987-12-14,8.250000,8.750000,8.250000,8.500000,1.048250,383800
