Date,Open,High,Low,Close,Adj Close,Volume
1988-05-02,2.750000,3.125000,2.750000,2.750000,2.642328,4800
1988-05-09,2.750000,3.125000,2.750000,2.750000,2.642328,2400
1988-05-16,2.750000,3.000000,2.625000,2.625000,2.522222,11200
1988-05-23,2.625000,2.937500,2.625000,2.750000,2.642328,8800
1988-05-30,2.750000,3.250000,2.750000,2.875000,2.762434,2400
1988-06-06,2.875000,3.250000,2.875000,2.937500,2.822487,9200
1988-06-13,2.937500,3.250000,2.937500,2.937500,2.822487,800
1988-06-20,2.937500,3.375000,2.937500,3.000000,2.882540,2000
1988-06-27,3.062500,3.437500,3.062500,3.125000,3.002646,2000
1988-07-04,3.125000,3.500000,3.125000,3.125000,3.002646,2400
1988-07-11,3.125000,3.500000,3.125000,3.250000,3.122751,5600
1988-07-18,3.250000,3.625000,3.250000,3.250000,3.122751,800
1988-07-25,3.250000,3.500000,3.000000,3.000000,2.882540,19600
1988-08-01,3.000000,3.000000,3.000000,3.000000,2.882540,0
1988-08-08,3.000000,3.250000,3.000000,3.000000,2.882540,2400
1988-08-15,3.000000,3.250000,2.750000,2.750000,2.642328,4400
1988-08-22,2.750000,2.750000,2.750000,2.750000,2.642328,0
1988-08-29,2.750000,3.000000,2.750000,2.750000,2.642328,4800
1988-09-05,2.750000,2.937500,2.750000,2.750000,2.642328,0
1988-09-12,2.750000,2.937500,2.625000,2.625000,2.522222,6400
1988-09-19,2.625000,2.812500,2.562500,2.562500,2.462169,800
1988-09-26,2.562500,2.812500,2.562500,2.562500,2.462169,400
1988-10-03,2.562500,2.812500,2.562500,2.562500,2.462169,1600
1988-10-10,2.562500,2.812500,2.500000,2.500000,2.402116,1600
1988-10-17,2.500000,2.750000,2.437500,2.437500,2.342064,1600
1988-10-24,2.437500,2.625000,2.250000,2.250000,2.161905,10400
1988-10-31,2.250000,2.625000,2.250000,2.250000,2.161905,800
1988-11-07,2.250000,2.562500,2.187500,2.187500,2.101852,6000
1988-11-14,2.187500,2.187500,2.187500,2.187500,2.101852,0
1988-11-21,2.187500,2.562500,2.187500,2.250000,2.161905,4800
1988-11-28,2.250000,2.937500,2.250000,2.625000,2.522222,6400
1988-12-05,2.625000,2.937500,2.625000,2.687500,2.582275,1200
1988-12-12,2.687500,2.875000,2.562500,2.562500,2.462169,0
1988-12-19,2.625000,2.875000,2.625000,2.625000,2.522222,800
1988-12-26,2.625000,2.875000,2.562500,2.562500,2.462169,1200
1989-01-02,2.562500,2.562500,2.562500,2.562500,2.462169,0
1989-01-09,2.687500,3.000000,2.312500,2.312500,2.221958,6400
1989-01-16,2.312500,2.687500,2.312500,2.312500,2.221958,3600
1989-01-23,2.312500,2.312500,2.312500,2.312500,2.221958,0
1989-01-30,2.375000,2.625000,2.375000,2.375000,2.282011,9600
1989-02-06,2.625000,3.000000,2.625000,2.750000,2.642328,7200
1989-02-13,2.750000,3.000000,2.625000,2.625000,2.522222,400
1989-02-20,2.625000,3.000000,2.625000,2.625000,2.522222,0
1989-02-27,2.687500,3.062500,2.625000,2.625000,2.522222,7600
1989-03-06,2.625000,2.937500,2.625000,2.625000,2.522222,0
1989-03-13,2.625000,2.750000,2.437500,2.437500,2.342064,800
1989-03-20,2.437500,2.437500,2.437500,2.437500,2.342064,0
1989-03-27,2.437500,2.750000,2.437500,2.437500,2.342064,3200
1989-04-03,2.500000,2.812500,2.500000,2.500000,2.402116,2400
1989-04-10,2.500000,2.875000,2.500000,2.625000,2.522222,1600
1989-04-17,2.625000,2.625000,2.625000,2.625000,2.522222,0
1989-04-24,2.625000,3.000000,2.625000,2.750000,2.642328,3200
1989-05-01,2.750000,3.125000,2.625000,2.625000,2.522222,6400
1989-05-08,2.875000,3.625000,2.875000,3.250000,3.122751,12000
1989-05-15,3.375000,3.625000,3.250000,3.375000,3.242857,8000
1989-05-22,3.375000,3.875000,3.375000,3.500000,3.362963,7600
1989-05-29,3.750000,4.250000,3.750000,3.875000,3.723281,13600
1989-06-05,4.000000,5.250000,4.000000,4.500000,4.323809,15200
1989-06-12,4.500000,5.000000,4.000000,4.000000,3.843386,18800
1989-06-19,4.000000,4.500000,3.750000,3.750000,3.603174,2800
1989-06-26,3.750000,4.500000,3.750000,3.875000,3.723281,2800
1989-07-03,3.875000,5.000000,3.875000,4.250000,4.083598,9600
1989-07-10,4.500000,5.375000,4.500000,4.625000,4.443915,10400
1989-07-17,4.625000,5.375000,4.625000,4.750000,4.564021,4800
1989-07-24,4.750000,5.625000,4.750000,4.875000,4.684127,11600
1989-07-31,4.875000,5.625000,4.875000,4.875000,4.684127,8800
1989-08-07,4.875000,5.375000,4.250000,4.250000,4.083598,31200
1989-08-14,4.250000,5.000000,4.125000,4.125000,3.963492,15200
1989-08-21,4.125000,4.750000,4.125000,4.250000,4.083598,4400
1989-08-28,4.250000,4.875000,4.250000,4.250000,4.083598,2800
1989-09-04,4.250000,5.000000,4.250000,4.250000,4.083598,4000
1989-09-11,4.250000,4.250000,4.250000,4.250000,4.083598,0
1989-09-18,4.250000,5.000000,4.000000,4.000000,3.843386,26800
1989-09-25,4.000000,4.625000,4.000000,4.000000,3.843386,8000
1989-10-02,4.375000,5.375000,4.375000,4.875000,4.684127,68800
1989-10-09,4.875000,5.375000,4.500000,4.500000,4.323809,20400
1989-10-16,4.625000,5.250000,4.625000,4.625000,4.443915,15200
1989-10-23,4.625000,5.125000,4.375000,4.500000,4.323809,28800
1989-10-30,4.500000,5.000000,4.250000,4.250000,4.083598,43600
1989-11-06,4.250000,4.375000,4.125000,4.375000,4.203704,7200
