Date,Open,High,Low,Close,Adj Close,Volume
2013-08-05,20.000000,20.030001,16.650000,18.120001,16.352674,1311600
2013-08-12,17.299999,17.980000,14.560000,14.800000,13.356493,2676500
2013-08-19,14.900000,15.600000,13.890000,15.400000,13.897970,1416800
2013-08-26,15.490000,16.090000,15.190000,15.490000,13.979191,731700
2013-09-02,15.790000,15.790000,15.180000,15.440000,13.934069,460600
2013-09-09,15.430000,15.800000,14.300000,15.660000,14.132612,866300
2013-09-16,15.810000,16.820000,14.890000,15.010000,13.546010,412900
2013-09-23,15.020000,15.310000,14.570000,14.860000,13.410639,319500
2013-09-30,14.750000,14.800000,12.990000,13.150000,11.867423,522100
2013-10-07,13.020000,14.310000,12.470000,14.150000,12.769888,394400
2013-10-14,14.090000,14.800000,13.800000,14.440000,13.031601,305100
2013-10-21,14.500000,14.500000,13.750000,13.950000,12.589395,213800
2013-10-28,14.130000,14.410000,12.770000,13.060000,11.786201,158500
2013-11-04,12.980000,13.350000,12.080000,13.310000,12.011818,501000
2013-11-11,13.320000,13.590000,12.590000,13.460000,12.147185,455900
2013-11-18,13.500000,13.500000,12.780000,12.890000,11.632782,234800
2013-11-25,13.020000,13.130000,12.800000,12.930000,11.668880,113900
2013-12-02,12.920000,13.200000,12.020000,12.900000,11.641805,560000
2013-12-09,12.730000,12.990000,11.970000,12.270000,11.073253,214500
2013-12-16,12.420000,12.480000,11.050000,11.680000,10.540797,370500
2013-12-23,11.720000,12.260000,11.540000,12.170000,10.983007,204900
2013-12-30,12.200000,13.610000,11.940000,13.500000,12.183286,256300
2014-01-06,13.360000,13.960000,12.620000,12.900000,11.641805,190900
2014-01-13,12.610000,13.080000,12.380000,12.990000,11.723027,251700
2014-01-20,12.810000,13.360000,12.670000,13.050000,11.777177,235800
2014-01-27,12.910000,12.910000,11.650000,11.910000,10.748364,328600
2014-02-03,11.980000,12.430000,10.110000,11.480000,10.360303,678000
2014-02-10,11.300000,12.720000,11.240000,12.490000,11.271795,278300
2014-02-17,12.490000,13.650000,12.330000,12.900000,11.641805,120500
2014-02-24,13.030000,13.370000,11.150000,12.200000,11.010080,395200
2014-03-03,12.290000,12.340000,11.370000,12.040000,10.865685,336800
2014-03-10,12.070000,12.340000,11.510000,12.080000,10.901783,132200
2014-03-17,12.090000,12.630000,11.650000,12.440000,11.226672,119800
2014-03-24,12.180000,12.400000,10.700000,10.730000,9.683455,288300
2014-03-31,10.840000,11.000000,10.610000,10.810000,9.755653,386300
2014-04-07,10.810000,10.820000,10.000000,10.660000,9.620282,229100
2014-04-14,10.770000,11.370000,10.650000,11.320000,10.215909,97300
2014-04-21,11.400000,11.770000,10.860000,10.950000,9.881998,122300
2014-04-28,11.050000,11.140000,10.270000,10.700000,9.656381,225000
2014-05-05,10.670000,11.190000,9.970000,10.210000,9.214175,133400
2014-05-12,10.310000,10.710000,10.030000,10.200000,9.205149,201400
2014-05-19,10.190000,10.200000,9.780000,9.990000,9.015630,125400
2014-05-26,10.000000,10.250000,9.810000,10.030000,9.051729,228200
2014-06-02,10.040000,11.940000,9.480000,9.600000,8.663670,235800
2014-06-09,9.530000,9.710000,9.160000,9.230000,8.329757,277400
2014-06-16,9.200000,10.190000,9.110000,10.090000,9.105878,455700
2014-06-23,10.050000,10.200000,9.620000,10.100000,9.114903,169000
2014-06-30,10.020000,10.520000,9.950000,10.250000,9.250273,72500
2014-07-07,10.160000,10.230000,9.700000,9.980000,9.006605,141600
2014-07-14,10.110000,10.500000,9.830000,10.300000,9.295396,114500
