Date,Open,High,Low,Close,Adj Close,Volume
1980-05-05,0.308000,0.432000,0.308000,0.308000,0.302623,92000
1980-05-12,0.308000,0.432000,0.248000,0.248000,0.243670,251000
1980-05-19,0.248000,0.340000,0.188000,0.216000,0.212229,361000
1980-05-26,0.216000,0.340000,0.216000,0.216000,0.212229,171000
1980-06-02,0.216000,0.432000,0.216000,0.308000,0.302623,273000
1980-06-09,0.400000,0.524000,0.308000,0.308000,0.302623,588000
1980-06-16,0.340000,0.464000,0.308000,0.340000,0.334064,216000
1980-06-23,0.340000,0.556000,0.340000,0.432000,0.424458,310000
1980-06-30,0.432000,0.556000,0.372000,0.400000,0.393017,389000
1980-07-07,0.464000,0.588000,0.464000,0.556000,0.546293,883000
1980-07-14,0.556000,0.588000,0.500000,0.524000,0.514852,805000
1980-07-21,0.524000,0.556000,0.500000,0.500000,0.491271,671000
1980-07-28,0.500000,0.524000,0.432000,0.464000,0.455899,381000
1980-08-04,0.500000,0.524000,0.500000,0.500000,0.491271,506000
1980-08-11,0.500000,0.524000,0.432000,0.432000,0.424458,445000
1980-08-18,0.432000,0.500000,0.372000,0.464000,0.455899,509000
1980-08-25,0.464000,0.500000,0.432000,0.432000,0.424458,407000
1980-09-01,0.500000,0.556000,0.500000,0.500000,0.491271,657000
1980-09-08,0.588000,0.748000,0.556000,0.688000,0.675989,2138000
1980-09-15,0.688000,0.780000,0.588000,0.688000,0.675989,862000
1980-09-22,0.780000,0.964000,0.780000,0.840000,0.825335,1783000
1980-09-29,0.840000,0.840000,0.780000,0.808000,0.793894,757000
1980-10-06,0.808000,1.056000,0.748000,1.000000,0.982542,909000
1980-10-13,1.188000,1.524000,1.188000,1.400000,1.375558,3109000
1980-10-20,1.464000,2.124000,1.372000,2.056000,2.020106,2179000
1980-10-27,2.056000,2.124000,1.624000,1.624000,1.595648,1458000
1980-11-03,1.872000,3.124000,1.872000,1.872000,1.839319,681000
1980-11-10,1.872000,2.124000,1.872000,2.000000,1.965084,458000
1980-11-17,1.872000,2.000000,1.624000,1.808000,1.776436,868000
1980-11-24,1.808000,1.872000,1.688000,1.688000,1.658531,180000
1980-12-01,1.688000,1.808000,1.556000,1.688000,1.658531,399000
1980-12-08,1.688000,1.748000,1.372000,1.372000,1.348047,486000
1980-12-15,1.500000,1.748000,1.500000,1.688000,1.658531,380000
1980-12-22,1.748000,1.808000,1.748000,1.748000,1.717483,150000
1980-12-29,1.748000,2.000000,1.688000,1.872000,1.839319,219000
1981-01-05,1.872000,2.000000,1.688000,1.688000,1.658531,435000
1981-01-12,1.688000,1.688000,1.556000,1.624000,1.595648,229000
1981-01-19,1.624000,1.688000,1.372000,1.432000,1.407000,180000
1981-01-26,1.432000,1.432000,1.248000,1.248000,1.226212,336000
1981-02-02,1.248000,1.624000,1.124000,1.500000,1.473813,595000
1981-02-09,1.500000,1.500000,1.248000,1.248000,1.226212,220000
1981-02-16,1.248000,1.372000,1.124000,1.248000,1.226212,343000
1981-02-23,1.248000,1.308000,1.188000,1.188000,1.167260,187000
1981-03-02,1.188000,1.308000,1.124000,1.124000,1.104377,221000
1981-03-09,1.124000,1.248000,1.056000,1.188000,1.167260,319000
1981-03-16,1.188000,1.372000,1.188000,1.248000,1.226212,438000
1981-03-23,1.248000,1.248000,1.124000,1.124000,1.104377,179000
1981-03-30,1.124000,1.432000,1.056000,1.308000,1.285165,353000
1981-04-06,1.372000,1.432000,1.308000,1.308000,1.285165,356000
1981-04-13,1.308000,1.308000,1.124000,1.188000,1.167260,151000
1981-04-20,1.188000,1.372000,1.188000,1.188000,1.167260,157000
1981-04-27,1.188000,1.248000,1.056000,1.056000,1.037564,123000
1981-05-04,1.056000,1.188000,1.000000,1.056000,1.037564,220000
1981-05-11,1.056000,1.188000,1.056000,1.124000,1.104377,145000
1981-05-18,1.188000,1.308000,1.188000,1.248000,1.226212,462000
1981-05-25,1.188000,1.188000,1.000000,1.000000,0.982542,185000
1981-06-01,1.000000,1.124000,0.808000,0.808000,0.793894,265000
1981-06-08,0.808000,1.056000,0.748000,0.872000,0.856777,329000
1981-06-15,0.872000,1.000000,0.808000,0.808000,0.793894,205000
1981-06-22,0.808000,1.000000,0.808000,0.872000,0.856777,249000
1981-06-29,0.872000,0.872000,0.688000,0.688000,0.675989,386000
1981-07-06,0.688000,0.872000,0.624000,0.748000,0.734941,247000
1981-07-13,0.748000,0.872000,0.624000,0.748000,0.734941,258000
1981-07-20,0.748000,0.808000,0.624000,0.688000,0.675989,222000
1981-07-27,0.688000,1.000000,0.688000,0.872000,0.856777,154000
1981-08-03,0.872000,1.000000,0.808000,0.932000,0.915729,549000
1981-08-10,0.932000,1.000000,0.872000,0.872000,0.856777,248000
1981-08-17,0.872000,1.000000,0.808000,0.808000,0.793894,196000
1981-08-24,0.808000,0.872000,0.624000,0.688000,0.675989,203000
1981-08-31,0.688000,0.808000,0.688000,0.688000,0.675989,474000
1981-09-07,0.688000,0.748000,0.556000,0.556000,0.546293,240000
1981-09-14,0.556000,0.688000,0.432000,0.432000,0.424458,425000
1981-09-21,0.464000,0.624000,0.464000,0.500000,0.491271,397000
1981-09-28,0.500000,0.588000,0.432000,0.524000,0.514852,222000
1981-10-05,0.524000,0.688000,0.500000,0.556000,0.546293,267000
1981-10-12,0.556000,0.656000,0.524000,0.524000,0.514852,176000
1981-10-19,0.524000,0.624000,0.464000,0.464000,0.455899,339000
1981-10-26,0.464000,0.556000,0.432000,0.432000,0.424458,149000
1981-11-02,0.432000,0.500000,0.372000,0.400000,0.393017,354000
1981-11-09,0.400000,0.432000,0.372000,0.372000,0.365506,282000
1981-11-16,0.400000,0.432000,0.372000,0.372000,0.365506,338000
1981-11-23,0.372000,0.432000,0.372000,0.372000,0.365506,121000
1981-11-30,0.372000,0.432000,0.372000,0.400000,0.393017,315000
1981-12-07,0.464000,0.524000,0.432000,0.464000,0.455899,382000
1981-12-14,0.464000,0.624000,0.464000,0.500000,0.491271,364000
1981-12-21,0.500000,0.556000,0.500000,0.500000,0.491271,403000
1981-12-28,0.500000,0.556000,0.464000,0.464000,0.455899,267000
1982-01-04,0.464000,0.524000,0.464000,0.464000,0.455899,155000
1982-01-11,0.464000,0.500000,0.372000,0.400000,0.393017,172000
1982-01-18,0.400000,0.432000,0.372000,0.372000,0.365506,416000
1982-01-25,0.400000,0.432000,0.372000,0.372000,0.365506,314000
1982-02-01,0.372000,0.556000,0.372000,0.500000,0.491271,696000
1982-02-08,0.500000,0.556000,0.500000,0.500000,0.491271,409000
1982-02-15,0.500000,0.556000,0.432000,0.432000,0.424458,391000
1982-02-22,0.432000,0.500000,0.372000,0.432000,0.424458,199000
1982-03-01,0.432000,0.464000,0.372000,0.372000,0.365506,258000
1982-03-08,0.372000,0.400000,0.280000,0.372000,0.365506,722000
1982-03-15,0.372000,0.500000,0.340000,0.432000,0.424458,434000
1982-03-22,0.500000,0.624000,0.500000,0.588000,0.577735,551000
1982-03-29,0.624000,0.688000,0.524000,0.524000,0.514852,418000
1982-04-05,0.556000,0.716000,0.556000,0.656000,0.644548,378000
1982-04-12,0.688000,0.748000,0.624000,0.624000,0.613106,272000
1982-04-19,0.624000,0.624000,0.500000,0.556000,0.546293,304000
1982-04-26,0.588000,0.656000,0.556000,0.588000,0.577735,236000
1982-05-03,0.588000,0.624000,0.500000,0.500000,0.491271,236000
1982-05-10,0.500000,0.588000,0.500000,0.556000,0.546293,143000
1982-05-17,0.588000,0.624000,0.464000,0.464000,0.455899,433000
1982-05-24,0.500000,0.524000,0.464000,0.464000,0.455899,182000
1982-05-31,0.464000,0.524000,0.432000,0.464000,0.455899,324000
1982-06-07,0.464000,0.524000,0.464000,0.464000,0.455899,275000
1982-06-14,0.464000,0.500000,0.400000,0.400000,0.393017,247000
1982-06-21,0.400000,0.432000,0.372000,0.372000,0.365506,86000
1982-06-28,0.372000,0.500000,0.340000,0.432000,0.424458,378000
1982-07-05,0.432000,0.464000,0.400000,0.400000,0.393017,101000
1982-07-12,0.400000,0.500000,0.400000,0.432000,0.424458,239000
1982-07-19,0.432000,0.464000,0.372000,0.372000,0.365506,384000
1982-07-26,0.400000,0.464000,0.372000,0.400000,0.393017,263000
1982-08-02,0.400000,0.464000,0.372000,0.372000,0.365506,207000
1982-08-09,0.372000,0.400000,0.340000,0.372000,0.365506,378000
1982-08-16,0.372000,0.464000,0.340000,0.432000,0.424458,454000
1982-08-23,0.500000,0.624000,0.500000,0.556000,0.546293,1175000
1982-08-30,0.556000,0.588000,0.500000,0.556000,0.546293,946000
1982-09-06,0.588000,0.656000,0.556000,0.556000,0.546293,923000
