Date,Open,High,Low,Close,Adj Close,Volume
1995-01-09,4.625000,4.690000,4.565000,4.565000,0.898132,306800
1995-01-16,4.625000,4.690000,4.440000,4.565000,0.898132,2795600
1995-01-23,4.440000,4.500000,4.250000,4.440000,0.873539,2381400
1995-01-30,4.500000,4.690000,4.375000,4.690000,0.922725,1538200
1995-02-06,4.625000,4.875000,4.625000,4.750000,0.934529,2317800
1995-02-13,4.750000,4.815000,4.625000,4.690000,0.922725,2880200
1995-02-20,4.690000,4.875000,4.625000,4.815000,0.947317,1584000
1995-02-27,4.750000,5.000000,4.750000,4.875000,0.959122,2329600
1995-03-06,4.875000,4.875000,4.750000,4.815000,0.947317,391200
1995-03-13,4.815000,4.875000,4.750000,4.875000,0.959122,963600
1995-03-20,4.815000,5.065000,4.815000,5.000000,0.983715,795000
1995-03-27,4.940000,5.065000,4.875000,4.940000,0.991486,3446800
1995-04-03,4.875000,4.940000,4.815000,4.875000,0.978440,1444200
1995-04-10,4.875000,5.250000,4.875000,5.190000,1.041662,2683000
1995-04-17,5.190000,5.250000,5.065000,5.190000,1.041662,1376200
1995-04-24,5.125000,5.190000,5.000000,5.190000,1.041662,1441800
1995-05-01,5.125000,5.190000,5.065000,5.125000,1.028616,1356400
1995-05-08,5.125000,5.250000,5.125000,5.125000,1.028616,1698200
1995-05-15,5.125000,5.190000,5.065000,5.125000,1.028616,425600
1995-05-22,5.065000,5.190000,5.065000,5.190000,1.041662,613600
1995-05-29,5.125000,5.250000,5.065000,5.125000,1.028616,1652000
1995-06-05,5.190000,5.375000,5.125000,5.250000,1.053704,1802000
1995-06-12,5.250000,5.690000,5.190000,5.625000,1.128969,7608000
1995-06-19,5.625000,5.815000,5.625000,5.750000,1.154057,6257600
1995-06-26,5.690000,5.690000,5.565000,5.625000,1.128969,1852000
1995-07-03,5.625000,5.625000,5.500000,5.565000,1.136696,5065200
1995-07-10,5.500000,5.625000,5.500000,5.500000,1.123419,4688200
1995-07-17,5.500000,5.565000,5.250000,5.375000,1.097887,1001600
1995-07-24,5.375000,5.440000,5.190000,5.315000,1.085631,4550600
