Date,Open,High,Low,Close,Adj Close,Volume
2007-12-24,2.870000,2.870000,2.870000,2.870000,1.728018,1490
2007-12-31,null,null,null,null,null,null
2008-01-07,null,null,null,null,null,null
2008-01-14,null,null,null,null,null,null
2008-01-21,2.410000,2.410000,2.410000,2.410000,1.451054,5600
2008-01-28,null,null,null,null,null,null
2008-02-04,3.440000,3.500000,3.440000,3.500000,2.107340,2980
2008-02-11,null,null,null,null,null,null
2008-02-18,4.610000,5.950000,4.610000,5.950000,3.582477,5487
2008-02-25,6.170000,6.170000,5.800000,5.800000,3.492163,4800
2008-03-03,5.650000,5.650000,5.000000,5.000000,3.010485,700
2008-03-10,4.490000,4.490000,4.470000,4.470000,2.691374,3880
2008-03-17,4.750000,4.750000,3.500000,3.500000,2.107340,925
2008-03-24,3.650000,4.090000,3.650000,4.090000,2.462577,3010
2008-03-31,null,null,null,null,null,null
2008-04-07,null,null,null,null,null,null
2008-04-14,3.410000,3.410000,3.410000,3.410000,2.053150,160
2008-04-21,3.550000,3.550000,3.550000,3.550000,2.137444,299
2008-04-28,null,null,null,null,null,null
2008-05-05,3.500000,3.640000,3.500000,3.640000,2.191633,1320
2008-05-12,4.100000,4.100000,4.100000,4.100000,2.468597,1520
2008-05-19,4.100000,4.100000,4.100000,4.100000,2.468597,799
2008-05-26,null,null,null,null,null,null
2008-06-02,null,null,null,null,null,null
2008-06-09,null,null,null,null,null,null
2008-06-16,3.460000,3.460000,3.460000,3.460000,2.083256,365
2008-06-23,null,null,null,null,null,null
2008-06-30,null,null,null,null,null,null
2008-07-07,null,null,null,null,null,null
2008-07-14,null,null,null,null,null,null
2008-07-21,null,null,null,null,null,null
2008-07-28,null,null,null,null,null,null
2008-08-04,2.590000,2.590000,2.590000,2.590000,1.559431,400
2008-08-11,null,null,null,null,null,null
2008-08-18,2.630000,2.630000,2.630000,2.630000,1.583515,500
2008-08-25,null,null,null,null,null,null
2008-09-01,null,null,null,null,null,null
2008-09-08,null,null,null,null,null,null
2008-09-15,2.130000,2.130000,2.130000,2.130000,1.282467,2000
2008-09-22,null,null,null,null,null,null
2008-09-29,1.540000,1.540000,1.290000,1.290000,0.776705,3167
2008-10-06,null,null,null,null,null,null
2008-10-13,0.950000,1.590000,0.950000,1.100000,0.662307,7890
2008-10-20,null,null,null,null,null,null
2008-10-27,1.200000,1.200000,1.200000,1.200000,0.722516,20000
2008-11-03,1.200000,1.300000,1.200000,1.250000,0.752621,3000
2008-11-10,null,null,null,null,null,null
2008-11-17,null,null,null,null,null,null
2008-11-24,null,null,null,null,null,null
2008-12-01,0.860000,0.860000,0.860000,0.860000,0.517803,1155
2008-12-08,null,null,null,null,null,null
2008-12-15,1.340000,1.340000,1.340000,1.340000,0.806810,1300
2008-12-22,null,null,null,null,null,null
2008-12-29,null,null,null,null,null,null
2009-01-05,null,null,null,null,null,null
2009-01-12,null,null,null,null,null,null
2009-01-19,null,null,null,null,null,null
2009-01-26,null,null,null,null,null,null
2009-02-02,null,null,null,null,null,null
2009-02-09,null,null,null,null,null,null
2009-02-16,null,null,null,null,null,null
2009-02-23,null,null,null,null,null,null
2009-03-02,null,null,null,null,null,null
2009-03-09,null,null,null,null,null,null
2009-03-16,null,null,null,null,null,null
2009-03-23,null,null,null,null,null,null
2009-03-30,null,null,null,null,null,null
2009-04-06,null,null,null,null,null,null
2009-04-13,null,null,null,null,null,null
2009-04-20,null,null,null,null,null,null
2009-04-27,null,null,null,null,null,null
2009-05-04,null,null,null,null,null,null
2009-05-11,null,null,null,null,null,null
2009-05-18,null,null,null,null,null,null
2009-05-25,null,null,null,null,null,null
2009-06-01,null,null,null,null,null,null
2009-06-08,null,null,null,null,null,null
2009-06-15,null,null,null,null,null,null
2009-06-22,null,null,null,null,null,null
2009-06-29,null,null,null,null,null,null
2009-07-06,null,null,null,null,null,null
2009-07-13,null,null,null,null,null,null
2009-07-20,null,null,null,null,null,null
2009-07-27,null,null,null,null,null,null
2009-08-03,null,null,null,null,null,null
2009-08-10,null,null,null,null,null,null
2009-08-17,null,null,null,null,null,null
2009-08-24,null,null,null,null,null,null
2009-08-31,null,null,null,null,null,null
2009-09-07,null,null,null,null,null,null
2009-09-14,null,null,null,null,null,null
2009-09-21,null,null,null,null,null,null
2009-09-28,null,null,null,null,null,null
2009-10-05,null,null,null,null,null,null
2009-10-12,null,null,null,null,null,null
2009-10-19,null,null,null,null,null,null
2009-10-26,null,null,null,null,null,null
2009-11-02,null,null,null,null,null,null
2009-11-09,null,null,null,null,null,null
2009-11-16,1.980000,2.020000,1.980000,2.020000,1.216236,3100
2009-11-23,1.950000,2.000000,1.950000,2.000000,1.204194,1299
2009-11-30,2.000000,2.000000,2.000000,2.000000,1.204194,740
2009-12-07,2.000000,2.000000,2.000000,2.000000,1.204194,1
2009-12-14,null,null,null,null,null,null
2009-12-21,null,null,null,null,null,null
2009-12-28,2.000000,2.000000,2.000000,2.000000,1.204194,1
2010-01-04,2.910000,2.910000,2.910000,2.910000,1.752102,2000
2010-01-11,3.200000,3.200000,3.200000,3.200000,1.926710,1630
2010-01-18,3.250000,3.360000,3.110000,3.270000,1.968857,3664
2010-01-25,2.920000,2.920000,2.920000,2.920000,1.758123,1000
2010-02-01,2.950000,3.010000,2.740000,2.740000,1.649746,1556
2010-02-08,2.813000,2.813000,2.500000,2.500000,1.505243,1450
2010-02-15,null,null,null,null,null,null
2010-02-22,null,null,null,null,null,null
2010-03-01,2.970000,3.100000,2.970000,3.100000,1.866500,2350
2010-03-08,3.300000,3.300000,3.300000,3.300000,1.986920,700
2010-03-15,3.100000,3.100000,3.100000,3.100000,1.866500,120
2010-03-22,null,null,null,null,null,null
2010-03-29,3.000000,3.050000,2.970000,3.050000,1.836396,820
2010-04-05,3.100000,3.100000,3.100000,3.100000,1.866500,180
2010-04-12,3.500000,3.510000,3.500000,3.510000,2.113360,3278
2010-04-19,null,null,null,null,null,null
2010-04-26,3.720000,3.720000,3.400000,3.400000,2.047130,1550
2010-05-03,3.500000,3.500000,3.180000,3.180000,1.914668,820
2010-05-10,3.320000,3.600000,3.200000,3.600000,2.167549,2123
2010-05-17,3.500000,3.500000,2.500000,2.500000,1.505243,17264
2010-05-24,2.650000,2.790000,2.600000,2.765000,1.664798,14682
2010-05-31,2.790000,2.830000,2.790000,2.830000,1.703934,1351
2010-06-07,2.780000,2.780000,2.700000,2.770000,1.667809,2727
2010-06-14,2.860000,2.860000,2.710000,2.710000,1.631683,3500
2010-06-21,2.970000,2.970000,2.800000,2.800000,1.685872,2788
2010-06-28,2.000000,2.000000,2.000000,2.000000,1.204194,100
2010-07-05,2.000000,2.570000,2.000000,2.570000,1.547389,1118
2010-07-12,2.800000,2.900000,2.580000,2.580000,1.553410,8410
2010-07-19,2.430000,2.430000,2.350000,2.410000,1.451054,1835
2010-07-26,2.580000,2.670000,2.580000,2.670000,1.607599,10190
