Date,Open,High,Low,Close,Adj Close,Volume
2007-08-13,1.700000,1.850000,1.650000,1.810000,1.810000,103600
2007-08-20,1.950000,2.010000,1.750000,1.950000,1.950000,214200
2007-08-27,1.850000,1.950000,1.750000,1.900000,1.900000,84300
2007-09-03,1.860000,2.070000,1.800000,2.070000,2.070000,51600
2007-09-10,1.970000,2.100000,1.750000,2.100000,2.100000,235500
2007-09-17,2.100000,2.400000,2.000000,2.370000,2.370000,948100
2007-09-24,2.380000,2.500000,2.310000,2.500000,2.500000,304600
2007-10-01,2.550000,2.750000,2.420000,2.700000,2.700000,418700
2007-10-08,3.150000,3.200000,2.870000,2.900000,2.900000,1332600
2007-10-15,2.910000,3.050000,2.900000,2.960000,2.960000,448700
2007-10-22,2.970000,3.400000,2.940000,3.120000,3.120000,652000
2007-10-29,3.210000,3.380000,3.210000,3.250000,3.250000,926500
2007-11-05,3.750000,3.850000,3.230000,3.400000,3.400000,1444800
2007-11-12,3.170000,3.400000,2.950000,3.150000,3.150000,377100
2007-11-19,3.150000,3.220000,2.500000,2.600000,2.600000,331000
2007-11-26,2.690000,2.800000,2.340000,2.750000,2.750000,214300
2007-12-03,2.790000,2.900000,2.680000,2.900000,2.900000,174000
2007-12-10,2.850000,2.900000,2.410000,2.620000,2.620000,160600
2007-12-17,2.520000,3.000000,2.500000,2.750000,2.750000,305800
2007-12-24,2.700000,2.760000,2.700000,2.750000,2.750000,33000
2007-12-31,2.710000,2.720000,2.610000,2.650000,2.650000,105300
2008-01-07,2.630000,2.850000,2.550000,2.750000,2.750000,173300
2008-01-14,2.850000,2.950000,2.700000,2.880000,2.880000,1460700
2008-01-21,2.870000,2.890000,2.300000,2.800000,2.800000,348900
2008-01-28,2.780000,2.950000,2.760000,2.900000,2.900000,210900
2008-02-04,2.920000,3.000000,2.800000,3.000000,3.000000,540900
2008-02-11,3.060000,3.200000,2.600000,3.030000,3.030000,503900
2008-02-18,3.040000,3.300000,2.950000,3.300000,3.300000,312800
2008-02-25,3.310000,3.550000,3.310000,3.500000,3.500000,639800
2008-03-03,3.450000,3.450000,3.150000,3.250000,3.250000,282400
2008-03-10,3.170000,3.280000,3.030000,3.280000,3.280000,267100
2008-03-17,3.350000,3.350000,2.400000,2.750000,2.750000,347700
2008-03-24,2.750000,2.800000,2.470000,2.530000,2.530000,124700
2008-03-31,2.550000,2.650000,2.150000,2.650000,2.650000,201100
2008-04-07,2.700000,2.830000,2.630000,2.740000,2.740000,90800
2008-04-14,2.690000,2.740000,2.300000,2.650000,2.650000,136900
2008-04-21,2.580000,2.590000,2.450000,2.490000,2.490000,101900
2008-04-28,2.570000,2.570000,2.200000,2.400000,2.400000,166200
2008-05-05,2.400000,2.770000,2.400000,2.650000,2.650000,316500
2008-05-12,2.670000,2.670000,2.390000,2.600000,2.600000,2171300
2008-05-19,2.520000,2.570000,2.400000,2.480000,2.480000,99600
2008-05-26,2.460000,2.460000,2.180000,2.180000,2.180000,146100
2008-06-02,2.230000,2.400000,2.100000,2.390000,2.390000,563900
2008-06-09,2.370000,2.400000,2.150000,2.150000,2.150000,100100
2008-06-16,2.140000,2.250000,2.000000,2.250000,2.250000,207200
2008-06-23,2.150000,2.150000,2.020000,2.020000,2.020000,49000
2008-06-30,2.010000,2.060000,2.000000,2.000000,2.000000,96900
2008-07-07,1.910000,1.960000,1.600000,1.800000,1.800000,90200
2008-07-14,1.830000,1.940000,1.770000,1.860000,1.860000,103200
2008-07-21,1.820000,1.880000,1.700000,1.780000,1.780000,32500
2008-07-28,1.710000,1.740000,1.670000,1.680000,1.680000,85100
2008-08-04,1.680000,1.680000,1.450000,1.510000,1.510000,156300
2008-08-11,1.500000,1.700000,1.310000,1.470000,1.470000,292300
2008-08-18,1.520000,1.690000,1.380000,1.480000,1.480000,53700
2008-08-25,1.480000,1.550000,1.450000,1.510000,1.510000,69100
2008-09-01,1.510000,1.590000,1.400000,1.470000,1.470000,95500
2008-09-08,1.450000,1.560000,1.220000,1.400000,1.400000,481100
2008-09-15,1.350000,1.350000,0.900000,1.250000,1.250000,347400
2008-09-22,1.240000,1.320000,0.960000,1.000000,1.000000,336600
2008-09-29,1.000000,1.000000,0.710000,0.780000,0.780000,499000
2008-10-06,0.750000,0.750000,0.290000,0.440000,0.440000,353700
2008-10-13,0.510000,0.600000,0.380000,0.580000,0.580000,205700
2008-10-20,0.590000,0.590000,0.400000,0.490000,0.490000,191800
2008-10-27,0.420000,0.420000,0.320000,0.350000,0.350000,256200
