Date,Open,High,Low,Close,Adj Close,Volume
2015-10-19,33.000000,33.000000,33.000000,33.000000,33.000000,555
2015-10-26,35.031799,35.115601,31.850000,34.501999,34.501999,10913
2015-11-02,null,null,null,null,null,null
2015-11-09,null,null,null,null,null,null
2015-11-16,null,null,null,null,null,null
2015-11-23,null,null,null,null,null,null
2015-11-30,null,null,null,null,null,null
2015-12-07,null,null,null,null,null,null
2015-12-14,null,null,null,null,null,null
2015-12-21,null,null,null,null,null,null
2015-12-28,null,null,null,null,null,null
2016-01-04,null,null,null,null,null,null
2016-01-11,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-25,null,null,null,null,null,null
2016-02-01,null,null,null,null,null,null
2016-02-08,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-22,null,null,null,null,null,null
2016-02-29,null,null,null,null,null,null
2016-03-07,null,null,null,null,null,null
2016-03-14,null,null,null,null,null,null
2016-03-21,null,null,null,null,null,null
2016-03-28,null,null,null,null,null,null
2016-04-04,null,null,null,null,null,null
2016-04-11,null,null,null,null,null,null
2016-04-18,null,null,null,null,null,null
2016-04-25,null,null,null,null,null,null
2016-05-02,null,null,null,null,null,null
2016-05-09,null,null,null,null,null,null
2016-05-16,null,null,null,null,null,null
2016-05-23,null,null,null,null,null,null
2016-05-30,35.819801,35.819801,35.819801,35.819801,35.819801,0
2016-06-06,null,null,null,null,null,null
2016-06-13,null,null,null,null,null,null
2016-06-20,null,null,null,null,null,null
2016-06-27,36.833302,36.833302,34.560001,35.839001,35.839001,1336
2016-07-04,35.682201,38.027000,35.682201,38.027000,38.027000,0
2016-07-11,38.063702,38.234600,35.639999,38.234600,38.234600,600
2016-07-18,null,null,null,null,null,null
2016-07-25,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-08-08,null,null,null,null,null,null
2016-08-15,39.251400,39.251400,39.206501,39.206501,39.206501,0
2016-08-22,39.085800,39.183601,36.990002,38.953300,38.953300,300
2016-08-29,38.853901,39.864300,36.630001,36.799999,36.799999,600
2016-09-05,38.265999,38.883400,36.869999,37.000000,37.000000,800
2016-09-12,39.718700,39.718700,37.187199,37.402000,37.402000,0
2016-09-19,38.090801,38.263901,37.119999,38.263901,38.263901,700
2016-09-26,39.367599,39.367599,36.919998,39.026402,39.026402,1000
2016-10-03,38.000000,39.346500,36.220001,36.220001,36.220001,370
2016-10-10,38.379002,38.577202,36.490002,38.318600,38.318600,550
2016-10-17,37.200001,39.543999,36.950001,38.500000,38.500000,1530
2016-10-24,40.072201,40.289299,39.841999,40.289299,40.289299,0
2016-10-31,40.063400,40.314499,37.590000,37.590000,37.590000,600
2016-11-07,38.203300,39.439899,36.490002,36.500000,36.500000,760
2016-11-14,39.493000,39.493000,37.565601,39.122101,39.122101,0
2016-11-21,39.282200,40.591702,38.500000,38.500000,38.500000,200
2016-11-28,40.181999,40.181999,38.750000,38.750000,38.750000,100
2016-12-05,39.794701,40.606602,39.480000,40.606602,40.606602,100
2016-12-12,40.812302,43.137199,40.812302,42.409599,42.409599,0
2016-12-19,41.688801,42.491798,40.020000,41.250000,41.250000,500
2016-12-26,42.748699,42.923401,40.470001,42.576199,42.576199,600
2017-01-02,42.472698,42.472698,41.310001,41.310001,41.310001,1267
2017-01-09,42.817001,42.817001,40.590000,40.590000,40.590000,1050
2017-01-16,41.694099,42.930199,41.694099,42.736198,42.736198,0
2017-01-23,41.999802,43.052700,41.647900,43.052700,43.052700,400
2017-01-30,42.253399,42.253399,41.560001,42.000000,42.000000,400
2017-02-06,42.126701,42.679501,41.855099,42.096802,42.096802,0
2017-02-13,42.484200,42.922001,41.160000,42.250000,42.250000,1150
2017-02-20,43.639801,43.824600,42.439999,43.181702,43.181702,400
2017-02-27,42.348801,43.161900,42.045601,42.586601,42.586601,0
2017-03-06,42.330002,43.793499,42.230000,43.793499,43.793499,3188
2017-03-13,43.100800,43.100800,41.810001,41.810001,41.810001,877
2017-03-20,43.202801,43.202801,41.000000,42.081600,42.081600,3200
2017-03-27,42.180000,43.000000,42.180000,42.820000,42.820000,2851
2017-04-03,42.500000,42.500000,42.459999,42.459999,42.459999,1500
