Date,Open,High,Low,Close,Adj Close,Volume
2007-11-12,19.250000,19.719999,17.990000,18.900000,7.322086,8420600
2007-11-19,18.700001,19.000000,16.600000,18.750000,7.263977,775700
2007-11-26,18.750000,19.750000,15.000000,19.450001,7.535164,618500
2007-12-03,19.450001,19.590000,17.660000,18.600000,7.205863,266600
2007-12-10,19.530001,19.530001,17.610001,18.350000,7.109011,212700
2007-12-17,18.350000,19.000000,17.549999,18.260000,7.074143,825500
2007-12-24,18.309999,18.700001,18.000000,18.700001,7.244606,205100
2007-12-31,18.500000,19.260000,18.110001,18.340000,7.105136,207100
2008-01-07,18.690001,18.700001,16.799999,17.559999,6.802954,1253400
2008-01-14,17.650000,17.750000,16.280001,16.600000,6.431038,369000
2008-01-21,16.150000,16.330000,15.290000,15.890000,6.155976,114200
2008-01-28,15.890000,17.209999,15.500000,16.219999,6.283822,267400
2008-02-04,16.120001,16.549999,15.620000,15.820000,6.128857,117500
2008-02-11,16.020000,16.100000,15.030000,15.820000,6.196165,138100
2008-02-18,15.920000,16.070000,14.550000,14.630000,5.730083,291100
2008-02-25,14.730000,15.710000,14.040000,15.400000,6.031664,725500
2008-03-03,15.270000,15.440000,14.050000,14.800000,5.796667,226100
2008-03-10,14.850000,15.170000,13.750000,14.400000,5.639998,158800
2008-03-17,14.300000,14.460000,13.750000,13.950000,5.463749,105000
2008-03-24,14.020000,15.510000,14.020000,14.920000,5.843666,305000
2008-03-31,14.820000,14.820000,13.800000,13.960000,5.467666,301800
2008-04-07,14.000000,14.070000,13.660000,13.820000,5.412832,448300
2008-04-14,13.900000,15.880000,13.650000,15.540000,6.086498,966400
2008-04-21,15.600000,16.830000,14.800000,16.400000,6.423332,273300
2008-04-28,16.400000,16.400000,15.600000,15.880000,6.219666,244700
2008-05-05,15.860000,16.150000,14.470000,15.000000,6.005638,342400
2008-05-12,14.910000,15.300000,14.180000,15.020000,6.013645,377300
2008-05-19,15.000000,15.070000,14.380000,14.720000,5.893533,711000
2008-05-26,14.810000,15.110000,14.810000,15.070000,6.033664,160400
2008-06-02,15.010000,15.430000,14.880000,15.010000,6.009640,213900
2008-06-09,15.150000,15.200000,14.150000,14.270000,5.713364,489700
2008-06-16,14.300000,14.670000,14.200000,14.450000,5.785429,126900
2008-06-23,14.380000,14.610000,14.120000,14.390000,5.761409,79000
2008-06-30,14.400000,14.610000,13.820000,13.850000,5.545206,89900
2008-07-07,13.860000,14.060000,12.810000,13.200000,5.284960,148900
2008-07-14,13.200000,13.510000,11.850000,12.250000,4.904604,174900
2008-07-21,12.400000,12.660000,11.780000,12.090000,4.840545,149100
2008-07-28,12.100000,13.920000,11.910000,12.990000,5.200881,271000
2008-08-04,13.000000,13.290000,11.400000,11.890000,4.760469,275500
2008-08-11,11.540000,12.750000,11.540000,11.860000,4.888236,249600
2008-08-18,12.750000,12.750000,11.640000,11.920000,4.912965,153400
2008-08-25,12.050000,12.600000,12.000000,12.500000,5.152019,85600
2008-09-01,12.500000,12.910000,11.000000,11.530000,4.752222,316100
2008-09-08,11.630000,12.300000,10.120000,10.450000,4.307087,192400
2008-09-15,10.100000,10.240000,7.800000,10.000000,4.121615,1084700
2008-09-22,10.150000,10.150000,6.970000,8.000000,3.297292,861400
2008-09-29,8.050000,8.050000,6.630000,6.990000,2.881009,476900
2008-10-06,6.800000,6.800000,4.410000,4.960000,2.044321,477100
2008-10-13,6.650000,7.330000,6.060000,6.740000,2.777968,170700
2008-10-20,6.820000,8.700000,6.620000,7.910000,3.260197,251500
2008-10-27,7.910000,8.000000,6.750000,7.310000,3.012901,284300
2008-11-03,7.680000,8.200000,6.510000,6.630000,2.873942,471900
2008-11-10,6.590000,6.840000,5.260000,5.450000,2.362441,463200
2008-11-17,5.470000,5.610000,3.200000,3.360000,1.456478,427700
2008-11-24,3.350000,4.710000,3.100000,4.430000,1.920296,517500
2008-12-01,4.430000,4.750000,3.950000,4.350000,1.885618,813800
2008-12-08,4.410000,6.170000,4.300000,6.030000,2.613858,316100
2008-12-15,6.000000,7.500000,5.980000,6.580000,2.852268,429200
2008-12-22,6.580000,6.680000,5.560000,6.180000,2.678878,198400
2008-12-29,6.000000,8.000000,5.840000,7.600000,3.294413,282100
2009-01-05,8.000000,8.850000,7.340000,7.940000,3.441795,632500
2009-01-12,7.820000,8.410000,6.250000,6.790000,2.943298,559400
2009-01-19,6.900000,7.290000,6.410000,7.150000,3.099350,175400
2009-01-26,7.130000,8.450000,7.080000,8.170000,3.541494,696300
2009-02-02,8.100000,8.550000,7.840000,8.040000,3.485143,1169600
2009-02-09,8.100000,8.720000,8.100000,8.450000,3.844198,373500
2009-02-16,8.140000,8.140000,6.300000,6.720000,3.057161,496100
2009-02-23,6.720000,7.950000,6.300000,7.790000,3.543941,229200
2009-03-02,7.780000,8.030000,6.400000,7.420000,3.375615,742400
2009-03-09,7.150000,8.030000,6.860000,7.970000,3.625828,761700
2009-03-16,8.020000,8.450000,7.720000,7.950000,3.616730,322300
2009-03-23,7.950000,8.810000,7.850000,8.710000,3.962480,492600
2009-03-30,8.650000,8.750000,7.900000,8.680000,3.948833,295900
2009-04-06,8.640000,8.750000,7.900000,8.680000,3.948833,285600
2009-04-13,8.600000,10.540000,8.590000,10.470000,4.763166,476800
2009-04-20,10.770000,10.770000,9.000000,10.460000,4.758615,542100
2009-04-27,10.480000,11.940000,10.010000,11.000000,5.004281,879700
2009-05-04,11.400000,11.800000,9.100000,9.540000,4.499785,5651800
2009-05-11,9.760000,9.870000,8.260000,8.670000,4.089426,1262900
2009-05-18,8.730000,9.670000,8.510000,9.390000,4.429032,899500
2009-05-25,9.350000,10.250000,9.230000,10.250000,4.834674,677200
2009-06-01,10.430000,10.430000,9.620000,9.890000,4.664871,987200
2009-06-08,9.940000,10.290000,9.550000,9.990000,4.712039,620000
2009-06-15,10.000000,10.090000,9.500000,10.000000,4.716755,504000
2009-06-22,9.810000,10.240000,9.010000,10.150000,4.787506,553200
2009-06-29,10.210000,10.340000,9.600000,9.800000,4.622421,352500
2009-07-06,9.560000,9.990000,9.050000,9.160000,4.320549,548100
2009-07-13,9.320000,10.370000,9.100000,10.360000,4.886559,581100
2009-07-20,10.400000,11.100000,10.350000,11.000000,5.188430,839800
2009-07-27,11.340000,12.580000,10.890000,12.200000,5.754442,1025400
2009-08-03,12.630000,13.420000,11.250000,11.780000,5.556338,1291100
2009-08-10,11.850000,11.940000,11.270000,11.630000,5.657010,353200
2009-08-17,11.330000,11.820000,10.980000,11.530000,5.608369,383700
2009-08-24,11.570000,12.000000,11.210000,11.720000,5.700788,345200
2009-08-31,11.630000,12.500000,10.900000,11.700000,5.691060,448600
2009-09-07,11.780000,12.850000,11.750000,12.800000,6.226116,413500
2009-09-14,12.770000,13.210000,11.600000,12.160000,5.914811,2751000
2009-09-21,12.140000,12.210000,11.890000,11.970000,5.822393,1254000
2009-09-28,11.910000,12.150000,11.750000,11.800000,5.739701,811900
2009-10-05,11.960000,12.450000,11.850000,12.380000,6.021823,872900
2009-10-12,12.740000,12.890000,12.380000,12.740000,6.196932,965100
2009-10-19,12.870000,13.630000,12.750000,13.200000,6.420682,819600
2009-10-26,13.220000,13.440000,12.260000,13.120000,6.381771,883500
2009-11-02,13.250000,13.450000,12.730000,13.240000,6.440140,794800
2009-11-09,13.310000,15.020000,13.310000,14.990000,7.518258,1253000
2009-11-16,15.590000,15.900000,14.150000,14.220000,7.132064,4581100
2009-11-23,14.490000,14.580000,14.010000,14.200000,7.122033,1107700
2009-11-30,14.230000,14.710000,13.800000,14.690000,7.367793,1626200
2009-12-07,14.600000,14.890000,14.280000,14.830000,7.438010,795100
2009-12-14,14.880000,14.950000,14.560000,14.950000,7.498198,976600
2009-12-21,15.000000,15.000000,14.210000,14.800000,7.422964,1232500
2009-12-28,14.960000,14.960000,14.530000,14.790000,7.417948,477200
2010-01-04,14.850000,16.000000,14.760000,15.840000,7.944578,1462800
2010-01-11,15.830000,16.670000,15.530000,16.450001,8.250525,1762500
2010-01-18,16.740000,17.100000,16.299999,16.389999,8.220429,1010400
2010-01-25,16.770000,17.450001,15.590000,16.459999,8.255539,1626100
2010-02-01,16.660000,17.040001,13.700000,14.500000,7.272499,6309300
2010-02-08,14.500000,15.350000,14.290000,14.970000,7.712636,1536200
2010-02-15,14.970000,15.480000,14.970000,15.460000,7.965085,858400
2010-02-22,15.770000,15.770000,15.250000,15.730000,8.104191,1320500
2010-03-01,15.970000,16.049999,15.570000,16.049999,8.269056,1353000
2010-03-08,16.010000,17.209999,16.010000,17.160000,8.840939,1176000
2010-03-15,17.250000,17.469999,16.660000,17.020000,8.768807,1039400
2010-03-22,16.870001,17.900000,16.620001,17.459999,8.995498,1234900
2010-03-29,17.660000,17.910000,17.440001,17.870001,9.206734,695100
2010-04-05,18.000000,19.309999,17.860001,19.270000,9.928022,1014100
2010-04-12,19.740000,20.170000,18.250000,18.620001,9.593136,1803600
2010-04-19,18.580000,20.090000,18.200001,19.610001,10.103192,1455000
2010-04-26,19.610001,20.090000,17.610001,17.780001,9.160362,5286300
