Date,Open,High,Low,Close,Adj Close,Volume
2007-10-22,17.540001,17.540001,17.030001,17.170000,15.469335,6200
2007-10-29,17.209999,18.559999,17.000000,18.010000,16.226131,8600
2007-11-05,17.799999,17.969999,15.990000,16.650000,15.000841,28800
2007-11-12,16.950001,16.950001,13.790000,14.380000,12.955678,17100
2007-11-19,14.030000,14.030000,13.110000,13.230000,11.919586,9000
2007-11-26,13.380000,13.540000,12.250000,13.280000,11.964635,14900
2007-12-03,13.280000,13.710000,12.570000,13.630000,12.279967,18500
2007-12-10,13.500000,14.020000,13.370000,13.980000,12.595303,8500
2007-12-17,13.780000,13.780000,12.650000,13.000000,11.712366,100500
2007-12-24,13.250000,13.690000,13.100000,13.480000,12.144823,12200
2007-12-31,13.280000,13.940000,13.100000,13.730000,12.370062,7400
2008-01-07,14.020000,14.020000,12.630000,12.740000,11.478122,29900
2008-01-14,13.370000,13.920000,13.190000,13.500000,12.162844,18100
2008-01-21,13.250000,13.250000,10.990000,10.990000,9.901454,50700
2008-01-28,11.000000,12.180000,10.870000,12.000000,10.811417,6900
2008-02-04,12.110000,12.620000,9.990000,10.370000,9.342865,14500
2008-02-11,10.040000,14.880000,9.730000,14.450000,13.018747,33100
2008-02-18,14.510000,16.809999,14.510000,15.650000,14.099890,92400
2008-02-25,15.530000,16.980000,15.200000,16.139999,14.541355,38100
2008-03-03,16.160000,16.320000,14.800000,15.030000,13.541299,24900
2008-03-10,15.090000,15.670000,11.500000,15.280000,13.766539,13700
2008-03-17,15.100000,15.170000,14.680000,14.770000,13.307051,8200
2008-03-24,14.530000,16.330000,14.530000,16.049999,14.460270,33200
2008-03-31,16.049999,16.860001,15.310000,16.860001,15.190039,6900
2008-04-07,16.940001,16.940001,16.000000,16.500000,14.865697,9300
2008-04-14,17.250000,17.250000,15.900000,17.110001,15.415277,4100
2008-04-21,17.530001,19.559999,16.799999,17.160000,15.460325,23900
2008-04-28,17.000000,17.000000,15.870000,17.000000,15.316175,11100
2008-05-05,17.250000,18.240000,16.700001,17.760000,16.000895,13500
2008-05-12,17.680000,18.290001,17.620001,18.250000,16.442366,7800
2008-05-19,17.920000,18.400000,17.480000,18.400000,16.577503,70000
2008-05-26,18.400000,18.740000,17.620001,17.620001,15.874762,11900
2008-06-02,18.600000,19.250000,17.240000,18.750000,16.892839,93700
2008-06-09,18.650000,20.660000,18.250000,20.600000,18.559599,50800
2008-06-16,19.820000,21.150000,19.250000,21.120001,19.028095,214400
2008-06-23,24.389999,24.389999,20.080000,21.190001,19.091160,111800
2008-06-30,21.530001,22.100000,18.330000,19.120001,17.226187,32200
2008-07-07,19.120001,20.420000,18.530001,19.309999,17.397377,58400
2008-07-14,19.320000,19.590000,17.590000,18.430000,16.604532,33500
2008-07-21,18.299999,18.490000,16.500000,17.900000,16.127026,27100
2008-07-28,17.670000,19.110001,17.670000,18.139999,16.343256,14100
2008-08-04,16.000000,16.330000,14.600000,14.600000,13.153889,32200
2008-08-11,14.860000,18.030001,14.700000,16.450001,14.820652,29000
2008-08-18,15.000000,18.490000,15.000000,17.360001,15.640513,18700
2008-08-25,17.219999,17.660000,16.650000,17.620001,15.874762,35400
2008-09-01,16.950001,16.950001,15.070000,15.090000,13.595355,21600
2008-09-08,15.290000,15.290000,13.180000,14.000000,12.613319,26500
2008-09-15,14.200000,14.200000,11.460000,12.710000,11.451092,16100
2008-09-22,13.040000,13.110000,11.620000,12.030000,10.838446,5600
2008-09-29,11.200000,12.300000,9.120000,9.190000,8.279740,23900
2008-10-06,8.470000,8.520000,5.110000,6.000000,5.405708,62600
2008-10-13,7.980000,7.980000,5.100000,5.310000,4.784050,43900
2008-10-20,5.270000,5.840000,3.490000,3.500000,3.153330,53500
2008-10-27,3.250000,5.000000,3.050000,4.380000,3.946167,81200
2008-11-03,4.750000,5.750000,4.270000,4.720000,4.252491,81200
2008-11-10,5.000000,5.130000,3.080000,3.700000,3.333520,70900
2008-11-17,4.040000,4.480000,2.150000,2.250000,2.027141,128200
2008-11-24,2.700000,4.400000,2.500000,3.300000,2.973140,77600
2008-12-01,3.600000,4.170000,3.480000,3.480000,3.135311,59900
2008-12-08,3.700000,4.200000,3.500000,3.610000,3.252434,35900
