Date,Open,High,Low,Close,Adj Close,Volume
1996-04-15,13.000000,13.650000,12.200000,12.650000,7.395611,481900
1996-04-22,12.000000,12.250000,10.250000,10.750000,6.284809,789800
1996-04-29,10.950000,11.450000,10.200000,11.100000,6.489430,714900
1996-05-06,10.900000,12.500000,10.900000,12.350000,7.220222,1178600
1996-05-13,12.450000,12.450000,11.200000,11.550000,6.752515,399600
1996-05-20,11.500000,11.500000,9.800000,11.000000,6.447306,412500
1996-05-27,11.000000,17.350000,11.000000,17.000000,9.964020,987300
1996-06-03,16.000000,16.400000,10.000000,11.800000,6.916203,768000
1996-06-10,12.950000,13.500000,9.350000,10.250000,6.007717,628800
1996-06-17,10.500000,11.500000,9.200000,10.500000,6.154246,180000
1996-06-24,10.700000,12.150000,9.500000,10.150000,5.949106,1137100
1996-07-01,10.150000,10.500000,8.250000,9.400000,5.509515,296700
1996-07-08,9.500000,10.650000,8.700000,10.100000,5.919800,290300
1996-07-15,10.500000,10.500000,9.000000,9.600000,5.626739,114900
1996-07-22,9.600000,10.000000,9.050000,9.800000,5.743966,89500
1996-07-29,9.750000,10.000000,9.050000,9.750000,5.714658,177700
1996-08-05,9.500000,9.750000,9.000000,9.250000,5.421600,119900
1996-08-12,9.050000,9.100000,8.500000,8.500000,4.982010,473900
1996-08-19,8.400000,11.250000,8.300000,11.050000,6.499824,488500
1996-08-26,11.200000,12.350000,11.000000,12.000000,7.058634,268000
1996-09-02,12.000000,12.400000,11.000000,11.400000,6.705706,2704700
1996-09-09,11.250000,11.300000,10.100000,10.450000,6.146895,227100
1996-09-16,10.350000,11.000000,10.350000,10.650000,6.264536,449700
1996-09-23,10.650000,10.650000,10.000000,10.000000,5.882195,102200
1996-09-30,9.900000,10.000000,9.000000,9.700000,5.705730,488400
1996-10-07,9.750000,10.300000,9.500000,10.300000,6.058661,133800
1996-10-14,10.300000,11.100000,9.000000,9.600000,5.646909,771200
1996-10-21,9.250000,10.350000,9.000000,9.950000,5.852784,1197700
1996-10-28,10.000000,10.500000,9.300000,9.500000,5.588086,792000
1996-11-04,9.500000,9.600000,9.100000,9.200000,5.411620,535200
1996-11-11,9.000000,9.350000,8.550000,9.000000,5.293975,1424600
1996-11-18,9.000000,10.000000,9.000000,9.500000,5.607789,341000
1996-11-25,9.750000,9.750000,7.800000,8.000000,4.722348,129000
1996-12-02,8.000000,8.200000,7.000000,7.600000,4.486232,211700
1996-12-09,7.600000,9.250000,7.550000,8.600000,5.076525,381200
1996-12-16,8.750000,8.750000,8.000000,8.100000,4.781379,155400
1996-12-23,8.000000,8.200000,8.000000,8.100000,4.781379,49400
1996-12-30,7.800000,8.000000,6.700000,6.800000,4.013997,235500
1997-01-06,7.000000,7.200000,6.400000,6.900000,4.073026,451400
1997-01-13,7.000000,8.150000,6.900000,8.100000,4.781379,435100
1997-01-20,8.200000,8.300000,7.750000,8.000000,4.722348,252600
1997-01-27,7.850000,8.250000,7.700000,7.750000,4.574776,199600
1997-02-03,7.850000,7.850000,6.750000,7.150000,4.220599,93200
1997-02-10,7.150000,7.550000,7.000000,7.500000,4.427203,252600
1997-02-17,7.300000,8.400000,7.300000,8.350000,4.950844,337700
1997-02-24,8.400000,8.500000,7.800000,8.500000,5.039780,93500
1997-03-03,8.450000,8.500000,7.500000,7.650000,4.535801,241900
1997-03-10,7.650000,7.650000,7.000000,7.000000,4.150408,100500
1997-03-17,6.950000,6.950000,6.000000,6.650000,3.942887,815900
1997-03-24,6.600000,6.600000,4.500000,5.000000,2.964576,998400
1997-03-31,4.750000,6.000000,4.600000,6.000000,3.557491,366400
1997-04-07,6.150000,6.150000,4.800000,4.800000,2.845994,53700
1997-04-14,4.950000,5.300000,4.000000,4.850000,2.875639,1280200
1997-04-21,4.850000,5.000000,4.530000,4.530000,2.685907,79100
1997-04-28,4.530000,4.800000,4.270000,4.460000,2.644403,87100
1997-05-05,4.100000,5.750000,4.050000,5.500000,3.261034,269700
1997-05-12,5.500000,6.250000,5.250000,5.900000,3.498200,335000
1997-05-19,5.600000,5.800000,5.200000,5.300000,3.162025,146300
1997-05-26,5.400000,5.650000,5.300000,5.450000,3.251515,96800
1997-06-02,5.400000,5.500000,5.050000,5.350000,3.191856,31000
1997-06-09,5.350000,5.500000,4.750000,5.000000,2.983043,48300
1997-06-16,5.000000,5.100000,4.500000,4.600000,2.744399,99000
1997-06-23,4.500000,4.500000,3.700000,4.000000,2.386434,572700
1997-06-30,4.150000,4.150000,3.400000,3.500000,2.088130,507000
1997-07-07,3.600000,3.750000,2.950000,3.150000,1.879317,446800
1997-07-14,3.100000,3.250000,2.750000,2.900000,1.730165,499000
1997-07-21,2.950000,3.150000,2.800000,3.100000,1.849487,271000
1997-07-28,3.300000,3.880000,3.100000,3.500000,2.088130,125200
1997-08-04,3.500000,4.150000,3.300000,4.140000,2.469960,268400
1997-08-11,4.150000,5.200000,4.150000,4.550000,2.714570,943100
1997-08-18,4.700000,4.880000,4.500000,4.550000,2.733271,664300
1997-08-25,4.610000,5.250000,4.610000,5.200000,3.123738,348100
1997-09-01,5.250000,5.950000,5.250000,5.300000,3.183810,1326300
1997-09-08,5.250000,5.600000,5.000000,5.150000,3.093701,59900
1997-09-15,5.150000,5.350000,4.400000,4.500000,2.703235,107500
1997-09-22,4.700000,5.200000,4.450000,4.850000,2.913486,211300
1997-09-29,4.850000,5.750000,4.700000,5.300000,3.183810,402300
1997-10-06,5.400000,5.600000,5.300000,5.450000,3.273916,74500
1997-10-13,5.500000,5.500000,5.150000,5.300000,3.183810,131200
1997-10-20,5.200000,5.250000,4.500000,4.600000,2.763306,276700
1997-10-27,4.400000,5.000000,3.850000,4.900000,2.943522,141600
1997-11-03,4.950000,5.150000,4.100000,4.150000,2.492984,59200
1997-11-10,3.850000,4.250000,3.510000,3.600000,2.162587,57400
1997-11-17,3.800000,3.800000,3.100000,3.600000,2.179867,73900
1997-11-24,3.500000,3.800000,3.500000,3.500000,2.119315,286200
1997-12-01,3.600000,3.700000,2.400000,2.600000,1.574348,308200
1997-12-08,2.650000,3.250000,2.650000,3.000000,1.816556,254800
