Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.796875,0.859375,0.786458,0.807292,0.131029,2568000
1980-03-24,0.807292,0.807292,0.625000,0.744792,0.120885,4051200
1980-03-31,0.757813,0.838542,0.757813,0.825521,0.133988,3657600
1980-04-07,0.825521,0.833333,0.760417,0.781250,0.126802,2428800
1980-04-14,0.781250,0.781250,0.739583,0.739583,0.120040,1401600
1980-04-21,0.739583,0.783854,0.710938,0.781250,0.126802,2908800
1980-04-28,0.789063,0.869792,0.789063,0.817708,0.132720,2289600
1980-05-05,0.822917,0.932292,0.822917,0.895833,0.145400,3787200
1980-05-12,0.890625,0.989583,0.880208,0.966146,0.156812,4180800
1980-05-19,0.968750,0.979167,0.911458,0.968750,0.157235,3892800
1980-05-26,0.968750,0.973958,0.932292,0.945313,0.153431,2164800
1980-06-02,0.945313,0.976563,0.945313,0.960938,0.155967,3960000
1980-06-09,0.960938,0.986979,0.953125,0.971354,0.157658,1948800
1980-06-16,0.966146,0.968750,0.937500,0.945313,0.153431,2332800
1980-06-23,0.950521,1.041667,0.950521,1.000000,0.162307,2611200
1980-06-30,0.994792,1.013021,0.979167,1.005208,0.163153,998400
1980-07-07,1.013021,1.145833,1.013021,1.140625,0.185132,3072000
1980-07-14,1.148438,1.236979,1.148438,1.218750,0.197812,3331200
1980-07-21,1.218750,1.239583,1.200521,1.200521,0.194853,1992000
1980-07-28,1.200521,1.234375,1.184896,1.229167,0.199502,2822400
1980-08-04,1.229167,1.330729,1.221354,1.281250,0.207956,2856000
1980-08-11,1.281250,1.312500,1.276042,1.299479,0.210915,1252800
1980-08-18,1.299479,1.299479,1.200521,1.270833,0.206265,3710400
1980-08-25,1.270833,1.276042,1.135417,1.158854,0.188090,3316800
1980-09-01,1.158854,1.296875,1.153646,1.250000,0.202884,2419200
1980-09-08,1.247396,1.255208,1.200521,1.231771,0.199925,2692800
1980-09-15,1.229167,1.270833,1.213542,1.265625,0.205420,1896000
1980-09-22,1.270833,1.320313,1.270833,1.291667,0.209647,2016000
1980-09-29,1.286458,1.286458,1.213542,1.263021,0.204997,2097600
1980-10-06,1.263021,1.348958,1.260417,1.286458,0.208801,2923200
1980-10-13,1.286458,1.317708,1.255208,1.255208,0.203729,1334400
1980-10-20,1.255208,1.255208,1.229167,1.229167,0.199502,2212800
1980-10-27,1.229167,1.270833,1.218750,1.250000,0.202884,1368000
1980-11-03,1.250000,1.348958,1.250000,1.322917,0.214719,2102400
1980-11-10,1.322917,1.531250,1.317708,1.510417,0.245151,4075200
1980-11-17,1.505208,1.546875,1.447917,1.458333,0.236698,2390400
1980-11-24,1.442708,1.463542,1.416667,1.416667,0.229935,849600
1980-12-01,1.416667,1.427083,1.354167,1.354167,0.219791,1363200
1980-12-08,1.343750,1.343750,1.273438,1.315104,0.213451,3105600
1980-12-15,1.315104,1.380208,1.312500,1.375000,0.223172,1526400
