Date,Open,High,Low,Close,Adj Close,Volume
2008-07-21,11.940000,12.130000,11.660000,11.850000,6.218942,15900
2008-07-28,11.890000,12.140000,11.760000,12.140000,6.371136,12700
2008-08-04,12.140000,12.300000,11.900000,12.250000,6.482890,110000
2008-08-11,12.350000,12.350000,11.870000,11.900000,6.297661,156500
2008-08-18,11.900000,12.210000,11.250000,11.990000,6.345295,83100
2008-08-25,11.990000,11.990000,11.400000,11.560000,6.117729,41700
2008-09-01,11.750000,11.920000,11.250000,11.660000,6.223226,96100
2008-09-08,11.750000,11.880000,11.080000,11.480000,6.127158,101100
2008-09-15,11.400000,11.640000,10.500000,11.000000,5.870969,133000
2008-09-22,11.000000,11.000000,10.250000,10.250000,5.470676,321200
2008-09-29,10.250000,10.250000,9.050000,9.540000,5.139703,401000
2008-10-06,9.190000,9.190000,7.000000,7.800000,4.202271,657200
2008-10-13,8.020000,9.450000,7.760000,9.200000,4.956526,329900
2008-10-20,10.240000,10.600000,9.200000,9.750000,5.252840,186000
2008-10-27,10.000000,10.290000,8.470000,9.770000,5.263617,400300
2008-11-03,9.980000,10.150000,8.000000,8.490000,4.623807,176900
2008-11-10,8.600000,8.600000,7.800000,8.310000,4.525775,148400
2008-11-17,8.020000,8.900000,7.510000,7.900000,4.302483,106800
2008-11-24,8.000000,8.300000,7.700000,8.000000,4.356944,96500
2008-12-01,7.980000,8.140000,7.010000,7.250000,3.995658,116400
2008-12-08,7.150000,7.250000,6.550000,6.900000,3.802763,471400
2008-12-15,6.810000,7.500000,6.780000,7.400000,4.078327,517800
2008-12-22,7.460000,7.980000,7.110000,7.790000,4.293267,137400
2008-12-29,7.510000,8.500000,7.510000,8.490000,4.679053,27500
2009-01-05,8.740000,9.470000,8.000000,8.700000,4.855878,121900
2009-01-12,8.700000,10.020000,8.690000,9.760000,5.447514,218500
2009-01-19,9.800000,9.840000,9.250000,9.490000,5.296814,79100
2009-01-26,9.350000,9.450000,8.010000,8.320000,4.643779,91700
2009-02-02,8.250000,8.250000,7.760000,8.050000,4.542545,217600
2009-02-09,8.090000,8.450000,8.000000,8.160000,4.604617,180100
2009-02-16,8.140000,8.140000,7.680000,7.680000,4.333756,726200
2009-02-23,7.800000,7.800000,7.140000,7.360000,4.153186,157800
2009-03-02,7.500000,7.600000,6.930000,7.350000,4.201866,243400
2009-03-09,7.260000,7.950000,7.150000,7.800000,4.459123,343800
2009-03-16,7.900000,8.250000,7.750000,8.000000,4.573460,87200
2009-03-23,8.100000,8.710000,8.000000,8.470000,4.842151,90600
2009-03-30,8.390000,8.810000,8.100000,8.800000,5.090192,88100
2009-04-06,8.710000,8.790000,8.400000,8.760000,5.067053,64400
2009-04-13,8.760000,8.900000,8.600000,8.610000,4.980291,322500
2009-04-20,8.640000,8.940000,8.400000,8.850000,5.119112,235600
2009-04-27,8.940000,9.720000,8.700000,9.600000,5.552937,163600
2009-05-04,9.700000,9.700000,9.050000,9.200000,5.381492,291500
2009-05-11,9.200000,9.200000,8.680000,9.100000,5.322999,207200
2009-05-18,9.200000,9.330000,8.900000,9.140000,5.346398,129400
2009-05-25,9.150000,9.260000,8.750000,9.000000,5.264504,109000
2009-06-01,9.060000,9.920000,8.950000,9.900000,5.854068,677800
2009-06-08,9.850000,9.880000,9.400000,9.500000,5.617540,266200
2009-06-15,9.550000,9.550000,9.050000,9.390000,5.552496,179900
2009-06-22,9.350000,9.810000,9.010000,9.700000,5.735805,88700
2009-06-29,9.770000,9.950000,9.650000,9.760000,5.829578,89300
2009-07-06,9.870000,10.300000,9.780000,10.300000,6.152118,181100
2009-07-13,10.110000,10.410000,10.110000,10.250000,6.122252,104700
2009-07-20,10.250000,10.590000,10.250000,10.450000,6.241711,90700
